002372 伟星新材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.74	3.75	3.55	3.55	545283	8425598.000
01/05/2012	3.53	3.58	3.46	3.48	446535	6727704.000
01/06/2012	3.48	3.62	3.44	3.60	261299	3919473.000
01/09/2012	3.62	3.77	3.53	3.76	685638	10657583.000
01/10/2012	3.72	3.98	3.71	3.93	1129253	18100490.000
01/11/2012	3.90	3.98	3.82	3.90	613721	9865067.000
01/12/2012	3.84	3.91	3.77	3.80	663278	10554702.000
01/13/2012	3.79	3.81	3.50	3.51	1112540	16946860.000
01/16/2012	3.51	3.52	3.30	3.30	548053	8068654.500
01/17/2012	3.30	3.61	3.28	3.57	732780	10902869.000
01/18/2012	3.60	3.62	3.40	3.41	712019	10691382.000
01/19/2012	3.41	3.50	3.41	3.48	333634	4946013.500
01/20/2012	3.49	3.61	3.47	3.56	703686	10646050.000
01/30/2012	3.57	3.60	3.52	3.55	460800	6990087.500
01/31/2012	3.55	3.55	3.51	3.53	393669	5914876.000
02/01/2012	3.52	3.60	3.48	3.54	400848	6073770.000
02/02/2012	3.56	3.61	3.53	3.61	555019	8414757.000
02/03/2012	3.62	3.68	3.57	3.67	946748	14545274.000
02/06/2012	3.67	3.74	3.65	3.74	1163085	18045462.000
02/07/2012	3.70	3.70	3.58	3.60	566743	8678988.000
02/08/2012	3.60	3.71	3.54	3.71	770996	11843799.000
02/09/2012	3.70	3.81	3.70	3.76	869525	13653964.000
02/10/2012	3.76	3.83	3.73	3.77	1026107	16194321.000
02/13/2012	3.76	3.86	3.67	3.82	955904	15070787.000
02/14/2012	3.82	3.82	3.75	3.78	564524	8894773.000
02/15/2012	3.78	3.88	3.76	3.84	976357	15527292.000
02/16/2012	3.82	3.96	3.82	3.94	1481805	23909876.000
02/17/2012	3.93	3.96	3.86	3.89	800775	12966082.000
02/20/2012	3.96	3.99	3.83	3.84	683449	11018256.000
02/21/2012	3.84	3.95	3.83	3.94	643325	10343536.000
02/22/2012	3.96	4.08	3.91	4.07	1051889	17282870.000
02/23/2012	4.06	4.09	3.96	4.03	976867	16121181.000
02/24/2012	4.00	4.12	4.00	4.11	808145	13427940.000
02/27/2012	4.14	4.20	4.09	4.10	1080529	18139212.000
02/28/2012	4.05	4.14	3.99	4.06	1068146	17665810.000
02/29/2012	4.04	4.09	3.93	3.94	1198358	19644598.000
03/01/2012	3.94	4.00	3.92	3.96	533150	8684544.000
03/02/2012	3.98	4.18	3.98	4.15	986875	16413825.000
03/05/2012	4.16	4.28	4.16	4.19	1145858	19553968.000
03/06/2012	4.18	4.21	4.11	4.20	937504	15750237.000
03/07/2012	4.14	4.28	4.12	4.20	626515	10619563.000
03/08/2012	4.20	4.33	4.20	4.28	910953	15690147.000
03/09/2012	4.28	4.42	4.28	4.41	1192499	20856094.000
03/12/2012	4.44	4.48	4.35	4.40	810393	14226758.000
03/13/2012	4.37	4.54	4.37	4.54	1276654	22766450.000
03/14/2012	4.56	4.64	4.13	4.19	2665283	47012084.000
03/15/2012	4.23	4.41	4.23	4.40	1902653	33039612.000
03/16/2012	4.30	4.47	4.20	4.46	2739557	47227448.000
03/19/2012	4.42	4.49	4.30	4.44	1301196	22770250.000
03/20/2012	4.40	4.41	4.23	4.25	1075816	18578866.000
03/21/2012	4.27	4.58	4.21	4.56	1891260	33170150.000
03/22/2012	4.51	4.52	4.32	4.36	1705105	29997138.000
03/23/2012	4.37	4.37	4.23	4.25	784586	13463073.000
03/26/2012	4.25	4.28	4.17	4.28	560475	9582960.000
03/27/2012	4.30	4.32	4.14	4.15	620579	10600763.000
03/28/2012	4.11	4.11	3.93	3.93	830935	13548675.000
03/29/2012	3.93	3.96	3.79	3.85	712613	11448689.000
03/30/2012	3.86	3.93	3.80	3.84	527126	8403831.000
04/05/2012	3.86	4.02	3.85	4.00	594399	9681480.000
04/09/2012	4.03	4.03	3.92	3.92	346465	5646687.500
04/10/2012	3.90	4.02	3.82	4.02	593697	9594715.000
04/11/2012	3.99	4.04	3.92	4.03	449563	7362628.000
04/12/2012	4.02	4.14	4.01	4.12	507911	8463161.000
04/13/2012	4.20	4.32	4.19	4.26	868464	14869454.000
04/16/2012	4.26	4.36	4.19	4.32	834513	14384685.000
04/17/2012	4.32	4.37	4.23	4.32	1001706	17316032.000
04/18/2012	4.32	4.45	4.28	4.45	1145678	20008230.000
04/19/2012	4.49	4.60	4.46	4.57	2411250	43283436.000
04/20/2012	4.41	4.42	4.30	4.36	1876591	31197226.000
04/23/2012	4.33	4.33	4.07	4.12	1864124	30034544.000
04/24/2012	4.12	4.20	4.06	4.19	653504	10432553.000
04/25/2012	4.17	4.25	4.14	4.19	684059	11079976.000
04/26/2012	4.18	4.21	4.14	4.15	538221	8664831.000
04/27/2012	4.18	4.18	4.12	4.16	287266	4604525.500
05/02/2012	4.24	4.27	4.18	4.23	622266	10102952.000
05/03/2012	4.23	4.26	4.21	4.24	460742	7502391.500
05/04/2012	4.24	4.38	4.21	4.35	915037	15076369.000
05/07/2012	4.33	4.34	4.25	4.33	542777	8909925.000
05/08/2012	4.32	4.32	4.25	4.29	501489	8229852.500
05/09/2012	4.25	4.29	4.15	4.17	420431	6803460.000
05/10/2012	4.18	4.21	4.15	4.20	246370	3973368.750
05/11/2012	4.17	4.23	4.17	4.18	212909	3438536.000
05/14/2012	4.24	4.24	4.14	4.16	400844	6458818.000
05/15/2012	4.14	4.14	3.93	4.01	826251	12880780.000
05/16/2012	3.97	4.02	3.89	3.89	626721	9660538.000
05/17/2012	3.90	3.96	3.88	3.95	416619	6408919.000
05/18/2012	3.93	3.93	3.84	3.85	435953	6640323.000
05/21/2012	3.85	3.90	3.85	3.87	334790	5095886.000
05/22/2012	3.88	3.95	3.87	3.94	414742	6378246.500
05/23/2012	3.95	3.98	3.88	3.93	662709	10215272.000
05/24/2012	3.91	3.95	3.90	3.91	257414	3960061.500
05/25/2012	3.91	3.93	3.79	3.79	319711	4839313.000
05/28/2012	3.77	3.92	3.72	3.91	355920	5342597.000
05/29/2012	3.91	4.06	3.91	3.97	1161063	18056392.000
05/30/2012	3.97	4.00	3.93	3.96	681484	10565556.000
05/31/2012	3.93	4.01	3.92	3.97	507532	7868282.000
06/01/2012	3.97	4.01	3.93	3.95	345875	5354183.000
06/04/2012	3.90	3.90	3.81	3.86	779625	11793613.000
06/05/2012	3.85	4.35	3.85	4.34	2224430	35492972.000
06/06/2012	4.28	4.34	4.07	4.25	2616395	42339816.000
06/07/2012	4.23	4.23	4.07	4.07	2843317	45729144.000
06/08/2012	4.11	4.13	3.86	3.89	1229229	19018140.000
06/11/2012	3.85	3.90	3.70	3.82	2052378	30650830.000
06/12/2012	3.79	3.88	3.74	3.84	976301	14707757.000
06/13/2012	3.84	3.91	3.78	3.86	958031	14503467.000
06/14/2012	3.87	3.92	3.85	3.85	945585	14416208.000
06/15/2012	3.86	3.91	3.85	3.88	694113	10583041.000
06/18/2012	3.89	4.03	3.89	3.95	775897	12024697.000
06/19/2012	3.95	3.97	3.89	3.89	512939	7901519.500
06/20/2012	3.95	3.96	3.83	3.83	477198	7262402.000
06/21/2012	3.83	3.83	3.68	3.69	911740	13501669.000
06/25/2012	3.69	3.77	3.49	3.49	715919	10418905.000
06/26/2012	3.49	3.55	3.45	3.50	752198	10641388.000
06/27/2012	3.53	3.55	3.44	3.44	748731	10607726.000
06/28/2012	3.46	3.49	3.40	3.41	583448	8172714.000
06/29/2012	3.40	3.49	3.37	3.48	388246	5430669.500
07/02/2012	3.53	3.53	3.47	3.50	620036	8780713.000
07/03/2012	3.50	3.56	3.47	3.50	749165	10647935.000
07/04/2012	3.50	3.53	3.48	3.53	609298	8651576.000
07/05/2012	3.53	3.53	3.38	3.40	507737	7093763.000
07/06/2012	3.46	3.51	3.37	3.51	429664	6025655.500
07/09/2012	3.48	3.49	3.34	3.34	634700	8819711.000
07/10/2012	3.33	3.34	3.19	3.21	869010	11720157.000
07/11/2012	3.21	3.29	3.20	3.23	491327	6584937.500
07/12/2012	3.24	3.27	3.13	3.23	994108	13232822.000
07/13/2012	3.23	3.26	3.20	3.24	779905	10451510.000
07/16/2012	3.24	3.26	3.09	3.09	948739	12420548.000
07/17/2012	3.09	3.13	3.06	3.10	672845	8751049.000
07/18/2012	3.09	3.14	2.99	3.14	932252	12098580.000
07/19/2012	3.15	3.24	3.13	3.20	1083924	14421252.000
07/20/2012	3.20	3.22	3.15	3.15	581151	7698148.000
07/23/2012	3.31	3.44	3.16	3.20	2458687	33465660.000
07/24/2012	3.08	3.26	3.04	3.23	1146066	15155555.000
07/25/2012	3.16	3.43	3.14	3.35	2718025	37272856.000
07/26/2012	3.30	3.34	3.23	3.26	1321276	17847214.000
07/27/2012	3.28	3.28	3.20	3.21	621785	8316066.000
07/30/2012	3.21	3.26	3.09	3.11	501964	6645897.500
07/31/2012	3.10	3.16	2.99	3.13	869909	11283866.000
08/01/2012	3.11	3.26	3.11	3.19	670735	8933063.000
08/02/2012	3.17	3.21	3.07	3.10	562299	7384111.000
08/03/2012	3.14	3.23	3.08	3.22	647694	8551395.000
08/06/2012	3.19	3.38	3.18	3.36	1501499	20408784.000
08/07/2012	3.35	3.44	3.33	3.43	1449344	20095264.000
08/08/2012	3.42	3.44	3.33	3.37	820328	11341800.000
08/09/2012	3.48	3.54	3.39	3.48	1885972	26470958.000
08/10/2012	3.48	3.50	3.44	3.45	943938	13256046.000
08/13/2012	3.45	3.45	3.34	3.35	668543	9255827.000
08/14/2012	3.34	3.48	3.32	3.47	848216	11785383.000
08/15/2012	3.47	3.49	3.41	3.43	702815	9861889.000
