002378 章源钨业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	11.10	11.23	10.68	10.68	980992	22252906.000
01/05/2012	10.62	10.68	9.83	9.91	1374434	29063844.000
01/06/2012	10.01	10.22	9.85	10.21	929933	19259414.000
01/09/2012	10.28	10.96	10.03	10.95	1789791	39457364.000
01/10/2012	10.96	11.54	10.84	11.44	3452713	80047176.000
01/11/2012	11.29	11.51	11.23	11.38	2276481	53206048.000
01/12/2012	11.36	11.81	11.17	11.61	3143624	74599560.000
01/13/2012	11.58	12.00	11.25	11.53	3798192	90862648.000
01/16/2012	11.23	11.38	10.68	10.68	1738059	39466264.000
01/17/2012	10.78	11.78	10.62	11.78	3513446	82505944.000
01/18/2012	12.18	12.67	11.60	11.65	5900539	147757600.000
01/19/2012	11.53	12.48	11.47	12.47	4150663	102478144.000
01/20/2012	12.33	12.36	11.98	12.09	2907533	72479112.000
01/30/2012	12.19	12.23	11.87	11.88	2129500	52709904.000
01/31/2012	11.88	12.10	11.76	11.93	1753047	42930648.000
02/01/2012	11.84	12.01	11.38	11.42	2001474	47997092.000
02/02/2012	11.48	11.85	11.47	11.84	1877398	45087152.000
02/03/2012	11.83	11.98	11.69	11.92	1769387	43106356.000
02/06/2012	11.98	12.11	11.77	11.86	1590034	38998552.000
02/07/2012	11.78	11.79	11.38	11.63	1941894	46051976.000
02/08/2012	11.58	12.38	11.52	12.29	4467735	110913192.000
02/09/2012	12.19	12.29	12.00	12.09	3564585	88833992.000
02/10/2012	12.11	12.28	11.98	12.07	2441966	60825832.000
02/13/2012	11.93	12.22	11.83	12.07	2038480	50478880.000
02/14/2012	11.98	12.08	11.81	11.96	2026070	49626624.000
02/15/2012	11.93	12.43	11.86	12.25	3669698	92141416.000
02/16/2012	12.13	12.25	11.92	12.12	2645898	65663564.000
02/17/2012	12.13	12.28	11.99	12.19	2236571	55922392.000
02/20/2012	12.45	12.50	12.03	12.09	2918701	73486016.000
02/21/2012	12.08	12.19	11.78	12.18	2278518	56266540.000
02/22/2012	12.18	12.46	12.08	12.37	3782628	95510048.000
02/23/2012	12.39	12.65	12.33	12.63	4549334	117163944.000
02/24/2012	12.65	12.71	12.48	12.66	3177262	82185008.000
02/27/2012	12.68	13.06	12.58	12.59	5940506	156413712.000
02/28/2012	12.53	12.55	12.26	12.41	4057295	103365072.000
02/29/2012	12.41	12.75	12.33	12.47	4046657	104375008.000
03/01/2012	12.37	13.12	12.30	13.01	6190106	162089632.000
03/02/2012	13.78	14.34	13.78	13.84	14993029	432819456.000
03/05/2012	13.95	15.26	13.72	15.26	21412242	645239552.000
