002390 信邦制药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	1.99	2.02	1.90	1.90	430900	4439991.000
01/05/2012	1.89	1.90	1.77	1.78	493800	4764774.000
01/06/2012	1.78	1.82	1.73	1.81	506760	4724192.500
01/09/2012	1.79	1.98	1.77	1.94	634226	6315655.000
01/10/2012	1.91	2.03	1.89	2.02	888231	9246840.000
01/11/2012	2.02	2.04	1.98	2.02	663137	6965642.000
01/12/2012	2.01	2.03	1.95	1.97	761111	7903613.500
01/16/2012	1.90	1.97	1.81	1.91	836704	8257060.000
01/17/2012	1.90	2.00	1.82	2.00	1074232	10838418.000
01/18/2012	2.01	2.01	1.89	1.89	1260402	12853964.000
01/19/2012	1.85	1.94	1.84	1.93	509774	5095130.500
01/20/2012	1.93	1.97	1.92	1.95	638951	6509274.000
01/30/2012	1.95	1.98	1.94	1.94	531773	5440269.000
01/31/2012	1.97	1.97	1.91	1.92	442251	4467813.500
02/01/2012	1.92	1.96	1.91	1.93	341960	3461900.000
02/02/2012	1.93	1.98	1.93	1.98	464036	4746406.000
02/03/2012	1.98	2.07	1.96	2.05	1370864	14453210.000
02/06/2012	2.05	2.25	2.05	2.17	1785575	20205014.000
02/07/2012	2.14	2.16	2.07	2.10	776145	8531372.000
02/08/2012	2.09	2.17	2.09	2.15	524480	5839122.500
02/09/2012	2.14	2.21	2.13	2.18	862311	9749829.000
02/10/2012	2.18	2.20	2.14	2.16	628157	7105598.000
02/13/2012	2.14	2.21	2.09	2.21	868532	9833693.000
02/14/2012	2.27	2.28	2.21	2.23	1370975	15983633.000
02/15/2012	2.26	2.26	2.19	2.24	1245984	14420301.000
02/16/2012	2.24	2.25	2.18	2.21	788353	9081754.000
02/17/2012	2.21	2.24	2.18	2.24	775936	8940616.000
02/20/2012	2.29	2.30	2.24	2.24	973854	11432039.000
02/21/2012	2.24	2.25	2.18	2.25	785199	9049591.000
02/22/2012	2.24	2.30	2.23	2.30	1248752	14768218.000
02/23/2012	2.29	2.36	2.28	2.31	1131246	13614402.000
02/24/2012	2.31	2.33	2.29	2.32	914560	10978736.000
02/27/2012	2.32	2.38	2.32	2.32	1397092	17020842.000
02/28/2012	2.33	2.33	2.27	2.29	1095232	13037193.000
02/29/2012	2.31	2.42	2.26	2.36	1963636	23957084.000
03/01/2012	2.34	2.40	2.31	2.35	1067316	13008530.000
03/02/2012	2.38	2.39	2.35	2.37	722961	8874069.000
03/05/2012	2.37	2.44	2.37	2.39	1094698	13698588.000
03/06/2012	2.39	2.39	2.33	2.34	786010	9598251.000
03/07/2012	2.32	2.36	2.30	2.32	819937	9901805.000
03/08/2012	2.35	2.40	2.33	2.39	806532	9947494.000
03/09/2012	2.43	2.64	2.39	2.64	3278658	42627492.000
03/12/2012	2.64	2.77	2.63	2.70	5108310	71077792.000
03/13/2012	2.68	2.69	2.63	2.65	3509516	48175204.000
03/14/2012	2.65	2.68	2.47	2.53	2548101	34150172.000
03/15/2012	2.51	2.74	2.47	2.74	4319495	59136484.000
03/16/2012	2.71	2.86	2.67	2.73	3366890	47834584.000
03/19/2012	2.76	2.76	2.67	2.76	1818972	25506470.000
03/20/2012	2.73	2.73	2.64	2.69	1452520	20106206.000
03/21/2012	2.70	2.71	2.64	2.71	991763	13742963.000
03/22/2012	2.68	2.71	2.60	2.61	1104259	15071926.000
03/23/2012	2.55	2.60	2.52	2.54	922300	12236840.000
03/26/2012	2.53	2.58	2.51	2.57	574719	7598821.000
03/27/2012	2.59	2.60	2.55	2.57	374722	4983344.500
03/28/2012	2.54	2.58	2.40	2.40	1103240	14194038.000
03/29/2012	2.40	2.42	2.31	2.33	685658	8419426.000
03/30/2012	2.36	2.48	2.36	2.41	967756	12121026.000
04/05/2012	2.35	2.46	2.35	2.46	843475	10647166.000
04/06/2012	2.45	2.56	2.42	2.56	822705	10733124.000
04/09/2012	2.55	2.56	2.50	2.51	668947	8750862.000
04/10/2012	2.49	2.68	2.49	2.67	1639571	21860316.000
04/11/2012	2.63	2.91	2.60	2.85	2982615	42608140.000
04/12/2012	2.81	2.87	2.79	2.84	1391437	20351002.000
04/13/2012	2.84	2.88	2.79	2.85	1388621	20363030.000
04/16/2012	2.84	2.84	2.74	2.74	1073168	15317761.000
04/17/2012	2.73	2.81	2.70	2.75	1134847	16163638.000
04/18/2012	2.72	2.77	2.70	2.75	1543859	21872580.000
04/19/2012	2.75	2.79	2.73	2.78	1025932	14613885.000
04/20/2012	2.78	2.91	2.78	2.87	3234333	47440560.000
04/23/2012	2.83	2.90	2.81	2.89	2490471	36605692.000
04/24/2012	2.91	2.94	2.77	2.84	2204298	32650778.000
04/25/2012	2.81	2.90	2.75	2.80	1518007	22129340.000
04/26/2012	2.81	2.84	2.72	2.73	1085913	15480804.000
04/27/2012	2.79	2.79	2.72	2.74	1356173	19176052.000
05/02/2012	2.83	2.83	2.75	2.77	1175937	16827542.000
05/03/2012	2.79	2.79	2.73	2.77	853660	12185064.000
05/04/2012	2.77	2.80	2.75	2.78	946569	13557281.000
05/07/2012	2.79	2.85	2.71	2.79	2111206	30606738.000
05/08/2012	2.76	2.79	2.73	2.75	919298	13100318.000
05/09/2012	2.75	2.75	2.61	2.61	1177349	16305892.000
05/11/2012	2.67	2.71	2.62	2.65	1252433	17202288.000
05/14/2012	2.67	2.73	2.65	2.67	1002007	13887271.000
05/15/2012	2.68	2.68	2.62	2.67	620911	8512860.000
05/16/2012	2.67	2.69	2.63	2.63	353204	4835508.000
05/17/2012	2.67	2.72	2.63	2.69	741829	10252710.000
05/18/2012	2.68	2.71	2.65	2.69	462475	6396147.000
05/21/2012	2.69	2.70	2.65	2.66	455389	6288979.000
05/22/2012	2.67	2.79	2.66	2.78	1808505	25682714.000
05/23/2012	2.75	2.86	2.75	2.81	1589980	23043724.000
05/24/2012	2.80	2.84	2.78	2.80	1172209	16970022.000
05/25/2012	2.82	2.87	2.76	2.80	1523256	22143828.000
05/28/2012	2.80	2.80	2.69	2.78	848802	12023978.000
05/29/2012	2.78	2.81	2.76	2.80	821285	11833539.000
05/30/2012	2.83	2.83	2.77	2.78	653796	9439389.000
05/31/2012	2.78	2.89	2.77	2.86	2037616	29916766.000
06/01/2012	2.90	2.90	2.83	2.87	823980	12150950.000
06/04/2012	2.83	2.83	2.74	2.79	1019313	14669616.000
06/05/2012	2.77	2.85	2.77	2.85	1137510	16544420.000
06/06/2012	3.09	3.14	3.07	3.14	1888917	30479116.000
06/07/2012	3.35	3.46	3.31	3.40	12290510	215105888.000
06/08/2012	3.31	3.38	3.23	3.27	5690301	96664776.000
06/11/2012	3.29	3.60	3.29	3.60	9509909	173461136.000
06/12/2012	3.74	3.74	3.50	3.53	8973106	164583008.000
06/13/2012	3.48	3.76	3.48	3.58	6059879	111360536.000
06/14/2012	3.52	3.59	3.44	3.54	4835484	86768904.000
06/15/2012	3.50	3.74	3.46	3.54	5740443	105156176.000
06/18/2012	3.46	3.61	3.34	3.61	6845066	121784568.000
06/19/2012	3.57	3.76	3.52	3.71	9150087	170106624.000
06/20/2012	3.69	3.70	3.46	3.48	6138072	112206192.000
06/21/2012	3.39	3.49	3.33	3.36	3380417	58412308.000
06/25/2012	3.36	3.41	3.30	3.31	2472075	42238664.000
06/26/2012	3.31	3.35	3.13	3.19	3192748	52571468.000
06/27/2012	3.16	3.26	3.16	3.18	2591208	42494968.000
06/28/2012	3.19	3.35	3.19	3.25	3924948	65712688.000
06/29/2012	3.32	3.58	3.31	3.58	5209483	93702064.000
07/02/2012	3.75	3.95	3.72	3.95	18927012	376158720.000
07/03/2012	4.04	4.12	3.79	3.82	12785843	255218576.000
07/04/2012	3.73	4.09	3.73	3.89	13802303	277779136.000
07/05/2012	3.82	3.98	3.70	3.97	9803818	192937712.000
07/06/2012	3.97	4.04	3.75	3.92	7745821	153600048.000
07/09/2012	3.87	4.11	3.77	3.77	10967240	219185408.000
07/10/2012	3.71	3.72	3.45	3.47	10118611	184306928.000
07/11/2012	3.40	3.55	3.29	3.52	5285137	93509456.000
07/12/2012	3.47	3.56	3.45	3.53	4447009	80187920.000
07/13/2012	3.55	3.66	3.50	3.53	4838240	88016088.000
07/16/2012	3.52	3.66	3.38	3.51	8013037	145299456.000
07/17/2012	3.42	3.43	3.19	3.32	5052832	85789120.000
07/18/2012	3.34	3.58	3.34	3.55	7699463	137121504.000
07/19/2012	3.54	3.66	3.44	3.59	5747090	103808256.000
07/20/2012	3.52	3.70	3.52	3.56	5195873	95981504.000
07/23/2012	3.43	3.64	3.29	3.51	4589219	81679640.000
07/24/2012	3.46	3.82	3.43	3.71	7426643	139562304.000
07/25/2012	3.66	3.79	3.63	3.72	4652988	88109224.000
07/26/2012	3.70	3.86	3.58	3.66	5947345	113057720.000
07/27/2012	3.67	3.71	3.44	3.50	4069208	74087752.000
07/30/2012	3.48	3.57	3.40	3.47	2079502	37068820.000
07/31/2012	3.52	3.70	3.52	3.66	4552582	84585872.000
08/01/2012	3.61	4.02	3.60	3.95	9110100	179126560.000
08/02/2012	3.93	4.30	3.93	4.08	10880812	229018544.000
08/03/2012	4.11	4.25	4.07	4.13	7325434	155122816.000
08/06/2012	4.23	4.32	4.12	4.17	6993571	149286544.000
08/07/2012	4.12	4.30	4.06	4.25	8051352	171021168.000
08/08/2012	4.20	4.21	4.08	4.08	5122442	107922344.000
08/09/2012	4.04	4.27	3.99	4.22	5893532	125557640.000
08/10/2012	4.16	4.30	4.13	4.22	3952841	84770816.000
08/13/2012	4.20	4.21	4.06	4.06	3384127	71221160.000
08/14/2012	4.04	4.10	3.83	4.04	5390086	108516600.000
08/15/2012	4.00	4.08	3.94	3.94	2002956	40824356.000
08/16/2012	3.92	4.03	3.86	3.90	2367047	47498028.000
08/17/2012	3.90	3.93	3.80	3.91	1767707	34944704.000
08/20/2012	3.86	4.00	3.82	3.98	2550966	51406272.000
08/21/2012	3.96	4.13	3.95	4.11	3655256	75393904.000
08/22/2012	4.09	4.22	4.05	4.08	2805384	59170840.000
08/23/2012	4.07	4.12	3.92	3.93	3252800	66435316.000
08/24/2012	3.92	3.97	3.84	3.86	2401799	47627180.000
08/27/2012	3.80	3.88	3.78	3.84	1398757	27370066.000
08/28/2012	3.82	3.87	3.72	3.82	2322379	44985304.000
08/29/2012	3.82	3.92	3.81	3.82	1094278	21539882.000
08/30/2012	3.82	3.88	3.43	3.43	5164531	93725800.000
08/31/2012	3.36	3.52	3.34	3.52	2201364	39083372.000
09/03/2012	3.45	3.60	3.45	3.54	1585901	28743676.000
