002402 和而泰 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.96	4.96	4.75	4.89	1932415	30244774.000
01/05/2012	4.87	4.99	4.75	4.83	1762936	27519108.000
01/06/2012	4.86	4.89	4.73	4.88	1582161	24522362.000
01/09/2012	4.96	5.05	4.72	4.93	5609196	87576560.000
01/10/2012	4.87	5.24	4.73	5.19	8101528	127397752.000
01/11/2012	5.09	5.18	4.99	5.04	4455712	72784896.000
01/12/2012	5.00	5.09	4.80	4.80	2940591	46947176.000
01/13/2012	4.64	4.76	4.29	4.29	3577140	50993436.000
01/16/2012	3.97	4.13	3.82	3.82	2173527	28134308.000
01/17/2012	3.67	4.02	3.67	3.97	2049107	26038888.000
01/18/2012	3.95	4.10	3.67	3.70	1869730	23887158.000
01/19/2012	3.69	3.82	3.69	3.75	967666	11952493.000
01/20/2012	3.77	3.79	3.70	3.76	812625	10076848.000
01/30/2012	3.78	3.84	3.74	3.80	846766	10588723.000
01/31/2012	3.78	3.85	3.75	3.85	756093	9468223.000
02/01/2012	3.81	3.90	3.81	3.82	888736	11221115.000
02/02/2012	3.82	3.88	3.78	3.86	932874	11730283.000
02/03/2012	3.86	3.98	3.84	3.94	1249327	16024613.000
02/06/2012	3.97	4.03	3.91	3.99	1503630	19554168.000
02/07/2012	4.00	4.01	3.91	3.91	1115596	14417817.000
02/08/2012	3.91	4.02	3.91	4.02	1362436	17772744.000
02/09/2012	4.02	4.12	3.99	3.99	1887713	25034490.000
02/10/2012	4.00	4.10	3.99	4.07	1752408	23164228.000
02/13/2012	4.02	4.13	4.00	4.09	1735723	23140860.000
02/14/2012	4.09	4.11	4.05	4.07	1041159	13888051.000
02/15/2012	4.08	4.17	4.05	4.14	1541574	20741980.000
02/16/2012	4.16	4.23	4.09	4.10	1427066	19352948.000
02/17/2012	4.10	4.16	4.06	4.09	1084722	14560398.000
02/20/2012	4.12	4.20	4.12	4.13	1504427	20375498.000
02/21/2012	4.13	4.15	4.02	4.12	1541000	20556764.000
02/22/2012	4.12	4.28	4.10	4.26	2509640	34389488.000
02/23/2012	4.23	4.33	4.20	4.24	1972135	27340996.000
02/24/2012	4.24	4.32	4.23	4.30	1793907	25030892.000
02/27/2012	4.34	4.36	4.27	4.27	2146886	30130778.000
02/28/2012	4.24	4.27	4.13	4.20	1539525	21045740.000
02/29/2012	4.20	4.20	4.10	4.11	1153820	15595280.000
03/01/2012	4.10	4.17	4.08	4.14	976672	13199268.000
