002409 雅克科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.83	6.87	6.68	6.69	118271	2519023.250
01/05/2012	6.48	6.60	6.28	6.31	119747	2445033.750
01/06/2012	6.25	6.33	6.15	6.31	163502	3212756.000
01/09/2012	6.31	6.59	6.25	6.51	185484	3790706.500
01/10/2012	6.51	6.85	6.49	6.75	254341	5395624.500
01/11/2012	6.78	7.00	6.73	6.88	254142	5510372.000
01/12/2012	6.87	6.98	6.82	6.87	109692	2374498.250
01/13/2012	6.82	6.86	6.50	6.53	289900	6051693.500
01/16/2012	6.35	6.42	6.26	6.28	106000	2123216.000
01/17/2012	6.28	6.58	6.28	6.50	118804	2420616.000
01/18/2012	6.60	6.61	6.33	6.33	112000	2302489.250
01/19/2012	6.25	6.60	6.20	6.41	168669	3378328.500
01/20/2012	6.42	6.57	6.35	6.55	95746	1964715.000
01/30/2012	6.58	6.65	6.44	6.53	106862	2227664.000
01/31/2012	6.52	6.58	6.52	6.57	46397	959546.063
02/01/2012	6.50	6.63	6.50	6.55	77851	1613610.125
02/02/2012	6.54	6.70	6.52	6.67	98050	2041801.750
02/03/2012	6.65	6.77	6.62	6.74	146946	3116301.250
02/06/2012	6.75	6.86	6.70	6.75	159479	3414066.750
02/07/2012	6.67	6.75	6.60	6.66	127432	2687408.250
02/08/2012	6.65	6.86	6.65	6.86	196656	4210367.500
02/09/2012	6.87	7.18	6.87	7.06	356103	7963186.500
02/10/2012	7.03	7.08	6.93	7.07	191443	4228199.500
02/13/2012	7.08	7.15	6.95	7.13	131516	2928076.500
02/14/2012	7.13	7.15	6.99	7.05	163301	3633750.250
02/15/2012	7.05	7.16	7.05	7.15	161609	3621978.000
02/16/2012	7.13	7.21	7.05	7.13	103879	2324882.500
02/17/2012	7.15	7.25	7.05	7.18	285818	6405707.000
02/20/2012	7.27	7.30	7.15	7.20	275539	6244129.000
02/21/2012	7.21	7.38	7.09	7.31	213620	4877064.500
02/22/2012	7.35	7.82	7.25	7.76	486365	11473544.000
02/23/2012	7.65	7.82	7.48	7.62	397714	9530104.000
02/24/2012	7.62	7.65	7.54	7.61	179702	4273609.000
02/27/2012	7.62	7.72	7.58	7.65	304810	7317105.500
02/28/2012	7.58	7.59	7.44	7.53	185372	4378366.000
02/29/2012	7.53	7.53	7.26	7.31	186501	4359114.500
03/01/2012	7.32	7.47	7.18	7.45	168485	3874100.750
03/02/2012	7.43	7.77	7.41	7.57	154958	3675420.500
03/05/2012	7.64	7.64	7.46	7.46	142658	3380912.250
03/06/2012	7.56	7.57	7.25	7.28	167948	3870410.500
03/07/2012	7.28	7.45	7.18	7.45	186853	4323739.000
03/08/2012	7.45	7.64	7.38	7.64	341350	8120938.000
03/09/2012	7.97	7.98	7.61	7.74	576948	14108585.000
03/12/2012	7.81	7.95	7.52	7.91	476365	11590551.000
03/13/2012	8.28	8.28	7.75	8.25	771239	19524050.000
03/14/2012	8.32	8.32	7.61	7.76	774870	19513276.000
03/15/2012	7.65	7.93	7.32	7.88	507167	12113091.000
03/16/2012	8.14	8.14	7.81	8.01	493585	12325744.000
03/19/2012	8.01	8.21	7.78	8.21	418638	10557312.000
03/20/2012	8.47	8.47	8.00	8.01	434519	11179730.000
03/21/2012	7.94	8.21	7.75	8.08	500991	12475353.000
03/22/2012	8.31	8.31	7.92	7.99	410701	10416533.000
03/23/2012	7.98	7.98	7.66	7.75	323384	7856573.500
03/26/2012	7.75	7.98	7.58	7.93	323115	7844718.000
03/27/2012	8.10	8.10	7.78	7.88	428472	10681481.000
03/28/2012	7.69	7.82	7.42	7.62	405289	9602208.000
03/29/2012	7.68	7.68	7.25	7.27	309546	7279292.500
03/30/2012	7.21	7.30	6.69	6.88	349375	7645586.000
04/05/2012	6.89	7.08	6.85	7.03	178320	3921116.000
04/06/2012	7.03	7.34	7.03	7.24	290729	6631425.500
04/09/2012	7.18	7.25	7.10	7.11	176173	3968753.000
04/10/2012	7.07	7.21	6.88	7.00	320634	7066622.500
04/11/2012	6.94	7.04	6.85	6.96	213196	4661533.500
04/12/2012	7.00	7.28	6.93	7.16	263720	5925492.000
04/13/2012	7.17	7.30	6.98	7.28	293420	6640964.500
04/16/2012	7.26	7.26	7.15	7.22	127982	2895335.750
04/17/2012	7.18	7.21	7.08	7.15	127917	2875811.000
04/18/2012	7.20	7.47	7.14	7.43	370620	8596816.000
04/19/2012	7.43	7.43	7.26	7.32	302900	6971994.000
04/20/2012	7.28	7.39	7.28	7.38	172997	3997109.250
04/23/2012	7.38	7.41	7.22	7.22	145660	3342633.250
04/25/2012	7.15	7.98	7.15	7.98	756463	18628116.000
04/26/2012	8.22	8.32	7.88	8.00	1161977	29312440.000
04/27/2012	7.83	8.00	7.75	8.00	440838	10867775.000
05/02/2012	8.08	8.25	7.85	7.97	419187	10450788.000
05/03/2012	7.97	7.97	7.82	7.92	298758	7376946.000
05/04/2012	7.95	8.10	7.92	8.02	335793	8436972.000
05/07/2012	8.14	8.14	7.92	8.01	372587	9327762.000
05/08/2012	7.96	8.03	7.87	7.87	464100	7619149.000
05/09/2012	7.82	7.85	7.65	7.67	375094	5988811.500
05/10/2012	7.67	7.79	7.63	7.73	246287	3933025.500
05/11/2012	7.73	7.76	7.60	7.62	237627	3772718.750
05/14/2012	7.65	7.72	7.56	7.58	228014	3606589.250
05/15/2012	7.43	7.55	7.40	7.52	230895	3571459.250
05/16/2012	7.51	7.58	7.42	7.46	155661	2419225.000
05/17/2012	7.47	7.52	7.41	7.51	291329	4524323.000
05/18/2012	7.47	7.51	7.29	7.29	232423	3567336.750
05/21/2012	7.40	7.49	7.19	7.46	318324	4858314.000
05/22/2012	7.44	7.91	7.37	7.72	491421	7797188.000
05/23/2012	7.72	8.47	7.72	8.17	1467309	24742420.000
05/24/2012	8.17	8.51	8.12	8.22	1118979	19287524.000
05/25/2012	8.22	8.22	7.89	8.01	380850	6325063.500
05/28/2012	8.01	8.24	7.87	8.19	490346	8210139.500
05/29/2012	8.15	8.24	7.92	8.22	638779	10767751.000
05/30/2012	8.23	8.24	8.04	8.09	478056	8013505.000
05/31/2012	8.10	8.19	8.02	8.13	367621	6158523.000
06/01/2012	8.18	8.20	7.94	8.01	376357	6268592.000
06/04/2012	7.74	7.91	7.62	7.66	289281	4652023.500
06/05/2012	7.62	7.71	7.59	7.62	176364	2790121.000
06/06/2012	7.68	7.77	7.58	7.60	311590	4937119.000
06/07/2012	7.65	7.75	7.51	7.62	222431	3504322.250
06/08/2012	7.71	7.71	7.56	7.58	120134	1897951.750
06/11/2012	7.47	7.73	7.47	7.67	135460	2147713.500
06/12/2012	7.67	7.67	7.49	7.53	158985	2491661.250
06/13/2012	7.53	7.71	7.53	7.69	203472	3226901.000
06/14/2012	7.71	8.16	7.69	8.14	1006797	16722633.000
06/15/2012	8.17	8.26	7.97	8.14	721109	12036304.000
06/18/2012	8.14	8.19	8.03	8.12	410471	6893447.000
06/19/2012	8.17	8.17	7.96	7.96	305360	5076810.500
06/20/2012	8.01	8.78	7.99	8.40	2327157	40814360.000
06/21/2012	8.33	8.36	8.07	8.28	1058947	17973736.000
06/25/2012	8.20	8.31	7.47	7.76	618178	10193785.000
06/26/2012	7.76	7.96	7.64	7.81	366895	5934596.000
06/27/2012	7.73	7.88	7.72	7.75	399299	6437789.500
06/28/2012	7.76	7.85	7.55	7.62	305237	4839655.500
06/29/2012	7.66	7.89	7.59	7.88	307613	4938379.500
07/02/2012	7.88	8.11	7.84	8.11	623497	10278035.000
07/03/2012	8.11	8.19	8.06	8.18	683748	11510897.000
07/04/2012	8.18	8.31	8.07	8.18	522998	8865762.000
07/05/2012	8.17	8.17	7.93	7.96	282460	4687289.000
07/06/2012	7.97	8.18	7.76	8.17	454352	7514079.500
07/09/2012	8.15	8.30	7.85	7.86	658202	11077966.000
07/10/2012	7.80	7.93	7.75	7.80	435790	7072193.500
07/11/2012	7.77	7.91	7.72	7.91	336495	5457615.500
07/12/2012	7.85	8.17	7.81	8.14	640977	10654874.000
07/13/2012	8.15	8.19	8.07	8.09	522910	8783225.000
07/16/2012	8.13	8.13	7.82	7.84	539709	8825945.000
07/17/2012	7.73	8.05	7.73	7.99	216503	3560925.250
07/18/2012	8.04	8.29	7.87	8.26	864013	14627387.000
07/19/2012	8.25	8.34	8.17	8.19	816247	13965795.000
07/20/2012	8.18	8.66	8.14	8.57	1679930	29258722.000
07/23/2012	8.61	8.87	8.38	8.57	1942122	34635464.000
07/24/2012	8.45	8.56	8.22	8.41	1126093	19452510.000
07/25/2012	8.34	8.57	8.24	8.41	856881	14905354.000
07/26/2012	8.41	8.46	7.99	8.04	997933	17025506.000
07/27/2012	8.03	8.09	7.81	7.85	779354	12742877.000
07/30/2012	7.85	7.91	7.12	7.37	745516	11716557.000
