002414 高德红外 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	9.96	10.00	9.51	9.52	3602990	72759824.000
01/05/2012	9.41	9.42	8.53	8.53	4679529	86670512.000
01/06/2012	8.31	8.42	7.91	8.33	3248042	55499536.000
01/09/2012	8.26	8.81	8.09	8.75	2463593	43665768.000
01/10/2012	8.65	9.38	8.65	9.11	3976563	74530600.000
01/11/2012	9.11	9.47	9.06	9.33	3281847	63225824.000
01/12/2012	9.28	9.50	9.13	9.16	2704494	52119856.000
01/13/2012	9.12	9.25	8.51	8.60	2691127	49246460.000
01/16/2012	8.31	8.70	8.26	8.42	1265510	22425358.000
01/17/2012	8.45	8.88	8.10	8.87	2159403	38445820.000
01/18/2012	8.87	8.96	8.37	8.41	2167495	39108316.000
01/19/2012	8.36	8.36	7.97	8.26	2228521	37964024.000
01/20/2012	8.25	8.40	8.21	8.35	1150765	19940044.000
01/30/2012	8.35	8.62	8.26	8.53	1307689	23092238.000
01/31/2012	8.51	8.58	8.40	8.55	958201	16891126.000
02/01/2012	8.51	8.63	8.41	8.42	1136450	20139766.000
02/02/2012	8.44	8.60	8.32	8.59	1229506	21741030.000
02/03/2012	8.56	8.85	8.54	8.84	2312182	41994508.000
02/06/2012	8.90	8.98	8.77	8.87	1856126	34246332.000
02/07/2012	8.83	8.86	8.51	8.53	2083251	37269240.000
02/08/2012	8.53	8.80	8.47	8.79	2089435	37506744.000
02/09/2012	8.81	9.41	8.78	9.14	4439138	84016928.000
02/10/2012	9.06	9.20	9.01	9.10	2255215	42554224.000
02/13/2012	9.09	9.58	9.03	9.44	3419994	66643380.000
02/14/2012	9.41	9.50	9.22	9.38	1921668	37164160.000
02/15/2012	9.40	9.61	9.31	9.55	2882247	56864904.000
02/16/2012	9.46	9.59	9.13	9.28	2756492	53414436.000
02/17/2012	9.29	9.57	9.22	9.47	2205599	42932268.000
02/20/2012	9.52	9.85	9.52	9.54	3690239	73688880.000
02/21/2012	9.46	9.63	9.26	9.61	2629435	51568820.000
02/22/2012	9.62	10.10	9.56	9.98	4452318	91131760.000
02/23/2012	9.94	10.15	9.82	10.08	3786223	78199728.000
02/24/2012	10.08	10.13	9.92	10.00	3170280	65675348.000
02/27/2012	9.91	10.11	9.76	9.76	5610335	114749096.000
02/28/2012	9.75	9.86	9.59	9.78	3703093	74553968.000
02/29/2012	9.76	9.78	9.54	9.76	2504045	50062664.000
03/01/2012	9.74	10.38	9.71	10.32	6106529	128620616.000
03/02/2012	10.26	10.45	10.18	10.45	3712847	79228584.000
03/05/2012	10.49	10.87	10.31	10.35	5102983	111550056.000
03/06/2012	10.35	10.58	10.23	10.45	3202696	69028656.000
03/07/2012	10.32	10.56	10.06	10.06	3130246	66828124.000
03/08/2012	10.10	10.31	10.10	10.25	2190539	46206724.000
03/09/2012	10.33	10.44	10.21	10.41	1711746	36500752.000
03/12/2012	10.35	10.88	10.35	10.70	3043116	66935836.000
03/13/2012	10.62	10.88	10.51	10.83	2714279	59977360.000
03/14/2012	11.06	11.23	10.06	10.16	4989159	109719352.000
03/15/2012	10.21	10.32	9.78	10.15	2465606	51338516.000
03/16/2012	10.16	10.34	10.02	10.29	2066210	43557476.000
03/19/2012	10.26	10.37	9.98	10.25	2101268	44248936.000
03/20/2012	10.14	10.25	9.91	9.95	2006901	41664928.000
03/21/2012	10.06	10.06	9.53	9.75	2577956	51922960.000
03/22/2012	9.72	9.85	9.56	9.76	1567411	31525462.000
03/23/2012	9.66	9.75	9.54	9.61	1155582	22991126.000
03/26/2012	9.60	9.76	9.56	9.66	1088282	21771808.000
03/27/2012	9.76	9.80	9.56	9.58	1328759	26603696.000
03/28/2012	9.48	9.48	9.04	9.04	1998719	38246684.000
03/29/2012	8.98	9.03	8.68	8.77	1365879	25028316.000
03/30/2012	8.78	8.89	8.56	8.72	1176604	21255444.000
04/05/2012	8.73	9.04	8.71	9.01	1130066	20879958.000
04/06/2012	9.01	9.08	8.87	9.01	1010967	18867452.000
04/10/2012	8.83	9.06	8.58	9.06	1113288	20235836.000
04/11/2012	8.92	9.23	8.85	9.20	1237417	23350428.000
04/12/2012	9.23	9.28	9.03	9.27	1205796	22991224.000
04/13/2012	9.26	9.45	9.21	9.33	1159988	22456136.000
04/16/2012	9.33	9.33	9.11	9.15	915914	17487972.000
04/17/2012	9.16	9.53	9.08	9.40	1659479	32125268.000
04/18/2012	9.36	9.56	9.31	9.56	1774333	34801844.000
04/19/2012	9.48	9.58	9.38	9.51	1483179	29185738.000
04/20/2012	9.53	9.55	9.41	9.51	946765	18609640.000
04/23/2012	9.55	9.75	9.30	9.61	2283126	45131800.000
04/24/2012	9.46	9.64	8.91	9.24	2340693	44771436.000
04/25/2012	9.24	9.30	8.96	9.18	1226589	23164484.000
04/26/2012	9.18	9.26	9.11	9.13	981876	18721134.000
04/27/2012	9.11	9.20	9.01	9.10	572059	10793685.000
05/02/2012	9.19	9.32	9.08	9.30	913985	17485198.000
05/03/2012	9.31	9.44	9.27	9.34	766026	14868241.000
05/04/2012	9.36	9.45	9.26	9.40	847118	16456512.000
05/07/2012	9.38	9.58	9.32	9.52	1138902	22420448.000
05/08/2012	9.45	9.61	9.41	9.53	853982	16858470.000
05/09/2012	9.46	10.01	9.46	9.78	3620969	73682784.000
05/10/2012	9.78	9.81	9.61	9.70	1192619	23915398.000
05/11/2012	9.62	9.72	9.41	9.41	1835832	36251324.000
05/14/2012	9.52	9.52	9.10	9.11	1595999	30601504.000
