002438 江苏神通 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	11.30	11.35	10.61	10.61	695188	15713270.000
01/05/2012	10.41	10.57	9.71	9.74	1004810	20915642.000
01/06/2012	9.73	10.15	9.45	10.03	1029799	20711720.000
01/09/2012	10.03	10.54	9.83	10.50	855823	17940738.000
01/10/2012	10.43	11.00	10.40	11.00	1268978	27932296.000
01/11/2012	11.00	12.13	10.89	11.40	2167664	50913992.000
01/12/2012	11.23	11.50	11.13	11.21	991364	22768130.000
01/13/2012	11.15	11.36	10.49	10.61	941734	20889612.000
01/16/2012	10.54	10.82	10.38	10.39	465250	10100651.000
01/17/2012	10.40	11.07	10.36	11.04	1013039	22362550.000
01/18/2012	11.32	11.85	11.00	11.13	1540281	35997148.000
01/19/2012	11.10	11.24	10.85	11.02	771783	17460488.000
01/20/2012	11.24	11.35	11.10	11.20	922392	21133776.000
01/30/2012	11.34	11.75	11.20	11.24	1126387	26378436.000
01/31/2012	11.25	11.28	10.95	11.24	575812	13100375.000
02/01/2012	11.06	11.46	11.00	11.09	748808	17202206.000
02/02/2012	11.13	11.40	11.11	11.39	949557	21855614.000
02/03/2012	11.39	11.48	11.17	11.46	1057779	24594804.000
02/06/2012	11.77	11.99	11.53	11.63	1840709	44249628.000
02/07/2012	11.53	12.13	11.49	11.80	2024827	48753720.000
02/08/2012	11.25	12.25	11.25	12.25	2928552	71372216.000
02/09/2012	12.17	12.18	11.86	12.07	2387762	58576352.000
02/10/2012	12.12	12.23	11.88	12.05	1575364	38680792.000
02/13/2012	11.95	12.30	11.80	12.30	1737228	42801944.000
02/14/2012	12.20	12.39	12.05	12.07	1444462	35963184.000
02/15/2012	13.00	13.30	12.61	13.30	4761557	125843576.000
02/16/2012	13.30	13.30	12.81	13.05	3070362	81572400.000
02/17/2012	13.03	13.17	12.86	13.06	1658546	44011920.000
02/20/2012	13.15	13.23	12.95	13.00	1651542	43957648.000
02/21/2012	13.00	14.15	12.71	13.53	3616769	98609672.000
02/22/2012	13.40	13.71	13.28	13.63	2790219	76764312.000
02/23/2012	13.48	13.68	13.36	13.39	1552197	42678140.000
02/24/2012	13.49	13.65	13.40	13.50	1415710	39026500.000
02/27/2012	13.47	13.85	13.33	13.35	2088552	57746772.000
02/28/2012	13.34	13.48	13.06	13.21	1683305	45481160.000
02/29/2012	13.22	13.38	13.03	13.09	1192141	32053892.000
03/01/2012	13.10	13.38	13.02	13.24	984582	26558242.000
