002443 金洲管道 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.27	3.29	3.18	3.18	532700	4767528.000
01/05/2012	3.12	3.20	2.99	2.99	407177	3488043.750
01/06/2012	2.99	3.02	2.89	3.00	632616	5229729.500
01/09/2012	3.02	3.16	2.98	3.14	772851	6630988.500
01/10/2012	3.12	3.36	3.12	3.33	1303584	11756623.000
01/11/2012	3.32	3.43	3.27	3.39	1398509	12926447.000
01/12/2012	3.35	3.55	3.35	3.37	943744	8854875.000
01/13/2012	3.32	3.36	3.15	3.16	810381	7227336.500
01/16/2012	3.14	3.16	3.07	3.07	318891	2759307.000
01/17/2012	3.09	3.32	3.07	3.31	786392	7015776.500
01/18/2012	3.32	3.38	3.22	3.24	982370	8994024.000
01/19/2012	3.23	3.34	3.23	3.32	547200	4990405.500
01/20/2012	3.37	3.38	3.31	3.35	615839	5671641.000
01/30/2012	3.38	3.41	3.34	3.34	481010	4460240.500
01/31/2012	3.33	3.38	3.30	3.35	292255	2677114.750
02/01/2012	3.34	3.38	3.30	3.33	398634	3659630.250
02/02/2012	3.33	3.38	3.32	3.38	524398	4827105.500
02/03/2012	3.38	3.47	3.36	3.45	960564	8991645.000
02/06/2012	3.47	3.48	3.41	3.44	686416	6479941.000
02/07/2012	3.43	3.46	3.35	3.38	678807	6322252.500
02/08/2012	3.35	3.47	3.33	3.47	860135	8032790.000
02/09/2012	3.47	3.56	3.45	3.49	1308570	12618725.000
02/10/2012	3.49	3.59	3.47	3.52	1036154	10023982.000
02/13/2012	3.50	3.58	3.43	3.54	808500	7802718.500
02/14/2012	3.54	3.63	3.54	3.60	830466	8120112.500
02/15/2012	3.58	3.69	3.55	3.68	1223820	12143324.000
02/16/2012	3.67	3.71	3.60	3.67	1026520	10222982.000
02/17/2012	3.66	3.76	3.64	3.75	1519118	15323477.000
02/20/2012	3.79	3.82	3.70	3.70	1489972	15194995.000
02/21/2012	3.70	3.70	3.58	3.68	1346607	13365469.000
02/22/2012	3.69	3.75	3.65	3.73	1641636	16567338.000
02/23/2012	3.71	4.00	3.70	3.96	3967773	41194132.000
02/24/2012	3.92	3.94	3.83	3.89	2861003	30074956.000
02/27/2012	3.90	3.93	3.85	3.86	2280349	24025610.000
02/28/2012	3.84	3.86	3.76	3.83	1518829	15697156.000
02/29/2012	3.81	3.83	3.76	3.77	937105	9641880.000
03/01/2012	3.75	3.81	3.71	3.79	743577	7620844.000
03/02/2012	3.81	3.85	3.78	3.84	1215476	12621108.000
03/05/2012	3.85	3.86	3.80	3.83	1079523	11233118.000
03/06/2012	3.83	3.85	3.72	3.73	1055459	10773149.000
03/07/2012	3.69	3.76	3.66	3.69	1325148	13375961.000
03/08/2012	3.71	3.77	3.70	3.72	867282	8806009.000
03/09/2012	3.74	3.88	3.73	3.88	1812607	18802742.000
03/12/2012	3.87	3.97	3.84	3.92	2183926	23150228.000
03/13/2012	3.92	3.96	3.88	3.94	1378439	14634225.000
03/14/2012	3.94	3.99	3.67	3.70	2189423	23010764.000
03/15/2012	3.70	3.74	3.53	3.61	1265279	12517936.000
03/16/2012	3.60	3.72	3.60	3.71	992776	9945186.000
03/19/2012	3.70	3.81	3.70	3.81	1059659	10841616.000
03/20/2012	3.83	3.99	3.80	3.87	3906074	41297972.000
03/21/2012	3.90	4.05	3.83	4.05	3263605	34820068.000
03/22/2012	4.05	4.28	4.05	4.07	5453299	61177728.000
03/23/2012	4.00	4.19	3.95	4.03	3158171	34653648.000
03/26/2012	4.04	4.18	3.96	4.18	2741248	30542128.000
03/27/2012	4.20	4.26	4.00	4.07	2154073	23875780.000
03/28/2012	4.02	4.07	3.72	3.75	2096773	21833794.000
03/29/2012	3.67	3.87	3.57	3.81	1564912	15734163.000
03/30/2012	3.72	3.77	3.39	3.69	5271275	50908412.000
04/05/2012	3.61	3.70	3.51	3.67	2338625	23092954.000
04/06/2012	3.68	3.81	3.63	3.81	2574958	26298620.000
04/09/2012	3.77	3.85	3.70	3.71	1331514	13647303.000
04/10/2012	3.67	3.68	3.47	3.64	1920393	18781614.000
04/11/2012	3.60	3.65	3.54	3.60	1129675	11058748.000
04/12/2012	3.58	3.71	3.58	3.71	1426759	14206202.000
04/13/2012	3.73	3.83	3.69	3.77	1831530	18705984.000
04/16/2012	3.76	3.79	3.68	3.75	1211562	12293035.000
04/17/2012	3.79	3.79	3.64	3.64	983469	9897272.000
04/18/2012	3.65	3.77	3.64	3.76	1113453	11282108.000
04/19/2012	3.76	3.83	3.75	3.83	1819544	18774908.000
