002448 中原内配 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.23	4.23	4.02	4.02	290223	6532974.500
01/05/2012	4.02	4.10	3.86	3.86	361319	7903034.500
01/06/2012	3.86	3.92	3.65	3.87	462645	9603531.000
01/09/2012	3.87	4.21	3.82	4.16	777514	17356620.000
01/10/2012	4.23	4.32	4.13	4.31	990068	22997072.000
01/11/2012	4.32	4.32	4.23	4.30	756800	17627316.000
01/12/2012	4.38	4.38	4.24	4.28	395210	9211679.000
01/13/2012	4.36	4.36	4.08	4.10	817923	18723394.000
01/16/2012	4.06	4.08	3.88	3.88	436048	9495425.000
01/17/2012	3.94	4.19	3.90	4.19	939120	20666998.000
01/18/2012	4.19	4.33	4.14	4.15	543291	12541708.000
01/19/2012	4.15	4.22	4.06	4.21	421382	9594476.000
01/20/2012	4.24	4.39	4.22	4.36	605399	14288865.000
01/30/2012	4.37	4.54	4.32	4.40	783199	18883174.000
01/31/2012	4.40	4.43	4.33	4.38	317568	7558057.500
02/01/2012	4.35	4.52	4.34	4.36	381822	9165348.000
02/02/2012	4.37	4.48	4.37	4.47	298641	7198865.500
02/03/2012	4.60	4.60	4.48	4.51	479368	11732559.000
02/06/2012	4.56	4.56	4.42	4.47	455284	11036533.000
02/07/2012	4.45	4.48	4.30	4.34	420201	9971111.000
02/08/2012	4.31	4.45	4.26	4.44	675501	16012287.000
02/09/2012	4.45	4.50	4.42	4.47	571265	13858659.000
02/10/2012	4.45	4.50	4.42	4.44	630231	15218083.000
02/13/2012	4.43	4.50	4.38	4.48	805406	19530616.000
02/14/2012	4.48	4.50	4.40	4.44	642413	15477086.000
02/15/2012	4.44	4.58	4.41	4.58	908897	22308138.000
02/16/2012	4.58	4.62	4.50	4.57	831269	20520582.000
02/17/2012	4.56	4.62	4.54	4.58	764533	18941142.000
02/20/2012	4.62	4.73	4.58	4.62	1075817	27090690.000
02/21/2012	4.62	4.69	4.56	4.69	710985	17770224.000
02/22/2012	4.64	4.79	4.63	4.77	1326817	33806944.000
02/23/2012	4.78	4.86	4.75	4.82	1120157	28955894.000
02/24/2012	4.81	4.83	4.75	4.83	870701	22511934.000
02/27/2012	4.86	4.92	4.81	4.86	1366207	35766428.000
02/28/2012	4.80	4.85	4.66	4.70	1522271	38887396.000
02/29/2012	4.67	4.72	4.61	4.62	720115	18126712.000
03/01/2012	4.62	4.66	4.60	4.62	595292	14906574.000
03/02/2012	4.62	4.72	4.62	4.71	768002	19447650.000
03/05/2012	4.71	4.79	4.68	4.74	769025	19707240.000
03/06/2012	4.68	4.72	4.58	4.62	731444	18316328.000
03/07/2012	4.59	4.70	4.53	4.60	623999	15597619.000
03/08/2012	4.60	4.71	4.60	4.66	728432	18399830.000
03/12/2012	4.74	4.91	4.74	4.88	1906590	49779668.000
03/13/2012	4.85	4.90	4.80	4.88	2147270	56319328.000
03/14/2012	4.90	4.99	4.66	4.72	2556869	67228792.000
03/15/2012	4.66	4.81	4.60	4.76	1732362	44062772.000
03/16/2012	4.75	4.93	4.75	4.93	1769432	46343356.000
03/19/2012	4.96	5.24	4.93	5.19	3282963	90380520.000
03/20/2012	5.16	5.16	5.01	5.01	1417542	38574148.000
03/21/2012	5.03	5.06	4.86	5.01	1439932	38448932.000
03/22/2012	5.00	5.03	4.92	4.99	906991	24295862.000
03/23/2012	4.95	4.99	4.78	4.78	957623	25103288.000
03/26/2012	4.85	4.85	4.69	4.72	448048	11511099.000
