002449 国星光电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.50	7.54	7.07	7.07	1150349	18384366.000
01/05/2012	7.00	7.05	6.55	6.58	1599818	23734572.000
01/06/2012	6.58	6.77	6.43	6.70	1000124	14468408.000
01/09/2012	6.72	7.04	6.62	7.00	1618272	24538448.000
01/10/2012	7.05	7.34	6.92	7.29	2499254	39072468.000
01/11/2012	7.29	7.59	7.29	7.35	2161605	34831720.000
01/12/2012	7.27	7.48	7.22	7.29	1825586	29173316.000
01/13/2012	7.26	7.35	6.85	6.89	1783939	27362430.000
01/16/2012	6.85	6.85	6.44	6.46	1300591	19052484.000
01/17/2012	6.46	6.95	6.46	6.95	1259561	18641534.000
01/18/2012	6.97	7.10	6.68	6.71	1300698	19602578.000
01/19/2012	6.71	7.19	6.61	7.10	1652660	25041522.000
01/20/2012	7.09	7.13	6.99	7.09	1184145	18292908.000
01/30/2012	7.15	7.19	7.00	7.01	929805	14424652.000
01/31/2012	7.01	7.10	6.82	6.92	949532	14330851.000
02/01/2012	6.92	7.02	6.84	6.87	774883	11730248.000
02/02/2012	6.94	7.04	6.86	7.03	832830	12675747.000
02/03/2012	7.03	7.41	7.00	7.33	2382088	37566684.000
02/06/2012	7.32	7.44	7.21	7.33	1954292	31134142.000
02/07/2012	7.25	7.29	7.08	7.16	1514062	23670752.000
02/08/2012	7.11	7.42	7.07	7.42	2077403	33072544.000
02/09/2012	7.47	7.75	7.40	7.51	2777668	45746808.000
02/10/2012	7.50	7.66	7.41	7.59	2118942	34668940.000
02/13/2012	7.51	7.80	7.45	7.71	2781690	46285964.000
02/14/2012	7.66	7.77	7.53	7.60	1900272	31531890.000
02/15/2012	7.55	7.78	7.55	7.78	2178500	36399000.000
02/16/2012	7.74	7.97	7.66	7.75	2358976	39889844.000
02/17/2012	7.79	7.82	7.58	7.75	1678060	28083552.000
02/20/2012	7.90	7.99	7.72	7.72	2499432	42560820.000
02/21/2012	7.78	7.97	7.60	7.95	2737571	46255160.000
02/22/2012	7.95	8.30	7.86	8.22	4280523	75212840.000
02/23/2012	8.20	8.31	8.08	8.28	3666769	64772128.000
02/24/2012	8.27	8.30	8.18	8.25	2242933	39874320.000
02/27/2012	8.25	8.52	8.24	8.32	3687993	66708932.000
02/28/2012	8.29	8.31	8.05	8.27	3405147	60250668.000
02/29/2012	8.27	8.34	8.10	8.19	1632488	28845742.000
03/01/2012	8.19	8.38	8.14	8.28	2326327	41531868.000
03/02/2012	8.25	8.44	8.25	8.43	2439834	43961152.000
03/05/2012	8.45	8.52	8.40	8.41	2453324	44708544.000
03/06/2012	8.35	8.35	8.11	8.31	1837387	32642992.000
03/07/2012	8.17	8.52	8.15	8.45	3151526	57149416.000
03/08/2012	8.44	8.69	8.35	8.38	3624015	66534496.000
03/09/2012	8.38	8.54	8.38	8.46	2264946	41226352.000
03/12/2012	8.46	8.68	8.43	8.53	3438751	63313624.000
03/13/2012	8.53	8.85	8.47	8.81	3643658	68050896.000
03/14/2012	8.81	8.88	8.22	8.25	4047769	74624520.000
03/15/2012	8.20	8.32	7.91	7.96	2620889	45655808.000
03/16/2012	7.96	8.20	7.96	8.17	1668525	29176512.000
03/19/2012	8.20	8.35	8.09	8.32	1452956	25814756.000
03/20/2012	8.30	8.30	8.00	8.02	1635655	28740898.000
03/21/2012	8.07	8.16	7.92	8.12	1179389	20535036.000
03/22/2012	8.12	8.12	7.93	8.00	1114374	19345508.000
03/23/2012	7.92	8.06	7.76	7.82	1185958	20319394.000
03/26/2012	7.82	7.93	7.75	7.81	635704	10783855.000
03/27/2012	7.83	8.21	7.82	8.10	2625066	45873916.000
03/28/2012	8.14	8.35	7.78	7.86	4432226	77828344.000
03/29/2012	7.69	7.69	7.07	7.24	2614254	41640100.000
03/30/2012	7.20	7.32	7.15	7.28	1157968	18282814.000
04/05/2012	7.34	7.55	7.23	7.50	1223718	19742886.000
04/06/2012	7.49	7.57	7.42	7.55	1276325	20809608.000
04/09/2012	7.60	7.60	7.38	7.40	733637	11916151.000
04/10/2012	7.33	7.54	7.13	7.53	1077443	17170904.000
04/11/2012	7.36	7.57	7.35	7.54	810687	13172796.000
04/12/2012	7.53	7.75	7.52	7.74	1219583	20281972.000
04/13/2012	7.75	7.87	7.70	7.79	1224412	20655132.000
04/16/2012	7.74	7.87	7.69	7.79	824863	13923463.000
04/17/2012	7.84	8.02	7.65	7.68	1075300	18246356.000
04/19/2012	7.92	7.97	7.79	7.89	1753882	29883314.000
04/20/2012	7.91	7.98	7.80	7.94	1085515	18588234.000
04/23/2012	7.94	8.08	7.69	7.72	1471316	25134936.000
04/24/2012	7.73	7.75	7.35	7.45	1849975	30114522.000
04/25/2012	7.49	7.53	7.40	7.50	784729	12746816.000
04/26/2012	7.53	7.66	7.42	7.58	1155799	18941714.000
04/27/2012	7.61	7.78	7.53	7.67	875681	14556898.000
05/02/2012	7.81	7.90	7.69	7.77	1033371	17449140.000
05/03/2012	7.70	7.98	7.70	7.97	1496341	25507170.000
05/04/2012	8.00	8.05	7.89	8.03	1419446	24521182.000
05/07/2012	8.00	8.33	7.95	8.24	1953914	34364052.000
05/08/2012	8.25	8.32	8.10	8.15	1492981	26391646.000
05/09/2012	7.96	8.10	7.93	7.93	1398637	24146138.000
05/10/2012	7.93	8.02	7.92	7.98	877721	15141660.000
05/11/2012	7.98	8.08	7.91	7.93	1199415	20732476.000
05/14/2012	8.04	8.04	7.90	7.97	823325	14195702.000
05/15/2012	8.15	8.59	8.12	8.44	5973311	107905880.000
05/16/2012	8.34	8.56	8.27	8.30	2562334	46324580.000
05/17/2012	8.40	8.43	8.18	8.37	2809414	50350332.000
05/18/2012	8.27	8.35	7.95	8.03	2138186	37712456.000
05/21/2012	8.06	8.09	7.52	7.61	2989075	24535926.000
05/22/2012	7.61	7.87	7.56	7.76	2764561	22875018.000
05/23/2012	7.70	7.72	7.46	7.48	2813684	22779260.000
05/24/2012	7.47	7.83	7.37	7.65	3478443	28453248.000
05/25/2012	7.68	7.80	7.54	7.57	1635970	13364604.000
05/28/2012	7.55	7.72	7.22	7.62	2368593	18933976.000
05/29/2012	7.59	8.44	7.57	8.44	7574169	66829640.000
05/30/2012	8.77	8.85	8.44	8.61	22250819	204103696.000
05/31/2012	8.43	9.25	8.43	8.77	17003884	159974464.000
06/01/2012	8.67	8.75	8.44	8.49	7995711	72633208.000
06/04/2012	8.18	8.58	8.15	8.29	6011291	53394888.000
06/05/2012	8.33	8.42	8.03	8.10	4938032	42943600.000
06/06/2012	8.20	8.37	8.02	8.11	3585922	31268394.000
06/07/2012	8.37	8.37	8.09	8.12	3832736	33572704.000
06/08/2012	8.25	8.26	8.04	8.13	2997845	25938540.000
06/11/2012	8.16	8.92	8.12	8.77	10395972	94706192.000
06/12/2012	8.62	8.70	8.40	8.49	6264511	56762712.000
06/13/2012	8.51	8.84	8.51	8.67	7633634	70417128.000
06/14/2012	8.58	8.75	8.50	8.64	4563996	41763324.000
06/15/2012	8.66	8.72	8.33	8.49	4544853	41109644.000
06/18/2012	8.56	8.83	8.50	8.69	5830364	53785272.000
06/19/2012	8.68	8.73	8.52	8.52	4197565	38263812.000
06/20/2012	8.62	8.70	8.54	8.56	3218405	29412492.000
06/21/2012	8.58	8.58	8.18	8.32	4316030	38100052.000
06/25/2012	8.31	8.31	7.97	8.00	3327912	28716040.000
06/26/2012	7.90	8.17	7.87	8.10	2527016	21738790.000
06/27/2012	8.16	8.19	7.98	7.99	1794793	15481464.000
06/28/2012	8.02	8.12	7.71	7.72	1869900	15837836.000
06/29/2012	7.72	7.84	7.59	7.78	2289003	18955268.000
07/02/2012	7.80	7.99	7.80	7.99	2290446	19293708.000
07/03/2012	8.01	8.31	7.88	8.14	3292441	28517566.000
07/04/2012	8.19	8.27	7.86	7.95	2594596	22128292.000
07/05/2012	7.99	7.99	7.53	7.55	2283498	18761752.000
07/06/2012	7.61	7.77	7.52	7.68	2328799	19104410.000
07/09/2012	7.65	7.66	7.28	7.32	2558609	20395464.000
07/10/2012	7.32	7.37	7.15	7.25	1476110	11479105.000
07/11/2012	7.15	7.41	7.14	7.31	1036075	8099358.500
