002453 天马精化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.79	4.79	4.67	4.75	395822	7756322.000
01/05/2012	4.74	4.74	4.58	4.58	523845	10075490.000
01/06/2012	4.59	4.67	4.52	4.59	377950	7170676.000
01/09/2012	4.59	4.76	4.54	4.72	861541	16698741.000
01/10/2012	4.69	4.94	4.68	4.91	1002183	20027118.000
01/11/2012	4.91	4.98	4.84	4.96	1100471	22468034.000
01/12/2012	4.87	4.98	4.86	4.95	720959	14800714.000
01/13/2012	4.97	5.00	4.79	4.84	1195580	24252990.000
01/16/2012	4.74	4.82	4.34	4.34	751950	14219587.000
01/17/2012	4.22	4.56	4.19	4.50	522613	9578104.000
01/18/2012	4.49	4.72	4.49	4.51	513947	9884877.000
01/19/2012	4.44	4.63	4.44	4.58	258315	4924999.500
01/20/2012	4.59	4.73	4.53	4.59	455761	8763126.000
01/30/2012	4.59	4.64	4.32	4.48	362706	6732966.500
01/31/2012	4.38	4.58	4.34	4.56	456047	8396561.000
02/01/2012	4.47	4.61	4.46	4.53	394243	7464958.500
02/02/2012	4.53	4.69	4.50	4.67	424817	8098482.500
02/03/2012	4.67	4.77	4.60	4.75	966221	18891180.000
02/06/2012	4.82	4.85	4.74	4.85	699422	13933545.000
02/07/2012	4.79	4.84	4.70	4.84	573817	11401211.000
02/08/2012	4.75	4.91	4.70	4.90	577852	11643475.000
02/09/2012	4.89	4.96	4.81	4.84	700753	14215490.000
02/10/2012	4.82	4.95	4.75	4.81	929738	18665476.000
02/13/2012	4.79	5.01	4.74	5.00	1652666	33612844.000
02/14/2012	5.01	5.16	4.99	5.03	2261079	47528688.000
02/15/2012	5.06	5.10	4.95	5.07	1087039	22677318.000
02/16/2012	5.07	5.07	4.98	5.05	1023436	21300538.000
02/17/2012	5.05	5.10	4.97	4.98	532197	11069947.000
02/20/2012	5.03	5.04	4.93	4.96	1151236	23741110.000
02/21/2012	4.94	5.05	4.90	5.03	955806	19735194.000
02/22/2012	5.05	5.20	5.00	5.17	1889966	40243220.000
02/23/2012	5.26	5.32	5.19	5.24	1500364	32675448.000
02/24/2012	5.25	5.66	5.24	5.66	2554682	57243560.000
02/27/2012	5.64	5.72	5.52	5.62	2910623	67388168.000
02/28/2012	5.32	5.39	5.22	5.29	4222526	92668168.000
02/29/2012	5.27	5.36	5.18	5.18	1233262	26901808.000
03/01/2012	5.16	5.33	5.12	5.24	1237636	26822274.000
03/02/2012	5.24	5.31	5.23	5.29	1422753	31055924.000
03/05/2012	5.34	5.36	5.15	5.20	1163663	25278670.000
03/06/2012	5.17	5.26	5.14	5.25	915545	19712412.000
03/07/2012	5.20	5.26	5.14	5.18	673332	14508374.000
03/08/2012	5.18	5.31	5.17	5.23	716984	15570090.000
03/09/2012	5.22	5.30	5.21	5.29	753165	16416999.000
03/12/2012	5.34	5.34	5.26	5.29	888729	19425284.000
03/13/2012	5.30	5.36	5.22	5.35	1945388	42595596.000
03/14/2012	5.41	5.50	5.02	5.09	2732804	60676052.000
03/15/2012	5.07	5.15	4.95	4.98	922056	19239628.000
03/16/2012	5.03	5.17	5.00	5.17	1126911	23763282.000
03/19/2012	5.17	5.26	5.12	5.23	578719	12458886.000
03/21/2012	5.15	5.37	5.09	5.37	881178	18926614.000
03/22/2012	5.34	5.36	5.27	5.33	472998	10410268.000
03/23/2012	5.29	5.44	5.19	5.22	1132409	25079158.000
03/26/2012	5.19	5.21	5.03	5.12	537230	11369566.000
03/27/2012	5.13	5.16	5.08	5.08	346689	7348037.500
03/28/2012	5.07	5.11	4.84	4.92	599595	12336784.000
03/29/2012	4.85	4.88	4.72	4.77	337509	6720406.000
03/30/2012	4.86	4.88	4.75	4.76	205954	4113239.250
04/05/2012	4.77	5.26	4.77	5.26	1116031	23554108.000
04/06/2012	5.36	5.49	5.29	5.40	2476320	55501320.000
04/09/2012	5.36	5.55	5.32	5.50	1769028	40118848.000
04/10/2012	5.44	5.59	5.27	5.59	1484733	33447204.000
04/11/2012	5.52	5.65	5.45	5.60	1394063	32062596.000
04/12/2012	5.60	5.98	5.51	5.97	2339744	55462032.000
04/13/2012	5.87	6.00	5.78	5.78	1353122	32881592.000
04/16/2012	5.68	5.77	5.62	5.67	1144630	26856368.000
04/17/2012	5.65	5.75	5.62	5.68	793801	18511654.000
04/18/2012	5.65	5.86	5.64	5.76	695905	16344659.000
04/19/2012	5.75	5.79	5.65	5.71	365633	8555037.000
04/20/2012	5.71	5.71	5.53	5.64	1230145	28311868.000
04/23/2012	5.55	5.68	5.49	5.53	599052	13745858.000
04/24/2012	5.49	5.63	5.41	5.59	727384	16452425.000
04/25/2012	5.57	5.63	5.55	5.61	580046	13284065.000
04/27/2012	5.57	5.73	5.57	5.69	747409	17313380.000
05/02/2012	5.76	5.84	5.68	5.72	556154	13074434.000
05/03/2012	5.72	6.07	5.72	6.00	1115912	27255920.000
05/04/2012	5.95	6.00	5.92	5.97	776688	18919110.000
05/07/2012	5.94	6.01	5.90	5.99	504584	12230351.000
05/11/2012	6.01	6.08	5.53	5.54	2027836	47974276.000
05/14/2012	5.54	5.65	5.42	5.59	1205168	27566084.000
05/15/2012	5.57	5.74	5.52	5.72	372263	8575166.000
05/16/2012	5.73	5.73	5.57	5.59	601999	13859721.000
05/17/2012	5.53	5.78	5.53	5.78	650896	15077261.000
05/18/2012	5.72	5.84	5.62	5.70	893437	21121158.000
05/21/2012	5.52	5.71	5.47	5.71	738021	17001340.000
05/22/2012	5.71	5.84	5.71	5.81	427760	10169813.000
05/23/2012	5.84	5.87	5.75	5.82	453987	10805022.000
05/24/2012	5.80	5.91	5.80	5.87	543920	13045473.000
