002454 松芝股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.23	7.25	6.90	6.90	935154	9633790.000
01/05/2012	6.78	6.89	6.65	6.65	612394	6060548.000
01/06/2012	6.57	7.00	6.57	6.88	1431356	14292655.000
01/09/2012	6.94	7.24	6.82	7.23	1211846	12521222.000
01/10/2012	7.30	7.64	7.23	7.54	2360215	25557326.000
01/11/2012	7.54	8.04	7.54	7.69	2407098	27035996.000
01/12/2012	7.63	7.96	7.58	7.86	1978639	22171290.000
01/13/2012	7.90	7.90	7.47	7.62	2259131	24987562.000
01/16/2012	7.47	7.65	7.36	7.46	785729	8551305.000
01/17/2012	7.45	8.13	7.43	8.12	2099406	23615874.000
01/18/2012	8.12	8.25	7.97	8.17	1936487	22553722.000
01/19/2012	8.07	8.42	8.01	8.35	2204868	26193468.000
01/20/2012	8.43	8.43	8.18	8.20	1417197	16800554.000
01/30/2012	8.30	8.30	7.87	7.89	1835279	21149816.000
01/31/2012	7.88	7.95	7.74	7.91	1006313	11356307.000
02/01/2012	7.93	7.94	7.70	7.71	1052204	11834616.000
02/02/2012	7.77	8.02	7.73	7.98	1035118	11730761.000
02/03/2012	7.91	8.05	7.91	8.04	1241554	14267102.000
02/06/2012	8.04	8.06	7.94	8.01	1447301	16634958.000
02/07/2012	7.97	8.00	7.72	7.74	1023705	11473685.000
02/08/2012	7.72	8.07	7.70	8.05	2174508	24608452.000
02/09/2012	7.99	8.16	7.94	8.13	3011496	34917076.000
02/10/2012	8.08	8.18	7.97	8.09	2220417	25774434.000
02/13/2012	7.98	8.21	7.96	8.20	1955761	22795144.000
02/14/2012	8.19	8.44	8.10	8.42	2647755	31419344.000
02/15/2012	8.39	8.50	8.30	8.46	1982404	23833416.000
02/16/2012	8.46	8.47	8.30	8.37	2111096	25286430.000
02/17/2012	8.37	8.45	8.19	8.37	1310283	15604605.000
02/20/2012	8.48	8.52	8.20	8.27	2037891	24458980.000
02/21/2012	8.22	8.35	8.13	8.35	1378345	16251047.000
02/22/2012	8.34	8.64	8.26	8.64	3194257	38747448.000
02/23/2012	8.57	8.76	8.56	8.73	3679028	45507668.000
02/24/2012	8.69	8.86	8.60	8.83	3077051	38358228.000
02/27/2012	8.84	8.98	8.71	8.74	4164799	52547640.000
02/28/2012	8.59	9.07	8.59	9.02	4625252	58253092.000
02/29/2012	8.96	9.00	8.69	8.72	2316478	29140758.000
03/01/2012	8.66	8.90	8.64	8.74	2213726	27647162.000
03/02/2012	8.74	9.05	8.70	9.00	2742054	34811492.000
03/05/2012	9.07	9.32	8.93	9.04	2817724	36557612.000
03/06/2012	8.94	9.04	8.70	8.79	2262534	28529980.000
03/07/2012	8.70	8.89	8.60	8.75	1668084	20768660.000
03/08/2012	8.77	8.96	8.76	8.89	1430111	18066092.000
03/09/2012	8.89	9.10	8.87	9.09	1908608	24430338.000
03/12/2012	9.10	9.15	8.94	9.02	1922943	24672476.000
03/13/2012	8.98	9.23	8.98	9.22	3619027	46993160.000
03/14/2012	9.27	9.41	8.62	8.74	3941933	51084820.000
03/15/2012	8.74	8.82	8.40	8.47	1929494	23586352.000
03/16/2012	8.56	8.67	8.44	8.66	1249592	15291082.000
03/19/2012	8.67	8.80	8.55	8.78	1315323	16296200.000
03/20/2012	8.70	8.76	8.47	8.47	1204985	14734801.000
03/21/2012	8.49	8.59	8.16	8.35	1397790	16714051.000
03/22/2012	8.27	8.42	8.25	8.34	999821	11910993.000
03/23/2012	8.25	8.31	8.02	8.04	1037758	12128507.000
03/26/2012	8.04	8.12	8.00	8.07	619429	7162849.500
03/27/2012	8.15	8.20	7.93	8.03	740731	8599618.000
03/28/2012	8.07	8.07	7.52	7.52	1279810	14239918.000
03/29/2012	7.39	7.57	7.23	7.37	822142	8797642.000
03/30/2012	7.31	7.42	7.30	7.40	540942	5765041.000
04/05/2012	7.40	7.61	7.33	7.58	852344	9289389.000
04/06/2012	7.60	7.69	7.54	7.67	677992	7449152.500
04/09/2012	7.65	7.94	7.60	7.72	1356982	15271654.000
04/10/2012	7.67	7.92	7.54	7.92	879833	9802068.000
04/11/2012	7.81	7.95	7.63	7.89	766200	8652158.000
04/12/2012	7.96	8.03	7.77	8.03	1168508	13340739.000
04/13/2012	8.04	8.05	7.87	7.94	1625152	18578758.000
04/16/2012	7.92	7.92	7.72	7.83	1180747	13249898.000
04/17/2012	7.68	7.85	7.67	7.78	507166	5688868.000
04/18/2012	7.85	7.99	7.69	7.99	3298944	37211668.000
04/19/2012	7.94	8.14	7.93	8.04	2026900	23393986.000
04/20/2012	8.04	8.11	7.89	8.07	1577909	18167916.000
04/23/2012	8.07	8.07	7.80	7.84	1374277	15677310.000
04/24/2012	7.78	8.02	7.37	7.57	1530625	16762916.000
04/25/2012	7.60	7.79	7.48	7.68	1001571	11067840.000
04/26/2012	7.64	7.68	7.48	7.54	1044959	11457221.000
04/27/2012	7.58	7.58	7.47	7.47	586280	6363549.000
05/02/2012	7.54	7.68	7.53	7.66	1313275	14411552.000
05/04/2012	7.73	7.75	7.62	7.70	2330260	25867592.000
05/07/2012	7.71	7.84	7.64	7.82	1716542	19113550.000
05/08/2012	7.76	7.90	7.70	7.84	2052226	23034340.000
05/09/2012	7.81	7.81	7.56	7.57	1555267	17194868.000
05/10/2012	7.56	7.64	7.55	7.58	870104	9541987.000
05/11/2012	7.59	7.64	7.52	7.54	683942	7489373.500
05/14/2012	7.64	7.64	7.53	7.54	769117	8413115.000
05/15/2012	7.50	7.53	7.31	7.42	888017	9529590.000
05/16/2012	7.42	7.47	7.27	7.29	660271	7053223.500
05/17/2012	7.42	7.45	7.31	7.44	896875	9598995.000
05/18/2012	7.39	7.40	7.26	7.27	628471	6674109.000
05/21/2012	7.34	7.60	7.29	7.53	1423162	15403487.000
05/22/2012	7.53	7.59	7.47	7.55	932554	10154322.000
05/23/2012	7.51	7.56	7.31	7.38	920698	9909616.000
05/24/2012	7.38	7.45	7.32	7.36	644869	6900084.500
05/25/2012	7.36	7.47	7.17	7.20	689130	7285052.000
05/28/2012	7.20	7.29	6.97	7.27	782483	8097435.500
05/29/2012	7.27	7.54	7.27	7.47	1239841	13277055.000
05/30/2012	7.44	7.57	7.41	7.50	1049400	11369429.000
05/31/2012	7.44	7.80	7.44	7.69	2670937	29588408.000
06/01/2012	7.70	7.76	7.60	7.74	1136827	12605974.000
06/04/2012	7.62	7.62	7.47	7.54	1222607	13346691.000
06/05/2012	7.50	7.58	7.40	7.43	586622	6351971.500
06/06/2012	7.44	7.56	7.39	7.46	474273	5134380.500
06/07/2012	7.50	7.78	7.50	7.71	2161897	23954298.000
06/08/2012	7.76	7.77	7.57	7.67	1395521	15443000.000
06/11/2012	7.69	7.85	7.50	7.82	2716309	30151616.000
06/12/2012	7.77	7.84	7.69	7.79	1573461	17607656.000
06/13/2012	7.80	8.10	7.74	8.07	3574574	40909396.000
06/14/2012	8.04	8.15	7.98	7.99	2442656	28255208.000
06/15/2012	7.97	8.10	7.94	8.07	1414058	16314621.000
06/18/2012	8.07	8.14	8.05	8.07	1312197	15236481.000
06/19/2012	8.02	8.10	8.01	8.02	803145	9290259.000
06/20/2012	8.04	8.08	7.97	8.04	847302	9753594.000
06/21/2012	8.04	8.17	7.84	8.07	7503156	86554952.000
06/25/2012	8.07	8.54	7.87	8.27	11012069	129546976.000
06/26/2012	8.32	8.52	8.11	8.50	10587446	125731600.000
06/27/2012	8.64	8.67	8.30	8.56	11135844	131964512.000
06/28/2012	8.53	9.00	8.16	8.77	13465406	162217248.000
06/29/2012	8.61	8.97	8.22	8.26	13212522	157267072.000
07/02/2012	8.08	8.23	7.85	7.89	7775859	86628608.000
07/03/2012	7.86	7.86	7.55	7.66	5193704	56028936.000
07/04/2012	7.67	7.75	7.55	7.58	2998854	32186590.000
07/05/2012	7.58	7.58	7.16	7.18	3151247	32450790.000
07/06/2012	7.23	7.29	6.91	7.17	3628475	36312236.000
07/09/2012	7.08	7.16	6.99	7.00	1725906	17228270.000
07/10/2012	6.95	7.06	6.90	7.03	1540188	15182928.000
07/11/2012	7.04	7.20	6.97	7.18	1466767	14720558.000
07/12/2012	7.16	7.20	7.07	7.17	1410498	14240676.000
07/13/2012	7.14	7.17	6.81	6.84	1790460	17736208.000
07/16/2012	6.69	6.80	6.16	6.17	3356867	30369412.000
07/17/2012	6.13	6.27	6.08	6.24	1350345	11901203.000
07/18/2012	6.24	6.44	6.17	6.38	1725667	15530616.000
07/19/2012	6.36	6.49	6.25	6.37	1725961	15704936.000
07/20/2012	6.39	6.39	6.27	6.28	1075755	9706745.000
07/23/2012	6.23	6.23	6.13	6.16	939535	8282158.000
07/24/2012	6.10	6.27	6.08	6.21	846776	7500599.000
07/25/2012	6.20	6.22	6.10	6.11	837252	7363005.500
07/26/2012	6.11	6.20	6.09	6.12	823807	7218400.500
07/27/2012	6.18	6.22	6.11	6.22	805128	7104230.000
07/30/2012	6.24	6.44	6.20	6.22	1212684	10911065.000
07/31/2012	6.21	6.27	5.67	5.84	1332009	11235736.000
08/01/2012	5.77	6.00	5.77	5.94	1134276	9635715.000
08/02/2012	5.94	5.94	5.74	5.77	841399	7035921.000
08/03/2012	5.78	5.90	5.77	5.89	645417	5406301.000
08/06/2012	5.84	6.03	5.84	6.02	895819	7648883.500
08/07/2012	6.02	6.16	5.99	6.13	1354249	11771037.000
08/08/2012	6.13	6.19	6.06	6.12	932956	8157411.500
08/09/2012	6.10	6.30	6.06	6.25	1583003	14049675.000
08/10/2012	6.24	6.28	6.16	6.23	932162	8279466.000
08/13/2012	6.26	6.26	6.03	6.04	749612	6559757.000
08/14/2012	5.97	6.06	5.87	6.05	724776	6199330.500
08/15/2012	6.00	6.10	5.91	5.92	544914	4660067.000
08/16/2012	5.86	5.97	5.85	5.87	473126	4008731.750
08/17/2012	5.91	5.94	5.84	5.94	458287	3865432.750
08/20/2012	5.89	5.97	5.83	5.95	491677	4156221.500
08/21/2012	5.90	6.30	5.90	6.19	1480527	12969236.000
08/22/2012	6.18	6.19	6.00	6.05	1025571	8951867.000
08/23/2012	6.05	6.21	6.00	6.19	830958	7311742.500
08/24/2012	6.14	6.22	6.01	6.04	911695	7957431.500
08/27/2012	6.04	6.04	5.82	5.83	941626	7926969.500
08/28/2012	5.72	5.95	5.72	5.89	449135	3785547.250
