002458 益生股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	11.50	11.85	11.01	11.01	1520897	36496164.000
01/05/2012	11.01	11.13	10.48	10.50	1579195	35490084.000
01/06/2012	10.44	10.78	10.39	10.78	1234747	27265978.000
01/09/2012	10.74	11.32	10.62	11.32	1359864	31478044.000
01/10/2012	11.32	12.10	11.32	11.98	2414620	59578504.000
01/11/2012	11.94	12.05	11.75	11.95	1603105	39772504.000
01/12/2012	11.88	12.05	11.80	11.85	1357261	33708164.000
01/13/2012	11.85	12.00	11.36	11.48	1311191	31726090.000
01/16/2012	11.35	11.60	11.09	11.16	700820	16567947.000
01/17/2012	11.10	11.93	11.09	11.93	1111994	26954038.000
01/18/2012	11.93	12.05	11.63	11.65	1241648	30736526.000
01/19/2012	11.78	11.93	11.50	11.82	924180	22587986.000
01/20/2012	11.82	12.05	11.75	11.99	1387288	34593560.000
01/30/2012	12.16	12.16	11.89	11.99	1197057	30010340.000
01/31/2012	12.10	12.63	12.10	12.40	2110391	54480000.000
02/01/2012	12.28	12.80	12.25	12.26	1965581	50966800.000
02/02/2012	12.41	12.66	12.32	12.44	1563535	40552644.000
02/03/2012	12.50	12.78	12.41	12.66	1442458	37682332.000
02/06/2012	12.75	12.80	12.55	12.65	1210302	31785484.000
02/07/2012	12.60	12.63	12.25	12.34	1158200	29814994.000
02/08/2012	12.34	12.67	12.22	12.65	1645461	42692440.000
02/09/2012	12.65	12.79	12.48	12.51	1382981	36317484.000
02/10/2012	12.46	12.56	12.40	12.46	1169939	30369190.000
02/13/2012	12.34	12.68	12.33	12.68	1652520	43219000.000
02/14/2012	12.75	12.75	12.58	12.67	941835	24781652.000
02/15/2012	12.59	12.77	12.56	12.72	1351070	35585016.000
02/16/2012	12.70	13.30	12.68	13.08	2280903	61732168.000
02/17/2012	13.05	13.15	12.89	12.95	839850	22676670.000
02/20/2012	13.19	13.20	12.90	13.10	1056146	28562964.000
02/21/2012	13.08	13.16	12.80	13.16	1011120	27382768.000
02/22/2012	13.21	13.95	13.21	13.87	2215019	62284860.000
02/23/2012	13.80	14.25	13.61	13.81	1819610	52473388.000
02/24/2012	13.88	14.07	13.64	14.00	1564457	44993936.000
02/27/2012	14.03	14.99	14.03	14.49	2594290	78063568.000
02/28/2012	14.36	15.44	14.35	15.30	3458245	106455376.000
02/29/2012	15.99	16.17	14.93	15.66	9295426	300363328.000
03/01/2012	15.30	15.48	15.18	15.38	2675169	84797568.000
03/02/2012	15.39	15.59	15.39	15.54	2020268	64674452.000
03/05/2012	15.54	16.13	15.54	15.88	2921930	95742440.000
03/06/2012	15.73	15.85	15.26	15.49	2204075	70397208.000
03/07/2012	15.27	16.15	15.20	15.77	2715931	88491112.000
03/08/2012	15.80	16.08	15.65	16.00	2184345	71527920.000
03/09/2012	16.50	16.50	16.00	16.08	4935556	165126752.000
03/12/2012	16.08	16.09	15.75	16.04	2866399	93823576.000
03/13/2012	15.91	16.01	15.78	15.94	2407526	78891488.000
03/14/2012	16.01	17.14	16.01	16.29	7360833	251400608.000
03/15/2012	16.24	16.48	15.80	16.07	3360709	111521312.000
03/16/2012	16.08	16.93	16.08	16.90	4591956	156973584.000
03/19/2012	16.88	17.19	16.61	17.16	4115297	143795808.000
03/20/2012	17.13	17.13	16.44	16.46	3484912	119398576.000
03/21/2012	16.50	16.68	15.75	15.99	3084212	102529008.000
03/22/2012	16.00	16.45	15.91	16.25	2260639	75703296.000
03/23/2012	16.10	16.21	15.46	15.58	2526288	82558320.000
03/26/2012	15.40	15.68	15.09	15.40	1479829	47021432.000
03/27/2012	15.50	16.13	15.50	15.71	2236775	73001304.000
03/28/2012	15.60	15.65	15.12	15.33	1704734	53894940.000
03/29/2012	15.16	15.40	14.61	14.75	1798900	56114048.000
04/05/2012	14.78	15.33	14.78	15.30	1754630	54855636.000
04/06/2012	15.40	15.58	15.16	15.33	1588145	50287028.000
04/09/2012	15.40	15.40	15.12	15.23	761982	24033488.000
04/10/2012	15.16	15.29	14.72	15.23	1240352	38475396.000
04/11/2012	15.05	15.24	14.90	15.08	947885	29530160.000
04/12/2012	15.08	15.77	15.08	15.65	2190601	70153848.000
04/13/2012	15.56	15.76	15.52	15.68	1530823	49427140.000
04/16/2012	15.55	15.61	15.01	15.61	3012485	95170992.000
04/17/2012	15.42	15.60	15.28	15.32	1754657	55697272.000
04/18/2012	15.37	15.60	15.37	15.52	2271357	72601552.000
04/19/2012	15.36	15.55	14.98	15.06	2110052	66376492.000
04/20/2012	15.01	15.11	14.92	14.99	1295870	40130024.000
04/23/2012	14.77	14.89	14.21	14.22	2584171	77092224.000
04/24/2012	14.40	15.12	14.36	15.06	2860605	87131440.000
04/25/2012	15.00	15.00	14.70	14.90	1230461	37878216.000
04/26/2012	14.90	15.12	14.80	15.01	1193672	36945300.000
04/27/2012	15.01	15.48	14.92	15.31	1478611	46589352.000
05/02/2012	15.48	16.80	15.35	16.25	3517876	116498784.000
05/03/2012	16.30	16.36	15.89	16.06	2636236	87121336.000
05/04/2012	15.75	16.25	15.28	16.00	6090280	96835032.000
05/07/2012	15.75	15.96	15.61	15.80	3098121	48862528.000
05/08/2012	15.80	16.24	15.70	15.92	3520236	56361928.000
05/09/2012	15.67	15.84	15.33	15.39	2627964	41046592.000
05/10/2012	15.39	15.63	15.19	15.21	2007653	30825230.000
05/11/2012	15.26	15.48	15.19	15.22	1552060	23772866.000
05/14/2012	15.29	15.46	15.20	15.28	1565096	23946820.000
05/15/2012	15.19	15.19	14.82	15.06	1557744	23322210.000
05/16/2012	15.06	15.19	14.90	14.91	983399	14810489.000
05/17/2012	14.92	15.13	14.62	15.02	1888200	28157128.000
05/18/2012	14.95	14.95	14.67	14.73	1348435	19941454.000
05/21/2012	14.74	14.74	14.30	14.54	1333286	19326262.000
05/22/2012	14.51	14.89	14.51	14.59	961052	14123699.000
05/23/2012	14.60	14.77	14.37	14.77	1443715	21020172.000
05/24/2012	14.67	14.78	14.40	14.53	1270131	18429338.000
05/25/2012	14.53	14.60	14.01	14.09	1419244	20185314.000
05/28/2012	14.24	14.24	13.58	13.92	1433862	19797398.000
05/29/2012	14.15	14.41	13.86	14.28	1437957	20487390.000
05/30/2012	14.29	14.41	14.01	14.06	1204514	17113836.000
05/31/2012	14.10	14.38	13.99	14.29	1728318	24696068.000
06/01/2012	14.35	14.56	14.22	14.38	1264496	18189128.000
06/04/2012	14.09	15.31	14.02	15.03	5848056	87384312.000
06/05/2012	15.03	15.18	14.80	14.94	3444769	51572884.000
06/06/2012	15.00	15.00	14.28	14.37	2564499	37297476.000
06/07/2012	14.47	14.59	13.88	13.95	3157475	44489672.000
06/08/2012	14.07	14.17	13.80	13.94	1068302	14884875.000
06/11/2012	13.99	14.18	13.82	14.11	1138299	16008155.000
06/12/2012	13.98	14.05	13.85	13.93	719490	10030912.000
06/13/2012	14.02	14.33	13.88	14.17	1363456	19252192.000
06/14/2012	14.15	14.80	14.11	14.66	2794064	40666896.000
06/15/2012	14.66	14.78	14.31	14.55	1537206	22268134.000
06/18/2012	14.55	14.72	14.45	14.60	1161223	16956904.000
06/19/2012	14.68	15.69	14.63	15.55	6882657	105664424.000
06/20/2012	15.58	16.00	15.39	15.75	5219019	81664120.000
06/21/2012	15.80	15.80	15.17	15.35	2293677	35327728.000
06/25/2012	15.35	15.35	14.85	15.00	1387956	20874836.000
06/26/2012	14.77	15.20	14.70	15.10	886837	13263679.000
06/27/2012	15.08	15.26	14.89	14.89	1029062	15495127.000
06/28/2012	14.85	15.05	14.70	14.70	1037840	15402330.000
06/29/2012	14.68	14.68	14.11	14.53	1900453	27247534.000
07/02/2012	14.60	14.86	14.50	14.85	1549134	22768476.000
07/03/2012	14.84	15.07	14.71	14.92	1917219	28625118.000
07/04/2012	14.91	15.49	14.83	15.30	2236165	34227020.000
07/05/2012	15.25	15.25	14.90	14.94	1188156	17839864.000
07/06/2012	15.05	15.53	14.99	15.43	1855542	28344542.000
07/09/2012	15.35	15.83	15.20	15.20	2664870	41477748.000
07/10/2012	14.82	15.30	14.80	14.93	1215008	18228574.000
07/11/2012	14.90	14.90	14.41	14.63	1399582	20398832.000
07/12/2012	14.64	15.27	14.40	15.25	1475471	21937746.000
07/13/2012	15.20	15.65	15.10	15.37	2241804	34558828.000
07/16/2012	15.42	15.58	14.79	14.79	1676063	25482066.000
07/17/2012	14.57	14.78	13.35	13.72	4138570	57418124.000
07/18/2012	13.56	13.69	13.20	13.65	2362589	31744716.000
07/19/2012	13.60	14.08	13.57	13.83	1692166	23541948.000
07/20/2012	13.85	14.00	13.61	13.72	888024	12224655.000
07/23/2012	13.70	13.88	13.36	13.60	843000	11564285.000
07/24/2012	13.55	13.78	13.40	13.57	1090720	14860895.000
