002461 珠江啤酒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/05/2012	9.15	9.20	8.92	8.98	1239826	11377429.000
01/06/2012	9.00	9.24	8.74	9.15	884441	7979159.500
01/09/2012	9.17	9.59	8.85	9.56	1417747	13333953.000
01/10/2012	9.55	10.00	9.32	9.99	2157576	21200874.000
01/11/2012	9.90	10.20	9.85	9.97	1791976	18142922.000
01/12/2012	9.97	10.07	9.79	9.89	1404241	14048302.000
01/13/2012	9.98	10.05	9.56	9.58	1344924	13233182.000
01/16/2012	9.64	9.64	8.90	9.10	719140	6706109.000
01/17/2012	9.18	9.63	9.10	9.59	1047503	9942480.000
01/18/2012	9.66	10.08	9.50	9.77	1846301	18193868.000
01/19/2012	9.70	9.85	9.60	9.73	1440101	14160388.000
01/20/2012	9.80	9.90	9.62	9.89	1486680	14711044.000
01/31/2012	9.67	9.77	9.28	9.49	1349116	12869761.000
02/01/2012	9.46	9.77	9.25	9.62	1288933	12459487.000
02/02/2012	9.52	9.68	9.44	9.66	851176	8215223.000
02/03/2012	9.63	9.98	9.54	9.87	1562082	15473569.000
02/06/2012	9.88	10.05	9.76	10.03	1660783	16671241.000
02/07/2012	10.01	10.02	9.83	9.95	1489989	14905072.000
02/08/2012	9.93	10.33	9.93	10.23	3025388	31154396.000
02/09/2012	10.11	10.40	10.10	10.32	2698026	27947142.000
02/10/2012	10.27	10.38	10.20	10.31	2249551	23370366.000
02/13/2012	10.20	10.45	10.11	10.32	1951482	20333642.000
02/14/2012	10.32	10.35	10.16	10.27	1171779	12099837.000
02/15/2012	10.20	10.48	10.20	10.47	2007699	21056120.000
02/16/2012	10.52	10.53	10.25	10.31	1874659	19672144.000
02/17/2012	10.35	10.77	10.33	10.69	3780391	40322840.000
02/20/2012	10.85	10.88	10.54	10.62	2595967	27929198.000
02/21/2012	10.55	10.67	10.43	10.64	1826349	19493840.000
02/22/2012	10.64	10.92	10.60	10.90	2770820	30134114.000
02/23/2012	10.89	11.08	10.74	10.93	2695346	29657968.000
02/24/2012	10.93	11.14	10.92	11.10	2686173	29937912.000
02/27/2012	11.10	11.40	11.03	11.09	2791355	31542798.000
02/28/2012	11.09	11.18	10.83	11.09	2185502	24279022.000
02/29/2012	11.16	11.16	10.81	11.07	1602108	17698034.000
03/01/2012	10.95	10.99	10.82	10.90	1416407	15576823.000
03/02/2012	10.91	11.09	10.90	10.99	1730472	19155302.000
03/05/2012	11.01	11.08	10.92	11.03	2531634	28110354.000
03/06/2012	11.00	11.00	10.82	10.90	1488967	16379464.000
03/07/2012	10.73	11.08	10.65	10.98	2144720	23708660.000
03/08/2012	11.00	11.13	10.95	11.05	1911326	21321654.000
03/09/2012	11.05	12.16	11.04	11.85	7531876	88865504.000
03/12/2012	11.70	11.71	11.47	11.59	4466400	52174296.000
03/13/2012	11.51	11.68	11.51	11.61	3011140	35154224.000
03/14/2012	11.65	11.80	10.73	10.99	4098790	47064196.000
