002464 金利科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	16.95	17.19	15.19	15.19	3688306	62362428.000
01/05/2012	14.50	14.60	13.62	13.62	3428831	49614888.000
01/06/2012	12.95	13.46	12.85	13.35	2512381	34449524.000
01/09/2012	13.20	14.02	13.08	13.92	2300585	32636198.000
01/10/2012	13.72	15.37	13.72	15.37	5039813	77677504.000
01/11/2012	15.05	15.64	14.97	15.10	3267584	51693564.000
01/12/2012	14.94	15.53	14.86	14.93	2571733	40468820.000
01/13/2012	14.92	15.17	13.45	13.80	2913009	42914820.000
01/16/2012	13.46	14.07	13.36	13.83	1563618	22382978.000
01/17/2012	13.78	14.84	13.51	14.62	2145819	31607224.000
01/18/2012	14.51	14.78	13.46	13.58	2347307	34607280.000
01/19/2012	13.63	14.00	13.45	13.56	1178297	16777101.000
01/20/2012	13.58	13.79	13.58	13.71	1005753	14331081.000
01/30/2012	13.85	13.91	13.47	13.63	983185	14009665.000
01/31/2012	13.63	14.44	13.55	14.20	1939086	28396934.000
02/01/2012	14.19	14.19	13.69	13.81	1461182	21143100.000
02/02/2012	13.86	14.09	13.65	14.05	1125592	16250929.000
02/03/2012	14.05	14.70	13.90	14.52	2197117	32830490.000
02/06/2012	14.45	15.24	14.32	14.85	2586875	39617724.000
02/07/2012	14.75	14.75	14.35	14.55	1663783	25054618.000
02/08/2012	14.55	14.93	14.46	14.88	1847143	28239054.000
02/09/2012	14.85	15.40	14.80	14.94	2391249	37406692.000
02/10/2012	15.08	15.08	14.67	15.05	1912814	29498416.000
02/13/2012	14.94	16.37	14.77	15.67	3600973	58682724.000
02/14/2012	15.67	15.75	15.25	15.44	1784082	28464798.000
02/15/2012	15.33	15.94	15.15	15.73	2400679	38725768.000
02/16/2012	15.74	16.03	15.29	15.53	1742529	28235912.000
02/17/2012	15.48	15.94	14.94	15.19	1531321	24201826.000
02/20/2012	15.45	16.37	15.37	15.80	4281646	70482144.000
02/21/2012	15.79	15.93	15.33	15.91	2556543	41458624.000
02/22/2012	16.00	17.27	15.80	16.87	4882740	83131264.000
02/23/2012	18.61	18.61	18.61	18.61	969342	18572592.000
02/24/2012	20.53	20.53	19.96	20.53	4441042	93162320.000
02/27/2012	21.73	22.33	20.81	21.94	10854476	239269856.000
02/28/2012	21.33	21.64	20.47	20.59	6819012	147122784.000
02/29/2012	20.35	20.83	19.66	20.03	4693728	96776192.000
03/01/2012	19.72	20.58	19.65	19.95	4097189	84805920.000
03/02/2012	19.77	20.50	19.77	20.23	3323800	68797136.000
03/05/2012	20.15	20.95	20.07	20.31	4084979	86176088.000
03/06/2012	20.06	22.40	19.60	22.40	8608369	188917024.000
03/07/2012	22.75	22.99	21.75	21.85	7798069	179080576.000
03/08/2012	21.56	23.59	21.43	22.78	7232733	167271616.000
03/12/2012	23.20	23.41	21.99	22.55	4387275	100968048.000
03/13/2012	22.55	23.23	21.93	22.22	4235207	97317280.000
03/14/2012	22.06	22.95	19.94	19.94	6653434	144790208.000
03/15/2012	19.89	19.89	18.97	19.15	4628005	92356584.000
03/16/2012	19.01	19.77	19.01	19.46	3334858	66547264.000
03/19/2012	19.44	20.00	18.80	19.90	3402722	68103832.000
03/20/2012	19.63	20.23	19.33	19.35	2804249	57049628.000
03/21/2012	19.35	19.54	18.55	18.98	2045843	40033932.000
