002466 天齐锂业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.05	7.16	6.72	6.73	818670	22107958.000
01/05/2012	6.71	6.87	6.36	6.48	854347	21973554.000
01/06/2012	6.39	6.50	6.19	6.50	1053643	25915572.000
01/09/2012	6.50	6.93	6.37	6.91	1238374	32078810.000
01/10/2012	6.87	7.32	6.86	7.21	2057911	56774808.000
01/11/2012	7.19	7.75	7.03	7.32	1737722	49496584.000
01/12/2012	7.30	7.45	7.19	7.29	1501325	42485280.000
01/13/2012	7.34	7.35	6.82	6.82	1628903	44139448.000
01/16/2012	6.61	6.81	6.46	6.46	718826	18536174.000
01/17/2012	6.44	7.12	6.39	7.12	1709411	45853592.000
01/18/2012	7.28	7.47	6.71	6.79	1981908	55247084.000
01/19/2012	6.79	7.40	6.58	7.34	2188109	59518116.000
01/20/2012	7.34	7.36	7.09	7.19	1490595	41534660.000
01/30/2012	7.24	7.32	7.08	7.09	1020182	28487730.000
01/31/2012	7.07	7.16	7.01	7.09	1133571	31066012.000
02/01/2012	7.06	7.12	6.90	6.90	1175819	31861004.000
02/02/2012	6.91	7.08	6.79	7.07	1433949	38406804.000
02/03/2012	7.04	7.34	6.98	7.33	2142532	60014264.000
02/06/2012	7.33	7.39	7.18	7.33	1575183	44460716.000
02/07/2012	7.30	7.31	7.16	7.26	1461785	40872532.000
02/08/2012	7.28	7.58	7.24	7.56	3008072	86886272.000
02/09/2012	7.60	7.60	7.43	7.50	2379422	69183448.000
02/10/2012	7.45	7.60	7.41	7.48	1398209	40457748.000
02/13/2012	7.42	7.63	7.37	7.61	1723250	50399216.000
02/14/2012	7.60	7.60	7.45	7.57	1214042	35322968.000
02/15/2012	7.57	7.73	7.48	7.67	1817146	53614992.000
02/16/2012	7.63	7.70	7.47	7.56	1642338	48141304.000
02/17/2012	7.72	8.33	7.72	8.26	7161548	227506576.000
02/20/2012	8.12	8.20	8.03	8.05	4272843	133706592.000
02/21/2012	7.91	8.09	7.69	8.04	3077812	93698968.000
02/22/2012	8.01	8.22	7.90	8.18	2880540	90472440.000
02/23/2012	8.17	8.31	8.06	8.12	2565878	81058872.000
02/24/2012	8.12	8.25	7.98	8.21	2433186	76389056.000
02/27/2012	8.23	8.44	8.16	8.22	3499746	112100040.000
02/28/2012	8.09	8.18	7.92	8.06	2056397	64013084.000
02/29/2012	8.08	8.18	7.98	8.01	1496996	46806808.000
03/01/2012	7.95	8.07	7.93	8.03	892935	27626238.000
03/02/2012	8.07	8.28	8.05	8.22	1842929	58400420.000
03/05/2012	8.26	8.41	8.19	8.33	2081885	66665228.000
03/06/2012	8.43	8.55	8.21	8.22	2215860	71268768.000
03/07/2012	8.04	8.20	7.95	8.08	1322856	41279100.000
03/08/2012	8.20	8.44	8.18	8.33	2454113	78942936.000
03/09/2012	8.37	8.44	8.21	8.36	2336547	74888640.000
03/12/2012	8.44	8.44	8.26	8.33	1663537	53463340.000
03/13/2012	8.36	8.41	8.24	8.40	1827633	58795780.000
03/14/2012	8.45	8.61	7.77	7.84	3560548	113806720.000
03/15/2012	7.79	7.87	7.48	7.61	2393609	70573664.000
03/16/2012	7.66	7.99	7.59	7.95	2133708	64458452.000
03/19/2012	7.92	8.21	7.79	8.11	2114216	65581476.000
03/20/2012	8.18	8.42	8.08	8.22	3242926	103093264.000
03/21/2012	8.29	8.73	8.05	8.62	5105940	166155392.000
03/22/2012	8.55	8.59	8.30	8.32	2334444	75742304.000
03/23/2012	8.21	8.41	8.10	8.15	1698738	54156380.000
03/26/2012	8.06	8.39	8.05	8.37	1735035	55572552.000
03/27/2012	8.43	8.55	8.33	8.37	1960673	63975068.000
03/28/2012	8.36	8.36	7.63	7.63	1922319	58420236.000
03/29/2012	7.56	7.68	7.24	7.37	1329791	38199976.000
03/30/2012	7.37	7.50	7.34	7.44	691197	19864022.000
04/05/2012	7.43	7.66	7.40	7.64	972520	28433958.000
04/06/2012	7.67	7.87	7.61	7.67	933522	27832606.000
04/09/2012	7.58	7.79	7.39	7.71	1050361	30809626.000
04/10/2012	7.63	7.76	7.50	7.73	1126730	33267480.000
04/11/2012	7.62	7.73	7.50	7.69	1175124	34877704.000
04/12/2012	7.69	7.83	7.55	7.79	1392840	41494844.000
04/13/2012	7.79	8.08	7.76	7.96	1785564	54591636.000
04/16/2012	7.85	7.94	7.82	7.83	1068779	32522308.000
04/18/2012	7.71	8.00	7.67	7.99	1955191	59493780.000
04/19/2012	8.29	8.37	8.01	8.04	3050134	96551352.000
04/20/2012	8.01	8.11	7.97	8.04	1147103	35625884.000
04/23/2012	7.97	8.00	7.68	7.73	1399630	42221232.000
04/24/2012	7.59	8.52	7.32	8.52	7069064	226743008.000
04/25/2012	8.74	9.17	8.55	8.63	10344461	351768864.000
04/26/2012	8.57	8.61	7.90	8.24	4145457	132932144.000
04/27/2012	8.04	8.63	8.04	8.26	3635941	118110808.000
