002470 金正大 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.04	3.10	3.02	3.02	1821511	23731172.000
01/05/2012	3.04	3.04	2.85	2.89	966985	12170654.000
01/06/2012	2.88	2.96	2.84	2.96	1123992	13976128.000
01/09/2012	2.96	3.13	2.93	3.10	1525803	19709898.000
01/10/2012	3.10	3.23	3.09	3.21	2127650	28695320.000
01/11/2012	3.21	3.26	3.16	3.21	1750712	23934596.000
01/12/2012	3.21	3.26	3.18	3.21	1323822	18170876.000
01/13/2012	3.21	3.24	3.05	3.11	1233681	16412077.000
01/16/2012	3.10	3.11	2.94	2.94	1066637	13704268.000
01/17/2012	2.94	3.20	2.93	3.17	1358379	17682732.000
01/18/2012	3.17	3.24	3.10	3.12	1431700	19268622.000
01/19/2012	3.10	3.22	3.07	3.21	1473216	19933878.000
01/20/2012	3.21	3.25	3.20	3.23	1268836	17440964.000
01/30/2012	3.25	3.26	3.18	3.18	821119	11194696.000
01/31/2012	3.18	3.24	3.17	3.24	994028	13477259.000
02/01/2012	3.22	3.26	3.18	3.19	1065912	14572626.000
02/02/2012	3.25	3.26	3.20	3.25	1215985	16695556.000
02/03/2012	3.25	3.42	3.25	3.40	3584319	50993932.000
02/06/2012	3.41	3.43	3.32	3.39	2493562	35605348.000
02/07/2012	3.35	3.37	3.27	3.32	1817615	25516556.000
02/08/2012	3.30	3.41	3.30	3.39	1940158	27647544.000
02/09/2012	3.39	3.43	3.37	3.40	2196796	31631194.000
02/10/2012	3.38	3.42	3.36	3.40	1233077	17661396.000
02/13/2012	3.38	3.44	3.34	3.41	1619899	23281168.000
02/14/2012	3.40	3.47	3.39	3.42	1995744	29016676.000
02/15/2012	3.40	3.46	3.37	3.45	2177342	31521660.000
02/16/2012	3.44	3.48	3.40	3.42	1679282	24476040.000
02/17/2012	3.43	3.46	3.40	3.42	1282400	18616650.000
02/20/2012	3.46	3.49	3.43	3.43	1266795	18522522.000
02/21/2012	3.41	3.45	3.37	3.45	1278739	18435272.000
02/22/2012	3.45	3.54	3.45	3.52	2222862	32964550.000
02/23/2012	3.54	3.57	3.48	3.54	2362068	35315624.000
02/24/2012	3.55	3.57	3.51	3.56	2010426	30079794.000
02/27/2012	3.58	3.59	3.54	3.55	2618946	39415188.000
02/28/2012	3.54	3.55	3.46	3.49	2227188	32984626.000
02/29/2012	3.50	3.52	3.45	3.48	1022287	15051799.000
03/01/2012	3.46	3.49	3.45	3.47	993149	14593400.000
03/02/2012	3.48	3.54	3.48	3.54	1998203	29647060.000
03/05/2012	3.55	3.57	3.50	3.52	2015800	30101060.000
03/06/2012	3.53	3.56	3.40	3.40	2558889	37635824.000
03/07/2012	3.39	3.41	3.36	3.36	1707605	24416538.000
03/08/2012	3.38	3.44	3.38	3.40	1449877	20924684.000
03/09/2012	3.41	3.51	3.41	3.51	3107005	45432532.000
03/12/2012	3.53	3.59	3.48	3.56	3834850	57295340.000
03/13/2012	3.56	3.66	3.50	3.64	5010674	75827336.000
03/14/2012	3.65	3.67	3.40	3.41	5277330	79634216.000
03/15/2012	3.40	3.50	3.35	3.43	2661381	38665776.000
03/16/2012	3.47	3.65	3.47	3.60	4170165	63082996.000
03/19/2012	3.60	3.69	3.57	3.65	3303552	50800620.000
03/20/2012	3.66	3.66	3.50	3.50	2563770	38552436.000
03/21/2012	3.54	3.61	3.47	3.58	2362239	35452460.000
03/22/2012	3.62	3.62	3.52	3.54	1468964	22097308.000
03/23/2012	3.54	3.55	3.40	3.42	1851111	27279624.000
03/26/2012	3.46	3.52	3.43	3.50	2569504	37885204.000
03/27/2012	3.50	3.55	3.42	3.43	1197951	17633804.000
03/28/2012	3.40	3.44	3.21	3.21	1938124	27042436.000
03/29/2012	3.21	3.28	3.14	3.19	1316606	18011576.000
04/05/2012	3.18	3.30	3.14	3.28	1169373	16071170.000
04/06/2012	3.28	3.33	3.26	3.30	822193	11490790.000
04/09/2012	3.34	3.34	3.15	3.20	923219	12772114.000
04/10/2012	3.19	3.22	3.09	3.22	812693	10928538.000
04/11/2012	3.22	3.32	3.19	3.29	1222922	17003260.000
04/12/2012	3.30	3.36	3.28	3.35	1149608	16182936.000
04/13/2012	3.36	3.50	3.35	3.47	1930063	28047140.000
04/16/2012	3.43	3.54	3.43	3.46	1541657	22760546.000
04/17/2012	3.47	3.53	3.43	3.48	1860162	27452020.000
04/18/2012	3.49	3.56	3.43	3.55	2964739	44006704.000
04/19/2012	3.54	3.55	3.50	3.52	1058196	15748179.000
04/20/2012	3.52	3.57	3.51	3.54	1476102	22045264.000
04/23/2012	3.53	3.54	3.44	3.45	1155886	16988608.000
04/24/2012	3.44	3.48	3.35	3.42	1876590	27244172.000
04/25/2012	3.41	3.47	3.38	3.45	1749307	25471916.000
04/26/2012	3.45	3.62	3.45	3.58	2842493	42532680.000
04/27/2012	3.59	3.63	3.55	3.58	1627087	24574586.000
