002476 宝莫股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.78	3.78	3.55	3.55	316795	4089568.500
01/05/2012	3.52	3.55	3.35	3.36	542189	6584282.000
01/06/2012	3.41	3.45	3.19	3.34	340263	3951171.250
01/09/2012	3.37	3.51	3.29	3.49	578168	7047994.000
01/10/2012	3.48	3.65	3.48	3.63	652174	8217342.000
01/11/2012	3.63	3.72	3.58	3.62	1193434	15272129.000
01/12/2012	3.60	3.72	3.59	3.64	1124786	14507934.000
01/13/2012	3.69	3.97	3.61	3.63	1870194	24642740.000
01/16/2012	3.54	3.77	3.42	3.58	1199749	15225119.000
01/17/2012	3.49	3.70	3.27	3.64	2107058	26096692.000
01/18/2012	3.63	3.63	3.29	3.30	1778619	21843190.000
01/19/2012	3.32	3.39	3.25	3.33	662784	7790216.000
01/20/2012	3.34	3.37	3.25	3.34	566391	6694624.000
01/30/2012	3.37	3.44	3.31	3.37	561648	6709140.500
01/31/2012	3.37	3.40	3.31	3.37	421551	5006771.500
02/01/2012	3.34	3.42	3.34	3.40	419028	5025259.000
02/02/2012	3.40	3.45	3.37	3.45	610374	7373317.500
02/03/2012	3.48	3.58	3.43	3.53	1283021	15799264.000
02/07/2012	3.53	3.68	3.53	3.57	2380334	30223026.000
02/08/2012	3.54	3.63	3.50	3.62	1872325	23527754.000
02/09/2012	3.57	3.70	3.56	3.63	1977399	25364650.000
02/10/2012	3.64	3.65	3.58	3.60	1089065	13861030.000
02/13/2012	3.58	3.68	3.55	3.63	1156300	14757610.000
02/14/2012	3.62	3.80	3.62	3.63	1279075	16589853.000
02/15/2012	3.65	3.72	3.60	3.72	1475604	19151192.000
02/16/2012	3.73	3.76	3.63	3.68	1369990	17839400.000
02/17/2012	3.70	3.71	3.59	3.62	1092188	13995990.000
02/20/2012	3.67	3.70	3.61	3.63	1110389	14318055.000
02/21/2012	3.63	3.72	3.59	3.72	1891601	24510504.000
02/22/2012	3.74	3.81	3.72	3.81	2494908	33032848.000
02/23/2012	3.79	3.82	3.74	3.82	1867647	24883968.000
02/24/2012	3.82	3.91	3.79	3.85	1798759	24318108.000
