002479 富春环保 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	9.08	9.11	8.67	8.69	2572559	41712336.000
01/05/2012	8.62	8.71	8.28	8.30	2315239	35969412.000
01/06/2012	8.31	8.53	8.22	8.51	1737303	26799416.000
01/09/2012	8.48	8.89	8.48	8.88	2625499	42140952.000
01/10/2012	8.89	9.18	8.83	9.13	4355025	72163640.000
01/11/2012	9.12	9.29	8.94	9.18	4427931	73813344.000
01/12/2012	9.20	9.32	9.08	9.18	5551075	93349864.000
01/13/2012	9.18	9.25	8.84	8.89	4105338	67389216.000
01/16/2012	8.83	8.98	8.49	8.49	2726647	43849212.000
01/17/2012	8.50	9.04	8.48	8.99	4068870	65639560.000
01/18/2012	9.03	9.07	8.60	8.64	4036985	65238416.000
01/19/2012	8.52	8.72	8.45	8.55	4267902	66866888.000
01/30/2012	8.66	8.75	8.49	8.49	2169004	34280172.000
01/31/2012	8.48	8.57	8.35	8.51	2116861	32846738.000
02/01/2012	8.51	8.62	8.42	8.44	2206609	34575000.000
02/02/2012	8.44	8.58	8.40	8.58	2169580	33882792.000
02/03/2012	8.54	8.75	8.54	8.72	3463731	55134752.000
02/06/2012	8.84	8.91	8.64	8.73	2906681	46676576.000
02/07/2012	8.62	8.71	8.49	8.55	2188621	34533812.000
02/09/2012	8.81	9.11	8.81	8.83	6125684	100212008.000
02/10/2012	8.73	8.92	8.72	8.88	3864335	62747840.000
02/13/2012	8.92	9.07	8.91	9.04	5270015	86843976.000
02/14/2012	9.05	9.07	8.93	8.99	2735025	44942072.000
02/15/2012	8.96	9.30	8.96	9.29	6737693	113002640.000
02/16/2012	9.29	9.47	9.19	9.43	5175424	87872048.000
02/17/2012	9.39	9.39	9.07	9.14	5199199	85309760.000
02/20/2012	9.28	9.31	9.07	9.10	4000890	65385208.000
02/21/2012	9.10	9.22	9.02	9.22	3612735	58871840.000
02/22/2012	9.22	9.39	9.16	9.38	6547420	108346312.000
02/23/2012	9.41	9.51	9.24	9.31	5466932	91301120.000
02/24/2012	9.37	9.59	9.31	9.51	7488297	126300128.000
02/27/2012	9.55	9.61	9.44	9.44	7316518	124231064.000
02/28/2012	9.39	9.75	9.26	9.67	8657852	147024352.000
02/29/2012	9.60	9.66	9.40	9.44	5469712	93061448.000
03/01/2012	9.51	9.65	9.44	9.48	3987322	67698976.000
03/02/2012	9.54	9.71	9.49	9.60	5624539	96267376.000
03/05/2012	9.65	9.69	9.49	9.52	4210793	71884632.000
03/06/2012	9.48	9.48	9.27	9.27	4162884	69303960.000
03/07/2012	9.20	9.34	9.14	9.18	2855417	47023676.000
03/08/2012	9.21	9.34	9.21	9.29	2932746	48564520.000
03/09/2012	9.32	9.44	9.28	9.42	3365126	56203076.000
03/12/2012	9.47	9.53	9.41	9.49	3604168	60755284.000
03/13/2012	9.54	9.55	9.42	9.54	3771547	63759328.000
03/14/2012	9.60	9.61	9.00	9.05	7445153	124358680.000
03/15/2012	9.01	9.12	8.70	8.82	3930626	62384804.000
03/16/2012	8.93	9.15	8.87	9.05	3461449	55875492.000
03/19/2012	9.07	9.14	8.94	9.13	3184384	51385212.000
03/20/2012	9.08	9.11	8.86	8.87	3126789	50041276.000
03/21/2012	8.94	9.13	8.88	9.01	2862963	46032224.000
03/22/2012	9.08	9.08	8.90	8.97	2008653	32200324.000
03/23/2012	8.97	8.97	8.73	8.76	2008683	31763996.000
03/26/2012	8.77	8.86	8.72	8.81	1201287	18851400.000
03/27/2012	8.91	8.94	8.75	8.77	1369435	21603492.000
03/28/2012	8.77	8.77	8.46	8.48	2587103	39590844.000
03/29/2012	8.54	8.59	8.37	8.45	1893986	28818808.000
03/30/2012	8.45	8.57	8.28	8.31	1680926	25267858.000
04/05/2012	8.31	8.54	8.29	8.51	1609576	24319406.000
04/06/2012	8.53	8.57	8.44	8.51	1574963	23987740.000
04/09/2012	8.51	8.51	8.32	8.35	1412863	21306920.000
04/10/2012	8.31	8.39	8.12	8.38	1952817	28926922.000
04/11/2012	8.27	8.43	8.25	8.33	1421693	21241268.000
04/13/2012	8.58	8.58	8.47	8.52	2685722	41051356.000
04/16/2012	8.51	8.52	8.42	8.47	1484154	22522016.000
04/17/2012	8.52	8.52	8.42	8.47	1445552	21975802.000
04/18/2012	8.59	8.77	8.59	8.77	3646843	56646152.000
04/19/2012	8.78	8.87	8.69	8.72	2557870	40091024.000
04/20/2012	8.72	8.79	8.65	8.74	1949507	30437766.000
04/23/2012	8.78	8.82	8.54	8.56	2545809	39486548.000
04/24/2012	8.56	8.68	8.31	8.44	2304907	34925400.000
04/25/2012	8.45	8.52	8.30	8.49	2120230	31934714.000
04/26/2012	8.51	8.55	8.35	8.45	2037006	30840844.000
04/27/2012	8.44	8.47	8.36	8.39	1552325	23386738.000
05/02/2012	8.55	8.58	8.45	8.52	2013571	30775486.000
05/03/2012	8.53	9.22	8.46	8.99	5659177	89718320.000
05/04/2012	9.02	9.22	8.97	8.98	6651607	107919432.000
