002484 江海股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.81	4.95	4.66	4.66	409865	6871783.000
01/05/2012	4.65	4.66	4.39	4.40	582723	9194784.000
01/06/2012	4.48	4.48	4.13	4.40	751844	11330121.000
01/09/2012	4.40	4.60	4.31	4.59	664966	10480372.000
01/10/2012	4.61	4.80	4.54	4.77	1068004	17561388.000
01/11/2012	4.74	4.85	4.74	4.79	638933	10723073.000
01/12/2012	4.72	4.85	4.72	4.79	668927	11210767.000
01/13/2012	4.75	4.90	4.48	4.53	1217955	20052808.000
01/16/2012	4.40	4.46	4.25	4.27	757065	11558782.000
01/17/2012	4.27	4.55	4.21	4.55	676276	10482471.000
01/18/2012	4.55	4.63	4.33	4.34	853658	13574664.000
01/19/2012	4.33	4.48	4.28	4.43	347496	5351588.500
01/20/2012	4.45	4.56	4.43	4.54	546569	8667313.000
01/30/2012	4.58	4.67	4.53	4.53	768454	12415435.000
01/31/2012	4.53	4.62	4.47	4.62	542522	8673241.000
02/01/2012	4.62	4.68	4.58	4.61	526977	8562574.000
02/02/2012	4.61	4.70	4.61	4.70	710718	11604994.000
02/03/2012	4.66	4.94	4.66	4.91	1493882	25271718.000
02/06/2012	4.91	5.09	4.84	5.04	2078293	36523044.000
02/07/2012	5.03	5.08	4.90	4.93	1110780	19397390.000
02/08/2012	4.88	5.08	4.88	5.07	1071636	18695672.000
02/09/2012	5.07	5.10	5.02	5.04	1001618	17677136.000
02/10/2012	5.03	5.07	4.93	5.00	862887	15062921.000
02/13/2012	4.99	5.18	4.90	5.13	1543414	27311792.000
02/14/2012	5.10	5.15	5.00	5.05	839169	14818088.000
02/15/2012	5.03	5.21	5.01	5.18	1153697	20667152.000
02/16/2012	5.17	5.25	5.07	5.14	1118000	20073660.000
02/17/2012	5.12	5.18	5.02	5.08	720071	12765217.000
02/20/2012	5.17	5.18	5.10	5.10	1093430	19587210.000
02/21/2012	5.08	5.19	4.99	5.18	1106080	19649028.000
02/22/2012	5.19	5.38	5.18	5.38	1978964	36505752.000
02/23/2012	5.39	5.41	5.30	5.37	1204367	22425552.000
02/24/2012	5.33	5.42	5.33	5.42	1144175	21418478.000
02/27/2012	5.41	5.58	5.38	5.41	1691523	32125642.000
02/28/2012	5.32	5.34	5.13	5.25	2953774	53513452.000
02/29/2012	5.19	5.19	5.02	5.04	2795173	49342284.000
03/01/2012	5.02	5.10	5.02	5.06	965026	17057420.000
03/02/2012	5.06	5.15	5.06	5.14	1128382	20106066.000
03/05/2012	5.14	5.24	5.14	5.15	1376130	24861322.000
03/06/2012	5.14	5.14	5.02	5.05	1237349	21806272.000
03/07/2012	5.02	5.15	4.99	5.05	1054322	18686696.000
03/08/2012	5.08	5.30	5.08	5.29	2025656	36831596.000
03/09/2012	5.28	5.38	5.27	5.36	1587000	29348340.000
03/12/2012	5.36	5.46	5.31	5.43	1947588	36484588.000
03/13/2012	5.42	5.45	5.36	5.44	1188378	22333690.000
03/14/2012	5.44	5.52	5.14	5.15	2133426	39604460.000
03/15/2012	5.13	5.22	5.00	5.13	1244975	22250386.000
03/16/2012	5.16	5.67	5.13	5.67	2487035	47081284.000
03/19/2012	5.63	5.84	5.59	5.76	3186801	63271456.000
03/20/2012	5.72	5.82	5.56	5.56	1832223	36211140.000
03/21/2012	5.62	6.01	5.44	5.94	3105793	61700516.000
03/22/2012	5.89	5.96	5.62	5.67	2735240	55039776.000
03/23/2012	5.47	5.49	5.23	5.27	3553740	66289172.000
03/26/2012	5.26	5.34	5.18	5.27	983087	18026592.000
03/27/2012	5.31	5.43	5.29	5.32	1010385	18864568.000
03/28/2012	5.19	5.30	4.97	4.98	1026674	18184918.000
03/29/2012	4.89	4.97	4.70	4.72	1188111	20033798.000
03/30/2012	4.72	4.78	4.51	4.73	829622	13552554.000
04/05/2012	4.74	4.97	4.63	4.93	973468	16615867.000
04/06/2012	4.96	5.00	4.87	4.91	864966	14872759.000
04/09/2012	4.88	4.90	4.72	4.72	395902	6659296.500
04/10/2012	4.68	4.76	4.56	4.75	637825	10374089.000
04/11/2012	4.72	4.80	4.62	4.79	513448	8512110.000
04/12/2012	4.78	5.01	4.78	4.97	1216580	20908912.000
04/13/2012	4.97	5.03	4.92	4.99	1036875	17998732.000
04/16/2012	4.98	4.98	4.92	4.96	519896	8987858.000
04/17/2012	4.94	4.97	4.87	4.88	482620	8271391.000
04/18/2012	4.89	5.02	4.88	4.99	589863	10208031.000
04/19/2012	4.99	5.09	4.99	5.02	890606	15669104.000
04/20/2012	5.02	5.06	4.96	5.06	638330	11180159.000
04/23/2012	5.06	5.07	4.84	4.88	802381	13898940.000
04/25/2012	4.83	4.83	4.72	4.76	790874	13177914.000
04/26/2012	4.73	4.73	4.46	4.56	1922192	30798888.000
04/27/2012	4.55	4.72	4.46	4.59	1970193	31619498.000
05/02/2012	4.64	4.68	4.57	4.64	1020516	16546588.000
05/03/2012	4.59	4.63	4.58	4.59	736795	11866585.000
05/04/2012	4.59	4.70	4.58	4.69	1003668	16378184.000
05/07/2012	4.69	4.85	4.66	4.85	1183783	19727874.000
05/08/2012	4.85	4.95	4.80	4.93	1254328	21490802.000
