002491 通鼎互联 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	2.79	2.79	2.64	2.64	445033	5153603.500
01/05/2012	2.64	2.69	2.51	2.53	739346	8172858.000
01/06/2012	2.53	2.59	2.51	2.58	412636	4473134.000
01/09/2012	2.58	2.71	2.54	2.71	560255	6328173.500
01/10/2012	2.71	2.82	2.70	2.80	1415920	16580073.000
01/11/2012	2.82	2.84	2.78	2.81	1015926	12064232.000
01/12/2012	2.78	2.84	2.77	2.80	773815	9173921.000
01/13/2012	2.79	2.80	2.63	2.65	1070686	12231855.000
01/16/2012	2.65	2.67	2.60	2.62	381050	4264599.500
01/17/2012	2.61	2.79	2.60	2.77	648792	7470642.500
01/18/2012	2.77	2.83	2.72	2.77	1022801	11996795.000
01/19/2012	2.77	2.82	2.73	2.80	569350	6708416.500
01/20/2012	2.81	2.87	2.78	2.87	1131964	13550642.000
01/30/2012	2.90	2.90	2.82	2.88	1120971	13489516.000
01/31/2012	2.87	2.92	2.84	2.92	1711487	20829106.000
02/01/2012	2.92	2.93	2.87	2.93	894794	10960020.000
02/02/2012	3.07	3.10	2.95	2.97	2041563	25643108.000
02/03/2012	2.97	3.09	2.95	3.05	1792000	22818272.000
02/06/2012	3.07	3.09	3.03	3.07	1318613	16909516.000
02/07/2012	3.10	3.17	3.04	3.08	2504385	32715766.000
02/08/2012	3.05	3.14	3.02	3.13	1714881	22206372.000
02/09/2012	3.10	3.19	3.10	3.11	1440247	18948354.000
02/10/2012	3.11	3.16	3.09	3.11	972218	12725407.000
02/13/2012	3.11	3.18	3.07	3.17	1220645	16113611.000
02/14/2012	3.15	3.19	3.13	3.15	796429	10525585.000
02/15/2012	3.13	3.20	3.11	3.18	859075	11404150.000
02/16/2012	3.17	3.21	3.11	3.13	1029200	13582822.000
02/17/2012	3.14	3.17	3.10	3.12	716513	9390335.000
02/20/2012	3.17	3.22	3.14	3.15	1449175	19292388.000
02/21/2012	3.16	3.26	3.13	3.24	1851430	24735962.000
02/22/2012	3.23	3.41	3.23	3.37	3711829	51639820.000
02/23/2012	3.34	3.43	3.34	3.37	2955129	41644000.000
02/24/2012	3.37	3.40	3.35	3.39	929221	13067844.000
02/27/2012	3.39	3.43	3.35	3.35	1409711	19951994.000
02/28/2012	3.29	3.32	3.20	3.22	2621918	35554592.000
02/29/2012	3.21	3.25	3.19	3.19	920456	12350362.000
03/01/2012	3.18	3.23	3.18	3.20	835897	11198090.000
03/02/2012	3.22	3.33	3.22	3.33	1670414	23028270.000
03/05/2012	3.34	3.35	3.27	3.28	2123954	29297938.000
03/06/2012	3.26	3.29	3.22	3.27	1076421	14645754.000
03/07/2012	3.25	3.42	3.22	3.36	3520852	49338332.000
03/08/2012	3.35	3.47	3.35	3.40	2027873	28929928.000
03/09/2012	3.41	3.43	3.37	3.43	1340325	19020816.000
03/12/2012	3.45	3.46	3.38	3.42	1508318	21490904.000
03/13/2012	3.42	3.43	3.38	3.43	1250219	17731696.000
03/14/2012	3.44	3.46	3.23	3.26	2266346	31769970.000
03/15/2012	3.27	3.30	3.21	3.27	1228387	16713839.000
03/16/2012	3.27	3.35	3.25	3.34	871879	12023250.000
03/19/2012	3.34	3.45	3.34	3.45	1400989	19930320.000
03/20/2012	3.42	3.45	3.35	3.37	1188484	16837532.000
03/21/2012	3.37	3.43	3.31	3.40	922638	12960117.000
03/22/2012	3.41	3.53	3.40	3.49	2746011	39713304.000
03/23/2012	3.47	3.47	3.32	3.35	1499194	21176988.000
03/26/2012	3.33	3.44	3.33	3.38	1603346	22606306.000
03/27/2012	3.34	3.34	3.26	3.33	2418119	33355662.000
03/28/2012	3.28	3.30	3.12	3.19	1277037	17092186.000
03/29/2012	3.18	3.19	3.09	3.17	820232	10820550.000
03/30/2012	3.16	3.23	3.12	3.13	519851	6890535.500
04/05/2012	3.16	3.24	3.12	3.24	1084438	14531901.000
04/06/2012	3.23	3.27	3.18	3.22	813701	10977610.000
04/09/2012	3.21	3.24	3.19	3.20	489200	6584648.500
04/10/2012	3.20	3.22	3.02	3.16	1035497	13526613.000
04/11/2012	3.15	3.16	3.08	3.13	604430	7903749.000
04/12/2012	3.13	3.21	3.13	3.21	858940	11407760.000
04/13/2012	3.21	3.24	3.19	3.23	1024257	13777799.000
04/16/2012	3.21	3.23	3.17	3.21	664289	8885655.000
04/17/2012	3.23	3.27	3.19	3.19	950993	12836739.000
04/18/2012	3.20	3.27	3.18	3.25	1043214	14144697.000
04/19/2012	3.26	3.27	3.24	3.26	627150	8536475.000
04/20/2012	3.26	3.35	3.26	3.33	1448839	20100366.000
04/24/2012	3.15	3.15	2.98	2.98	3552913	44989624.000
04/25/2012	2.98	3.01	2.94	2.99	1246096	15622215.000
04/26/2012	3.02	3.04	2.96	2.96	809991	10182168.000
04/27/2012	2.93	2.98	2.93	2.96	548600	6793467.000
05/02/2012	3.00	3.02	2.97	3.00	777224	9767494.000
05/03/2012	2.99	3.00	2.94	2.97	675464	8439361.000
05/04/2012	2.97	3.02	2.95	3.02	1110824	13933247.000
05/07/2012	3.01	3.06	2.97	3.05	952554	12145840.000
05/08/2012	3.01	3.05	2.99	3.02	1274305	16122626.000
05/09/2012	3.01	3.01	2.93	2.93	1038123	12909813.000
05/10/2012	2.93	2.96	2.91	2.93	571678	7062572.000
05/11/2012	2.93	2.96	2.93	2.96	462943	5749325.000
05/14/2012	2.99	3.01	2.94	2.95	511563	6390461.000
05/15/2012	2.95	2.95	2.87	2.93	468743	5761965.000
05/16/2012	2.93	2.93	2.86	2.87	486602	5937694.500
05/17/2012	2.86	2.94	2.86	2.93	406335	4979895.500
05/18/2012	2.94	2.94	2.62	2.85	535199	6430301.000
05/21/2012	2.82	2.89	2.82	2.84	376622	4452509.000
05/22/2012	2.88	2.89	2.84	2.87	251607	2992699.000
05/23/2012	2.87	2.91	2.85	2.88	485447	5791549.500
05/24/2012	2.88	2.94	2.88	2.90	622554	7535874.000
05/25/2012	2.93	2.95	2.88	2.90	590379	7146708.000
05/28/2012	2.90	2.94	2.85	2.93	583733	6998448.500
05/29/2012	2.93	2.99	2.91	2.97	911342	11123381.000
05/30/2012	3.00	3.00	2.95	2.95	483121	5926428.000
05/31/2012	2.97	3.00	2.95	2.99	674207	8300096.500
06/01/2012	3.00	3.00	2.94	2.95	496791	6103904.000
06/04/2012	2.89	2.89	2.80	2.80	805961	9488104.000
06/05/2012	2.81	2.81	2.77	2.78	397580	4602966.000
06/06/2012	2.79	2.81	2.77	2.78	270807	3130574.500
06/07/2012	2.81	2.84	2.76	2.77	292627	3401297.000
06/08/2012	2.79	2.81	2.75	2.78	234009	2706990.000
06/11/2012	2.79	2.85	2.78	2.83	325202	3811719.000
06/12/2012	2.83	2.87	2.83	2.86	362831	4302885.500
06/13/2012	2.85	2.88	2.83	2.88	488104	5799284.500
06/14/2012	2.88	2.88	2.85	2.87	383187	4558651.500
06/15/2012	2.89	2.95	2.87	2.90	1089524	13127933.000
06/19/2012	2.90	2.93	2.88	2.91	478569	5750476.000
06/20/2012	2.91	2.95	2.90	2.92	601009	7291795.000
06/21/2012	2.93	2.95	2.80	2.81	1054014	12419060.000
06/25/2012	2.82	2.82	2.75	2.77	372542	4309666.000
06/26/2012	2.77	2.78	2.71	2.76	355294	4055278.000
06/27/2012	2.78	2.79	2.74	2.74	372200	4277442.000
06/28/2012	2.74	2.78	2.73	2.74	280625	3203208.250
06/29/2012	2.71	2.76	2.67	2.75	366969	4151744.500
07/02/2012	2.78	2.78	2.74	2.75	541959	6215457.000
07/03/2012	2.77	2.88	2.74	2.83	1091210	12815985.000
07/04/2012	2.82	2.86	2.81	2.82	367900	4321059.000
07/05/2012	2.81	2.81	2.73	2.74	393625	4502860.500
07/06/2012	2.74	2.79	2.67	2.77	540090	6113575.000
07/09/2012	2.76	2.76	2.63	2.65	697011	7803739.500
07/10/2012	2.66	2.66	2.62	2.64	237675	2610929.750
07/11/2012	2.64	2.68	2.62	2.65	352200	3884535.000
07/12/2012	2.64	2.67	2.59	2.66	607501	6667244.000
07/13/2012	2.63	2.66	2.57	2.57	567800	6193686.000
07/16/2012	2.59	2.59	2.37	2.38	1030355	10462081.000
