002507 涪陵榨菜 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.01	4.05	3.80	3.81	752236	10876797.000
01/05/2012	3.79	3.84	3.59	3.61	593598	8167344.000
01/06/2012	3.61	3.77	3.55	3.73	409281	5565242.500
01/09/2012	3.69	3.92	3.69	3.90	448847	6376977.500
01/10/2012	3.88	4.06	3.87	4.02	835667	12298352.000
01/11/2012	4.02	4.04	3.93	4.01	360352	5314937.000
01/12/2012	4.01	4.12	3.92	3.93	408747	6007175.500
01/13/2012	3.94	4.02	3.75	3.86	420805	5998278.500
01/16/2012	3.78	3.95	3.78	3.84	292454	4196974.500
01/17/2012	3.86	4.03	3.74	4.03	573555	8359917.500
01/18/2012	4.03	4.08	3.93	3.94	320856	4751169.000
01/19/2012	3.94	3.98	3.87	3.93	378911	5515323.000
01/20/2012	3.99	4.08	3.93	4.04	595687	8872118.000
01/30/2012	4.07	4.09	4.01	4.02	206600	3076218.250
01/31/2012	4.07	4.07	3.97	4.02	165991	2453463.250
02/01/2012	4.02	4.07	3.99	4.01	170302	2528518.000
02/02/2012	4.01	4.09	4.00	4.08	319416	4765554.000
02/03/2012	4.08	4.13	4.06	4.12	346427	5230554.000
02/06/2012	4.11	4.17	4.11	4.16	435338	6636399.000
02/07/2012	4.12	4.16	4.04	4.06	306848	4598170.500
02/08/2012	4.04	4.14	4.01	4.13	411187	6194537.000
02/09/2012	4.13	4.17	4.11	4.14	494878	7542025.500
02/10/2012	4.12	4.17	4.11	4.12	424476	6464637.000
02/13/2012	4.09	4.18	4.06	4.16	467355	7083014.000
02/14/2012	4.18	4.18	4.11	4.14	429353	6533118.000
02/15/2012	4.16	4.22	4.11	4.22	740191	11363011.000
02/16/2012	4.22	4.27	4.13	4.19	654238	10107801.000
02/17/2012	4.21	4.21	4.14	4.17	416001	6372651.500
02/20/2012	4.21	4.28	4.19	4.20	562148	8745696.000
02/21/2012	4.20	4.27	4.15	4.27	711938	11032664.000
02/22/2012	4.28	4.42	4.28	4.40	1127773	18093796.000
02/23/2012	4.40	4.40	4.31	4.34	927031	14751231.000
02/24/2012	4.34	4.52	4.34	4.51	1279521	20733230.000
02/27/2012	4.51	4.63	4.43	4.46	1352355	22226086.000
02/28/2012	4.43	4.51	4.37	4.49	981850	15934133.000
02/29/2012	4.61	4.82	4.58	4.59	3709164	63088324.000
03/01/2012	4.49	4.60	4.44	4.56	1121139	18508548.000
03/02/2012	4.56	4.60	4.51	4.60	1099945	18247266.000
03/05/2012	4.60	4.63	4.52	4.53	957130	15885895.000
03/06/2012	4.51	4.52	4.41	4.50	859343	14001115.000
03/07/2012	4.43	4.55	4.42	4.45	401425	6567240.000
03/08/2012	4.46	4.52	4.46	4.48	443803	7263316.500
03/09/2012	4.49	4.58	4.48	4.56	774302	12829389.000
03/12/2012	4.60	4.71	4.53	4.64	1262254	21265534.000
03/13/2012	4.64	4.66	4.59	4.63	538320	9060155.000
03/14/2012	4.66	4.69	4.38	4.41	1494955	24914240.000
03/15/2012	4.41	4.58	4.32	4.55	1290704	20988020.000
03/16/2012	4.52	4.63	4.51	4.62	1207040	20163186.000
03/19/2012	4.67	4.70	4.61	4.66	1008906	17110082.000
03/20/2012	4.66	4.66	4.50	4.50	839071	13912180.000
03/21/2012	4.50	4.56	4.41	4.50	568184	9284689.000
03/22/2012	4.45	4.52	4.42	4.46	319067	5195564.500
03/23/2012	4.44	4.44	4.35	4.40	483613	7773324.000
03/26/2012	4.37	4.43	4.31	4.35	444456	7079198.500
03/27/2012	4.37	4.43	4.31	4.31	591817	9453594.000
03/28/2012	4.33	4.36	4.15	4.16	598735	9308690.000
03/29/2012	4.12	4.26	4.08	4.18	849820	12925518.000
03/30/2012	4.18	4.19	4.07	4.09	351987	5324342.500
04/05/2012	4.06	4.31	4.03	4.31	697433	10756965.000
04/06/2012	4.31	4.35	4.25	4.30	315901	4982468.000
04/09/2012	4.33	4.43	4.27	4.32	374338	5977205.000
04/10/2012	4.34	4.39	4.24	4.38	241215	3804769.250
04/11/2012	4.34	4.58	4.33	4.50	975881	15986590.000
04/12/2012	4.52	4.57	4.47	4.54	702231	11607230.000
04/13/2012	4.55	4.63	4.54	4.58	811486	13549089.000
04/16/2012	4.57	4.83	4.50	4.79	2532706	43626212.000
04/17/2012	4.75	4.94	4.74	4.85	1747105	30673360.000
04/18/2012	4.79	4.97	4.73	4.94	1727971	30641034.000
04/19/2012	4.93	4.97	4.88	4.90	1180108	21031474.000
04/20/2012	4.90	4.95	4.87	4.92	938869	16666437.000
04/24/2012	4.90	5.12	4.76	4.93	2201472	39493656.000
04/25/2012	4.96	5.09	4.93	5.00	1174159	21310694.000
04/26/2012	5.03	5.07	4.85	4.87	1077370	19148580.000
04/27/2012	4.83	4.96	4.83	4.94	545631	9703062.000
05/02/2012	4.95	5.02	4.87	4.95	1015207	18188062.000
05/03/2012	4.87	4.94	4.83	4.88	775222	13704208.000
05/04/2012	4.91	5.01	4.86	4.99	1232624	22072052.000
05/07/2012	4.99	5.36	4.93	5.35	2456785	46177644.000
05/08/2012	5.36	5.42	5.25	5.39	1278893	24539386.000
05/09/2012	5.38	5.38	5.21	5.24	1077609	20504440.000
05/10/2012	5.19	5.32	5.19	5.31	809918	15377892.000
05/11/2012	5.38	5.38	5.17	5.18	613837	11393500.000
05/14/2012	5.20	5.23	5.13	5.15	608408	11155821.000
05/15/2012	5.13	5.27	5.09	5.26	635571	11584004.000
05/16/2012	5.26	5.29	5.04	5.04	732364	13378633.000
05/17/2012	5.07	5.13	5.01	5.12	511162	9194771.000
