002508 老板电器 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.78	4.81	4.53	4.65	1154183	18297792.000
01/05/2012	4.59	4.61	4.28	4.44	1279868	19406430.000
01/06/2012	4.37	4.67	4.29	4.67	1040810	16099241.000
01/09/2012	4.66	4.91	4.61	4.88	2641404	42718928.000
01/10/2012	4.85	5.06	4.79	5.05	3682474	61264832.000
01/11/2012	5.01	5.02	4.87	5.00	2769285	46257800.000
01/12/2012	4.92	5.01	4.88	4.97	2247216	37430240.000
01/13/2012	4.97	5.00	4.74	4.87	1745624	28536684.000
01/16/2012	4.78	4.81	4.67	4.80	1074802	17305338.000
01/17/2012	4.78	5.04	4.75	5.01	2901815	48088616.000
01/18/2012	5.02	5.03	4.82	4.91	1993899	33031276.000
01/19/2012	4.91	4.98	4.79	4.96	1586693	26254592.000
01/20/2012	4.99	5.06	4.96	5.02	2025091	34191492.000
01/30/2012	5.03	5.05	4.84	4.85	1258650	20924972.000
01/31/2012	4.82	4.85	4.64	4.73	1394727	22320808.000
02/01/2012	4.70	4.73	4.47	4.50	1292417	20327260.000
02/02/2012	4.47	4.62	4.43	4.62	1361077	21070548.000
02/03/2012	4.60	4.69	4.53	4.65	1727617	27122114.000
02/06/2012	4.65	4.65	4.55	4.64	1704143	26744552.000
02/07/2012	4.60	4.60	4.48	4.57	1120909	17339892.000
02/08/2012	4.53	4.70	4.53	4.70	1990388	31290586.000
02/09/2012	4.71	4.80	4.64	4.76	2503731	40205800.000
02/10/2012	4.74	4.78	4.66	4.77	2340606	37563564.000
02/13/2012	4.74	4.87	4.68	4.85	2157080	34993364.000
02/14/2012	4.85	4.88	4.77	4.84	1389957	22644198.000
02/15/2012	4.76	4.94	4.75	4.93	2535097	41611216.000
02/16/2012	4.91	4.97	4.78	4.83	2332611	38378908.000
02/17/2012	4.83	4.87	4.75	4.81	1339362	21730904.000
02/20/2012	4.85	4.95	4.82	4.91	2457862	40643308.000
02/21/2012	4.90	5.14	4.84	5.13	6015674	101940272.000
02/22/2012	5.13	5.17	5.08	5.12	5681030	97254656.000
02/23/2012	5.09	5.23	5.03	5.10	3764100	64605908.000
02/24/2012	5.10	5.14	5.05	5.12	2925576	49981996.000
02/27/2012	5.11	5.21	4.98	5.04	7546301	129041448.000
02/28/2012	4.98	5.01	4.87	4.94	3478908	57866444.000
02/29/2012	4.92	4.98	4.87	4.89	2228379	37004100.000
03/01/2012	4.85	4.94	4.85	4.90	1350538	22369104.000
03/02/2012	4.90	5.03	4.90	5.01	2183830	36665924.000
03/05/2012	5.00	5.16	5.00	5.05	3418018	58307392.000
03/06/2012	5.03	5.06	4.85	4.87	3483151	57731740.000
03/07/2012	4.79	4.92	4.73	4.76	3134392	51095020.000
03/08/2012	4.77	4.89	4.77	4.80	2399021	39181276.000
03/09/2012	4.84	4.95	4.84	4.95	2604972	43021756.000
03/12/2012	4.96	5.13	4.93	5.10	4237434	71761544.000
03/13/2012	5.07	5.56	5.07	5.40	9332091	165578128.000
03/14/2012	5.38	5.45	5.06	5.15	7489742	131707096.000
03/15/2012	5.17	5.43	5.17	5.40	7433968	131596568.000
03/16/2012	5.35	5.65	5.35	5.61	7336682	134774512.000
