002526 山东矿机 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.51	6.56	6.12	6.12	2351001	30161120.000
01/05/2012	5.99	6.09	5.84	5.87	2106334	25416126.000
01/06/2012	5.87	5.97	5.70	5.93	1995209	23681072.000
01/09/2012	5.90	6.40	5.79	6.30	4670032	58297872.000
01/10/2012	6.27	6.79	6.22	6.75	6671109	88521536.000
01/11/2012	6.67	6.71	6.49	6.57	5772345	77304272.000
01/12/2012	6.52	6.87	6.49	6.75	5383698	73059600.000
01/13/2012	6.73	6.83	6.33	6.36	4479943	59147388.000
01/16/2012	6.22	6.36	6.03	6.04	2240089	28217924.000
01/17/2012	6.08	6.60	6.08	6.55	3818695	49171456.000
01/18/2012	6.53	6.73	6.42	6.54	3847974	51409188.000
01/19/2012	6.46	6.79	6.38	6.74	4916334	66319872.000
01/20/2012	6.74	6.81	6.57	6.65	5464076	73689152.000
01/30/2012	6.65	6.65	6.45	6.45	4599874	60902680.000
01/31/2012	6.49	6.49	6.22	6.35	4117052	52830000.000
02/01/2012	6.31	6.58	6.31	6.37	4327087	56669576.000
02/02/2012	6.40	6.64	6.36	6.64	5474388	72431608.000
02/03/2012	6.66	7.04	6.61	6.96	9213291	128794040.000
02/06/2012	6.92	7.38	6.81	7.31	11759520	169716000.000
02/07/2012	7.21	7.45	7.12	7.27	8784311	129514592.000
02/08/2012	7.22	7.46	7.10	7.35	7047011	104429320.000
02/09/2012	7.26	7.71	7.25	7.50	7100071	107781432.000
02/10/2012	7.41	7.57	7.31	7.43	4275789	64216292.000
02/13/2012	7.36	7.63	7.31	7.50	3760689	57009328.000
02/14/2012	7.50	7.58	7.36	7.46	2426319	36615420.000
02/15/2012	7.50	7.67	7.46	7.63	3822315	58505828.000
02/16/2012	7.61	7.75	7.40	7.49	3862123	59303120.000
02/17/2012	7.51	7.83	7.51	7.78	6674863	104326864.000
02/20/2012	7.90	7.95	7.67	7.68	3758903	59118716.000
02/21/2012	7.70	7.79	7.48	7.78	4158881	64090524.000
02/22/2012	7.73	8.16	7.66	8.16	10082398	162075440.000
02/23/2012	8.17	8.29	7.91	8.04	13644257	224277904.000
02/24/2012	8.07	8.10	7.88	8.01	8230318	132792576.000
02/27/2012	7.96	8.36	7.80	8.27	15062390	244728432.000
02/28/2012	8.30	8.89	8.25	8.51	28369573	486758976.000
02/29/2012	8.31	8.40	8.13	8.25	9910765	165757616.000
03/01/2012	8.23	8.37	8.16	8.23	6669766	111738960.000
03/02/2012	8.20	8.48	8.20	8.45	8134839	137801536.000
03/05/2012	8.51	8.51	8.32	8.34	6523540	110504320.000
03/06/2012	8.34	8.37	8.06	8.08	6139010	101258840.000
03/07/2012	7.96	8.19	7.96	7.98	5224258	85384272.000
03/08/2012	8.05	8.17	8.05	8.14	4228394	69462400.000
03/09/2012	8.17	8.38	8.16	8.33	6076065	102059672.000
03/12/2012	8.38	8.50	8.20	8.23	7456403	125649832.000
03/13/2012	8.30	8.64	8.29	8.63	10913111	187213936.000
03/14/2012	8.71	8.88	8.16	8.30	15971587	277478784.000
03/15/2012	8.26	8.49	8.16	8.41	8219986	139036288.000
03/16/2012	8.40	8.64	8.34	8.55	7792743	134003648.000
03/19/2012	8.56	8.74	8.49	8.73	8376920	146095792.000
03/20/2012	8.68	8.68	8.38	8.38	6282605	107832160.000
03/21/2012	8.46	8.53	8.04	8.23	7124139	118823544.000
03/22/2012	8.25	8.30	8.11	8.23	2817325	46816512.000
03/23/2012	8.21	8.22	7.92	7.95	4319206	70339032.000
03/26/2012	7.90	7.95	7.81	7.86	2831125	45092752.000
03/27/2012	7.92	8.03	7.87	7.98	2282143	36753096.000
03/28/2012	7.90	7.93	7.41	7.45	4399547	67692360.000
03/29/2012	7.45	7.45	6.98	7.14	3798688	55656284.000
03/30/2012	7.14	7.22	7.02	7.07	2038780	29378726.000
04/05/2012	7.10	7.39	7.07	7.35	3002352	44250792.000
04/06/2012	7.32	7.45	7.28	7.36	2184611	32576866.000
04/09/2012	7.33	7.33	7.17	7.17	2196633	32230056.000
04/10/2012	7.21	7.43	7.08	7.43	2647521	38939308.000
04/11/2012	7.34	7.54	7.31	7.52	3416098	51446852.000
04/12/2012	7.54	7.70	7.46	7.69	4236943	65309588.000
04/13/2012	7.70	7.73	7.58	7.68	3615882	56106628.000
04/16/2012	7.61	7.74	7.57	7.72	2449825	37997328.000
04/17/2012	7.73	7.78	7.52	7.52	2792734	43105768.000
04/18/2012	7.57	7.80	7.53	7.78	3282907	51044456.000
04/19/2012	7.85	8.14	7.85	7.98	9678078	156555216.000
04/20/2012	7.95	8.01	7.86	7.98	5008328	80306576.000
04/23/2012	8.00	8.00	7.73	7.75	3543393	56202340.000
04/24/2012	7.65	7.79	6.96	7.38	4221961	63131848.000
04/25/2012	7.36	7.42	7.16	7.38	2713507	40144808.000
04/26/2012	7.38	7.48	7.32	7.37	2378401	35569376.000
04/27/2012	7.37	7.39	7.18	7.22	2187171	32140264.000
05/02/2012	7.31	7.48	7.29	7.44	2916382	43708612.000
05/03/2012	7.44	7.59	7.38	7.56	3102998	47206532.000
05/04/2012	7.56	7.72	7.47	7.72	3055473	47063268.000
05/07/2012	7.69	7.99	7.69	7.98	5904617	94163696.000
05/08/2012	8.01	8.01	7.81	7.89	4663238	74478592.000
05/09/2012	7.83	8.01	7.77	7.87	4278802	68403616.000
05/11/2012	7.88	8.00	7.66	7.67	3720264	58568740.000
05/14/2012	7.76	7.91	7.68	7.69	3016108	47525552.000
05/15/2012	7.60	7.62	7.43	7.61	2423411	36838388.000
05/16/2012	7.69	7.85	7.66	7.71	3882338	60956844.000
05/17/2012	7.66	7.79	7.57	7.75	2806988	43766684.000
05/18/2012	7.69	7.74	7.46	7.51	2391727	36744224.000
05/21/2012	7.51	7.58	7.25	7.28	2714721	40471864.000
05/22/2012	7.32	7.38	7.14	7.22	4715481	34434848.000
05/23/2012	7.23	7.30	6.94	7.11	4548629	32792774.000
05/24/2012	7.09	7.16	7.01	7.04	3541159	25315462.000
05/25/2012	7.02	7.08	6.73	6.77	5257881	36549404.000
05/28/2012	6.72	7.03	6.63	7.03	4723634	32831954.000
05/29/2012	7.03	7.23	6.97	7.10	5826547	42029956.000
05/30/2012	7.13	7.17	7.05	7.10	4083920	29404196.000
05/31/2012	7.05	7.48	7.05	7.31	7392898	54516136.000
06/01/2012	7.27	7.38	7.12	7.21	4634554	34029316.000
06/04/2012	6.97	7.05	6.79	6.81	4594926	32239010.000
06/05/2012	6.82	6.91	6.78	6.80	2070143	14305145.000
06/06/2012	6.87	6.87	6.67	6.70	2630014	18028702.000
