002535 林州重机 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.37	6.49	6.24	6.24	1338820	14925975.000
01/05/2012	6.22	6.43	6.05	6.07	1509972	16555272.000
01/06/2012	6.06	6.17	5.67	5.84	1763056	18061960.000
01/09/2012	5.85	6.25	5.69	6.22	1625822	17308778.000
01/10/2012	6.16	6.61	6.16	6.58	2709669	30725574.000
01/11/2012	6.58	6.69	6.48	6.60	1961775	22579918.000
01/12/2012	6.58	6.65	6.46	6.49	1771526	20232858.000
01/13/2012	6.49	6.61	6.16	6.22	2098311	23231096.000
01/16/2012	6.10	6.30	6.03	6.03	650102	7029136.000
01/17/2012	6.00	6.52	6.00	6.49	1365595	15048369.000
01/18/2012	6.46	6.59	6.24	6.29	1455623	16286246.000
01/19/2012	6.16	6.45	6.16	6.43	1868418	20604724.000
01/30/2012	6.46	6.68	6.43	6.46	1472104	16833872.000
01/31/2012	6.45	6.78	6.45	6.77	2474971	28731900.000
02/01/2012	6.72	7.03	6.64	6.88	3015724	36297888.000
02/02/2012	6.86	6.94	6.76	6.94	1311782	15759147.000
02/03/2012	6.93	7.02	6.78	6.94	1804550	21793708.000
02/06/2012	6.94	7.22	6.90	7.07	2686826	33131618.000
02/07/2012	7.01	7.07	6.81	6.94	1930109	23318912.000
02/08/2012	6.88	7.10	6.85	7.06	1329375	16259194.000
02/09/2012	7.11	7.27	7.02	7.19	1842035	22954250.000
02/10/2012	7.17	7.22	6.96	7.03	2201937	27238850.000
02/13/2012	6.92	7.26	6.90	7.20	2525109	31383970.000
02/14/2012	7.23	7.35	7.16	7.34	2172848	27451500.000
02/15/2012	7.34	7.51	7.23	7.46	2137143	27652826.000
02/16/2012	7.40	7.61	7.33	7.55	1907205	24913128.000
02/17/2012	7.55	7.57	7.43	7.48	1977648	25728936.000
02/20/2012	7.58	7.68	7.41	7.46	2001375	26309778.000
02/21/2012	7.42	7.61	7.35	7.61	2947202	38302352.000
02/22/2012	7.58	7.83	7.56	7.80	2174434	29316704.000
02/23/2012	7.80	8.04	7.75	7.78	2625831	36045696.000
02/24/2012	7.79	7.93	7.71	7.78	2082680	28261242.000
02/27/2012	7.80	7.82	7.52	7.55	4922682	65632308.000
02/28/2012	7.58	7.65	7.46	7.59	2421468	31863028.000
02/29/2012	7.64	7.72	7.56	7.66	2429850	32370312.000
