002540 亚太科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	2.56	2.57	2.46	2.46	549350	7531621.500
01/05/2012	2.45	2.45	2.31	2.31	552623	7113027.000
01/06/2012	2.30	2.37	2.28	2.35	354366	4494785.500
01/09/2012	2.33	2.48	2.32	2.48	686491	9071237.000
01/10/2012	2.46	2.61	2.45	2.60	1494677	20657016.000
01/11/2012	2.62	2.62	2.55	2.58	800981	11197212.000
01/12/2012	2.55	2.66	2.53	2.63	1183690	16684575.000
01/13/2012	2.62	2.62	2.46	2.46	1053778	14437071.000
01/16/2012	2.41	2.42	2.34	2.35	519924	6778814.000
01/18/2012	2.61	2.61	2.54	2.61	4792396	67700568.000
01/19/2012	2.56	2.76	2.54	2.71	4605841	65534860.000
01/20/2012	2.68	2.70	2.62	2.65	2787013	39991748.000
01/30/2012	2.66	2.67	2.59	2.61	1592460	22623570.000
01/31/2012	2.61	2.66	2.60	2.65	1746137	24902196.000
02/01/2012	2.65	2.65	2.54	2.54	1783566	25104242.000
02/02/2012	2.54	2.60	2.52	2.60	1233038	17160346.000
02/03/2012	2.60	2.67	2.59	2.66	1849615	26417726.000
02/06/2012	2.68	2.74	2.65	2.68	2548478	37044384.000
02/07/2012	2.67	2.67	2.56	2.59	1840681	25899112.000
02/08/2012	2.58	2.75	2.58	2.75	3424831	49779784.000
02/09/2012	2.77	2.78	2.71	2.72	3518025	52153528.000
02/10/2012	2.74	2.75	2.70	2.74	2104001	31025052.000
02/13/2012	2.70	2.78	2.66	2.78	2199126	32595246.000
02/14/2012	2.80	2.87	2.77	2.80	2857336	43334064.000
02/15/2012	2.80	2.89	2.76	2.86	3115736	47688196.000
02/16/2012	2.86	2.86	2.80	2.83	2032069	31027506.000
02/17/2012	2.84	2.88	2.78	2.80	1646911	25037576.000
02/20/2012	2.85	2.86	2.76	2.78	1854956	28033344.000
02/21/2012	2.79	2.81	2.73	2.81	1956190	29255792.000
02/22/2012	2.82	2.89	2.80	2.89	3142948	48423984.000
02/23/2012	2.92	2.96	2.89	2.92	3213580	50501720.000
02/24/2012	2.93	2.95	2.89	2.94	2440644	38256772.000
02/27/2012	2.96	3.03	2.93	2.94	2721599	43587616.000
02/28/2012	2.92	2.93	2.86	2.89	1998980	31034428.000
02/29/2012	2.89	2.92	2.84	2.86	1322927	20517414.000
03/01/2012	2.84	2.90	2.83	2.88	1256053	19401720.000
03/02/2012	2.88	2.93	2.88	2.93	1509959	23628128.000
03/05/2012	2.93	2.95	2.90	2.91	1396145	21985660.000
03/06/2012	2.90	2.90	2.82	2.82	1624808	24889910.000
03/07/2012	2.79	2.88	2.78	2.86	1419647	21554882.000
03/08/2012	2.85	3.00	2.84	2.98	3770882	59579776.000
03/09/2012	3.00	3.07	2.96	3.06	3544837	57413128.000
03/12/2012	3.06	3.07	2.98	3.03	2012468	32634196.000
03/13/2012	3.04	3.06	2.99	3.06	1472657	23934560.000
03/14/2012	3.08	3.08	2.79	2.84	3098835	49352792.000
03/15/2012	2.84	2.86	2.76	2.81	1662579	25192420.000
03/16/2012	2.81	2.91	2.81	2.90	1759436	27140214.000
03/19/2012	2.90	2.95	2.88	2.95	1670850	26136988.000
03/20/2012	2.94	2.94	2.82	2.89	1535242	23761360.000
03/21/2012	2.88	3.04	2.86	3.01	3915909	62576676.000
03/22/2012	3.01	3.02	2.94	2.95	2141055	34245440.000
03/23/2012	2.94	2.99	2.86	2.87	1502839	23720130.000
03/26/2012	2.87	2.89	2.76	2.80	1759035	26619864.000
03/27/2012	2.81	2.85	2.78	2.85	1415245	21535710.000
03/28/2012	2.84	2.90	2.67	2.76	4437721	67048416.000
03/29/2012	2.58	2.63	2.48	2.50	3033168	41705888.000
03/30/2012	2.48	2.52	2.42	2.45	1331906	17828486.000
