002550 千红制药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	2.86	2.91	2.82	2.84	891327	22755082.000
01/05/2012	2.82	2.82	2.61	2.62	869115	20957324.000
01/06/2012	2.62	2.64	2.45	2.52	1332614	30144716.000
01/09/2012	2.55	2.67	2.50	2.67	860115	20098772.000
01/10/2012	2.67	2.81	2.67	2.80	1231414	30314526.000
01/11/2012	2.80	2.86	2.75	2.78	1098966	27421192.000
01/12/2012	2.76	2.82	2.74	2.76	776895	19213014.000
01/13/2012	2.79	2.80	2.58	2.58	944541	22580038.000
01/16/2012	2.58	2.59	2.43	2.46	498686	11338459.000
01/17/2012	2.44	2.64	2.44	2.63	754276	17310168.000
01/18/2012	2.63	2.69	2.50	2.51	756306	17682164.000
01/19/2012	2.51	2.61	2.49	2.55	695405	15999155.000
01/20/2012	2.57	2.66	2.56	2.64	908598	21289494.000
01/30/2012	2.64	2.69	2.56	2.66	803211	19072552.000
01/31/2012	2.66	2.68	2.61	2.64	408180	9651016.000
02/01/2012	2.64	2.71	2.62	2.67	816755	19485308.000
02/02/2012	2.66	2.70	2.64	2.70	621043	14872830.000
02/03/2012	2.68	2.76	2.67	2.75	1010365	24535454.000
02/06/2012	2.76	2.76	2.70	2.72	1059046	25701850.000
02/07/2012	2.71	2.71	2.61	2.64	1006721	23850990.000
02/08/2012	2.61	2.71	2.61	2.71	777274	18612490.000
02/09/2012	2.69	2.79	2.67	2.77	1396035	34156160.000
02/10/2012	2.75	2.79	2.74	2.77	1036826	25546744.000
02/13/2012	2.75	2.90	2.72	2.85	1371191	34499788.000
02/14/2012	2.85	2.88	2.81	2.85	930024	23514826.000
02/15/2012	2.85	2.87	2.81	2.87	1124879	28516674.000
02/16/2012	2.84	2.88	2.76	2.78	1862289	46658380.000
02/17/2012	2.78	2.80	2.73	2.80	1001249	24737684.000
02/20/2012	2.80	2.88	2.80	2.82	1665676	42023512.000
02/21/2012	2.82	2.83	2.77	2.82	1171256	29248098.000
02/22/2012	2.83	2.92	2.82	2.92	2145514	54902808.000
02/23/2012	2.93	2.98	2.89	2.92	1693086	44040268.000
02/24/2012	2.92	2.96	2.88	2.96	2035846	52698252.000
02/27/2012	2.96	2.99	2.92	2.93	2041525	53356276.000
02/28/2012	2.92	2.92	2.84	2.88	1439246	36812140.000
02/29/2012	2.89	2.92	2.85	2.88	769590	19712270.000
03/01/2012	2.85	2.89	2.85	2.86	781521	19920268.000
03/02/2012	2.86	2.94	2.86	2.93	1198033	30848652.000
03/05/2012	2.93	2.99	2.92	2.98	1915656	50088988.000
03/06/2012	2.97	2.97	2.91	2.93	1339256	34875988.000
03/07/2012	2.91	2.94	2.89	2.89	1030427	26639500.000
03/08/2012	2.89	2.93	2.89	2.92	949863	24565200.000
03/09/2012	2.92	2.99	2.92	2.98	1410918	37056172.000
03/12/2012	2.99	3.03	2.96	3.02	1964108	52137960.000
03/13/2012	3.02	3.08	3.01	3.04	1662347	44659004.000
03/14/2012	3.05	3.07	2.82	2.83	2022803	53246260.000
03/15/2012	2.85	3.15	2.81	3.15	5222274	141320384.000
03/16/2012	3.24	3.29	3.15	3.22	6466063	182739264.000
03/19/2012	3.19	3.24	3.16	3.20	2797566	78829312.000
03/20/2012	3.19	3.19	3.06	3.07	2418199	66535892.000
03/21/2012	3.07	3.11	2.99	3.03	1558409	41908320.000
03/22/2012	3.02	3.06	3.02	3.04	1285790	34572388.000
03/23/2012	3.04	3.04	2.89	2.92	1991153	52032936.000
03/26/2012	2.95	3.20	2.95	3.07	3140864	85560920.000
