002557 洽洽食品 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	10.45	10.75	10.45	10.54	404831	10055446.000
01/05/2012	10.40	10.66	10.08	10.28	213340	5194583.000
01/06/2012	10.08	10.80	9.62	10.80	479880	11462790.000
01/09/2012	10.59	10.79	10.34	10.69	369837	9147512.000
01/10/2012	10.77	10.84	10.50	10.84	821834	20548960.000
01/11/2012	10.71	10.82	10.54	10.79	392698	9816019.000
01/12/2012	10.69	10.76	10.24	10.54	582077	14321797.000
01/13/2012	10.46	10.62	9.90	9.90	456469	10917355.000
01/16/2012	9.71	9.93	8.70	8.70	887526	19687392.000
01/17/2012	8.75	9.25	8.46	9.21	676637	14504914.000
01/18/2012	9.06	9.36	8.64	9.06	435482	9562245.000
01/19/2012	9.00	9.28	8.85	9.09	358810	7867266.000
01/20/2012	9.35	9.61	9.02	9.57	439922	9961745.000
01/30/2012	9.67	9.70	9.22	9.54	98714	2253618.250
01/31/2012	9.37	9.67	9.37	9.66	123463	2810815.750
02/01/2012	9.54	10.40	9.54	9.79	418134	9855750.000
02/02/2012	9.69	10.06	9.69	9.90	158644	3711542.250
02/03/2012	9.84	10.21	9.84	10.20	285053	6816704.500
02/06/2012	10.22	10.39	10.04	10.17	406768	9735916.000
02/07/2012	9.99	10.15	9.83	9.93	128499	3028460.500
02/08/2012	9.93	10.22	9.79	10.11	130825	3104619.250
02/09/2012	10.11	10.25	9.93	10.03	242971	5801516.000
02/10/2012	9.94	10.09	9.85	10.04	187722	4423670.000
02/13/2012	10.03	10.22	9.85	10.18	165895	3970241.000
02/14/2012	10.17	10.26	10.09	10.26	167809	4027859.000
02/15/2012	10.23	10.23	9.79	10.12	387288	9203364.000
02/16/2012	10.08	10.11	9.82	9.87	376581	8860150.000
02/17/2012	9.87	10.02	9.82	9.95	363095	8519593.000
02/20/2012	10.01	10.07	9.90	9.92	258557	6110825.500
02/21/2012	10.11	10.28	10.03	10.28	811698	19456114.000
02/22/2012	10.28	10.44	10.21	10.40	554920	13456657.000
02/23/2012	10.32	10.90	10.32	10.85	1258632	31341088.000
02/24/2012	10.84	10.95	10.75	10.87	544596	13771309.000
02/27/2012	10.90	10.95	10.79	10.80	571691	14504804.000
02/28/2012	10.79	10.85	10.68	10.85	323474	8131754.500
02/29/2012	10.89	10.93	10.60	10.60	278276	6977384.500
03/01/2012	10.59	10.64	10.52	10.61	226158	5596220.000
03/02/2012	10.58	10.72	10.58	10.69	225663	5625343.500
03/05/2012	10.60	10.81	10.60	10.79	280091	7018934.000
03/06/2012	10.84	10.84	10.65	10.65	182030	4556019.500
