002561 徐家汇 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	10.00	10.70	9.99	10.30	4813923	59101560.000
01/05/2012	10.01	10.87	9.85	10.40	3571605	43684596.000
01/06/2012	10.32	10.69	10.01	10.52	2043921	24798360.000
01/09/2012	10.52	10.94	10.36	10.92	3107977	38810696.000
01/10/2012	10.80	11.43	10.65	11.32	4126433	53278480.000
01/11/2012	11.28	11.40	11.08	11.21	2228067	29086780.000
01/12/2012	11.13	11.45	11.12	11.15	1618888	21131796.000
01/13/2012	11.14	11.20	10.30	10.40	3406382	42207044.000
01/16/2012	10.20	10.30	10.00	10.05	1402851	16743114.000
01/17/2012	9.91	10.81	9.91	10.80	1994799	24507320.000
01/18/2012	10.83	10.85	10.30	10.56	1799809	22318012.000
01/19/2012	10.44	10.84	10.40	10.83	1172856	14663057.000
01/20/2012	11.08	11.14	10.85	11.09	1417851	18174082.000
01/30/2012	11.09	11.30	10.97	11.22	1542824	19933214.000
01/31/2012	11.20	11.30	10.72	11.05	1913196	24463968.000
02/01/2012	10.46	10.62	10.23	10.34	4223643	51579032.000
02/02/2012	10.28	10.51	10.25	10.48	1798506	21869618.000
02/03/2012	10.40	10.58	10.35	10.58	2592379	31781694.000
02/06/2012	10.54	10.61	10.38	10.54	2558982	31398490.000
02/07/2012	10.48	10.48	10.08	10.21	2045892	24638150.000
02/08/2012	10.23	10.50	10.17	10.47	1913388	23297660.000
02/09/2012	10.47	10.68	10.42	10.57	2600964	32163718.000
02/10/2012	10.58	10.80	10.50	10.73	3085937	38481532.000
02/13/2012	10.79	10.92	10.65	10.90	2861719	36181672.000
02/14/2012	10.84	10.87	10.65	10.80	1562581	19590526.000
02/15/2012	10.70	11.05	10.70	11.03	2331774	29563406.000
02/16/2012	11.00	11.08	10.75	10.87	2251052	28590466.000
02/17/2012	10.90	10.93	10.75	10.85	1434417	18157072.000
02/20/2012	10.95	11.04	10.85	10.85	2015594	25680460.000
02/21/2012	10.85	10.93	10.56	10.89	2014561	25317162.000
02/23/2012	11.10	11.34	11.05	11.13	5270668	68458536.000
02/24/2012	11.21	11.68	11.21	11.50	5204306	69132248.000
02/27/2012	11.70	11.70	11.47	11.53	4591698	61267440.000
02/28/2012	11.47	11.63	11.28	11.63	2950649	39019868.000
02/29/2012	11.63	11.63	11.36	11.54	2493650	33202062.000
03/01/2012	11.26	11.40	11.17	11.21	2813422	35715236.000
03/02/2012	11.19	11.29	11.17	11.26	3239793	41060644.000
03/05/2012	11.23	11.45	11.22	11.38	3722510	47571008.000
03/06/2012	11.28	11.29	10.78	10.87	5483539	67915264.000
03/07/2012	10.73	10.85	10.57	10.77	3669777	44567724.000
03/08/2012	10.76	10.94	10.76	10.87	2854908	35162192.000
03/09/2012	10.89	11.04	10.83	11.04	3726249	46151504.000
03/12/2012	11.07	11.11	10.98	11.08	3575141	44645984.000
03/13/2012	11.10	11.25	11.07	11.23	4744435	59797764.000
03/14/2012	11.27	11.31	10.56	10.65	5056977	62974624.000
03/15/2012	10.65	10.74	10.27	10.46	3013310	35961484.000
03/16/2012	10.42	10.83	10.42	10.78	2479888	29995418.000
03/19/2012	10.80	10.93	10.74	10.93	2917109	35846576.000
03/20/2012	10.93	10.93	10.55	10.56	2082025	25239976.000
03/21/2012	10.63	10.80	10.53	10.69	1657691	20013404.000
03/22/2012	10.71	10.74	10.60	10.64	1147500	13894739.000
03/23/2012	10.64	10.64	10.34	10.37	1414950	16864454.000
03/26/2012	10.46	10.48	10.31	10.40	843052	9963269.000
03/27/2012	10.44	10.50	10.35	10.36	952614	11288220.000
03/28/2012	10.30	10.35	9.77	9.80	2012074	23085854.000
03/29/2012	9.83	9.90	9.64	9.70	1434015	16088178.000
03/30/2012	9.80	9.80	9.57	9.72	1263330	14049947.000
04/05/2012	9.74	9.96	9.58	9.86	2510041	28262344.000
04/06/2012	9.90	9.94	9.78	9.82	2293465	25928918.000
04/09/2012	9.82	9.85	9.44	9.46	2729408	30192698.000
04/10/2012	9.41	9.45	9.17	9.45	3119244	33580428.000
04/11/2012	9.35	9.48	9.24	9.38	2753409	29707800.000
04/12/2012	9.41	9.69	9.36	9.67	5130768	56335064.000
04/13/2012	9.69	9.99	9.64	9.90	5925989	66723004.000
04/16/2012	9.84	9.86	9.70	9.79	3542858	39744904.000
04/17/2012	9.79	9.90	9.67	9.74	3414430	38314656.000
04/18/2012	9.78	9.93	9.72	9.90	4033423	45559292.000
04/19/2012	9.91	9.94	9.77	9.86	2927439	33091884.000
04/20/2012	9.84	10.01	9.79	9.99	3536116	40183672.000
04/23/2012	9.97	10.03	9.70	9.73	3635340	41067840.000
04/24/2012	9.62	9.81	9.21	9.52	3901818	42711756.000
04/25/2012	9.52	9.74	9.42	9.72	2350960	26010842.000
04/26/2012	9.74	9.85	9.70	9.78	2198961	24659410.000
04/27/2012	9.78	9.78	9.60	9.67	1630307	18143212.000
05/02/2012	9.80	9.97	9.75	9.91	3111421	35170220.000
05/03/2012	9.90	9.98	9.85	9.95	2627997	29886044.000
05/04/2012	9.97	10.11	9.90	10.09	3417523	39171584.000
05/07/2012	10.05	10.13	9.91	10.13	2937638	33586988.000
05/08/2012	10.11	10.11	9.94	10.00	2628327	30097922.000
05/09/2012	9.92	9.93	9.74	9.76	2146958	24190368.000
05/10/2012	9.79	9.82	9.69	9.75	1448289	16226513.000
05/11/2012	9.76	9.87	9.71	9.75	1179294	13230019.000
05/14/2012	9.84	9.87	9.71	9.75	1501762	16885540.000
05/15/2012	9.67	9.73	9.60	9.73	1269380	14077332.000
05/16/2012	9.73	9.79	9.68	9.68	1098595	12277766.000
05/17/2012	9.71	9.92	9.67	9.88	1954287	22010612.000
05/18/2012	9.84	9.84	9.59	9.61	1956260	21823880.000
05/21/2012	9.58	9.65	9.47	9.51	1332629	14637891.000
05/22/2012	9.55	9.62	9.52	9.61	993249	10943285.000
05/23/2012	9.66	9.66	9.40	9.46	1177269	12881465.000
05/24/2012	9.42	9.51	9.42	9.44	844457	9198005.000
05/25/2012	9.44	9.46	9.22	9.26	1483792	15949726.000
05/28/2012	9.26	9.38	9.16	9.37	1582209	16912388.000
05/29/2012	9.36	9.53	9.32	9.49	1453478	15837267.000
05/30/2012	9.46	9.54	9.42	9.52	1311676	14327307.000
05/31/2012	9.46	9.54	9.41	9.47	1030397	11240848.000
06/01/2012	9.49	9.80	9.46	9.76	2658290	29468368.000
06/04/2012	9.61	9.76	9.26	9.33	2357446	25907688.000
06/05/2012	9.36	9.44	9.29	9.32	1238060	13353497.000
06/06/2012	9.32	9.38	9.29	9.34	754110	8125522.000
06/07/2012	9.39	9.47	9.24	9.27	818161	8843852.000
06/08/2012	9.36	9.38	9.10	9.14	1387924	14768592.000
06/11/2012	9.15	9.27	9.07	9.24	1113534	11819624.000
06/12/2012	9.21	9.22	9.10	9.12	753500	7963808.000
06/13/2012	9.12	9.30	9.12	9.28	1028388	10972218.000
06/14/2012	9.26	9.35	9.22	9.23	998704	10716123.000
06/15/2012	9.32	9.35	9.23	9.35	1360062	14606878.000
06/18/2012	9.41	9.46	9.36	9.41	1074485	11663230.000
06/19/2012	9.42	9.42	9.26	9.29	810310	8720648.000
06/20/2012	9.29	9.50	9.29	9.39	1387800	15066686.000
06/21/2012	9.36	9.36	9.16	9.18	1145681	12210750.000
06/25/2012	9.18	9.18	9.06	9.07	811401	8558338.000
06/26/2012	9.01	9.15	8.99	9.08	712735	7478105.000
06/27/2012	9.09	9.15	9.01	9.02	663880	6987731.000
06/28/2012	9.02	9.11	8.81	8.81	1081174	11276579.000
06/29/2012	8.77	8.95	8.69	8.92	870953	8936019.000
07/02/2012	9.02	9.06	8.93	9.02	768805	8027764.500
07/03/2012	9.03	9.11	8.97	9.01	992412	10403812.000
07/04/2012	8.98	9.04	8.93	8.95	567700	5913609.000
07/05/2012	8.95	8.95	8.72	8.73	832658	8508394.000
07/06/2012	8.74	8.89	8.74	8.87	794606	8135464.000
07/09/2012	8.81	8.87	8.61	8.62	949700	9654225.000
07/10/2012	8.61	8.69	8.51	8.55	923426	9244579.000
07/11/2012	8.56	8.59	8.49	8.58	431029	4307694.500
07/12/2012	8.57	8.64	8.43	8.63	1281449	12803117.000
07/13/2012	8.61	8.61	8.45	8.47	1029993	10253340.000
07/16/2012	8.47	8.53	7.94	7.95	1734974	16714458.000
07/17/2012	7.94	8.08	7.92	8.01	613105	5769540.000
07/18/2012	8.00	8.08	7.92	8.08	1188201	11224769.000
07/19/2012	8.08	8.41	8.02	8.30	2285377	22245296.000
07/20/2012	8.26	8.26	8.08	8.10	1198550	11497517.000
07/23/2012	8.04	8.08	7.93	7.98	759721	7167043.500
07/24/2012	7.94	8.20	7.92	8.12	769513	7311864.000
07/25/2012	8.09	8.15	7.97	8.06	670023	6373304.500
07/26/2012	8.08	8.14	7.96	7.96	863191	8191914.500
07/27/2012	7.97	8.05	7.96	8.02	543411	5129827.500
07/30/2012	8.01	8.09	7.93	7.93	739679	6984570.000
07/31/2012	7.94	7.99	7.75	7.77	517473	4783612.500
08/01/2012	7.78	7.98	7.77	7.88	613067	5713485.500
08/02/2012	7.90	7.92	7.76	7.79	377909	3504975.250
08/03/2012	7.83	8.46	7.83	8.14	1866225	17784806.000
08/06/2012	8.13	8.26	8.01	8.26	1711163	16456063.000
08/07/2012	8.19	8.70	8.16	8.70	4015661	39844580.000
08/08/2012	8.54	8.70	8.44	8.48	2925516	29179776.000
08/09/2012	8.56	8.56	8.39	8.55	1534529	15213136.000
08/10/2012	8.49	8.55	8.37	8.45	1121473	11070526.000
08/13/2012	8.44	8.45	8.17	8.17	1078042	10504449.000
08/14/2012	8.21	8.21	8.05	8.17	1048414	10028156.000
08/15/2012	8.17	8.17	7.96	7.98	1147779	10885584.000
08/16/2012	7.98	8.07	7.92	7.95	638091	6026970.500
08/17/2012	7.96	8.07	7.94	8.03	540305	5097541.500
08/20/2012	8.00	8.05	7.86	8.02	569224	5354478.500
08/21/2012	7.99	8.19	7.96	8.13	1214608	11589117.000
08/22/2012	8.15	8.18	7.98	7.99	706712	6715064.500
08/23/2012	8.02	8.15	7.99	8.13	944590	8982931.000
08/24/2012	8.07	8.11	7.92	7.92	824078	7764161.000
08/27/2012	7.86	7.87	7.56	7.60	901855	8285281.500
08/28/2012	7.61	7.72	7.61	7.66	534251	4861471.500
08/29/2012	7.64	7.70	7.58	7.58	451841	4103608.500
08/30/2012	7.60	7.66	7.52	7.54	727670	6560268.000
