002583 海能达 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.72	3.74	3.61	3.61	579577	11869026.000
01/05/2012	3.61	3.65	3.34	3.36	689087	13477518.000
01/06/2012	3.36	3.43	3.31	3.36	732389	13865297.000
01/09/2012	3.36	3.58	3.32	3.58	1048225	20334852.000
01/10/2012	3.55	3.68	3.55	3.66	1388360	28202470.000
01/11/2012	3.66	3.72	3.63	3.70	1512383	31252562.000
01/12/2012	3.69	3.70	3.53	3.58	968253	19510474.000
01/13/2012	3.58	3.58	3.21	3.21	2750053	50433148.000
01/16/2012	3.11	3.11	2.88	2.90	3708697	61156076.000
01/17/2012	2.84	3.04	2.84	3.03	1606428	27001392.000
01/18/2012	3.04	3.05	2.74	2.81	1778857	28774302.000
01/19/2012	2.75	2.85	2.75	2.81	970547	15482545.000
01/20/2012	2.81	2.96	2.81	2.93	888260	14433199.000
01/30/2012	2.98	3.09	2.90	2.95	872412	14843494.000
01/31/2012	2.95	3.01	2.87	2.99	573399	9530027.000
02/01/2012	2.96	3.03	2.94	2.97	384201	6457043.000
02/02/2012	2.96	3.04	2.96	3.03	579819	9817269.000
02/03/2012	3.03	3.17	3.00	3.13	1057157	18462464.000
02/06/2012	3.10	3.33	3.10	3.23	1222252	22216100.000
02/07/2012	3.23	3.28	3.13	3.26	864611	15581726.000
02/09/2012	3.31	3.32	3.19	3.23	1671765	30555804.000
02/10/2012	3.24	3.25	3.15	3.19	1301885	23376872.000
02/13/2012	3.16	3.23	3.12	3.19	1485517	26686952.000
02/14/2012	3.19	3.21	3.08	3.10	1692688	29817894.000
02/15/2012	3.10	3.26	3.07	3.24	3726808	66998524.000
02/16/2012	3.21	3.34	3.20	3.28	2882115	53135300.000
02/17/2012	3.27	3.29	3.20	3.23	1267766	23058256.000
02/20/2012	3.27	3.32	3.23	3.29	2411773	44529708.000
02/21/2012	3.31	3.34	3.25	3.33	2086786	38673288.000
02/22/2012	3.32	3.45	3.29	3.41	3697861	70210960.000
02/23/2012	3.40	3.56	3.36	3.56	4016846	79000944.000
02/24/2012	3.53	3.60	3.51	3.55	1682419	33508654.000
02/27/2012	3.55	3.57	3.48	3.51	1825214	36055532.000
02/28/2012	3.51	3.53	3.37	3.40	1519798	29227926.000
02/29/2012	3.39	3.41	3.25	3.27	2186946	40771932.000
03/01/2012	3.25	3.29	3.14	3.27	3661411	66202572.000
03/02/2012	3.28	3.41	3.28	3.41	4091601	77407800.000
03/05/2012	3.46	3.46	3.35	3.35	3618214	68753872.000
03/06/2012	3.35	3.35	3.21	3.27	2461476	45188040.000
03/07/2012	3.24	3.29	3.22	3.23	1597233	29312646.000
03/08/2012	3.25	3.29	3.24	3.27	2616872	48137456.000
03/09/2012	3.30	3.34	3.22	3.34	4371241	80486224.000
03/12/2012	3.35	3.49	3.33	3.48	8740121	167639472.000
03/13/2012	3.45	3.46	3.41	3.44	5046914	97364080.000
03/14/2012	3.45	3.52	3.22	3.25	6284352	119976848.000
03/15/2012	3.25	3.28	3.11	3.15	3014842	53925240.000
03/16/2012	3.16	3.27	3.11	3.26	3286159	59002536.000
03/19/2012	3.25	3.29	3.20	3.28	2897354	52814096.000
03/20/2012	3.33	3.45	3.29	3.30	6231448	118477072.000
03/21/2012	3.26	3.30	3.13	3.23	3317051	59945188.000
03/22/2012	3.23	3.28	3.18	3.23	1845204	33557040.000
03/23/2012	3.23	3.26	3.17	3.21	1581301	28584232.000
03/26/2012	3.19	3.21	3.09	3.11	1658190	29221504.000
03/27/2012	3.01	3.01	2.83	2.86	6343490	104599544.000
03/28/2012	2.84	2.84	2.75	2.78	4868633	76542632.000
03/29/2012	2.76	2.78	2.63	2.72	3731107	56896816.000
