002589 瑞康医药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.35	6.39	6.02	6.09	201230	5125792.500
01/05/2012	6.08	6.08	5.56	5.67	359779	8535058.000
01/06/2012	5.71	5.71	5.49	5.64	325474	7498788.000
01/09/2012	5.58	5.88	5.56	5.87	776310	18254592.000
01/10/2012	5.81	6.03	5.79	5.96	571694	13905092.000
01/11/2012	5.91	6.09	5.88	5.93	314083	7695422.000
01/12/2012	5.99	5.99	5.53	5.53	628233	14889470.000
01/13/2012	5.49	5.56	5.09	5.19	1696067	36832772.000
01/16/2012	5.09	5.11	4.95	4.95	411620	8550324.000
01/17/2012	4.91	5.29	4.91	5.26	389883	8269920.500
01/18/2012	5.27	5.30	4.83	5.06	839076	17518682.000
01/19/2012	4.91	5.07	4.87	5.04	443398	9135399.000
01/20/2012	5.04	5.19	5.02	5.16	402012	8506658.000
01/30/2012	5.16	5.33	5.13	5.20	456740	9826266.000
01/31/2012	5.19	5.23	5.09	5.16	314980	6682275.000
02/01/2012	5.14	5.32	5.09	5.26	375105	8136637.500
02/02/2012	5.41	5.81	5.41	5.59	1175056	27103604.000
02/03/2012	5.58	5.68	5.51	5.63	578831	13381503.000
02/06/2012	5.64	5.76	5.61	5.68	894880	20920234.000
02/07/2012	5.70	5.82	5.62	5.68	1149523	27149466.000
02/08/2012	5.68	5.87	5.61	5.81	601192	14242284.000
02/09/2012	5.81	5.86	5.77	5.81	434041	10387953.000
02/10/2012	5.79	6.01	5.77	5.88	479523	11637160.000
02/13/2012	5.81	6.10	5.80	5.94	543620	13360196.000
02/14/2012	5.94	6.03	5.91	5.94	220581	5401109.000
02/15/2012	5.96	6.01	5.90	5.96	574593	14060165.000
02/16/2012	5.96	6.02	5.90	5.93	426443	10440504.000
02/17/2012	5.91	5.99	5.74	5.88	579719	13934486.000
02/20/2012	5.91	5.97	5.84	5.88	455047	11024782.000
02/21/2012	5.88	5.90	5.69	5.86	733229	17543524.000
02/22/2012	5.84	6.08	5.84	6.05	1053152	26003634.000
02/23/2012	6.06	6.20	6.05	6.14	928006	23330360.000
02/24/2012	6.14	6.19	6.09	6.17	475363	11959175.000
02/27/2012	6.17	6.39	6.11	6.25	987237	25375616.000
02/28/2012	6.25	6.30	6.16	6.23	478429	12208820.000
02/29/2012	6.23	6.30	6.14	6.18	455368	11644214.000
03/01/2012	6.19	6.23	6.16	6.18	270222	6873106.500
03/02/2012	6.21	6.38	6.17	6.36	446740	11516160.000
03/05/2012	6.36	6.39	6.29	6.34	271644	7057999.000
03/06/2012	6.38	6.38	6.30	6.34	725783	18879334.000
03/08/2012	6.31	6.37	6.25	6.32	350951	9097561.000
03/09/2012	6.32	6.65	6.29	6.61	639621	17027868.000
03/12/2012	6.62	6.86	6.62	6.71	1284658	35659760.000
03/13/2012	6.73	6.79	6.68	6.71	381070	10488385.000
03/14/2012	6.73	6.87	6.46	6.56	907102	24916488.000
03/15/2012	6.56	6.70	6.46	6.65	582575	15778780.000
03/16/2012	6.64	6.81	6.64	6.80	357375	9861344.000
03/19/2012	6.80	6.97	6.79	6.88	449521	12696639.000
03/20/2012	6.86	6.90	6.59	6.68	398198	10976956.000
03/21/2012	6.79	6.79	6.38	6.49	382872	10244747.000
03/22/2012	6.49	6.52	6.34	6.40	467845	12308539.000
03/23/2012	6.39	6.39	6.19	6.26	554350	14297172.000
03/26/2012	6.29	6.44	6.26	6.42	353530	9218601.000
03/27/2012	6.44	6.64	6.42	6.56	673521	18043804.000
03/28/2012	6.46	6.50	6.29	6.34	454111	11892863.000
03/29/2012	6.37	6.37	6.09	6.21	502812	12864162.000
03/30/2012	6.21	6.21	6.07	6.11	457431	11526314.000
04/05/2012	6.14	6.34	6.14	6.29	326681	8399624.000
04/06/2012	6.29	6.36	6.19	6.28	218540	5629193.500
04/09/2012	6.21	6.41	6.14	6.31	360905	9334295.000
04/10/2012	6.31	6.36	6.11	6.33	312791	7999991.000
04/11/2012	6.24	6.44	6.21	6.32	279713	7289739.000
04/12/2012	6.30	6.40	6.21	6.36	483600	12555868.000
04/13/2012	6.38	6.63	6.36	6.63	522826	13994295.000
04/16/2012	6.63	6.76	6.49	6.56	421449	11398632.000
04/18/2012	6.49	6.72	6.49	6.62	543768	14735268.000
04/19/2012	6.64	6.64	6.41	6.51	627369	16723907.000
04/20/2012	6.51	6.72	6.44	6.69	618755	16764791.000
04/23/2012	6.71	6.71	6.60	6.62	398187	10841089.000
04/24/2012	6.56	6.66	6.35	6.59	325951	8714053.000
04/25/2012	6.53	6.64	6.34	6.64	670668	17924008.000
04/26/2012	6.63	6.63	6.37	6.43	312947	8294886.000
04/27/2012	6.41	6.51	6.35	6.44	214987	5675213.000
05/02/2012	6.54	6.55	6.38	6.54	659844	17548202.000
05/03/2012	6.53	6.71	6.49	6.58	973017	26274618.000
05/04/2012	6.55	6.73	6.55	6.70	948659	25913394.000
05/07/2012	6.70	7.21	6.69	7.04	2030032	57687600.000
05/08/2012	7.01	7.16	6.91	6.94	734888	21076924.000
05/09/2012	6.88	6.96	6.76	6.81	613874	17219762.000
05/10/2012	6.79	6.93	6.77	6.83	745444	20837974.000
05/11/2012	6.87	6.89	6.69	6.84	986286	27372654.000
05/14/2012	6.86	6.98	6.81	6.92	498246	14098477.000
05/16/2012	6.92	6.98	6.73	6.78	712161	19967710.000
05/17/2012	6.76	7.09	6.59	6.96	745110	20930234.000
05/18/2012	6.90	6.91	6.79	6.85	250660	7021427.500
05/21/2012	6.85	6.87	6.60	6.69	258004	7074378.000
05/22/2012	6.70	6.93	6.70	6.79	512646	14295192.000
05/23/2012	6.76	6.86	6.72	6.79	438707	12218096.000
05/24/2012	6.79	6.86	6.65	6.72	619597	17103476.000
05/25/2012	6.71	6.71	6.47	6.55	673337	18111110.000
05/28/2012	6.46	6.69	6.30	6.65	552841	14632903.000
05/29/2012	6.61	6.76	6.53	6.66	400200	10862042.000
05/30/2012	6.61	6.69	6.54	6.65	419471	11316644.000
