002608 *ST舜船 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/05/2012	7.94	7.94	7.39	7.43	1912896	38247540.000
01/06/2012	7.44	7.78	7.24	7.71	1571549	30741484.000
01/09/2012	7.61	8.13	7.60	8.10	1580235	32564546.000
01/10/2012	8.11	8.47	8.03	8.38	2122232	45779568.000
01/11/2012	8.36	8.52	8.28	8.34	1602206	34895608.000
01/12/2012	8.29	8.61	8.25	8.34	1600215	35166188.000
01/13/2012	8.35	8.38	7.81	7.89	1677045	35214420.000
01/16/2012	7.78	8.05	7.67	7.67	918907	18761764.000
01/17/2012	7.74	8.25	7.68	8.22	1530388	32040962.000
01/18/2012	8.18	8.33	7.91	7.98	1562891	33181316.000
01/19/2012	7.93	8.18	7.83	8.14	888151	18653542.000
01/20/2012	8.20	8.42	8.16	8.39	1492998	32462308.000
01/30/2012	8.46	8.53	8.30	8.33	1166666	25510470.000
01/31/2012	8.26	8.38	8.20	8.36	768588	16580304.000
02/01/2012	8.33	8.47	8.21	8.24	876025	19002256.000
02/02/2012	8.25	8.41	8.20	8.40	814057	17643950.000
02/03/2012	8.39	8.58	8.37	8.50	1580466	34956272.000
02/06/2012	8.46	8.55	8.36	8.55	1672396	36756848.000
02/07/2012	8.47	8.48	8.25	8.31	1035893	22520514.000
02/08/2012	8.29	8.53	8.29	8.51	1276096	28034532.000
02/09/2012	8.51	8.67	8.45	8.64	1903710	42605568.000
02/10/2012	8.64	8.76	8.53	8.59	1645560	37021648.000
02/13/2012	8.51	8.71	8.46	8.71	1923201	43275352.000
02/14/2012	8.71	8.80	8.62	8.72	1357122	30723200.000
02/15/2012	8.73	8.91	8.63	8.88	1759259	40249176.000
02/16/2012	8.82	8.93	8.67	8.76	1621640	37088992.000
02/17/2012	8.75	8.96	8.72	8.82	1585477	36457180.000
02/20/2012	8.91	8.99	8.83	8.87	1482834	34362948.000
02/21/2012	8.87	8.92	8.68	8.90	1302882	29846332.000
02/22/2012	8.89	9.17	8.85	9.13	2384695	56138876.000
02/23/2012	9.09	9.38	9.07	9.33	2527466	60851880.000
02/24/2012	9.34	9.49	9.26	9.38	2113514	51410724.000
02/27/2012	9.35	9.53	9.30	9.30	2391903	58557884.000
02/28/2012	9.16	9.26	9.05	9.16	2558516	60721776.000
02/29/2012	9.13	9.23	9.06	9.06	1457339	34545060.000
03/01/2012	9.04	9.19	9.00	9.12	1134897	26807762.000
03/02/2012	9.12	9.30	9.08	9.30	1652212	39588236.000
03/05/2012	9.33	9.82	9.33	9.42	3216850	80124664.000
03/06/2012	9.31	9.42	9.11	9.24	2376087	57180348.000
03/07/2012	9.12	9.82	9.08	9.55	4297689	106824496.000
03/08/2012	9.55	9.82	9.45	9.74	2797420	70303264.000
03/09/2012	9.80	9.93	9.69	9.83	2762731	70493224.000
