002617 露笑科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	2.63	2.65	2.39	2.39	1932726	25792700.000
01/05/2012	2.37	2.39	2.22	2.23	1844666	22442110.000
01/06/2012	2.22	2.32	2.19	2.29	1642681	19611012.000
01/09/2012	2.28	2.46	2.23	2.45	3636725	45245024.000
01/10/2012	2.44	2.60	2.42	2.56	5139819	67896736.000
01/11/2012	2.55	2.66	2.52	2.55	4000159	54246924.000
01/12/2012	2.55	2.71	2.50	2.68	6159802	84425136.000
01/13/2012	2.63	2.65	2.43	2.43	5059540	67469272.000
01/16/2012	2.33	2.40	2.25	2.27	2052670	25313428.000
01/17/2012	2.28	2.51	2.28	2.51	3338184	42601908.000
01/18/2012	2.54	2.73	2.51	2.54	5732768	78540664.000
01/19/2012	2.47	2.61	2.37	2.56	3405968	45033656.000
01/20/2012	2.56	2.62	2.55	2.55	2523628	34311244.000
01/30/2012	2.56	2.62	2.49	2.55	2041087	27509910.000
01/31/2012	2.55	2.55	2.45	2.52	1604958	21112882.000
02/01/2012	2.50	2.55	2.44	2.46	1792903	23552386.000
02/02/2012	2.47	2.52	2.46	2.52	2007738	26281236.000
02/03/2012	2.52	2.77	2.51	2.72	5920292	82596328.000
02/06/2012	2.70	2.74	2.65	2.71	4386396	62175480.000
02/07/2012	2.67	2.69	2.58	2.63	3101567	42842140.000
02/08/2012	2.63	2.76	2.59	2.75	4836999	68756632.000
02/09/2012	2.73	2.90	2.73	2.80	6478974	95226624.000
02/10/2012	2.78	2.82	2.74	2.80	3419771	49922520.000
02/13/2012	2.77	2.85	2.73	2.81	2902966	42704756.000
02/14/2012	2.81	2.81	2.73	2.76	2383084	34504464.000
02/15/2012	2.74	2.88	2.73	2.82	3771892	55701848.000
02/16/2012	2.80	2.85	2.75	2.79	2517983	36925252.000
02/17/2012	2.80	2.87	2.74	2.86	3749983	55356864.000
02/20/2012	2.90	2.92	2.81	2.81	3229305	48401400.000
02/21/2012	2.83	2.85	2.74	2.84	2908086	42623860.000
02/22/2012	2.84	2.94	2.81	2.93	5584640	84652184.000
02/23/2012	2.92	3.01	2.90	3.01	5646435	87495000.000
02/24/2012	3.00	3.01	2.95	3.00	3438210	53658972.000
02/27/2012	3.01	3.05	2.96	2.97	3863705	60594688.000
02/28/2012	2.95	2.95	2.84	2.90	3884953	59006812.000
02/29/2012	2.89	2.94	2.87	2.87	2096194	31922476.000
03/01/2012	2.87	2.92	2.84	2.89	1591634	24060848.000
03/02/2012	2.89	2.97	2.89	2.96	2840799	43837296.000
03/05/2012	2.96	2.97	2.91	2.92	2706291	41608932.000
03/06/2012	2.92	2.92	2.81	2.84	2116239	31578988.000
03/07/2012	2.81	2.86	2.78	2.83	2011445	29842780.000
03/08/2012	2.83	2.90	2.82	2.88	1964128	29483148.000
03/09/2012	2.89	2.95	2.88	2.95	2473935	37791840.000
03/12/2012	2.95	2.99	2.93	2.98	2958262	45922348.000
03/13/2012	3.00	3.03	2.95	3.01	3040379	47530756.000
03/14/2012	3.01	3.10	2.70	2.82	5879769	91933744.000
03/15/2012	2.81	2.84	2.71	2.77	2519070	36549836.000
03/16/2012	2.76	2.83	2.72	2.83	2161277	31619134.000
03/19/2012	2.82	2.91	2.79	2.90	2455935	36657368.000
03/20/2012	2.88	2.90	2.78	2.79	1826033	27060010.000
03/21/2012	2.79	2.89	2.78	2.85	2386474	35541720.000
03/22/2012	2.84	2.84	2.79	2.79	1600285	23599886.000
03/23/2012	2.76	2.79	2.64	2.68	1861720	26529822.000
03/26/2012	2.68	2.70	2.59	2.63	1149304	15953235.000
03/27/2012	2.65	2.67	2.60	2.61	842713	11702431.000
03/28/2012	2.60	2.62	2.43	2.45	1490600	19581734.000
03/29/2012	2.43	2.44	2.33	2.37	1119399	14114156.000
03/30/2012	2.37	2.39	2.31	2.33	774531	9571439.000
04/05/2012	2.33	2.44	2.33	2.43	968689	12228000.000
04/06/2012	2.40	2.48	2.40	2.45	1088306	14011613.000
04/09/2012	2.45	2.45	2.40	2.40	1033316	13164564.000
04/10/2012	2.38	2.51	2.37	2.51	1637554	21054548.000
04/11/2012	2.47	2.52	2.45	2.51	1425350	18704540.000
04/12/2012	2.51	2.57	2.49	2.56	1427808	19085248.000
04/13/2012	2.58	2.58	2.53	2.55	1439554	19335594.000
04/16/2012	2.54	2.56	2.51	2.55	866738	11557947.000
04/17/2012	2.53	2.55	2.48	2.48	972159	12839836.000
04/18/2012	2.48	2.56	2.48	2.55	1160121	15427259.000
04/19/2012	2.55	2.61	2.53	2.56	1294249	17520904.000
04/20/2012	2.56	2.64	2.55	2.63	1978463	27167904.000
04/23/2012	2.58	2.66	2.54	2.57	1888984	25766310.000
04/24/2012	2.57	2.63	2.51	2.63	2161595	29290596.000
04/25/2012	2.55	2.55	2.36	2.43	3911679	50161436.000
04/26/2012	2.43	2.47	2.39	2.44	1705961	21942134.000
04/27/2012	2.45	2.46	2.39	2.42	1319340	16791300.000
05/02/2012	2.45	2.51	2.40	2.45	1749685	22655994.000
05/03/2012	2.45	2.71	2.44	2.71	7194970	100882104.000
05/04/2012	2.72	2.85	2.71	2.82	10016024	146246432.000
05/07/2012	2.76	2.97	2.75	2.89	6609577	98284072.000
05/08/2012	2.84	2.86	2.78	2.82	4162882	61581164.000
05/09/2012	2.79	2.79	2.71	2.75	2829940	40799060.000
05/10/2012	2.75	2.79	2.73	2.77	2095963	30333884.000
05/11/2012	2.77	2.79	2.71	2.71	2036601	29319186.000
05/14/2012	2.73	2.82	2.73	2.74	3340279	48585364.000
05/15/2012	2.69	2.69	2.59	2.65	2063682	28561762.000
05/17/2012	2.59	2.67	2.57	2.66	1793885	24825310.000
05/18/2012	2.62	2.64	2.50	2.51	2610612	35105772.000
05/21/2012	2.51	2.56	2.47	2.53	1161086	15470323.000
05/22/2012	2.54	2.58	2.54	2.55	1092321	14667422.000
05/23/2012	2.55	2.55	2.48	2.50	1289039	17019116.000
05/24/2012	2.50	2.63	2.47	2.56	2299054	30976536.000
05/25/2012	2.55	2.55	2.48	2.50	1163551	15402345.000
05/28/2012	2.48	2.56	2.40	2.55	1564434	20507356.000
05/29/2012	2.57	2.65	2.53	2.63	2713660	37045444.000
05/30/2012	2.63	2.64	2.59	2.63	1700871	23210934.000
05/31/2012	2.60	2.74	2.59	2.68	2885739	40419896.000
06/01/2012	2.66	2.69	2.61	2.64	1626638	22517346.000
06/04/2012	2.60	2.60	2.45	2.47	1706459	22477350.000
06/05/2012	2.47	2.50	2.44	2.45	886112	11431685.000
06/06/2012	2.46	2.50	2.45	2.47	669049	8647793.000
06/07/2012	2.51	2.52	2.45	2.46	856150	11134907.000
06/08/2012	2.51	2.51	2.45	2.45	723278	9352999.000
06/11/2012	2.45	2.52	2.45	2.51	843900	10994258.000
06/12/2012	2.51	2.51	2.47	2.49	587245	7626569.500
06/13/2012	2.49	2.53	2.48	2.52	921641	12094531.000
06/14/2012	2.52	2.58	2.51	2.53	1372038	18221858.000
06/15/2012	2.53	2.54	2.47	2.53	930133	12208395.000
06/18/2012	2.52	2.56	2.52	2.56	1367046	18177290.000
06/19/2012	2.55	2.55	2.52	2.52	885336	11706053.000
06/20/2012	2.53	2.56	2.51	2.54	885185	11760806.000
06/21/2012	2.54	2.54	2.45	2.45	1043296	13522379.000
06/25/2012	2.45	2.45	2.37	2.37	801954	10103013.000
06/26/2012	2.38	2.39	2.30	2.36	514809	6330928.500
06/27/2012	2.35	2.40	2.34	2.36	533373	6619188.000
06/28/2012	2.35	2.38	2.33	2.33	362657	4476032.500
