002627 宜昌交运 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	12.76	12.93	12.10	12.10	1017818	13803006.000
01/05/2012	12.20	13.35	12.12	12.48	2681822	36826284.000
01/06/2012	12.31	13.05	12.13	12.83	2833973	38954480.000
01/09/2012	12.88	13.71	12.77	13.43	4029259	57868412.000
01/10/2012	13.33	13.72	13.15	13.54	3923980	57043608.000
01/11/2012	13.45	13.64	13.27	13.45	2391471	34620724.000
01/12/2012	13.39	13.52	13.11	13.15	2098980	30114916.000
01/13/2012	13.15	14.14	13.15	13.59	4913835	72243792.000
01/16/2012	13.24	14.05	12.81	12.82	3354146	48743184.000
01/17/2012	12.57	13.45	12.04	13.45	3549095	49076900.000
01/18/2012	13.44	13.56	12.77	12.81	2202933	31357512.000
01/19/2012	12.64	12.90	12.48	12.72	1464543	20198104.000
01/20/2012	12.83	12.90	12.63	12.85	1286832	17775612.000
01/30/2012	12.94	13.05	12.57	12.60	1207442	16656270.000
01/31/2012	12.52	12.61	12.13	12.30	1323792	17636576.000
02/01/2012	12.20	12.47	12.17	12.24	929462	12419585.000
02/02/2012	12.30	12.70	12.25	12.64	1016088	13726249.000
02/03/2012	12.57	12.90	12.35	12.74	3760568	51138296.000
02/06/2012	12.72	13.03	12.62	12.85	3596271	49842492.000
02/07/2012	12.77	12.80	12.33	12.41	2534814	34432508.000
02/08/2012	12.36	12.77	12.27	12.72	2362782	32183028.000
02/09/2012	12.65	13.01	12.62	12.83	3297353	45897344.000
02/10/2012	12.85	13.13	12.80	13.04	3806950	53415112.000
02/13/2012	12.96	13.30	12.86	13.25	3389345	48071388.000
02/14/2012	13.23	13.23	12.98	13.11	2203167	31161162.000
02/15/2012	13.09	13.42	13.09	13.26	4644246	66481364.000
02/16/2012	13.23	13.35	13.03	13.20	3191449	45469188.000
02/17/2012	13.20	13.28	13.01	13.13	1894195	26861286.000
02/20/2012	13.27	13.33	13.00	13.05	2647572	37608280.000
02/21/2012	13.12	13.22	12.83	13.22	2549936	35984924.000
02/22/2012	13.24	13.69	13.17	13.65	5732824	83240144.000
02/23/2012	13.56	13.88	13.50	13.84	4714490	69461608.000
02/24/2012	13.87	14.04	13.67	13.85	5541104	82416248.000
02/27/2012	13.90	14.30	13.78	13.83	4875758	73414200.000
02/28/2012	13.82	14.37	13.80	14.28	5369230	81081480.000
02/29/2012	14.25	14.25	13.74	13.74	3616490	54552492.000
03/01/2012	13.74	14.00	13.68	13.80	2468634	36728500.000
03/02/2012	13.77	14.09	13.77	14.08	2513922	37819856.000
03/05/2012	14.07	14.23	13.94	14.00	2699147	40750920.000
03/06/2012	13.98	14.33	13.60	14.30	4077580	61210168.000
03/07/2012	14.12	14.70	14.05	14.09	4893590	75653248.000
03/08/2012	14.03	14.29	14.03	14.26	2918387	44422812.000
03/09/2012	14.26	14.60	14.16	14.59	3529035	54587904.000
03/12/2012	14.64	14.79	14.46	14.79	3039481	47690532.000
03/13/2012	14.69	14.88	14.60	14.81	2785919	43975332.000
03/14/2012	14.85	15.09	13.83	13.93	4836591	75173168.000
03/15/2012	13.85	14.20	13.40	13.94	3792953	56257156.000
03/16/2012	13.94	14.17	13.71	14.11	2903532	43724608.000
03/19/2012	14.20	14.47	14.07	14.47	2883663	44121108.000
03/20/2012	14.31	14.46	13.75	13.89	2690990	40805976.000
03/21/2012	14.00	14.06	13.55	13.95	1397148	20844682.000
03/22/2012	14.05	14.25	13.91	14.14	1878236	28491158.000
03/23/2012	14.09	14.10	13.66	13.83	1472165	21921304.000
03/26/2012	13.70	13.95	13.60	13.77	1556787	23024992.000
03/27/2012	13.84	13.93	13.60	13.61	2132739	31660514.000
03/28/2012	13.50	13.61	12.52	12.58	2112219	29544552.000
03/29/2012	12.60	12.64	12.16	12.35	1130967	15232947.000
03/30/2012	12.50	12.52	12.05	12.20	963341	12874658.000
04/05/2012	12.33	12.61	12.20	12.58	1054268	14236933.000
04/06/2012	12.56	12.93	12.49	12.74	1350381	18613552.000
04/09/2012	12.72	12.84	12.52	12.58	978641	13420612.000
04/10/2012	12.59	12.77	12.19	12.77	1055465	14284850.000
04/11/2012	12.63	13.09	12.45	13.02	1293483	17985576.000
04/12/2012	13.00	13.23	12.85	13.22	1454104	20572874.000
04/13/2012	13.27	13.54	13.12	13.49	1867274	26847254.000
04/16/2012	13.41	13.65	13.35	13.41	1429605	20793848.000
04/17/2012	12.95	13.18	12.65	12.85	2085307	29256222.000
04/18/2012	12.88	13.11	12.88	13.09	1228914	17286388.000
04/19/2012	13.03	13.19	12.81	12.91	1624223	22884594.000
04/20/2012	12.85	13.11	12.83	13.07	1272169	17877772.000
04/23/2012	13.05	13.05	12.35	12.37	1891649	25956166.000
04/24/2012	12.26	12.57	12.05	12.50	1316318	17611772.000
04/25/2012	12.43	12.65	12.30	12.61	1122736	15191640.000
04/26/2012	12.62	12.85	12.46	12.59	679940	9304110.000
04/27/2012	12.64	12.71	12.49	12.64	580212	7920248.500
05/02/2012	12.83	13.52	12.70	13.35	3104749	43909484.000
05/03/2012	13.36	13.59	13.05	13.20	2410025	34427656.000
05/04/2012	13.15	13.25	13.04	13.17	1097113	15600525.000
05/07/2012	13.17	13.40	13.12	13.36	1506357	21585080.000
05/08/2012	13.35	13.39	13.04	13.18	1462869	20844194.000
05/09/2012	13.12	13.25	12.97	12.98	1319387	18649612.000
05/11/2012	13.04	13.07	12.69	12.72	1138661	15811287.000
05/14/2012	12.85	13.01	12.68	12.87	1146396	15911227.000
05/15/2012	12.74	12.89	12.55	12.89	711919	9859432.000
05/16/2012	12.85	12.91	12.68	12.68	559856	7747925.000
05/17/2012	12.68	12.95	12.63	12.86	752071	10435134.000
05/18/2012	12.77	13.13	12.77	12.97	1595257	22350376.000
05/21/2012	12.98	13.10	12.84	13.10	1182265	16619013.000
05/22/2012	13.09	13.19	12.95	13.11	1020575	14418450.000
05/23/2012	13.06	13.15	12.74	13.11	1300314	18275440.000
05/24/2012	13.01	13.09	12.82	12.88	644399	9032220.000
05/25/2012	12.89	12.93	12.43	12.45	787204	10743716.000
05/28/2012	12.47	12.59	12.17	12.54	590335	7912971.500
05/29/2012	12.54	12.73	12.48	12.68	724350	9922619.000
05/30/2012	12.70	12.70	12.56	12.65	522799	7153959.500
05/31/2012	12.62	12.80	12.52	12.75	622518	8560386.000
