002630 华西能源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.28	4.38	4.04	4.04	2553664	40316648.000
01/05/2012	4.02	4.06	3.74	3.76	2184653	31564310.000
01/06/2012	3.73	3.87	3.69	3.87	1966863	27726444.000
01/09/2012	3.84	4.11	3.79	4.11	2793763	41542260.000
01/10/2012	4.08	4.37	4.04	4.31	4139792	65339216.000
01/11/2012	4.28	4.40	4.23	4.31	3452134	55244236.000
01/12/2012	4.30	4.39	4.24	4.25	2318275	37073092.000
01/13/2012	4.24	4.28	3.96	4.06	2505366	38350704.000
01/16/2012	3.98	4.02	3.87	3.87	1190131	17456976.000
01/17/2012	3.90	4.19	3.86	4.19	2492217	37394040.000
01/18/2012	4.17	4.37	4.03	4.03	2981344	46581596.000
01/19/2012	4.00	4.28	3.96	4.26	2090196	32324930.000
01/20/2012	4.30	4.31	4.18	4.26	1543981	24275346.000
01/30/2012	4.26	4.28	4.11	4.18	1277105	19991422.000
01/31/2012	4.18	4.19	4.03	4.09	1458227	22103826.000
02/01/2012	4.06	4.21	4.06	4.09	1396319	21456716.000
02/02/2012	4.07	4.21	4.04	4.21	1432018	21911842.000
02/03/2012	4.18	4.43	4.17	4.35	2385107	38069776.000
02/06/2012	4.36	4.45	4.29	4.37	2907071	47077804.000
02/07/2012	4.34	4.35	4.20	4.26	1777877	28225432.000
02/08/2012	4.25	4.38	4.17	4.38	2509935	40055680.000
02/09/2012	4.38	4.44	4.34	4.38	2615292	42640852.000
02/10/2012	4.35	4.48	4.35	4.44	2407289	39502868.000
02/13/2012	4.40	4.55	4.35	4.52	6139224	101253016.000
02/14/2012	4.51	4.51	4.40	4.44	3159311	52030360.000
02/15/2012	4.43	4.50	4.41	4.48	3524776	58355028.000
02/16/2012	4.48	4.51	4.39	4.44	3603115	59572296.000
02/17/2012	4.46	4.48	4.33	4.43	2525725	41314216.000
02/20/2012	4.48	4.58	4.44	4.49	4788495	80212856.000
