002637 赞宇科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.60	7.86	7.55	7.55	1925368	61615940.000
01/05/2012	7.62	7.62	7.24	7.39	1137436	34999980.000
01/06/2012	7.33	7.69	7.13	7.55	1038989	32240190.000
01/09/2012	7.52	8.00	7.43	7.95	1507680	48684396.000
01/10/2012	7.88	8.19	7.87	8.13	1487834	49500528.000
01/11/2012	8.03	8.17	7.93	8.03	1307793	43582568.000
01/12/2012	7.96	8.04	7.73	7.75	1763519	57490032.000
01/13/2012	7.78	7.87	7.25	7.28	1543864	47861728.000
01/16/2012	7.18	7.18	6.85	6.85	795563	23193342.000
01/17/2012	6.86	7.42	6.83	7.31	1012591	30065490.000
01/18/2012	7.20	7.29	6.55	6.55	1620716	47436380.000
01/19/2012	6.38	6.83	6.33	6.69	1075330	29613136.000
01/20/2012	6.67	6.89	6.65	6.77	892514	25426468.000
01/30/2012	6.85	7.48	6.77	7.42	2704389	81888584.000
01/31/2012	7.28	7.39	7.21	7.36	1273119	38673300.000
02/01/2012	7.33	7.74	7.31	7.48	2037379	63934996.000
02/02/2012	7.52	7.60	7.35	7.53	1689955	52572356.000
02/03/2012	7.52	7.71	7.45	7.67	1501539	47277988.000
02/06/2012	7.70	7.78	7.55	7.73	1402811	44723276.000
02/07/2012	7.68	7.70	7.49	7.63	1156561	36473236.000
02/08/2012	7.86	8.25	7.86	8.13	2763903	92418864.000
02/09/2012	8.03	8.60	8.03	8.39	2863189	98768424.000
02/10/2012	8.33	9.07	8.15	8.94	3263936	116145600.000
02/13/2012	8.70	9.33	8.69	8.94	5211423	193282752.000
02/14/2012	8.94	9.01	8.78	8.94	2320933	85452456.000
02/15/2012	8.95	8.95	8.79	8.91	2132592	78181856.000
02/16/2012	8.88	8.95	8.75	8.91	1872336	68670776.000
02/17/2012	8.89	9.10	8.83	8.94	2116862	78678336.000
02/20/2012	9.02	9.10	8.85	9.08	1878030	69796488.000
02/21/2012	9.01	9.06	8.83	9.01	1639322	60562268.000
02/22/2012	9.02	9.80	8.95	9.50	3299957	127958704.000
02/23/2012	9.43	9.52	9.23	9.33	2320984	89622360.000
02/24/2012	9.33	9.80	9.31	9.68	2789364	110702312.000
02/27/2012	9.70	10.51	9.62	9.94	5034406	208541536.000
02/28/2012	9.80	10.28	9.78	10.00	2983607	122883952.000
02/29/2012	9.89	9.95	9.18	9.22	3653860	142527264.000
03/01/2012	9.14	9.62	9.14	9.43	1768169	68557736.000
03/05/2012	9.73	10.15	9.65	10.02	3461235	140850880.000
03/06/2012	9.95	10.28	9.84	10.25	3038730	125592728.000
03/07/2012	10.15	10.65	9.97	10.41	2946501	124443640.000
03/08/2012	10.30	10.78	10.28	10.65	2651446	115532416.000
03/09/2012	10.65	10.90	10.48	10.70	2311217	101376960.000
03/12/2012	10.55	10.70	10.41	10.69	2060300	89276784.000
03/13/2012	10.58	11.70	10.53	11.45	3437197	155740112.000
03/14/2012	11.38	11.87	10.29	10.36	5167336	238568448.000
03/15/2012	10.45	10.84	10.01	10.72	3237325	139634208.000
03/16/2012	10.63	10.83	10.08	10.49	3809546	163437792.000
03/19/2012	10.35	10.49	10.10	10.42	2330117	98504312.000
03/20/2012	10.34	10.35	9.90	10.03	2222644	92213752.000
03/21/2012	10.08	10.17	9.50	9.93	2348726	95649016.000
03/22/2012	9.83	10.29	9.75	10.08	2084281	86734192.000
