002658 雪迪龙 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/09/2012	5.41	5.84	5.36	5.84	17017099	434665920.000
03/12/2012	5.98	6.19	5.76	5.83	17933516	491408320.000
03/13/2012	5.71	6.23	5.66	6.07	13398585	368573952.000
03/14/2012	5.98	6.02	5.46	5.51	10253193	274130432.000
03/15/2012	5.54	5.60	5.16	5.24	6881120	170457216.000
03/16/2012	5.29	5.38	5.21	5.36	5559204	136287424.000
03/19/2012	5.23	5.36	5.19	5.31	4129105	100727288.000
03/20/2012	5.28	5.53	5.21	5.35	5561304	138541808.000
03/21/2012	5.35	5.38	4.80	4.93	6477564	151955376.000
03/22/2012	4.85	4.93	4.74	4.86	3343760	75072368.000
03/23/2012	4.84	4.95	4.78	4.93	3095573	70140440.000
03/26/2012	4.91	4.96	4.77	4.84	2350670	53091356.000
03/27/2012	4.86	4.88	4.71	4.72	2160704	48190408.000
03/28/2012	4.68	4.68	4.22	4.22	3951231	81214008.000
03/29/2012	4.17	4.32	4.11	4.23	2826273	55704988.000
03/30/2012	4.21	4.31	4.20	4.27	2438872	48657204.000
04/05/2012	4.28	4.38	4.21	4.36	2522588	50894496.000
04/06/2012	4.33	4.34	4.25	4.31	2521702	50704084.000
04/09/2012	4.33	4.70	4.31	4.57	4390788	91777144.000
04/10/2012	4.49	4.65	4.37	4.63	3595053	75505128.000
04/11/2012	4.52	4.59	4.47	4.55	2101038	44394200.000
04/12/2012	4.55	4.59	4.43	4.49	2701155	56640400.000
04/13/2012	4.51	4.53	4.46	4.46	1722923	36120160.000
04/16/2012	4.44	4.60	4.42	4.49	2428248	51350268.000
04/17/2012	4.36	4.36	4.06	4.12	4370089	85755496.000
04/18/2012	4.17	4.24	4.12	4.21	2181713	42760136.000
04/19/2012	4.21	4.31	4.16	4.27	2070161	41173452.000
04/20/2012	4.27	4.31	4.18	4.27	2162395	43024764.000
04/23/2012	4.27	4.33	4.08	4.08	2663851	52152852.000
04/24/2012	4.05	4.06	3.86	3.96	2634434	48792204.000
04/25/2012	3.96	3.99	3.89	3.96	1318156	24514800.000
04/26/2012	3.97	4.17	3.96	4.08	2110576	40508012.000
04/27/2012	4.07	4.11	3.99	4.06	1054287	20053562.000
05/02/2012	4.13	4.27	4.09	4.19	2159897	42463324.000
05/03/2012	4.18	4.27	4.14	4.21	1503077	29583732.000
05/04/2012	4.27	4.38	4.27	4.35	3226281	65441140.000
05/07/2012	4.28	4.41	4.24	4.41	2242038	45424272.000
05/08/2012	4.38	4.47	4.34	4.36	2319326	47783412.000
05/09/2012	4.31	4.32	4.20	4.20	1500667	29835524.000
05/11/2012	4.22	4.29	4.18	4.21	996408	19810016.000
05/14/2012	4.26	4.29	4.19	4.21	975677	19315312.000
05/15/2012	4.18	4.20	4.03	4.08	1164010	22234244.000
05/16/2012	4.09	4.13	4.05	4.05	828833	15906931.000
05/17/2012	4.05	4.14	4.04	4.13	838639	16127821.000
05/18/2012	4.08	4.40	4.06	4.32	3524929	70595096.000
05/21/2012	4.26	4.39	4.25	4.31	2372401	48002904.000
05/22/2012	4.32	4.35	4.22	4.31	1713147	34291288.000
05/23/2012	4.29	4.46	4.23	4.43	3139642	64091172.000
05/24/2012	4.39	4.52	4.35	4.36	2888938	59899784.000
05/25/2012	4.36	4.48	4.34	4.35	2278940	46942120.000
05/28/2012	4.25	4.34	4.13	4.31	1831145	36241636.000
05/29/2012	4.30	4.51	4.26	4.44	2274551	46875356.000
05/30/2012	4.41	4.73	4.41	4.63	4973822	106874408.000
05/31/2012	4.60	4.82	4.57	4.70	3748428	82334992.000
06/01/2012	4.76	4.76	4.60	4.64	2081118	45170784.000
06/04/2012	4.55	4.71	4.50	4.56	1912427	41041536.000
06/05/2012	4.52	4.77	4.52	4.76	2982834	64895476.000
06/06/2012	4.71	4.77	4.55	4.56	2271191	49105528.000
06/07/2012	4.61	4.69	4.46	4.47	1988713	42605624.000
06/08/2012	4.52	4.53	4.41	4.45	1317991	27463224.000
06/11/2012	4.44	4.86	4.44	4.73	6266292	135722176.000
06/12/2012	4.72	4.79	4.57	4.57	4150853	90622312.000
06/13/2012	4.57	5.04	4.55	4.92	7355085	164845552.000
06/14/2012	4.84	5.08	4.81	5.02	6316875	145491408.000
06/15/2012	5.03	5.03	4.85	4.96	3875509	88785072.000
06/18/2012	5.00	5.09	4.90	4.98	3666877	84678432.000
06/19/2012	4.97	4.97	4.80	4.82	2754830	62202340.000
06/20/2012	4.84	4.93	4.83	4.87	1882273	42662236.000
06/21/2012	4.87	5.02	4.81	4.97	3693797	84369952.000
06/25/2012	4.93	4.99	4.82	4.82	2094658	47507712.000
06/26/2012	4.75	4.81	4.58	4.70	2180646	47512444.000
06/27/2012	4.73	4.86	4.68	4.70	2194282	48669200.000
06/28/2012	4.73	4.91	4.65	4.79	2329152	52103684.000
06/29/2012	4.74	5.00	4.70	4.99	2607959	59143400.000
07/02/2012	5.00	5.25	4.94	5.18	4490600	106706816.000
07/03/2012	5.13	5.24	5.08	5.16	3186175	76061680.000
07/04/2012	5.17	5.19	5.09	5.19	1616745	38492956.000
07/05/2012	5.16	5.25	4.98	5.05	2086136	49347168.000
07/06/2012	5.05	5.17	4.90	5.16	2352995	54973752.000
07/09/2012	5.07	5.23	4.97	4.98	2370908	56215876.000
07/10/2012	4.93	4.99	4.83	4.89	1638074	37308816.000
07/11/2012	4.85	5.00	4.85	4.96	1433642	32848764.000
07/12/2012	4.99	5.34	4.95	5.29	4086068	98144848.000
07/13/2012	5.25	5.34	5.15	5.26	2243196	54540344.000
