002660 茂硕电源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/16/2012	11.94	11.96	9.27	9.27	3911100	116485872.000
03/19/2012	8.35	9.75	8.35	9.08	11514470	269086624.000
03/20/2012	8.95	9.27	8.78	9.21	8133875	193142064.000
03/21/2012	9.29	9.67	8.97	9.51	9032881	224393696.000
03/22/2012	9.12	9.44	8.90	9.16	5089413	123177640.000
03/23/2012	9.08	10.04	9.00	9.74	8900791	224942288.000
03/26/2012	9.68	10.15	9.55	9.81	6468515	168029776.000
03/27/2012	9.54	9.56	8.85	8.90	6652287	161376864.000
03/28/2012	8.54	8.60	8.00	8.03	5628197	122433120.000
03/29/2012	7.79	8.19	7.79	8.11	3679370	78046192.000
03/30/2012	8.03	8.15	7.28	7.41	4010182	81559384.000
04/05/2012	7.41	7.63	7.31	7.58	2811649	55833532.000
04/06/2012	7.50	7.68	7.41	7.68	2930492	58897588.000
04/09/2012	7.58	7.60	7.43	7.51	1830833	36483192.000
04/10/2012	7.52	8.13	7.46	8.07	5241413	109504480.000
04/11/2012	7.85	8.03	7.79	7.94	2809122	58756852.000
04/12/2012	7.94	7.98	7.65	7.88	2727517	56470076.000
04/13/2012	7.88	8.06	7.82	7.92	2567165	53972352.000
04/16/2012	7.81	7.86	7.66	7.72	1802756	37009216.000
04/17/2012	7.69	7.69	7.29	7.50	2212345	43804388.000
04/18/2012	7.48	7.84	7.35	7.81	2925773	59113384.000
04/19/2012	7.77	8.25	7.76	8.16	4048622	86200576.000
04/20/2012	8.08	8.35	7.96	8.25	3508649	75983616.000
04/23/2012	8.19	8.30	7.42	7.42	3585991	74291936.000
04/24/2012	7.28	7.73	7.26	7.67	2945545	58863172.000
04/25/2012	7.63	7.65	7.42	7.60	1624732	32572270.000
04/26/2012	7.58	8.10	7.51	7.88	3224412	67372280.000
04/27/2012	7.84	7.96	7.66	7.81	1706857	35335800.000
05/02/2012	7.88	8.60	7.83	8.60	4334505	96049456.000
05/03/2012	8.79	8.88	8.45	8.73	6200211	141859520.000
05/04/2012	8.61	8.82	8.41	8.67	4447904	101338952.000
05/08/2012	8.77	8.81	8.45	8.47	3541113	80360816.000
05/09/2012	8.35	8.40	8.14	8.30	2342132	51241108.000
05/10/2012	8.23	8.57	8.21	8.41	2653864	59332384.000
05/11/2012	8.41	8.42	8.08	8.11	2279113	49451432.000
05/14/2012	8.21	8.30	8.08	8.08	1603414	34843440.000
05/15/2012	7.96	7.96	7.62	7.83	1835443	37882840.000
05/16/2012	7.83	7.90	7.74	7.78	1062013	22050378.000
05/17/2012	7.86	8.58	7.79	8.20	3434224	75370928.000
05/18/2012	8.01	8.15	7.93	8.08	2005337	42783848.000
05/21/2012	8.04	8.48	8.00	8.28	2550839	56087736.000
05/22/2012	8.31	8.52	8.19	8.49	2754580	61261072.000
05/23/2012	8.46	8.48	8.24	8.44	2115603	46861708.000
05/24/2012	8.41	8.66	8.35	8.51	3358857	75934456.000
05/25/2012	8.51	8.53	8.23	8.30	1909315	42194180.000
05/28/2012	8.27	8.53	7.92	8.47	2193043	47993452.000
05/30/2012	8.63	8.84	8.43	8.63	3328593	76123088.000
05/31/2012	8.53	9.00	8.53	8.77	3017847	70398224.000
06/01/2012	8.75	8.83	8.57	8.59	1481503	33978836.000
06/04/2012	8.33	8.46	8.18	8.18	1113813	24653494.000
06/05/2012	8.18	8.29	7.95	7.97	1075796	23113446.000
06/06/2012	7.94	8.09	7.93	8.02	632465	13415905.000
06/07/2012	8.15	8.17	7.78	7.83	814757	17143752.000
06/08/2012	7.92	7.92	7.54	7.58	1026376	20882904.000
06/11/2012	7.56	7.75	7.56	7.75	567333	11535634.000
06/12/2012	7.73	8.11	7.62	7.92	1140997	23867424.000
06/13/2012	7.77	8.03	7.77	7.96	884239	18509828.000
06/14/2012	7.92	8.03	7.88	7.98	739986	15644568.000
06/15/2012	7.93	8.01	7.73	7.81	747872	15641418.000
06/18/2012	7.83	8.00	7.70	8.00	3306940	68963064.000
06/19/2012	7.91	7.93	7.77	7.78	1086256	22590716.000
06/20/2012	7.80	8.05	7.73	7.91	1712531	35863192.000
06/21/2012	7.88	8.30	7.87	8.17	3811944	82039704.000
06/25/2012	8.11	8.11	7.77	7.83	1786436	37758104.000
06/26/2012	7.69	7.69	7.38	7.53	1608223	32083932.000
06/27/2012	7.53	7.67	7.43	7.53	1074138	21513362.000
06/28/2012	7.53	7.71	7.27	7.65	1833434	36614244.000
06/29/2012	7.50	7.65	7.35	7.63	1378652	27486468.000
07/02/2012	7.61	7.79	7.61	7.71	1774801	36248808.000
07/03/2012	7.71	7.91	7.71	7.85	1972537	40965588.000
07/04/2012	7.88	7.92	7.79	7.84	1480185	30736492.000
07/05/2012	7.84	7.84	7.50	7.52	1581040	31786784.000
07/06/2012	7.53	7.65	7.29	7.63	1430264	28330392.000
07/09/2012	7.56	7.63	7.38	7.40	865417	17280484.000
07/10/2012	7.39	7.45	7.11	7.11	1211256	23002144.000
07/11/2012	7.07	7.15	7.00	7.10	983291	18292788.000
07/12/2012	7.08	7.21	6.94	7.12	1109062	20646010.000
07/13/2012	7.08	7.21	7.06	7.06	972238	18215352.000
07/16/2012	7.00	7.03	6.35	6.35	1604320	27506802.000
07/17/2012	6.26	6.26	5.90	6.05	1335133	21221732.000
07/18/2012	6.11	6.21	6.00	6.18	740539	11917607.000
07/19/2012	6.19	6.49	6.18	6.45	1429130	24000858.000
07/20/2012	6.39	6.65	6.39	6.53	1353265	23360092.000
07/23/2012	6.43	6.96	6.39	6.96	588222	10184325.000
07/24/2012	6.74	7.01	6.60	6.96	1045359	18796528.000
07/25/2012	6.81	7.01	6.73	6.95	860189	15626963.000
07/26/2012	6.88	6.98	6.81	6.91	497153	9001177.000
07/27/2012	6.90	6.96	6.78	6.91	642246	11616568.000
07/30/2012	6.84	7.00	6.78	6.88	532446	9644810.000
07/31/2012	6.86	6.91	6.45	6.75	539385	9462154.000
08/01/2012	6.75	6.87	6.61	6.72	454529	8075844.000
08/02/2012	6.77	6.77	6.36	6.65	653866	11260878.000
08/03/2012	6.65	6.98	6.58	6.94	1342758	24305286.000
08/06/2012	6.90	7.35	6.90	7.28	1464032	27774052.000
08/07/2012	7.01	7.56	6.85	7.42	1923401	37573744.000
08/08/2012	7.31	7.55	7.30	7.45	1160340	22814646.000
08/09/2012	7.42	7.96	7.36	7.76	1529365	30870014.000
08/10/2012	7.73	8.38	7.73	8.29	2757295	58284576.000
08/14/2012	8.00	8.15	7.46	8.04	1631348	33787240.000
08/15/2012	7.79	7.99	7.76	7.91	437078	9042162.000
08/16/2012	7.81	7.88	7.72	7.83	621008	12700259.000
08/17/2012	7.88	8.03	7.79	8.01	940268	19526696.000
08/20/2012	7.99	8.00	7.69	8.00	876074	18023732.000
