002673 西部证券 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/03/2012	6.64	6.75	6.16	6.66	112448745	1608625152.000
05/04/2012	6.92	7.35	6.76	6.80	117091677	1774733056.000
05/07/2012	6.73	7.13	6.71	7.04	70889971	1064902016.000
05/08/2012	7.01	7.03	6.73	6.84	43629201	650030528.000
05/09/2012	6.71	6.84	6.51	6.68	32286625	469402016.000
05/10/2012	6.64	7.35	6.56	7.03	60859572	916231936.000
05/11/2012	6.96	7.23	6.87	7.03	49059470	749783104.000
05/14/2012	7.14	7.75	6.87	7.26	62747095	992346496.000
05/15/2012	7.16	8.00	7.12	7.87	61722930	1004063296.000
05/16/2012	7.79	8.19	7.74	7.75	56771403	967045824.000
05/17/2012	7.91	8.58	7.82	8.58	55780879	980016576.000
05/18/2012	8.41	8.99	8.37	8.97	56066117	1037145152.000
05/21/2012	8.66	8.85	8.11	8.20	52033047	943545216.000
05/22/2012	8.21	8.55	8.21	8.37	32736992	586661760.000
05/23/2012	8.33	9.15	8.27	9.04	46364391	861727040.000
05/24/2012	8.91	9.13	8.70	8.89	38591041	732336128.000
05/25/2012	8.89	9.06	8.57	8.70	36076303	677789120.000
05/28/2012	8.52	8.60	7.90	8.37	36678037	649985088.000
05/29/2012	8.27	8.99	8.22	8.65	40507761	749364736.000
05/30/2012	8.66	8.81	8.52	8.59	24043548	444920960.000
05/31/2012	8.45	8.94	8.42	8.67	34921214	652888896.000
06/01/2012	8.80	8.88	8.55	8.61	25280301	470230784.000
06/04/2012	8.29	8.68	8.22	8.30	23970049	433430240.000
06/05/2012	8.40	8.46	7.84	8.03	22605120	392565600.000
06/06/2012	8.07	8.11	7.63	7.74	23236327	391625952.000
06/07/2012	7.90	8.00	7.72	7.75	20562974	347221472.000
06/08/2012	7.89	8.22	7.79	7.92	31785402	546602880.000
06/11/2012	7.94	8.09	7.64	8.07	19380043	329642464.000
06/12/2012	7.93	8.07	7.77	7.81	16090778	274908384.000
06/13/2012	7.91	8.65	7.87	8.62	59866731	1081382016.000
06/14/2012	8.49	8.59	8.35	8.43	32541193	590104576.000
06/15/2012	8.55	8.69	8.35	8.61	35787898	655853184.000
06/18/2012	8.71	8.80	8.52	8.57	24843988	458606592.000
06/19/2012	8.50	8.56	8.24	8.32	19288914	346354816.000
06/20/2012	8.40	8.69	8.24	8.48	24731796	450460960.000
06/21/2012	8.37	8.40	8.19	8.22	15910718	282148960.000
06/25/2012	8.07	8.08	7.66	7.71	17229655	290245664.000
06/26/2012	7.61	7.94	7.56	7.81	16531050	277490624.000
06/27/2012	7.77	7.88	7.57	7.58	14347804	238262544.000
06/29/2012	7.37	7.87	7.29	7.81	19004679	313591680.000
07/02/2012	7.81	7.91	7.69	7.83	16261179	272849376.000
07/03/2012	7.86	8.01	7.74	7.81	14971560	253094688.000
07/04/2012	7.80	7.88	7.58	7.72	13422649	222868416.000
07/05/2012	7.61	7.61	7.32	7.35	16825414	270530400.000
07/06/2012	7.43	7.82	7.34	7.73	17968773	292681248.000
07/09/2012	7.66	7.71	7.29	7.34	14841168	240401424.000
07/10/2012	7.39	7.41	7.26	7.31	9570234	151826128.000
07/11/2012	7.32	7.59	7.30	7.47	12431559	199866512.000
07/12/2012	7.42	7.84	7.07	7.69	25155671	406908416.000
07/13/2012	7.51	7.67	7.36	7.42	17671886	285822528.000
07/16/2012	7.38	7.38	6.94	6.99	15551186	239784384.000
07/17/2012	6.92	7.34	6.89	7.07	19214767	294846528.000
07/18/2012	6.96	7.20	6.75	7.11	20727184	313109984.000
07/19/2012	7.01	7.61	6.97	7.30	34822167	552907520.000
07/20/2012	7.19	7.38	7.07	7.09	18451470	287707808.000
07/23/2012	6.97	7.14	6.81	7.01	11292840	170979024.000
07/24/2012	6.92	7.34	6.90	7.15	16800998	260408864.000
07/25/2012	7.08	7.16	6.99	7.01	10781789	164749568.000
07/26/2012	7.01	7.31	6.99	7.08	16737971	259353072.000
07/27/2012	7.14	7.16	6.91	6.95	13854576	210556080.000
07/30/2012	6.91	6.99	6.60	6.65	14723173	216189104.000
07/31/2012	6.50	6.58	6.22	6.24	18448935	258124544.000
08/01/2012	6.19	6.44	6.06	6.30	18412364	252327696.000
08/02/2012	6.16	6.24	5.91	5.96	17995878	239138960.000
08/03/2012	6.02	6.33	5.88	6.32	58596354	780945216.000
08/06/2012	6.19	6.56	6.17	6.47	46470658	644489024.000
08/07/2012	6.42	6.50	6.33	6.40	29289723	409843776.000
08/08/2012	6.49	6.64	6.44	6.45	29914706	426070944.000
08/09/2012	6.39	6.60	6.29	6.56	28346616	398743712.000
08/10/2012	6.52	6.56	6.40	6.45	16113988	227093024.000
08/13/2012	6.37	6.41	6.01	6.06	23277899	315999872.000
08/14/2012	6.04	6.11	5.86	6.09	20313180	266921600.000
08/15/2012	6.01	6.09	5.93	5.93	11937116	157018000.000
08/16/2012	5.92	6.04	5.91	5.96	13048075	171392784.000
08/17/2012	5.91	5.98	5.84	5.97	11428177	148277904.000
08/20/2012	5.88	6.06	5.78	6.00	12373949	160787104.000
08/21/2012	6.02	6.21	5.98	6.07	19628903	262702608.000
08/22/2012	6.07	6.13	5.99	6.00	12653581	167924000.000
08/23/2012	6.11	6.23	6.02	6.09	16850001	226001920.000
08/24/2012	6.03	6.19	6.00	6.02	12870506	171659120.000
08/27/2012	5.91	5.91	5.51	5.53	18024673	226120080.000
08/28/2012	5.55	5.85	5.51	5.67	18655152	233941408.000
08/29/2012	5.61	5.67	5.55	5.56	11698739	144560704.000
08/30/2012	5.54	6.13	5.52	5.92	35696044	458836000.000
08/31/2012	5.82	5.94	5.75	5.88	19108006	245980288.000
09/03/2012	5.81	6.19	5.79	6.06	27935276	371104992.000
09/04/2012	6.02	6.09	5.93	5.94	17207991	226354960.000
09/05/2012	5.92	6.21	5.91	6.04	20980027	280130528.000
09/06/2012	6.05	6.16	5.96	6.12	15865510	211563872.000
09/07/2012	6.24	6.77	6.19	6.66	48362161	689940160.000
09/10/2012	6.57	6.78	6.55	6.62	33734100	488859808.000
