002683 宏大爆破 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
06/12/2012	5.75	6.02	5.63	6.02	33977928	528346624.000
06/13/2012	5.88	6.17	5.80	6.03	22070289	351255872.000
06/14/2012	5.98	6.42	5.92	6.27	21625094	352217600.000
06/15/2012	6.29	6.37	6.17	6.33	13760706	228749072.000
06/18/2012	6.36	6.54	6.33	6.43	11572234	196658240.000
06/19/2012	6.38	6.44	6.24	6.34	8645261	144940496.000
06/20/2012	6.33	6.61	6.27	6.47	10048715	171247056.000
06/21/2012	6.39	6.42	6.13	6.31	8798203	145972832.000
06/25/2012	6.05	6.12	5.73	5.76	9994745	157401696.000
06/26/2012	5.73	6.00	5.65	5.87	8920579	138958896.000
06/27/2012	5.82	6.05	5.74	5.84	8953730	140722432.000
06/28/2012	5.86	6.09	5.78	5.90	7802105	123639552.000
06/29/2012	5.82	6.14	5.79	6.13	7873808	125761408.000
07/02/2012	6.10	6.21	5.98	6.19	7571073	122685184.000
07/03/2012	6.14	6.84	6.11	6.66	12619503	216743328.000
07/04/2012	6.62	6.69	6.41	6.43	8952276	154507280.000
07/05/2012	6.43	6.68	6.38	6.47	9377489	162298160.000
07/06/2012	6.42	6.45	6.07	6.35	10281378	170723840.000
07/09/2012	6.22	6.48	6.19	6.30	6332161	106707832.000
07/10/2012	6.23	6.34	6.01	6.05	5366252	87247520.000
07/11/2012	6.02	6.19	5.81	5.88	4860291	77274792.000
07/12/2012	5.82	6.09	5.82	6.07	4241134	67493032.000
07/13/2012	6.01	6.09	5.89	5.93	4060248	64634064.000
07/16/2012	5.94	6.10	5.66	6.03	5656010	88209224.000
07/17/2012	5.95	6.36	5.93	6.23	6532413	106858032.000
07/18/2012	6.18	6.44	6.11	6.42	6376769	106429256.000
07/19/2012	6.54	6.66	6.32	6.33	9916238	170135264.000
07/20/2012	6.27	6.53	6.25	6.36	5950165	100501856.000
07/23/2012	6.30	6.33	6.03	6.09	4346817	70805904.000
07/24/2012	6.01	6.22	5.96	6.12	2962835	47890068.000
07/25/2012	6.10	6.77	6.05	6.52	14885242	257831840.000
07/26/2012	6.38	6.61	6.35	6.51	9191565	157545424.000
07/27/2012	6.50	6.67	6.29	6.33	7495034	128390840.000
07/30/2012	6.29	6.80	6.29	6.53	11067519	192628800.000
07/31/2012	6.42	6.42	5.93	5.93	9587908	154937280.000
08/01/2012	5.94	6.26	5.88	6.14	5800099	93630072.000
08/02/2012	6.08	6.25	6.00	6.22	5699356	92994016.000
08/03/2012	6.21	6.49	6.16	6.47	7748748	130222248.000
08/06/2012	6.41	6.80	6.38	6.65	12664560	220803344.000
08/07/2012	6.61	7.05	6.59	6.82	14977183	269609568.000
08/08/2012	6.74	6.80	6.60	6.75	7694720	136214992.000
08/09/2012	6.72	6.88	6.58	6.79	6757169	120175040.000
08/10/2012	6.73	7.05	6.61	6.91	9570648	172511248.000
08/13/2012	6.85	6.92	6.57	6.62	6819445	121407144.000
08/14/2012	6.60	7.16	6.52	7.02	9701907	174888288.000
08/15/2012	6.93	7.24	6.87	6.94	10333906	191396848.000
08/16/2012	6.85	7.01	6.80	6.86	4635321	84273704.000
08/17/2012	6.86	6.91	6.64	6.74	4323948	76739544.000
08/20/2012	6.68	6.98	6.66	6.94	4665977	84008144.000
08/21/2012	6.89	7.05	6.87	6.98	5564564	102082904.000
08/22/2012	6.96	7.17	6.74	6.81	7126353	131033520.000
08/23/2012	6.71	6.91	6.70	6.80	5238988	93825000.000
08/24/2012	6.74	6.76	6.42	6.45	5848101	101041456.000
08/27/2012	6.23	6.41	6.16	6.22	4344422	72343848.000
08/28/2012	6.22	6.40	6.20	6.31	3637085	60751380.000
08/29/2012	6.30	6.45	6.21	6.34	3439486	57925284.000
08/30/2012	6.34	6.47	6.00	6.11	4452894	73651392.000
08/31/2012	6.10	6.28	6.09	6.25	3035780	49800276.000
09/03/2012	6.25	6.56	6.22	6.47	4422290	74937480.000
09/04/2012	6.48	6.51	6.36	6.40	2986582	50786908.000
09/05/2012	6.39	6.53	6.36	6.41	2452262	41822880.000
09/06/2012	6.39	6.56	6.39	6.49	2261296	38807176.000
09/07/2012	6.56	6.79	6.51	6.70	6073230	107230352.000
09/10/2012	6.66	6.86	6.61	6.76	4441305	79089480.000
09/11/2012	6.72	6.80	6.61	6.64	3935099	69368616.000
09/12/2012	6.74	6.88	6.62	6.73	4992435	88937592.000
09/13/2012	6.79	6.92	6.67	6.69	4572523	81890064.000
09/14/2012	6.69	6.76	6.47	6.55	4591065	80210328.000
09/17/2012	6.54	6.61	6.42	6.44	2843451	48748408.000
09/18/2012	6.40	6.48	6.33	6.36	1830658	30991602.000
09/19/2012	6.44	6.57	6.41	6.47	2913172	49998088.000
09/20/2012	6.42	6.46	6.28	6.33	2338558	39285844.000
09/21/2012	6.32	6.42	6.19	6.33	1616440	27058090.000
09/24/2012	6.29	6.43	6.24	6.38	1777082	29915678.000
09/25/2012	6.36	6.43	6.28	6.31	1227652	20635876.000
09/26/2012	6.27	6.33	6.03	6.10	2222726	36472316.000
09/27/2012	6.11	6.27	6.08	6.19	2513519	41289836.000
09/28/2012	6.16	6.30	6.15	6.26	1641628	27111484.000
10/08/2012	6.26	6.32	6.17	6.21	1063548	17551692.000
10/09/2012	6.22	6.44	6.22	6.43	2732863	46093640.000
10/10/2012	6.38	6.45	6.34	6.43	2091138	35454632.000
10/11/2012	6.40	6.50	6.23	6.26	3200574	53834192.000
10/12/2012	6.25	6.35	6.17	6.33	2373327	39436620.000
10/15/2012	6.31	6.33	6.03	6.07	3140940	51058476.000
10/16/2012	6.10	6.16	6.02	6.05	2319838	37516948.000
10/17/2012	6.08	6.14	6.06	6.10	1381069	22338210.000
10/18/2012	6.11	6.21	6.09	6.17	2336215	38147620.000
10/19/2012	6.16	6.20	6.05	6.08	2155433	34927608.000
10/22/2012	6.05	6.05	5.86	5.97	2948700	46530124.000
10/23/2012	5.95	6.04	5.94	5.95	1665637	26479502.000
10/24/2012	5.91	5.99	5.88	5.95	1011237	15972927.000
10/25/2012	5.82	5.91	5.49	5.52	5917049	88585376.000
10/26/2012	5.52	5.54	5.29	5.41	2665185	38250432.000
10/29/2012	5.34	5.53	5.33	5.43	1582642	23006752.000
10/30/2012	5.40	5.50	5.37	5.39	855739	12449512.000
10/31/2012	5.39	5.42	5.32	5.38	842728	12091898.000
