002695 煌上煌 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
09/05/2012	6.54	6.80	6.41	6.60	11445476	311937280.000
09/06/2012	6.53	6.90	6.45	6.66	8172269	226401536.000
09/07/2012	6.59	6.89	6.45	6.73	8143441	224935232.000
09/10/2012	6.66	6.90	6.62	6.86	7009434	197899312.000
09/11/2012	6.77	7.01	6.68	6.70	6673571	188558832.000
09/12/2012	6.69	6.75	6.49	6.56	5464206	149196976.000
09/13/2012	6.51	6.57	6.41	6.41	3283344	88123928.000
09/14/2012	6.45	6.52	6.37	6.46	2408775	64510744.000
09/17/2012	6.44	6.46	6.19	6.19	2907813	75827256.000
09/18/2012	6.15	6.24	6.14	6.18	1081406	27808042.000
09/19/2012	6.19	6.29	6.19	6.23	1190185	30826028.000
09/20/2012	6.23	6.36	6.22	6.24	2866459	74846920.000
09/21/2012	6.22	6.35	6.02	6.06	2441537	62657884.000
09/24/2012	6.01	6.01	5.77	5.87	2482296	60758560.000
09/25/2012	5.88	5.91	5.80	5.88	1165864	28431902.000
09/26/2012	5.86	5.90	5.77	5.81	1220456	29470056.000
09/27/2012	5.79	5.90	5.68	5.76	2193815	52779496.000
09/28/2012	5.74	5.87	5.71	5.84	1282013	31086912.000
10/08/2012	5.83	6.14	5.83	6.06	2286758	56905412.000
10/09/2012	6.02	6.14	6.02	6.12	1515059	38375064.000
10/10/2012	6.12	6.12	6.02	6.09	1168628	29442482.000
10/11/2012	6.07	6.09	5.88	5.89	900679	22461332.000
10/12/2012	5.86	5.98	5.86	5.95	760092	18776998.000
10/15/2012	5.95	6.11	5.95	6.06	1505111	37966348.000
10/16/2012	6.08	6.23	6.06	6.15	1722558	44219776.000
10/17/2012	6.16	6.19	6.08	6.16	1037442	26439646.000
10/18/2012	6.14	6.23	6.13	6.17	922978	23713900.000
10/19/2012	6.17	6.21	6.04	6.13	805953	20510898.000
10/22/2012	6.09	6.09	5.97	6.01	755209	18900382.000
10/23/2012	6.04	6.04	5.91	5.93	550411	13675698.000
10/24/2012	5.89	5.98	5.86	5.93	890432	21964972.000
10/25/2012	5.93	5.96	5.74	5.80	943465	22871354.000
10/26/2012	5.79	5.94	5.74	5.92	960411	23328268.000
10/29/2012	5.97	5.98	5.90	5.91	502189	12410066.000
10/30/2012	5.93	6.09	5.92	6.07	1240680	31091358.000
10/31/2012	6.07	6.09	6.01	6.08	580881	14615394.000
11/01/2012	6.06	6.12	6.05	6.12	1064876	26964758.000
11/02/2012	6.12	6.12	6.03	6.06	515951	12997541.000
11/05/2012	6.03	6.06	5.96	6.04	467690	11680913.000
11/06/2012	6.02	6.04	5.91	5.98	429410	10655284.000
11/07/2012	5.99	6.12	5.94	6.09	680564	17173942.000
11/08/2012	6.05	6.09	5.93	5.93	372700	9310570.000
11/09/2012	5.89	5.95	5.80	5.84	364042	8947281.000
11/12/2012	5.89	5.93	5.80	5.84	441902	10724209.000
11/13/2012	5.84	5.84	5.71	5.76	682106	16358867.000
11/14/2012	5.76	5.90	5.71	5.89	489671	11890430.000
11/15/2012	5.84	5.88	5.81	5.81	268937	6530660.000
11/16/2012	5.78	5.85	5.78	5.84	177778	4296818.000
11/19/2012	5.84	5.85	5.74	5.84	482024	11616857.000
11/20/2012	5.85	5.87	5.78	5.81	455861	11048335.000
11/21/2012	5.77	5.83	5.71	5.79	887091	21278138.000
11/22/2012	5.76	5.77	5.71	5.76	334100	7991303.000
11/23/2012	5.77	5.80	5.73	5.80	372671	8951733.000
11/26/2012	5.80	5.80	5.69	5.71	158150	3785544.000
11/27/2012	5.69	5.71	5.44	5.49	437017	10105067.000
11/28/2012	5.49	5.49	5.39	5.41	442759	10081134.000
11/29/2012	5.42	5.48	5.02	5.03	518251	11304511.000
11/30/2012	5.11	5.11	4.99	5.03	684949	14411141.000
12/03/2012	5.01	5.06	4.50	4.50	1515344	29459510.000
12/04/2012	4.49	4.49	4.29	4.44	1136023	20997562.000
12/05/2012	4.43	4.69	4.37	4.61	1226207	23590466.000
12/06/2012	4.60	4.65	4.56	4.59	636298	12323286.000
