002702 海欣食品 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/11/2012	7.06	7.06	6.48	6.50	7622317	208963856.000
10/12/2012	6.28	6.43	6.08	6.26	3733964	95917912.000
10/15/2012	6.21	6.34	6.15	6.28	2279482	58633132.000
10/16/2012	6.23	6.28	6.12	6.18	1562002	39774356.000
10/17/2012	6.18	6.21	6.04	6.08	1650762	41421024.000
10/18/2012	6.10	6.23	6.09	6.20	1372426	34749460.000
10/19/2012	6.20	6.21	6.10	6.10	1026839	25908590.000
10/22/2012	6.08	6.16	6.05	6.15	679368	17117712.000
10/23/2012	6.13	6.15	6.06	6.09	730183	18307644.000
10/24/2012	6.08	6.10	6.05	6.09	545416	13616601.000
10/25/2012	6.09	6.13	6.06	6.08	654019	16352490.000
10/26/2012	6.12	6.12	5.83	5.87	867455	21270440.000
10/29/2012	5.83	5.90	5.78	5.87	467200	11242126.000
10/30/2012	5.87	5.89	5.83	5.85	388316	9356487.000
10/31/2012	5.84	5.85	5.80	5.84	318815	7645882.500
11/01/2012	5.84	5.94	5.84	5.91	562512	13665003.000
11/02/2012	5.93	6.00	5.91	5.93	580586	14198596.000
11/05/2012	5.92	5.93	5.83	5.85	410386	9908524.000
11/06/2012	5.85	5.95	5.78	5.93	742736	17919680.000
11/07/2012	5.88	5.95	5.87	5.89	387250	9413837.000
11/08/2012	5.83	5.85	5.75	5.75	518980	12386730.000
11/09/2012	5.71	5.78	5.68	5.71	417697	9846604.000
11/12/2012	5.72	5.76	5.70	5.74	384000	9050570.000
11/13/2012	5.74	5.74	5.57	5.57	402023	9341106.000
11/14/2012	5.58	5.65	5.54	5.61	326113	7531325.000
11/15/2012	5.58	5.58	5.43	5.44	418676	9499547.000
11/16/2012	5.42	5.42	5.26	5.29	550307	12058758.000
11/19/2012	5.28	5.32	5.27	5.32	235710	5154772.500
11/20/2012	5.34	5.38	5.30	5.36	345689	7631556.000
11/21/2012	5.37	5.38	5.26	5.37	371189	8167609.000
11/22/2012	5.36	5.36	5.30	5.31	227418	4998799.000
11/23/2012	5.33	5.45	5.31	5.42	539661	12022843.000
11/26/2012	5.42	5.42	5.32	5.33	261312	5768525.500
11/27/2012	5.32	5.32	4.93	4.93	580380	12213232.000
11/28/2012	4.94	4.99	4.84	4.85	228965	4613721.500
11/29/2012	4.85	4.90	4.66	4.68	333914	6605157.000
11/30/2012	4.71	4.74	4.66	4.68	246922	4806172.500
12/03/2012	4.69	4.69	4.56	4.58	409229	7797601.000
