002707 众信旅游 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/23/2014	2.26	2.74	2.26	2.74	851338	28142588.000
01/24/2014	3.02	3.02	3.02	3.02	523378	19354518.000
01/27/2014	3.33	3.33	3.33	3.33	181411	7379799.500
01/28/2014	3.67	3.67	3.67	3.67	323298	14467586.000
02/07/2014	4.04	4.04	4.04	4.04	695835	34255956.000
02/10/2014	4.45	4.45	4.45	4.45	217136	11757914.000
02/11/2014	4.91	4.91	4.91	4.91	164479	9798014.000
02/17/2014	5.40	5.40	5.40	5.40	60965	3995036.500
02/18/2014	5.95	5.95	5.95	5.95	2661015	191805968.000
02/19/2014	6.55	6.55	6.55	6.55	897784	71185296.000
02/25/2014	7.21	7.21	7.09	7.21	9844955	858162432.000
02/26/2014	7.11	7.68	7.03	7.55	8309227	744774976.000
02/27/2014	7.60	7.61	6.79	6.97	6750629	582831808.000
02/28/2014	6.70	7.15	6.66	6.93	4627975	388049920.000
03/03/2014	6.82	7.14	6.62	6.93	4744219	393670880.000
03/04/2014	6.80	7.24	6.52	6.61	5729154	471763520.000
03/05/2014	6.57	6.97	6.50	6.81	3694420	302040192.000
03/06/2014	6.74	6.84	6.39	6.74	3601415	289603584.000
03/07/2014	6.69	7.05	6.59	6.59	3454841	284683360.000
03/10/2014	6.20	6.44	6.01	6.06	3819450	287731136.000
03/11/2014	6.15	6.20	5.90	6.08	2374876	175394432.000
03/12/2014	6.06	6.18	5.81	5.92	2051320	148766688.000
03/13/2014	5.89	6.15	5.89	6.11	1777757	130397032.000
03/14/2014	6.03	6.32	5.99	6.23	1990736	149400560.000
03/17/2014	6.19	6.25	6.08	6.19	1209707	90208424.000
03/18/2014	6.19	6.48	6.11	6.28	2453133	187022816.000
03/19/2014	6.21	6.22	6.03	6.10	1457346	107719792.000
03/20/2014	6.09	6.45	6.05	6.17	2113941	160477648.000
03/21/2014	6.07	6.45	5.98	6.38	1855387	140551664.000
03/24/2014	6.29	6.42	5.82	5.85	2074396	153082800.000
03/25/2014	5.80	5.86	5.55	5.63	1936994	133365048.000
03/26/2014	5.63	5.78	5.59	5.74	1267417	87183808.000
03/27/2014	5.70	5.73	5.47	5.50	1174216	79554320.000
03/28/2014	5.53	5.77	5.45	5.57	1230362	83698872.000
03/31/2014	5.54	6.13	5.54	5.91	1856697	132278888.000
04/01/2014	5.84	6.23	5.84	6.19	1571539	115220568.000
04/02/2014	6.13	6.30	6.01	6.17	1378723	102967544.000
04/03/2014	5.94	6.11	5.78	5.96	1967175	141684672.000
04/04/2014	5.93	5.94	5.70	5.84	976044	68809120.000
04/08/2014	5.79	6.07	5.61	6.02	1350812	96023624.000
04/09/2014	5.98	6.17	5.97	6.02	1081695	79236336.000
04/10/2014	6.02	6.33	6.02	6.16	1442213	108363696.000
04/11/2014	5.99	6.15	5.90	5.90	992910	72118336.000
04/14/2014	5.86	5.92	5.78	5.84	596024	42323720.000
04/15/2014	5.84	5.98	5.81	5.94	433632	31051744.000
04/16/2014	5.90	5.93	5.70	5.76	628959	44078776.000
04/17/2014	5.77	5.92	5.72	5.73	403169	28343302.000
04/18/2014	5.72	5.79	5.69	5.75	316380	22059352.000
04/21/2014	5.73	6.00	5.69	5.79	1014015	72314472.000
04/22/2014	5.79	5.88	5.51	5.68	1025528	70551664.000
04/23/2014	5.60	5.78	5.58	5.72	408763	28234932.000
04/24/2014	5.68	5.72	5.57	5.59	420544	28668650.000
04/25/2014	5.59	5.66	5.39	5.42	597043	39909296.000
04/28/2014	5.36	5.39	5.15	5.19	591603	37915108.000
04/29/2014	5.16	5.32	5.16	5.29	366890	23449916.000
04/30/2014	5.30	5.38	5.25	5.32	251587	16243317.000
05/05/2014	5.25	5.44	5.25	5.41	459393	29889546.000
05/06/2014	5.41	5.61	5.37	5.50	561454	37557516.000
05/07/2014	5.44	5.64	5.40	5.53	713067	48047116.000
05/08/2014	5.50	5.57	5.32	5.32	516032	34049296.000
05/09/2014	5.30	5.86	5.30	5.86	1005076	68611632.000
05/12/2014	5.93	6.16	5.78	6.02	1858307	134454128.000
05/13/2014	6.00	6.15	5.91	6.04	1237890	90366432.000
05/14/2014	5.96	6.59	5.90	6.40	1630731	123989952.000
05/15/2014	6.38	6.48	6.30	6.35	1201821	92820080.000
05/16/2014	6.28	6.89	6.28	6.42	1789845	142172992.000
05/19/2014	6.29	6.61	6.29	6.48	791197	61773476.000
05/20/2014	6.56	6.86	6.41	6.43	893560	71778232.000
05/21/2014	6.35	6.71	6.20	6.68	982650	76234880.000
05/22/2014	6.63	6.73	6.35	6.40	867069	68857104.000
05/23/2014	6.35	6.48	6.27	6.42	770910	59324392.000
05/26/2014	6.62	7.02	6.52	6.82	1839777	150557008.000
05/27/2014	6.78	6.82	6.56	6.62	1090770	88090776.000
05/28/2014	6.72	6.76	6.58	6.65	1212854	97971088.000
05/29/2014	6.61	6.61	6.29	6.44	1278832	99823024.000
05/30/2014	6.43	6.58	6.38	6.52	540475	42555360.000
06/03/2014	6.50	6.81	6.38	6.61	860616	69216672.000
06/04/2014	6.62	7.01	6.50	6.92	989741	80402576.000
06/05/2014	6.91	7.04	6.84	7.00	1149657	96969056.000
06/06/2014	6.98	7.17	6.85	7.07	1132448	96249152.000
06/09/2014	7.05	7.37	6.99	7.08	1199919	104295048.000
06/10/2014	7.08	7.12	6.82	7.04	1149718	96987648.000
06/11/2014	7.00	7.12	6.81	7.01	1223527	102597184.000
06/12/2014	6.96	7.54	6.91	7.46	1900405	166245344.000
09/26/2014	8.21	8.21	8.21	8.21	383666	37982936.000
09/29/2014	8.54	8.97	8.13	8.66	3454778	357183808.000
09/30/2014	8.96	9.13	8.46	8.71	1565858	166404704.000
10/08/2014	8.55	8.81	8.46	8.65	990293	103117816.000
10/09/2014	8.62	8.82	8.32	8.42	1121385	115202512.000
10/10/2014	8.46	8.51	8.31	8.48	655017	66476300.000
10/13/2014	8.46	8.50	8.17	8.38	761786	76240200.000
10/14/2014	8.34	8.79	8.34	8.61	755032	78079808.000
10/15/2014	8.58	9.48	8.54	9.48	1480542	161082848.000
10/16/2014	9.54	10.37	9.54	9.79	2029387	242582960.000
10/17/2014	10.00	10.26	9.79	9.98	1358863	164031728.000
10/20/2014	9.79	10.11	9.68	9.92	964566	115188080.000
10/21/2014	9.92	10.62	9.87	10.21	1214151	151778032.000
10/22/2014	10.15	10.82	10.15	10.57	1010865	128491208.000
10/23/2014	10.50	10.78	10.11	10.15	1161080	144487136.000
10/24/2014	10.11	10.63	10.03	10.50	886248	110974112.000
10/27/2014	10.42	10.67	10.21	10.61	620921	78377008.000
10/28/2014	10.59	10.68	10.25	10.63	1161497	146155456.000
10/29/2014	10.56	11.13	10.42	10.79	1140304	148040992.000
10/30/2014	10.77	10.81	10.46	10.55	887436	112691944.000
10/31/2014	10.50	10.98	10.50	10.62	755036	97688360.000
11/03/2014	10.71	10.79	10.13	10.40	1101840	137194032.000
11/04/2014	10.25	10.53	10.19	10.36	470182	58448656.000
11/05/2014	10.36	10.65	10.28	10.36	665017	84242872.000
11/06/2014	10.40	11.40	10.28	11.40	1546943	202528640.000
11/07/2014	11.54	11.54	10.88	10.99	1251459	168963376.000
11/10/2014	10.99	11.21	10.86	11.18	816999	108578240.000
11/11/2014	11.14	11.46	10.83	11.36	1310630	174367088.000
11/12/2014	11.20	12.00	11.19	11.76	1875388	263353344.000
11/13/2014	11.38	11.71	11.05	11.39	1009272	137533440.000
11/14/2014	11.29	11.37	10.58	10.87	990993	129417896.000
