002734 利民股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/27/2015	9.34	11.31	9.34	11.31	42700	653697.000
01/28/2015	12.49	12.49	12.49	12.49	14001	237036.938
01/29/2015	13.79	13.79	13.79	13.79	13400	249508.000
01/30/2015	15.22	15.22	15.22	15.22	26699	546795.500
02/02/2015	16.80	16.80	16.80	16.80	61850	1393480.500
02/03/2015	18.53	18.53	18.53	18.53	63400	1571052.000
02/04/2015	20.44	20.44	20.44	20.44	94150	2566529.000
02/05/2015	22.54	22.54	22.54	22.54	139150	4173108.500
02/06/2015	24.85	24.85	20.23	20.32	14798753	420732992.000
02/09/2015	19.05	19.46	18.23	18.23	7688119	190333248.000
02/10/2015	18.08	18.67	17.94	18.46	5167544	126876832.000
02/11/2015	18.35	19.62	18.08	19.01	5858882	146946304.000
02/12/2015	18.71	19.25	18.33	18.58	4787306	119916304.000
02/13/2015	18.70	19.14	18.59	18.76	4266573	107417440.000
02/16/2015	18.97	19.08	18.33	18.64	3665450	91360472.000
02/17/2015	18.59	18.84	18.45	18.71	2699356	67247320.000
02/25/2015	18.71	18.71	18.28	18.43	1922412	47330740.000
02/26/2015	18.45	19.08	18.45	18.88	3944363	99332536.000
02/27/2015	19.18	19.44	18.78	19.16	4269191	108565856.000
03/02/2015	19.08	20.02	18.93	19.72	4716511	122499440.000
03/03/2015	19.51	20.32	19.20	19.58	4585230	120151224.000
03/04/2015	19.58	21.58	19.40	21.57	8292097	226190736.000
03/05/2015	20.64	21.27	20.41	20.83	4757248	131903512.000
03/06/2015	20.74	20.97	19.67	19.70	3193601	86154256.000
03/09/2015	19.47	19.62	19.02	19.43	1835276	47215172.000
03/10/2015	19.46	20.28	19.43	20.01	2441195	65082940.000
03/11/2015	20.01	20.31	19.55	19.65	1998550	53161148.000
03/12/2015	19.65	20.39	19.08	20.37	3384438	89289408.000
03/13/2015	20.08	20.72	19.88	20.27	3276955	88892704.000
03/16/2015	20.26	21.95	20.02	21.13	3847476	106541192.000
03/17/2015	21.01	23.16	20.87	22.78	6326648	184529728.000
03/18/2015	22.55	23.24	21.82	22.56	4944885	147421456.000
03/19/2015	22.39	22.39	21.91	22.13	3341469	98458928.000
