002738 中矿资源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
12/30/2014	5.89	7.10	5.89	7.10	29300	318005.000
12/31/2014	7.83	7.83	7.83	7.83	10000	119900.000
01/05/2015	8.63	8.63	8.63	8.63	14900	196531.000
01/06/2015	9.51	9.51	9.51	9.51	28100	407731.000
01/07/2015	10.47	10.47	10.47	10.47	55200	880992.000
01/08/2015	11.54	11.54	11.54	11.54	116400	2043984.000
01/09/2015	12.71	12.71	12.71	12.71	375100	7246932.000
01/12/2015	13.97	14.00	13.18	14.00	16682944	345300576.000
01/13/2015	14.14	15.42	13.57	15.42	11793151	261423776.000
01/14/2015	16.17	16.98	15.85	16.98	9613421	241820752.000
01/15/2015	17.57	18.69	17.41	18.69	11310031	312623264.000
01/16/2015	19.97	20.58	19.93	20.58	5630590	173884464.000
01/19/2015	22.05	22.65	20.17	22.65	16965576	560273024.000
01/20/2015	22.23	24.93	22.22	24.93	9465091	344109952.000
01/21/2015	27.42	27.45	25.35	25.37	18984398	761455552.000
01/22/2015	24.65	27.42	24.65	26.63	15375876	605020096.000
01/23/2015	26.07	26.42	24.70	24.75	11688840	446407680.000
01/26/2015	24.49	25.42	24.09	25.09	10387324	387137152.000
01/27/2015	24.57	25.53	24.51	24.91	8087900	305179168.000
01/28/2015	24.58	27.42	24.58	27.42	14576160	589029504.000
01/29/2015	26.50	29.49	25.91	26.51	20332385	857960448.000
01/30/2015	25.57	25.64	23.84	23.84	13794033	513237088.000
02/02/2015	23.17	23.50	22.22	22.43	8962778	307292096.000
02/03/2015	22.70	24.29	22.53	23.25	9068788	318512160.000
02/04/2015	22.82	23.22	22.37	23.02	7417953	254835472.000
02/05/2015	22.99	24.27	22.41	22.98	10102119	357881344.000
02/06/2015	21.83	22.02	20.67	20.81	8760306	280090816.000
02/09/2015	20.70	21.27	20.50	20.95	4108175	129881840.000
02/10/2015	20.95	21.26	20.50	21.19	3799394	120368968.000
02/11/2015	21.35	21.83	21.03	21.11	4903743	159094528.000
02/12/2015	20.83	22.65	20.77	21.43	7800281	254855024.000
02/13/2015	21.15	23.14	21.03	22.37	9750767	326204256.000
02/16/2015	21.83	22.23	21.43	21.77	6101015	200722912.000
02/17/2015	21.83	22.58	21.37	21.51	4297719	142062864.000
02/25/2015	21.60	22.96	21.27	22.25	6679427	223956832.000
02/26/2015	21.94	22.09	21.30	21.77	5174087	169565136.000
02/27/2015	21.77	22.73	21.57	22.19	6290168	211174944.000
03/02/2015	22.33	22.55	21.90	22.49	4887697	164970032.000
03/03/2015	22.23	24.75	21.87	23.30	10386104	364473344.000
03/04/2015	22.69	23.97	22.69	23.32	6639760	234500928.000
03/05/2015	23.05	23.17	22.04	22.22	5295110	179747456.000
03/06/2015	21.83	22.14	21.42	21.43	3711928	121648792.000
03/09/2015	21.09	21.45	20.87	21.31	2111001	67617992.000
03/10/2015	21.50	21.77	21.34	21.54	2208316	71913544.000
03/11/2015	21.41	21.65	21.15	21.25	2426077	78305928.000
03/12/2015	21.05	21.23	19.83	20.41	3406722	105956432.000
03/13/2015	20.41	20.96	20.30	20.89	1725335	53928584.000
03/16/2015	21.09	21.71	20.95	21.57	2867182	92937688.000
03/17/2015	21.83	21.89	21.40	21.80	3673234	120343360.000
03/18/2015	21.83	22.16	21.82	22.02	3898539	129275808.000
03/19/2015	22.00	24.24	21.71	24.24	7186931	253345184.000
03/20/2015	24.83	25.30	23.50	23.70	10719088	391545152.000
03/23/2015	23.85	24.02	23.06	23.90	6121513	218046000.000
03/24/2015	23.93	24.25	22.83	23.58	5015930	178363920.000
03/25/2015	23.17	23.83	23.17	23.63	3891587	138307712.000
03/26/2015	23.60	25.17	23.17	24.35	7022339	255348672.000
03/27/2015	24.10	24.10	23.30	23.54	3855610	137705792.000
03/30/2015	23.60	24.21	23.31	23.64	3384794	121498168.000
03/31/2015	23.64	23.77	23.09	23.17	3410133	120043864.000
04/01/2015	23.23	23.49	23.03	23.35	2210620	77679728.000
04/02/2015	23.38	24.03	23.21	23.87	4247157	152188352.000
04/03/2015	23.83	24.20	23.50	24.05	4201680	151243104.000
04/07/2015	24.05	25.55	23.94	25.18	7052096	266491776.000
04/08/2015	25.02	25.17	23.73	24.25	5441377	200248256.000
04/09/2015	24.17	24.17	22.71	23.37	3454474	122155480.000
04/10/2015	23.17	23.73	22.83	23.70	3116879	110523792.000
04/13/2015	23.72	25.07	23.60	24.87	5404988	200654848.000
04/14/2015	24.49	27.13	24.38	26.26	8590086	337360032.000
04/15/2015	25.83	26.29	24.43	24.60	4907527	186687712.000
04/16/2015	24.29	25.60	23.39	25.51	4309616	159600992.000
04/17/2015	25.29	26.83	25.07	26.39	6961399	276176928.000
04/20/2015	26.23	27.70	24.90	25.22	6853538	272680128.000
04/21/2015	24.50	26.50	24.40	26.47	4566759	175913504.000
04/22/2015	26.43	27.69	26.23	26.50	5179492	209630320.000
04/23/2015	26.48	29.17	26.24	29.17	6616468	278242432.000
04/24/2015	30.49	31.77	28.06	29.15	10079098	454572864.000
04/27/2015	28.38	29.55	28.17	28.43	5470055	236824800.000
04/28/2015	27.83	28.03	25.63	25.70	5551326	222776112.000
04/29/2015	25.50	26.57	25.30	26.36	2878534	114035520.000
04/30/2015	26.77	26.97	25.70	25.72	2944144	115986712.000
05/04/2015	25.72	25.72	24.50	25.41	2519884	95487136.000
05/05/2015	25.17	26.67	24.90	25.42	2908243	113734728.000
05/06/2015	25.50	25.77	23.91	24.35	2474053	93750736.000
05/07/2015	24.28	24.63	22.17	22.43	2595208	90920384.000
05/08/2015	22.95	23.83	22.58	23.65	2398186	83490808.000
05/11/2015	24.09	25.43	23.63	25.29	4822319	179925984.000
05/12/2015	25.33	26.89	25.33	26.56	8439640	334803872.000
05/13/2015	25.83	26.43	25.16	25.87	5255118	203283696.000
05/14/2015	25.64	28.17	25.51	27.63	8078243	328126304.000
05/15/2015	27.68	28.93	26.17	28.14	8833794	367975776.000
05/18/2015	27.63	30.50	27.63	30.37	9384325	418126688.000
05/19/2015	30.83	31.73	28.89	29.30	7554049	340868256.000
05/20/2015	29.17	30.42	28.57	29.32	7009975	314089312.000
05/21/2015	28.73	30.33	27.89	29.97	7333910	319361568.000
05/22/2015	30.20	30.49	28.79	29.77	6299995	281352032.000
05/25/2015	29.10	32.76	28.87	32.76	4848931	228633920.000
05/26/2015	35.46	36.05	34.43	36.05	3703411	199016560.000
05/27/2015	39.16	39.67	36.45	39.67	12384303	720213632.000
05/28/2015	41.83	43.66	39.17	39.70	14843383	958073344.000
05/29/2015	35.83	40.20	35.71	36.49	10557224	592135488.000
06/01/2015	36.03	37.79	35.17	37.07	7415978	407289824.000
06/02/2015	36.91	40.49	35.83	39.85	7408105	421074496.000
06/03/2015	39.16	41.17	37.23	37.89	5561136	328491200.000
06/04/2015	37.25	37.27	34.09	35.03	5629024	298248064.000
06/05/2015	35.06	37.03	35.03	35.51	4059374	219140592.000
06/08/2015	35.80	35.80	33.03	33.75	4159013	213256512.000
06/09/2015	33.73	35.60	33.52	35.10	3507222	184419888.000
06/10/2015	35.09	36.37	34.03	35.60	3918459	210809328.000
06/11/2015	35.83	36.01	35.17	35.89	3298262	177217088.000
06/12/2015	35.62	36.55	35.31	36.55	4095124	222396976.000
06/15/2015	36.62	38.61	34.67	35.23	4485548	248659872.000
06/16/2015	34.09	34.09	31.85	31.95	3499153	173531632.000
06/17/2015	31.29	32.90	30.40	32.58	2592294	123503080.000
06/18/2015	32.57	33.13	30.17	30.32	2117220	102183128.000
06/19/2015	29.80	29.85	27.28	27.28	2711930	114893792.000
06/23/2015	27.28	27.89	24.89	27.50	2515537	101026840.000
06/24/2015	27.90	28.40	26.97	28.07	2641372	110538488.000
06/25/2015	27.93	27.93	25.27	25.60	2441281	98398376.000
06/26/2015	24.93	24.93	23.03	23.03	2227365	79724264.000
06/29/2015	23.74	23.92	20.73	20.73	2647110	86413784.000
06/30/2015	20.13	22.27	18.65	21.93	3023244	92494544.000
07/01/2015	21.32	22.91	19.73	20.07	3031616	99099328.000
07/02/2015	20.27	20.87	18.54	18.80	2795980	82756304.000
07/03/2015	18.80	20.69	17.94	20.69	5101822	151813856.000
07/06/2015	22.76	22.76	20.94	22.45	8228721	274572224.000
07/07/2015	20.19	21.27	20.19	20.19	1627500	49670984.000
07/08/2015	18.17	18.47	18.17	18.17	3981048	108935680.000
07/09/2015	16.35	19.99	16.35	19.99	4441445	124574272.000
07/10/2015	20.13	22.00	20.13	22.00	2547482	82916104.000
07/13/2015	23.03	24.21	21.82	24.21	6359610	224728176.000
07/14/2015	23.28	25.59	22.95	23.26	6306841	227585232.000
07/15/2015	22.27	22.53	20.93	20.93	2814612	91001040.000
07/16/2015	20.93	22.60	19.27	22.05	4168236	135167792.000
07/17/2015	22.13	23.85	22.07	23.19	3416019	117894344.000
07/20/2015	23.20	23.53	21.93	22.83	3192947	110020632.000
07/22/2015	25.13	25.13	23.01	23.72	4303095	156307408.000
07/23/2015	23.21	25.05	23.17	24.53	4190652	152831424.000
07/24/2015	24.60	26.10	23.93	24.31	4880511	184906976.000
07/27/2015	22.94	23.87	21.87	21.87	3653567	125151672.000
07/28/2015	19.93	22.19	19.67	20.49	2938187	90964672.000
07/29/2015	21.27	22.17	20.47	22.11	2514832	80521256.000
07/30/2015	21.89	22.58	20.93	21.04	2203129	72253968.000
07/31/2015	20.07	21.27	20.07	20.60	1249520	39005172.000
08/03/2015	20.13	20.58	18.67	18.93	1381591	40616488.000
08/04/2015	18.73	20.52	18.73	20.43	1394642	41483288.000
08/05/2015	20.37	21.01	20.00	20.57	1804796	55661232.000
08/06/2015	20.20	20.87	19.81	20.67	1351132	41566364.000
08/07/2015	20.80	21.57	20.71	21.31	1562866	49858444.000
08/10/2015	21.77	22.79	21.34	22.55	2333538	78178848.000
08/11/2015	22.06	24.59	21.97	23.67	4200197	146035312.000
08/12/2015	22.93	23.47	22.21	22.33	2685328	92447288.000
08/13/2015	22.15	23.33	22.14	23.27	1950225	66475960.000
08/14/2015	23.27	23.53	22.93	22.99	1765212	61374328.000
08/17/2015	22.95	23.14	22.30	22.99	1528530	52231660.000
08/18/2015	23.07	23.81	21.13	22.61	3977752	137987168.000
08/19/2015	21.93	24.87	21.47	24.87	7008975	254804096.000
08/20/2015	25.50	25.50	23.27	23.27	5709305	210630304.000
08/21/2015	22.61	23.93	20.94	23.89	3698391	122865880.000
08/24/2015	21.51	26.27	21.49	21.49	6250450	222854672.000
08/25/2015	19.34	19.93	19.34	19.34	1941648	56724204.000
08/26/2015	18.53	19.70	17.40	17.40	4252571	116806056.000
08/27/2015	17.53	18.11	15.67	17.67	2925361	75956096.000
08/28/2015	17.83	19.06	16.94	18.67	3750219	100888328.000
08/31/2015	18.10	18.52	16.79	16.79	2538577	66833572.000
09/01/2015	16.68	16.68	15.11	15.11	1780752	41369152.000
09/02/2015	14.13	15.41	13.59	13.59	1732512	37155748.000
09/07/2015	13.85	14.40	13.63	14.03	1503491	31922790.000
09/08/2015	13.80	15.17	13.70	14.98	1429061	31066694.000
09/09/2015	15.01	16.00	15.01	15.78	2111761	49594460.000
09/10/2015	15.53	15.78	15.09	15.13	1451012	33746432.000
09/11/2015	15.17	15.85	15.13	15.67	1596524	37438576.000
09/14/2015	15.83	15.83	14.09	14.09	1768220	39339728.000
09/15/2015	13.26	13.91	12.68	12.68	1398637	27844202.000
09/16/2015	12.77	13.95	12.77	13.95	1637537	33078720.000
09/17/2015	13.73	15.04	13.67	13.89	2006800	43429728.000
09/18/2015	13.95	14.52	13.80	14.29	1102150	23550306.000
09/21/2015	14.21	14.93	13.94	14.93	1276541	28121524.000
09/22/2015	14.91	15.23	14.75	15.00	1338394	30323706.000
09/23/2015	14.67	16.51	14.62	16.51	2129286	51742884.000
09/24/2015	17.65	18.17	17.59	18.17	1158844	31394690.000
09/25/2015	18.17	19.99	17.99	19.49	7859328	226468992.000
09/28/2015	18.60	18.93	17.53	18.73	5420662	148257904.000
09/29/2015	17.73	18.12	16.99	17.08	3826938	101000952.000
09/30/2015	16.93	17.92	16.93	17.28	2554640	67136192.000
10/08/2015	17.91	18.66	17.40	18.07	3111954	84474320.000
10/09/2015	17.71	18.60	17.50	17.87	2840886	76721544.000
10/12/2015	18.06	19.35	18.00	19.01	3964014	111025808.000
10/13/2015	18.60	18.90	18.27	18.74	3169051	88445712.000
10/14/2015	18.71	20.62	18.58	20.62	2999592	90598856.000
10/15/2015	21.27	22.59	20.28	21.97	6981160	222128800.000
10/16/2015	21.35	21.87	20.99	21.34	4490927	144269200.000
10/19/2015	21.12	21.40	20.61	20.66	2966824	93101504.000
10/20/2015	20.53	21.21	20.53	21.01	2277396	71850912.000
10/21/2015	21.19	21.25	18.91	18.91	3372477	101715160.000
10/22/2015	19.04	19.67	18.60	19.56	2427869	70118584.000
10/23/2015	19.91	19.98	19.19	19.84	2775872	81912792.000
10/26/2015	19.91	20.93	19.73	20.37	2745387	84208896.000
10/27/2015	19.92	20.18	18.61	20.16	2231144	65638080.000
10/28/2015	20.16	21.25	19.77	20.00	2336002	72309264.000
10/29/2015	20.13	20.44	19.69	20.17	1680442	51001776.000
10/30/2015	20.12	20.60	19.83	20.13	1938078	59269400.000
11/02/2015	19.59	21.47	19.15	20.83	3121477	96808976.000
11/03/2015	20.61	22.00	20.40	21.81	3501582	111996272.000
11/04/2015	21.67	22.33	21.29	22.25	3913936	129019656.000
11/05/2015	22.07	24.49	21.77	24.49	3316682	119644400.000
11/06/2015	26.59	26.94	25.71	26.94	3840614	154061408.000
11/09/2015	29.60	29.64	26.97	27.67	13855761	592437440.000
11/10/2015	26.40	27.60	25.95	26.53	9169335	367142816.000
11/11/2015	25.87	27.01	25.87	26.56	6019505	239529648.000
11/12/2015	26.57	28.40	26.20	27.70	8211006	338179936.000
11/13/2015	26.67	26.99	25.00	25.07	5475632	212990128.000
