002742 三圣特材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/17/2015	10.61	12.78	10.61	12.78	43600	1276585.000
02/25/2015	14.08	14.08	14.08	14.08	14700	474222.000
02/26/2015	15.52	15.52	15.52	15.52	10550	374419.500
02/27/2015	17.10	17.10	17.10	17.10	49950	1950048.000
03/02/2015	18.83	18.83	18.83	18.83	149650	6425971.000
03/03/2015	20.63	20.63	17.09	19.39	14119125	610102016.000
03/04/2015	18.14	18.77	17.90	18.28	7659377	318528768.000
03/05/2015	18.02	18.18	17.74	17.78	4507019	184243312.000
03/06/2015	17.86	18.32	17.46	17.52	3824245	154862272.000
03/09/2015	17.26	17.38	16.68	16.89	3311900	127762560.000
03/10/2015	16.91	17.21	16.91	17.08	2198479	85673104.000
03/11/2015	16.99	17.52	16.86	17.28	3353547	132205136.000
03/12/2015	17.47	17.47	16.96	17.06	2551946	99822392.000
03/13/2015	17.08	17.39	17.04	17.39	1986718	77940488.000
03/16/2015	17.46	17.84	17.45	17.82	3129963	126264928.000
03/17/2015	17.81	18.18	17.66	17.95	4071612	166548880.000
03/18/2015	17.94	18.15	17.83	18.09	3342517	137657344.000
03/19/2015	18.15	18.36	17.93	18.31	3654078	151327584.000
03/20/2015	18.32	18.38	18.04	18.14	3475466	144113632.000
03/23/2015	18.06	18.36	18.05	18.36	3439887	142952672.000
03/24/2015	18.41	18.41	17.70	18.21	3695307	152962656.000
03/25/2015	18.06	19.84	17.97	19.48	5502642	240815728.000
03/26/2015	19.17	19.91	18.68	19.61	4207916	185913520.000
03/27/2015	19.62	19.70	19.21	19.35	2517937	111387800.000
03/30/2015	19.61	20.22	19.38	19.88	6432275	289294976.000
03/31/2015	19.74	19.74	19.38	19.38	3349815	149172464.000
04/01/2015	19.39	19.56	19.39	19.52	2428005	107843528.000
04/02/2015	19.52	19.69	19.45	19.65	2723982	121519808.000
04/03/2015	19.57	20.32	19.48	20.20	3681076	167883728.000
04/07/2015	20.34	21.92	20.34	21.60	4281539	207849552.000
04/08/2015	21.92	22.99	21.21	22.99	5036103	253301728.000
04/09/2015	22.54	22.54	21.08	21.97	4084900	202875424.000
04/10/2015	22.33	22.41	21.74	22.15	2660335	134182400.000
04/13/2015	22.19	22.93	21.79	22.39	2912123	148195984.000
04/14/2015	22.19	22.23	21.57	21.60	2474994	122850848.000
04/15/2015	21.49	21.52	20.35	20.35	2529572	120036144.000
04/16/2015	20.34	20.92	20.08	20.66	1581527	74249704.000
04/17/2015	20.83	21.06	20.45	20.63	1976414	92962824.000
04/20/2015	20.40	20.40	19.68	19.79	2390276	109152608.000
04/21/2015	19.79	20.63	19.79	20.56	1911210	88505376.000
04/22/2015	20.62	21.10	20.61	20.90	2010150	95590280.000
04/23/2015	20.90	20.98	20.54	20.88	2113907	99686512.000
04/24/2015	20.63	21.86	20.45	21.51	3517016	170003408.000
04/27/2015	21.37	21.92	21.22	21.52	2396293	117644168.000
