002759 天际股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/28/2015	6.25	6.83	6.25	6.83	13800	238153.000
05/29/2015	7.52	7.52	7.52	7.52	6500	123760.000
06/01/2015	8.28	8.28	8.28	8.28	4800	100512.000
06/02/2015	9.12	9.12	9.12	9.12	3700	85211.000
06/03/2015	10.04	10.04	10.04	10.04	4000	101320.000
06/04/2015	11.05	11.05	11.05	11.05	13400	373324.000
06/05/2015	12.17	12.17	12.17	12.17	5200	159380.000
06/08/2015	13.40	13.40	13.40	13.40	13600	458592.000
06/09/2015	14.74	14.74	14.74	14.74	12800	474752.000
06/10/2015	16.23	16.23	16.23	16.23	29600	1207680.000
06/11/2015	17.86	17.86	17.86	17.86	12300	552024.000
06/12/2015	19.66	19.66	19.66	19.66	19200	947904.000
06/15/2015	21.63	21.63	21.63	21.63	103400	5615654.000
06/16/2015	23.80	23.80	21.66	23.80	8853797	522539904.000
06/17/2015	23.51	23.51	21.42	21.93	10983811	601279616.000
06/18/2015	21.36	21.43	19.73	19.91	7445925	383065696.000
06/19/2015	18.70	19.35	17.91	17.91	3902085	181637424.000
06/23/2015	17.59	19.03	17.19	18.40	4672412	214443760.000
06/24/2015	18.71	19.11	17.84	18.33	4915505	228768064.000
06/25/2015	18.30	18.30	16.95	17.00	3133788	139874272.000
06/26/2015	16.15	16.31	15.30	15.30	3045189	119697536.000
06/29/2015	15.67	15.71	13.76	13.76	2876530	102837672.000
06/30/2015	13.87	14.72	12.38	14.64	3725981	128124024.000
07/01/2015	14.23	16.07	13.95	15.23	6312146	242891568.000
07/02/2015	14.79	15.43	13.71	14.79	3722859	138032272.000
07/03/2015	14.35	15.51	13.30	14.99	4139503	150956896.000
07/06/2015	16.50	16.50	14.11	16.19	4346261	168419216.000
07/07/2015	15.34	17.35	14.56	15.71	3923400	153089344.000
07/08/2015	14.13	14.30	14.13	14.13	1460600	51941640.000
07/09/2015	12.77	15.55	12.71	15.55	11089013	407266208.000
07/10/2015	15.55	17.12	15.55	17.12	8575425	362478912.000
07/13/2015	17.11	18.84	16.50	18.84	9207183	412053760.000
07/14/2015	18.31	20.49	17.95	18.39	9452320	452719744.000
07/15/2015	17.50	17.50	16.54	16.71	5688585	239098672.000
07/16/2015	16.71	17.55	15.25	16.84	4476573	188913680.000
07/17/2015	16.84	17.74	16.52	17.31	5517054	238595440.000
07/20/2015	17.03	17.99	16.55	16.63	4005188	171561728.000
07/21/2015	16.31	17.50	16.08	17.46	4321057	182854656.000
07/22/2015	17.43	17.72	16.83	17.54	3559037	155530288.000
07/23/2015	17.55	19.30	17.36	19.30	6695439	316530080.000
07/24/2015	19.91	20.03	18.39	19.31	6566812	319406912.000
07/27/2015	18.51	19.53	17.37	18.08	3772902	175964064.000
07/28/2015	16.31	17.90	16.26	16.75	2635770	112482648.000
07/29/2015	16.89	18.43	16.77	18.43	2380266	104615848.000
07/30/2015	18.83	19.92	18.15	18.30	3932812	189239728.000
07/31/2015	17.51	19.63	17.51	19.24	4240235	200719952.000
08/03/2015	18.71	20.62	18.51	20.39	4960834	244572720.000
08/04/2015	20.20	20.74	18.34	19.51	4823788	233295568.000
08/05/2015	19.11	20.70	18.71	19.97	4952369	246386336.000
08/06/2015	19.11	19.75	18.23	18.98	3198520	151749936.000
08/07/2015	18.90	20.01	18.59	19.98	3253316	158506016.000
08/10/2015	19.71	20.97	19.71	20.71	2856950	146717600.000
08/11/2015	20.71	21.59	20.33	21.11	3404527	180622768.000
08/12/2015	20.32	20.75	19.90	19.93	2842863	144578928.000
08/13/2015	19.91	20.70	19.02	20.51	2113395	105573088.000
08/14/2015	20.51	21.72	19.99	21.11	2900833	152078032.000
08/17/2015	20.79	22.03	20.31	21.85	3318832	178102976.000
08/18/2015	21.51	22.31	19.66	20.11	2538624	132753824.000
08/19/2015	19.51	21.95	18.14	21.80	2681272	137899808.000
08/20/2015	22.19	23.99	22.18	23.99	7022018	416182432.000
08/21/2015	23.03	23.71	21.58	21.58	3823117	213350928.000
08/24/2015	19.51	20.70	19.41	19.41	705700	34575676.000
08/25/2015	17.47	17.95	17.47	17.47	1254500	55014924.000
08/26/2015	16.03	18.15	15.72	16.74	7231129	295426144.000
08/27/2015	16.27	17.15	15.06	17.14	4246818	172066304.000
08/28/2015	16.76	17.95	15.73	17.43	2651129	112558248.000
08/31/2015	16.87	16.90	15.68	16.35	1873876	76936520.000
09/01/2015	15.94	15.94	14.71	15.91	3075129	116040440.000
09/02/2015	14.79	15.90	14.36	15.90	2045795	78834568.000
09/07/2015	15.54	16.68	15.50	15.91	1343080	53883728.000
09/08/2015	15.61	16.38	15.55	16.27	1276883	51233728.000
09/09/2015	16.35	16.66	16.08	16.40	2672745	109894160.000
09/10/2015	15.75	15.97	15.20	15.71	2947961	115109680.000
09/11/2015	15.55	15.59	14.64	14.92	2707661	101825760.000
09/14/2015	14.71	14.87	13.42	13.42	2058300	71890640.000
09/15/2015	12.24	12.75	12.08	12.08	2163191	66402772.000
09/16/2015	11.55	13.20	11.55	12.87	3603898	109942504.000
09/17/2015	12.31	12.74	11.78	11.78	3105610	95632808.000
09/18/2015	11.75	11.94	10.99	11.50	2157759	62067436.000
09/21/2015	11.33	11.95	11.31	11.89	2441787	71834424.000
09/22/2015	11.87	12.22	11.87	12.04	2399496	72517528.000
09/23/2015	11.75	12.67	11.60	12.43	3608258	110360096.000
09/24/2015	12.35	12.67	12.19	12.37	2568684	80028008.000
09/25/2015	12.40	12.40	11.22	11.33	1971300	58274988.000
09/28/2015	11.27	11.76	11.23	11.70	1257958	36501004.000
09/29/2015	11.44	11.58	11.25	11.39	1036951	29772578.000
09/30/2015	11.44	12.35	11.44	11.95	2030074	61108364.000
10/08/2015	12.28	13.09	12.07	13.05	3028936	95025000.000
10/09/2015	12.95	13.70	12.50	13.62	3494898	114028008.000
10/12/2015	13.43	14.40	13.43	14.03	4722551	166180240.000
10/13/2015	13.73	14.02	13.56	13.74	2117634	72895280.000
10/14/2015	13.64	13.91	13.13	13.13	2284369	77267008.000
10/15/2015	13.17	13.63	13.08	13.58	2896329	97184736.000
10/16/2015	13.66	13.85	13.35	13.83	3006350	103131128.000
10/19/2015	13.83	14.38	13.83	14.09	3362028	118930360.000
10/20/2015	14.09	14.10	13.56	14.03	2327013	81169824.000
10/21/2015	14.05	14.75	13.69	14.30	5556479	199050640.000
10/22/2015	14.22	15.62	13.95	15.47	7216298	266298080.000
10/23/2015	15.17	15.38	14.71	15.16	5453900	205077728.000
10/26/2015	15.15	15.39	14.82	15.37	5103966	194597216.000
10/27/2015	15.14	15.27	14.07	15.17	4058836	151258752.000
10/28/2015	14.95	15.30	14.67	14.75	3155864	118943304.000
10/29/2015	14.94	15.06	14.69	14.88	2362120	88185008.000
10/30/2015	14.98	14.98	14.40	14.71	2617143	96699832.000
11/02/2015	14.68	15.35	14.54	14.97	4926775	185391600.000
11/03/2015	14.95	15.52	14.78	15.51	4532071	173233568.000
11/04/2015	15.55	16.95	15.28	16.75	6439309	257503088.000
11/05/2015	16.55	17.32	16.44	17.11	5174742	219229728.000
11/06/2015	17.02	17.30	16.95	17.16	3924659	168297952.000
11/09/2015	16.79	17.95	16.22	17.55	6257180	268680320.000
11/10/2015	17.35	18.48	17.29	18.25	5920255	266239712.000
11/11/2015	18.34	19.47	17.99	19.23	5300150	248472864.000
11/12/2015	19.23	20.72	18.95	20.02	4796141	235104464.000
11/13/2015	19.29	19.48	18.02	18.02	5449432	253311296.000
11/16/2015	16.95	17.87	16.81	17.67	2347878	102601056.000
11/17/2015	17.94	18.17	17.20	17.33	3112254	139100816.000
11/18/2015	17.39	17.53	16.52	16.55	2293092	97261576.000
11/19/2015	16.75	17.35	16.65	17.33	2110588	90049784.000
11/20/2015	17.47	17.88	17.28	17.35	3701501	162426208.000
11/23/2015	17.38	17.63	16.98	17.05	2692875	116398504.000
11/24/2015	17.05	18.27	16.95	18.15	5045030	221094144.000
11/25/2015	17.95	18.66	17.79	18.32	3775584	172545488.000
11/26/2015	18.31	19.14	18.16	18.33	4221561	198144256.000
11/27/2015	17.95	19.59	17.87	18.98	5340134	249079936.000
11/30/2015	18.97	20.88	18.70	20.88	7527959	376376736.000
12/01/2015	20.39	20.90	18.80	19.26	6144532	306984416.000
12/02/2015	18.67	19.23	17.42	18.23	3412506	156397984.000
12/03/2015	18.27	19.17	18.26	19.09	2837112	133916888.000
12/04/2015	18.87	19.75	18.54	18.67	3525963	169254960.000
12/07/2015	18.55	19.05	18.36	18.72	2183208	101991672.000
