002765 蓝黛传动 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
06/12/2015	9.44	10.79	9.44	10.79	11101	122441.688
06/15/2015	11.89	11.89	11.89	11.89	8100	98334.000
06/16/2015	13.10	13.10	13.10	13.10	4000	53400.000
06/17/2015	14.44	14.44	14.44	14.44	6172	90666.680
06/18/2015	15.91	15.91	15.91	15.91	8600	138976.000
06/19/2015	17.53	17.53	17.53	17.53	113754	2022546.125
06/23/2015	19.31	19.31	19.31	19.31	18000	352080.000
06/24/2015	21.27	21.27	21.27	21.27	11188	240765.766
06/25/2015	23.42	23.42	23.42	23.42	23500	556245.000
06/26/2015	25.79	25.79	25.79	25.79	987630	25717886.000
06/29/2015	28.39	28.39	23.19	23.27	23820076	582136448.000
06/30/2015	20.94	24.55	20.92	23.56	18627256	419531456.000
07/01/2015	22.76	25.94	21.97	24.58	19621051	487155840.000
07/02/2015	22.10	25.85	22.10	22.15	17449248	410193984.000
07/03/2015	19.91	22.54	19.91	19.91	10689927	221369936.000
07/06/2015	21.93	21.93	17.95	18.45	13746994	284278016.000
07/07/2015	17.26	17.60	16.58	16.58	4219610	71928832.000
07/08/2015	14.90	14.90	14.90	14.90	783600	11871540.000
07/09/2015	13.40	16.42	13.40	16.42	12196293	193673168.000
07/10/2015	18.08	18.09	17.56	18.09	3706352	67740928.000
07/13/2015	19.92	19.92	19.92	19.92	838734	16917264.000
07/14/2015	21.94	21.94	21.94	21.94	962610	21360316.000
07/15/2015	22.75	23.65	19.72	19.72	18022625	381548736.000
07/16/2015	18.49	20.86	17.73	19.92	11542084	229289056.000
07/17/2015	20.24	21.79	19.92	21.48	9169023	195170560.000
07/20/2015	21.12	21.75	19.91	20.65	10802872	229441776.000
07/21/2015	20.05	22.63	19.72	22.27	10967665	235277744.000
07/22/2015	21.75	22.26	20.98	21.75	9463469	207776128.000
07/23/2015	21.96	23.95	21.54	23.95	9314009	214844544.000
07/24/2015	25.50	26.37	24.55	26.37	22529820	590933056.000
07/27/2015	25.75	28.25	24.26	24.29	19825136	535039552.000
07/28/2015	22.03	25.75	21.84	22.74	15347081	359687200.000
07/29/2015	23.85	25.04	22.76	25.04	12330824	296315872.000
07/30/2015	26.15	27.57	25.80	26.72	18736719	516511264.000
07/31/2015	26.73	29.42	25.96	29.42	22271776	639423744.000
08/03/2015	29.65	32.39	29.35	32.39	20998247	669086464.000
08/04/2015	34.30	35.65	29.13	30.00	28647526	906436096.000
08/05/2015	28.31	33.03	28.26	33.03	23418419	749622016.000
08/06/2015	32.75	36.36	29.96	35.65	29231539	981321472.000
08/07/2015	33.74	37.57	32.93	34.55	21674704	767942272.000
08/10/2015	34.55	35.45	33.55	34.73	18507636	646028672.000
08/11/2015	34.73	38.23	33.95	38.23	18791648	693956672.000
08/12/2015	40.25	42.08	36.85	39.96	28939609	1149651712.000
08/13/2015	37.05	39.11	36.85	37.86	19184692	730440192.000
08/14/2015	37.43	39.61	35.94	37.26	17485530	658990528.000
08/17/2015	36.26	36.75	33.51	33.66	14517661	507538080.000
08/18/2015	33.50	35.74	31.75	32.81	11919443	409890848.000
08/19/2015	32.41	33.90	29.83	32.79	10423679	337418400.000
08/20/2015	32.05	32.39	29.73	29.75	6736081	211847776.000
08/21/2015	28.65	29.55	26.75	26.77	6821150	194082768.000
08/24/2015	24.75	25.65	24.07	24.07	3201524	78600272.000
08/25/2015	21.76	26.45	21.64	22.61	12041038	286162016.000
08/26/2015	23.70	24.90	22.63	24.90	15170356	376579936.000
08/27/2015	26.36	27.42	24.43	27.25	18752000	494775680.000
08/28/2015	26.38	29.31	25.94	28.07	15904382	439470464.000
08/31/2015	27.53	28.02	25.24	25.24	9576659	256917168.000
09/01/2015	24.40	25.35	22.69	22.69	8524954	203459392.000
