002776 柏堡龙 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
06/26/2015	13.89	16.68	13.89	16.68	20493	686758.125
06/29/2015	18.36	18.36	18.36	18.36	26900	992341.000
06/30/2015	20.20	20.20	20.20	20.20	25786	1046395.875
07/01/2015	22.23	22.23	22.23	22.23	12143	542063.500
07/02/2015	24.46	24.46	24.46	24.46	156200	7669420.000
07/03/2015	25.40	26.92	22.01	26.92	15629995	761156544.000
07/06/2015	29.41	29.62	24.22	24.22	13258962	729131456.000
07/07/2015	21.79	21.79	21.79	21.79	490400	21455000.000
07/08/2015	19.60	19.60	19.60	19.60	129500	5099710.000
07/09/2015	17.63	21.57	17.63	21.57	10716706	421135968.000
07/10/2015	23.41	23.74	22.16	23.74	2557048	119974816.000
07/13/2015	25.91	26.12	24.74	26.12	6485012	337634432.000
07/14/2015	27.91	28.74	26.17	28.74	10527166	598057408.000
07/15/2015	28.41	28.41	25.86	25.86	5625567	297718656.000
07/16/2015	23.26	26.41	23.26	23.77	8400975	409413696.000
07/17/2015	23.95	25.89	22.41	25.03	6365732	311606656.000
07/20/2015	24.21	25.40	23.76	23.89	5023868	246223440.000
07/21/2015	23.30	24.71	22.86	24.56	4205368	202991024.000
07/22/2015	24.66	25.91	24.24	24.67	4294372	214864320.000
07/23/2015	24.81	27.15	24.69	27.15	4160357	217086672.000
07/24/2015	29.71	29.87	28.52	29.87	10154530	606734912.000
07/27/2015	28.41	32.86	26.88	27.00	11377843	696231552.000
07/28/2015	25.41	29.16	24.29	28.91	10329802	551771328.000
07/29/2015	28.91	31.81	26.92	31.81	9875588	580977600.000
07/30/2015	31.91	35.00	31.34	32.66	12716527	860702592.000
07/31/2015	31.66	35.85	30.66	34.11	11257343	746628800.000
08/03/2015	32.83	34.51	30.69	31.29	8860463	574650688.000
08/04/2015	30.91	32.75	28.15	30.04	8864565	525840256.000
08/05/2015	29.25	32.54	29.25	31.29	7195680	448145920.000
08/06/2015	30.26	30.62	28.44	29.34	5240260	310974848.000
08/07/2015	29.54	30.56	29.01	29.85	4407950	264366800.000
08/10/2015	29.91	31.29	29.56	30.91	4739719	291160992.000
08/11/2015	30.82	32.39	30.64	31.52	5129119	325906752.000
08/12/2015	31.51	32.31	29.29	29.66	4863457	299268448.000
08/13/2015	28.97	30.23	28.45	29.91	3705959	218224144.000
08/14/2015	29.89	30.66	29.42	29.83	3761487	225745696.000
08/17/2015	29.41	29.41	27.66	27.81	4239603	240862768.000
08/18/2015	27.82	28.81	25.02	25.04	3779077	205769296.000
08/19/2015	24.70	25.80	23.07	25.61	3961316	195903664.000
08/20/2015	25.21	25.50	24.02	24.02	2711537	134922432.000
08/21/2015	23.36	23.82	22.10	22.11	2737027	126371928.000
08/24/2015	21.31	21.38	19.89	19.89	2637051	106535664.000
08/25/2015	17.96	21.16	17.91	18.10	5392164	207527648.000
08/26/2015	18.84	19.92	18.11	19.92	6330984	247555840.000
08/27/2015	20.66	21.66	19.41	21.38	7287313	298025888.000
08/28/2015	20.81	22.63	20.42	22.04	6438010	275527552.000
08/31/2015	21.44	21.56	19.83	19.83	3709268	153494864.000
09/01/2015	19.22	19.41	17.84	17.84	3121518	116029184.000
09/02/2015	16.74	19.16	16.74	17.62	3601210	131889056.000
09/07/2015	18.23	18.99	18.01	18.23	2802168	104044880.000
09/08/2015	18.01	20.01	17.91	20.01	4150543	160741904.000
09/09/2015	19.91	20.91	19.76	20.41	4917432	201331424.000
09/10/2015	19.60	20.41	19.16	19.31	2981879	118259488.000
09/11/2015	19.52	19.90	19.24	19.75	2004747	79054000.000
09/14/2015	19.80	19.90	17.76	17.76	2652433	98780088.000
09/15/2015	17.31	18.25	17.02	17.32	2251628	79584640.000
09/16/2015	17.44	19.06	17.44	19.06	3639406	133736840.000
09/17/2015	18.84	19.40	18.31	18.33	3768630	142691792.000
09/18/2015	18.56	18.61	18.02	18.50	1983279	73025296.000
09/21/2015	18.31	19.49	18.11	19.41	2824933	107634008.000
09/22/2015	19.62	19.62	19.11	19.36	2651261	103385120.000
09/23/2015	19.01	20.05	18.77	19.56	3521137	137930096.000
09/24/2015	19.71	20.18	19.42	19.64	2598391	103050904.000
09/25/2015	19.42	19.70	18.11	18.28	2549798	96606512.000
09/28/2015	18.28	19.09	18.18	19.04	1540853	57891820.000
09/29/2015	18.71	18.91	18.32	18.58	1296601	48443636.000
09/30/2015	18.65	19.00	18.46	18.86	1286314	48634544.000
10/08/2015	19.56	20.04	19.14	19.91	2552208	100863008.000
10/09/2015	19.91	20.15	19.62	20.00	2339301	93612448.000
10/12/2015	20.07	21.41	20.07	21.07	3455004	144351632.000
10/13/2015	20.81	21.16	20.54	20.94	2375099	99551816.000
10/14/2015	20.89	21.36	20.76	20.82	2677372	113072720.000
10/15/2015	20.82	22.05	20.71	21.71	3391386	146872000.000
10/16/2015	21.89	21.91	21.02	21.52	2948804	127199008.000
10/19/2015	21.57	22.60	20.91	22.06	3328664	143951952.000
10/20/2015	22.47	24.28	22.45	24.28	5859148	275144000.000
10/21/2015	24.71	25.26	21.84	22.00	5292635	254248256.000
10/22/2015	22.40	23.91	21.86	23.59	3145837	144283248.000
10/23/2015	23.91	24.14	23.16	23.91	2290367	108980616.000
10/26/2015	24.21	25.27	23.90	24.70	2689539	133394544.000
10/27/2015	24.16	25.26	23.41	25.01	2609908	127907168.000
10/28/2015	25.11	25.11	23.91	23.99	1592126	78287200.000
10/29/2015	24.05	24.69	23.65	24.55	1755129	85206840.000
10/30/2015	24.32	25.16	23.97	24.80	1458396	72143240.000
11/02/2015	24.64	27.29	24.08	25.71	3273050	173006464.000
11/03/2015	25.41	26.91	25.41	26.37	2845045	149408768.000
11/04/2015	26.47	27.31	25.91	27.01	2341561	124762600.000
11/05/2015	26.96	28.46	26.48	28.06	2857941	159433872.000
11/06/2015	28.01	30.39	27.71	29.66	2747158	161672032.000
11/09/2015	29.41	32.64	29.16	32.44	4141309	260079296.000
11/10/2015	31.91	33.30	30.51	32.27	3425946	219976576.000
11/11/2015	31.96	35.50	31.41	35.50	3974474	268153056.000
11/12/2015	34.91	37.81	33.69	36.32	4976385	353945312.000
11/13/2015	35.24	35.66	32.68	32.68	5312381	355851904.000
11/16/2015	31.06	33.05	30.91	32.22	2898923	186897152.000
11/17/2015	32.69	33.20	29.93	31.19	3970720	252618832.000
11/18/2015	31.16	31.21	29.42	29.51	2817541	169835920.000
11/19/2015	29.72	32.47	29.52	32.47	3144422	195641424.000
11/20/2015	32.31	35.18	31.92	33.95	4143041	281505024.000
11/23/2015	33.56	33.66	31.41	31.66	2648319	172825888.000
11/24/2015	31.63	34.84	31.49	34.84	3415075	229407952.000
11/25/2015	34.84	36.39	34.00	35.01	3518983	249860208.000
11/26/2015	35.04	36.81	34.06	34.70	2572128	182459552.000
11/27/2015	34.62	35.91	33.26	34.18	3954262	275048832.000
11/30/2015	33.55	37.56	32.41	36.32	5335928	368799968.000
12/01/2015	36.31	37.28	32.68	33.36	5924849	416170912.000
12/02/2015	32.56	32.90	30.04	31.76	3429910	216813824.000
12/03/2015	31.91	33.58	31.67	33.26	2562465	167738960.000
