002791 坚朗五金 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/29/2016	28.32	30.91	28.32	30.91	34710	1076707.625
03/30/2016	34.02	34.02	34.02	34.02	13600	465532.094
03/31/2016	37.44	37.44	37.44	37.44	28237	1061428.875
04/01/2016	41.20	41.20	41.20	41.20	79402	3283272.750
04/05/2016	45.34	45.34	45.34	45.34	110377	5021049.500
04/06/2016	49.89	49.89	49.89	49.89	1093425	54714988.000
04/07/2016	54.40	54.89	52.10	54.89	23220800	1247044096.000
04/08/2016	52.85	53.51	50.96	51.43	14900400	780789120.000
04/11/2016	51.45	54.85	50.64	53.27	13006500	680957440.000
04/12/2016	52.20	53.13	50.85	50.95	10065800	521889184.000
04/13/2016	50.55	52.30	50.55	51.00	8579400	441955136.000
04/14/2016	51.65	56.12	51.01	56.12	19647887	1070031296.000
04/15/2016	55.65	58.07	53.85	55.33	19769441	1113894016.000
04/18/2016	53.45	53.67	51.73	52.45	8799400	464050336.000
04/19/2016	52.90	54.65	52.46	53.10	6936500	371881728.000
04/20/2016	52.55	53.83	48.35	52.47	9965924	514700928.000
04/21/2016	51.20	51.91	49.86	49.95	6137900	313297600.000
04/22/2016	49.99	51.12	49.35	50.31	4357900	220063552.000
04/25/2016	50.78	50.78	49.35	49.98	3543092	177460128.000
04/26/2016	50.14	50.43	49.06	50.05	4204218	210092992.000
04/27/2016	50.07	52.55	50.07	51.21	8989916	462749952.000
04/28/2016	50.78	51.14	48.70	49.61	5666304	282427488.000
04/29/2016	49.30	49.94	48.86	49.10	3000862	148518224.000
05/03/2016	48.89	50.23	48.73	50.01	4337600	216298720.000
05/04/2016	50.02	50.33	49.60	49.86	3933076	197175152.000
05/05/2016	49.87	51.03	49.45	50.97	5103783	257141072.000
05/06/2016	50.84	51.39	48.75	48.82	6917791	348064640.000
05/09/2016	48.45	48.45	44.85	45.05	4441767	205745632.000
05/10/2016	45.55	45.97	45.08	45.35	2747364	125425456.000
05/11/2016	45.85	45.94	44.11	44.13	3168051	142661488.000
05/12/2016	43.35	43.35	42.21	43.01	3068607	131585864.000
05/13/2016	43.01	43.83	42.75	43.00	2585339	112368584.000
05/16/2016	42.91	43.82	42.43	43.79	2315885	100707224.000
05/17/2016	43.80	43.93	43.20	43.38	2512900	109851576.000
05/18/2016	42.74	42.74	40.00	40.59	3721927	154630016.000
05/19/2016	40.60	41.81	40.51	40.72	2419728	99877520.000
