300009 安科生物 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.14	4.16	3.88	3.90	1605279	18239656.000
01/05/2012	3.84	3.87	3.46	3.48	2585368	26869396.000
01/06/2012	3.48	3.55	3.37	3.53	1571120	15618697.000
01/09/2012	3.56	3.71	3.47	3.69	1440701	14904788.000
01/10/2012	3.72	3.86	3.69	3.85	1880789	20295062.000
01/11/2012	3.84	3.95	3.82	3.83	1541083	16946190.000
01/12/2012	3.82	3.91	3.80	3.80	1137459	12400707.000
01/13/2012	3.78	3.82	3.55	3.57	1738124	18107044.000
01/16/2012	3.53	3.56	3.39	3.41	1492254	14901504.000
01/17/2012	3.43	3.68	3.40	3.66	1289530	13087522.000
01/18/2012	3.68	3.72	3.47	3.50	1346032	13781552.000
01/19/2012	3.49	3.67	3.49	3.61	1712025	17602200.000
01/20/2012	3.62	3.67	3.59	3.66	1387574	14406307.000
01/30/2012	3.71	3.71	3.62	3.66	1456746	15228407.000
01/31/2012	3.66	3.66	3.55	3.62	798582	8188418.000
02/01/2012	3.62	3.71	3.59	3.64	1423136	14870578.000
02/02/2012	3.67	3.70	3.61	3.70	1196464	12487824.000
02/03/2012	3.69	3.78	3.68	3.78	1470088	15665529.000
02/06/2012	3.82	3.82	3.72	3.77	1431860	15315290.000
02/07/2012	3.82	4.02	3.80	3.88	4102727	45406248.000
02/08/2012	3.81	3.96	3.78	3.95	2585571	28452518.000
02/09/2012	3.93	4.07	3.89	4.00	3280621	36933392.000
02/10/2012	3.99	4.02	3.93	3.96	2124323	23838638.000
02/13/2012	3.96	4.06	3.88	4.01	2306899	25947364.000
02/14/2012	3.99	4.01	3.91	3.96	1593341	17830244.000
02/15/2012	3.96	4.04	3.92	4.02	2040349	23003564.000
02/16/2012	4.01	4.08	3.92	3.97	2272652	25652908.000
02/17/2012	4.00	4.01	3.87	3.93	1766243	19640080.000
02/20/2012	3.99	4.05	3.95	3.95	2339779	26400752.000
02/21/2012	3.95	4.01	3.87	4.00	1642224	18345486.000
02/22/2012	3.99	4.16	3.99	4.14	4351793	50206456.000
02/23/2012	4.20	4.23	4.07	4.11	3146593	36666508.000
02/24/2012	4.08	4.20	4.07	4.19	2980892	34811716.000
02/27/2012	4.22	4.22	4.13	4.16	3226083	37932952.000
02/28/2012	4.14	4.16	4.04	4.09	2342433	27003554.000
02/29/2012	4.08	4.12	4.01	4.02	1413179	16205444.000
03/01/2012	3.99	4.07	3.99	4.03	1067797	12152057.000
03/02/2012	4.06	4.15	4.02	4.13	1517288	17524218.000
03/05/2012	4.13	4.16	4.09	4.12	1555992	18065164.000
03/06/2012	4.08	4.13	4.00	4.02	1563819	17803454.000
03/07/2012	3.99	4.07	3.96	4.00	1250100	14194271.000
03/08/2012	3.99	4.13	3.99	4.10	2065948	23755500.000
03/09/2012	4.12	4.18	4.10	4.18	2130128	24898714.000
03/12/2012	4.19	4.27	4.15	4.26	3262619	38502012.000
03/13/2012	4.27	4.27	4.18	4.22	2184003	25849434.000
03/14/2012	4.24	4.28	3.96	3.99	3535842	41449200.000
03/15/2012	3.99	4.03	3.84	3.90	2027334	22545344.000
03/16/2012	3.90	4.04	3.90	4.03	1664489	18751678.000
03/19/2012	4.03	4.14	4.01	4.11	1785009	20557286.000
03/20/2012	4.11	4.12	3.95	3.95	1824499	20624288.000
03/21/2012	3.97	4.01	3.88	3.95	1218818	13599149.000
03/22/2012	3.95	4.04	3.94	3.99	961814	10861862.000
03/23/2012	3.96	3.97	3.89	3.93	1016137	11307172.000
03/26/2012	3.92	4.00	3.89	3.95	808475	9044412.000
03/27/2012	3.98	4.08	3.95	4.05	1831065	20819420.000
03/28/2012	4.04	4.06	3.74	3.77	2081562	22967418.000
03/29/2012	3.74	3.76	3.64	3.68	1219943	12897115.000
03/30/2012	3.69	3.73	3.52	3.57	1091128	11336470.000
04/05/2012	3.57	3.68	3.54	3.66	1048605	10879012.000
04/06/2012	3.68	3.69	3.63	3.65	1055896	11004114.000
04/09/2012	3.63	3.67	3.56	3.56	1003910	10304467.000
04/10/2012	3.53	3.60	3.47	3.60	1141343	11553839.000
04/11/2012	3.55	3.61	3.53	3.59	820479	8376209.500
04/12/2012	3.59	3.71	3.57	3.70	1597053	16652007.000
04/13/2012	3.70	3.76	3.69	3.75	1545694	16381352.000
04/16/2012	3.73	3.74	3.68	3.70	629737	6650884.000
04/17/2012	3.70	3.79	3.69	3.70	1205794	12827036.000
04/19/2012	3.78	4.12	3.76	3.99	4917628	54976360.000
04/20/2012	3.96	3.99	3.88	3.96	2703191	30097896.000
04/23/2012	3.91	3.99	3.62	3.70	2990088	32202614.000
04/24/2012	3.65	3.68	3.45	3.61	1845794	18849054.000
04/25/2012	3.61	3.65	3.55	3.64	1129692	11615875.000
04/26/2012	3.64	3.64	3.55	3.58	952397	9758010.000
04/27/2012	3.58	3.75	3.50	3.68	2115464	22053092.000
05/02/2012	3.72	3.80	3.68	3.76	1434683	15279246.000
05/03/2012	3.76	3.85	3.72	3.82	1179294	12709923.000
05/04/2012	3.84	3.86	3.74	3.84	1336361	14190307.000
05/07/2012	3.80	3.91	3.79	3.90	1311563	14042495.000
05/08/2012	3.90	3.92	3.82	3.86	1087700	11701247.000
05/09/2012	3.81	3.84	3.70	3.70	1240650	12981011.000
05/10/2012	3.72	3.84	3.70	3.78	1188584	12539808.000
05/11/2012	3.78	3.85	3.72	3.80	1256925	13281832.000
05/14/2012	3.83	3.91	3.79	3.83	1890096	20284302.000
05/15/2012	3.78	3.80	3.68	3.76	1113305	11621783.000
05/16/2012	3.76	3.80	3.68	3.71	823259	8581277.000
05/17/2012	3.68	3.79	3.68	3.77	916397	9612326.000
05/18/2012	3.76	3.77	3.68	3.69	850774	8825346.000
05/21/2012	3.70	3.74	3.64	3.65	718992	7411792.500
05/22/2012	3.68	3.77	3.66	3.74	890443	9263896.000
05/23/2012	3.72	3.80	3.68	3.78	1321040	13792775.000
05/24/2012	3.76	3.80	3.69	3.71	661599	6906814.500
05/25/2012	3.71	3.74	3.61	3.63	807322	8279373.000
05/28/2012	3.61	3.64	3.53	3.64	994090	10012419.000
05/29/2012	3.66	3.70	3.61	3.68	765144	7847727.500
05/30/2012	3.76	3.96	3.72	3.82	3755696	40468840.000
05/31/2012	3.76	3.82	3.68	3.76	2051862	21565670.000
06/01/2012	3.76	3.80	3.74	3.79	1186134	12480089.000
06/04/2012	3.76	3.76	3.64	3.64	1167517	12056835.000
06/05/2012	3.64	3.73	3.62	3.67	984620	10123258.000
06/06/2012	3.67	3.70	3.63	3.66	624261	6394506.000
06/07/2012	3.71	3.72	3.63	3.66	772675	7940451.500
06/08/2012	3.70	3.70	3.62	3.64	645263	6617105.500
06/11/2012	3.64	3.72	3.61	3.71	1139051	11676905.000
06/12/2012	3.67	3.78	3.66	3.77	1660567	17375444.000
