300016 北陆药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.03	4.08	3.88	3.88	249899	2182040.500
01/05/2012	3.84	3.91	3.53	3.61	636586	5191957.500
01/06/2012	3.62	3.64	3.47	3.62	641250	5028259.500
01/09/2012	3.66	3.77	3.51	3.76	593070	4804964.000
01/10/2012	3.74	3.95	3.71	3.91	712670	6044131.000
01/11/2012	3.94	3.95	3.85	3.90	500094	4285145.500
01/12/2012	3.86	3.94	3.85	3.87	349254	2983165.500
01/13/2012	3.89	3.89	3.59	3.60	680772	5547595.000
01/16/2012	3.57	3.64	3.50	3.50	330769	2597431.000
01/17/2012	3.58	3.74	3.52	3.73	500463	4032784.250
01/18/2012	3.75	3.77	3.55	3.58	500270	4051583.000
01/19/2012	3.58	3.70	3.58	3.66	414291	3341697.750
01/20/2012	3.67	3.74	3.66	3.72	480667	3927853.000
01/30/2012	3.81	3.81	3.71	3.75	373363	3098267.500
01/31/2012	3.67	3.74	3.65	3.69	331967	2692042.250
02/01/2012	3.69	3.77	3.66	3.67	346250	2833517.250
02/02/2012	3.65	3.76	3.65	3.75	301802	2474424.500
02/03/2012	3.75	3.85	3.74	3.84	620927	5190261.500
02/06/2012	3.84	3.89	3.82	3.87	554439	4693579.000
02/07/2012	3.86	3.86	3.74	3.79	388186	3238126.750
02/08/2012	3.78	3.92	3.76	3.90	605783	5136784.500
02/09/2012	3.90	4.03	3.87	4.00	984513	8558987.000
02/10/2012	3.98	4.05	3.95	4.02	631067	5529069.500
02/13/2012	4.03	4.10	3.92	4.04	638445	5640929.500
02/14/2012	4.04	4.07	3.99	4.05	406060	3583098.750
02/15/2012	4.02	4.14	4.01	4.13	621161	5557646.000
02/16/2012	4.11	4.16	4.00	4.09	721705	6424886.500
02/17/2012	4.09	4.12	4.02	4.05	458609	4068835.500
02/20/2012	4.09	4.12	4.02	4.02	522029	4648676.500
02/21/2012	4.03	4.15	3.98	4.15	655176	5817069.500
02/22/2012	4.14	4.26	4.12	4.24	769071	7028490.500
02/23/2012	4.24	4.28	4.16	4.21	826085	7582061.000
02/24/2012	4.18	4.27	4.18	4.24	695396	6404817.500
02/27/2012	4.24	4.35	4.21	4.30	1063384	9889880.000
02/28/2012	4.25	4.30	4.16	4.24	632669	5819551.000
02/29/2012	4.18	4.23	4.11	4.11	822559	7466097.500
03/01/2012	4.09	4.16	4.06	4.09	710049	6381780.500
03/02/2012	4.07	4.22	4.07	4.22	846419	7712182.000
03/05/2012	4.23	4.27	4.18	4.25	621749	5724733.500
03/06/2012	4.25	4.25	4.14	4.16	475861	4338464.000
03/07/2012	4.16	4.21	4.11	4.15	681969	6169249.500
03/08/2012	4.17	4.24	4.13	4.21	759751	6964148.500
03/09/2012	4.24	4.36	4.22	4.36	1108224	10388503.000
03/12/2012	4.38	4.53	4.37	4.47	1746023	16888338.000
03/13/2012	4.42	4.52	4.42	4.48	835679	8086558.000
03/14/2012	4.48	4.57	4.16	4.22	1636567	15670339.000
03/15/2012	4.25	4.35	4.16	4.31	1325986	12332272.000
03/16/2012	4.29	4.52	4.29	4.50	1451015	13913394.000
03/19/2012	4.51	4.64	4.47	4.62	1663271	16501047.000
