300021 大禹节水 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	11.55	11.68	10.98	10.98	4733993	53925592.000
01/05/2012	10.84	10.89	9.93	9.98	6162642	64454996.000
01/06/2012	9.61	9.92	9.25	9.78	6019167	58377688.000
01/09/2012	9.79	10.26	9.55	10.21	5470497	54983616.000
01/10/2012	10.30	10.84	10.25	10.64	6715801	71723072.000
01/11/2012	10.59	10.92	10.44	10.65	5623777	60427584.000
01/12/2012	10.64	10.93	10.52	10.56	5896756	63321332.000
01/13/2012	10.56	10.63	9.84	9.86	6252290	63626528.000
01/16/2012	9.62	10.03	9.47	9.52	3575227	34920224.000
01/17/2012	9.42	10.10	9.42	10.04	4697373	46571908.000
01/18/2012	10.09	10.15	9.22	9.39	9639881	93775728.000
01/19/2012	9.39	9.59	9.19	9.42	5132557	48510024.000
01/20/2012	9.59	9.89	9.47	9.77	6635187	65044832.000
01/30/2012	9.96	10.14	9.74	9.86	5650883	56556852.000
01/31/2012	9.82	10.24	9.68	10.22	5336154	53303340.000
02/01/2012	10.14	10.64	9.94	10.35	10706094	111229376.000
02/02/2012	10.52	10.58	10.22	10.45	9241219	96584416.000
02/03/2012	10.54	10.54	10.32	10.43	6518575	68383720.000
02/06/2012	10.46	10.74	10.32	10.55	6748205	71157784.000
02/07/2012	10.44	10.44	10.01	10.12	5973532	61203448.000
02/08/2012	10.11	10.37	10.06	10.35	5017277	51775784.000
02/09/2012	10.39	10.64	10.33	10.57	10202295	107736168.000
02/10/2012	10.54	11.07	10.39	10.89	12300611	132725040.000
02/13/2012	10.85	11.34	10.74	10.98	14506485	161608560.000
02/14/2012	11.02	11.14	10.74	10.80	7176678	78385696.000
02/15/2012	10.76	11.28	10.69	11.18	11165675	123855544.000
02/16/2012	11.19	11.33	10.99	11.32	11892291	133503936.000
02/17/2012	11.35	11.53	11.02	11.14	10374651	116948520.000
02/20/2012	11.31	11.33	10.98	11.13	8287707	92809560.000
02/21/2012	11.15	11.19	10.96	11.17	6934607	77432160.000
02/22/2012	11.20	11.44	11.09	11.40	11505634	130702352.000
02/23/2012	11.36	11.52	11.19	11.28	9914173	113129192.000
02/24/2012	11.24	11.47	11.15	11.37	9696904	110491328.000
02/27/2012	11.41	11.59	11.30	11.33	13304885	153066272.000
02/28/2012	11.32	12.21	11.20	11.84	22649447	266455088.000
02/29/2012	11.72	11.92	11.30	11.31	12871466	149464496.000
03/01/2012	11.25	11.49	11.20	11.43	6826571	77922760.000
03/02/2012	11.63	11.80	11.46	11.61	9804177	114187904.000
03/05/2012	11.65	11.74	11.47	11.51	7106968	82606616.000
03/06/2012	11.51	11.51	11.14	11.19	7245227	81850616.000
03/07/2012	11.05	11.24	10.94	11.03	5369318	59890576.000
03/08/2012	11.10	11.23	11.06	11.17	4313525	48379004.000
03/09/2012	11.21	11.48	11.12	11.46	8388445	95729776.000
03/12/2012	11.43	11.55	11.23	11.36	5439233	62127080.000
03/13/2012	11.36	11.52	11.33	11.44	6278274	72154808.000
03/14/2012	11.44	11.54	10.59	10.67	12573246	141423520.000
03/15/2012	10.58	10.79	10.17	10.27	7126486	74386992.000
03/16/2012	10.43	10.50	10.15	10.47	5314586	55537040.000
03/19/2012	10.49	11.10	10.46	10.93	9048481	98420000.000
03/20/2012	10.74	10.85	10.47	10.55	6546763	70120880.000
03/21/2012	10.56	10.72	10.38	10.59	5161373	54673736.000
03/22/2012	10.59	11.02	10.39	10.69	7984494	86405016.000
03/23/2012	10.59	10.59	10.25	10.31	5437219	56846300.000
03/26/2012	10.39	10.39	10.04	10.13	2972255	30507996.000
03/27/2012	10.19	10.30	10.06	10.13	2736245	27987080.000
03/28/2012	10.04	10.10	9.44	9.49	5016076	49283312.000
03/29/2012	9.47	9.62	9.29	9.52	4043797	38577744.000
03/30/2012	9.50	9.61	9.44	9.53	2689240	25743978.000
04/05/2012	9.60	9.84	9.54	9.83	2996940	29441736.000
04/06/2012	9.83	10.01	9.76	9.85	2925957	29098930.000
04/09/2012	9.89	9.89	9.59	9.59	2836368	27797428.000
04/10/2012	9.54	9.70	9.40	9.68	3694088	35566552.000
04/11/2012	9.54	9.84	9.46	9.72	4292531	41629236.000
04/12/2012	9.72	9.95	9.61	9.92	5435971	53519272.000
04/13/2012	10.02	10.02	9.82	9.88	4253796	42364060.000
04/16/2012	9.94	10.21	9.94	9.97	5984098	60718576.000
04/17/2012	9.91	10.00	9.76	9.77	3251941	32193106.000
04/18/2012	9.80	9.99	9.73	9.96	4303066	42797300.000
04/19/2012	9.99	10.47	9.94	10.21	8868704	91308440.000
04/20/2012	10.12	10.23	9.99	10.15	6299747	64040696.000
04/23/2012	9.94	10.04	9.45	9.48	12447710	120839488.000
04/24/2012	9.36	9.36	8.99	9.27	7851585	72385776.000
04/25/2012	9.28	9.54	9.15	9.39	4928690	46289632.000
04/26/2012	9.46	9.46	9.21	9.26	4442189	41604676.000
04/27/2012	9.36	9.41	9.22	9.30	2766232	25947580.000
05/02/2012	9.40	9.50	9.34	9.40	3212530	30376338.000
05/03/2012	9.39	9.57	9.29	9.47	4364437	41412108.000
05/04/2012	9.45	9.64	9.44	9.56	4012484	38661044.000
05/07/2012	9.49	9.81	9.44	9.71	5176581	50243592.000
05/08/2012	9.74	9.90	9.65	9.68	5103886	50060436.000
05/09/2012	9.65	9.65	9.32	9.34	5096804	48300988.000
05/10/2012	9.31	9.42	9.27	9.41	2572270	24260472.000
05/11/2012	9.38	9.89	9.32	9.55	6717144	65270736.000
05/14/2012	9.74	9.82	9.55	9.57	4986822	48658540.000
05/15/2012	9.40	9.77	9.26	9.69	6154344	59556240.000
05/16/2012	9.66	9.70	9.37	9.39	3711791	35447912.000
05/17/2012	9.39	9.54	9.34	9.47	3089667	29409394.000
05/18/2012	9.41	9.60	9.20	9.23	4230600	39927008.000
05/21/2012	9.23	9.36	9.00	9.14	3476239	31968014.000
05/22/2012	9.20	9.28	9.10	9.22	2830942	26186888.000
05/23/2012	9.22	9.29	9.09	9.24	3031507	28102050.000
05/24/2012	9.15	9.27	9.14	9.17	2707415	25026078.000
05/25/2012	9.17	9.42	9.15	9.24	3621287	33746568.000
05/28/2012	9.19	9.54	8.92	9.54	7939100	74549816.000
05/29/2012	9.51	9.62	9.39	9.51	5945522	56910012.000
05/30/2012	9.44	9.69	9.42	9.56	5857947	56467796.000
05/31/2012	9.48	9.57	9.37	9.48	3702735	35346560.000
06/01/2012	9.48	10.43	9.48	10.04	23640004	241627920.000
06/04/2012	9.74	9.88	9.46	9.52	11543348	112519112.000
06/05/2012	9.52	9.59	9.24	9.29	5439364	51358416.000
06/06/2012	9.29	9.38	9.14	9.21	3946951	36723760.000
06/07/2012	9.33	9.35	9.10	9.14	4062413	37794304.000
06/08/2012	9.24	9.28	9.11	9.19	3091236	28562946.000
06/11/2012	9.22	9.52	9.17	9.47	6025708	56922296.000
06/12/2012	9.43	9.61	9.34	9.55	5981144	57112660.000
06/13/2012	9.71	10.13	9.66	9.76	10222092	101168952.000
06/14/2012	9.65	9.75	9.50	9.54	5890192	57066772.000
06/15/2012	9.54	9.83	9.42	9.76	6730383	65449228.000
06/18/2012	9.83	10.12	9.73	9.74	7972486	79133000.000
06/19/2012	9.74	9.80	9.55	9.56	4258860	41232688.000
06/20/2012	9.61	9.82	9.58	9.80	6155270	60249540.000
06/21/2012	9.79	9.97	9.63	9.95	9561089	94467704.000
06/25/2012	10.49	10.91	10.12	10.13	25542392	268906752.000
06/26/2012	9.81	9.81	9.22	9.65	13260819	127903408.000
06/27/2012	9.65	9.91	9.51	9.73	8659120	84480504.000
06/28/2012	9.71	9.73	9.24	9.25	7645492	72826872.000
06/29/2012	9.09	9.36	9.06	9.34	5151657	47844220.000
07/02/2012	9.57	9.69	9.39	9.46	5593136	53709944.000
07/03/2012	9.46	9.54	9.34	9.37	4855365	46040100.000
07/04/2012	9.41	9.56	9.35	9.38	3222527	30582204.000
07/05/2012	9.34	9.34	9.09	9.10	5548660	51080524.000
07/06/2012	9.15	9.31	9.09	9.30	4867099	45049360.000
07/09/2012	9.20	9.25	8.94	8.99	4601792	42135436.000
07/10/2012	8.98	9.03	8.65	8.75	4388476	38943016.000
07/11/2012	8.91	9.10	8.88	8.95	3527661	31829594.000
07/12/2012	8.84	9.14	8.75	9.06	3997784	36019332.000
07/13/2012	8.82	8.90	8.65	8.71	5904300	52050560.000
07/16/2012	8.64	8.69	7.95	8.02	5485255	45255040.000
07/17/2012	7.90	8.07	7.90	8.05	2404252	19364954.000
07/18/2012	8.04	8.12	7.91	8.11	2518743	20308300.000
07/19/2012	8.11	8.32	8.01	8.22	3756778	31070296.000
07/20/2012	8.25	8.38	8.09	8.14	2478878	20528094.000
07/23/2012	8.24	8.49	8.14	8.19	3842192	31969642.000
07/24/2012	8.10	8.25	8.00	8.18	2538130	20810338.000
07/25/2012	8.14	8.23	8.04	8.10	2180545	17911892.000
07/26/2012	8.05	8.13	7.96	7.96	2062851	16692889.000
07/27/2012	7.99	8.06	7.90	7.99	1817767	14583031.000
07/30/2012	7.99	8.04	7.66	7.69	2209483	17369572.000
07/31/2012	7.74	7.77	7.24	7.26	3260004	24287926.000
08/01/2012	7.27	7.59	7.26	7.43	2245246	16858384.000
08/02/2012	7.43	7.45	7.23	7.26	1594135	11773704.000
08/03/2012	7.32	7.41	7.25	7.41	2118713	15661580.000
08/06/2012	7.31	7.61	7.31	7.58	2714077	20528652.000
08/07/2012	7.58	7.77	7.49	7.71	2760541	21321908.000
08/08/2012	7.69	7.75	7.54	7.64	2357616	18150456.000
08/09/2012	7.64	7.83	7.56	7.76	3228079	25127992.000
08/10/2012	7.74	7.82	7.67	7.75	2299438	17913518.000
08/13/2012	7.72	7.82	7.56	7.56	2996862	23295654.000
08/14/2012	7.51	7.56	7.28	7.53	2688865	20115332.000
08/15/2012	7.54	7.57	7.40	7.41	1473033	11043280.000
08/16/2012	7.39	7.49	7.34	7.35	838652	6264838.500
08/17/2012	7.41	7.52	7.36	7.52	2085606	15675046.000
08/20/2012	7.48	7.94	7.42	7.92	7530981	58973744.000
08/21/2012	7.84	8.32	7.74	7.96	6834547	54940512.000
08/22/2012	7.89	8.04	7.76	7.80	4256165	33990884.000
08/23/2012	7.79	7.88	7.67	7.77	2465468	19325838.000
08/24/2012	7.79	7.84	7.50	7.51	2439986	18733582.000
08/27/2012	7.54	7.54	7.30	7.30	2074504	15404740.000
08/28/2012	7.31	7.53	7.31	7.43	1834623	13740538.000
08/29/2012	7.41	7.82	7.34	7.76	4664238	35905972.000
08/30/2012	7.68	7.74	7.24	7.42	3933301	29676588.000
08/31/2012	7.35	7.55	7.31	7.43	1790812	13444992.000
09/03/2012	7.39	7.59	7.36	7.50	1977214	14937897.000
09/04/2012	7.51	7.54	7.34	7.34	3185244	23808584.000
09/05/2012	7.35	7.43	7.23	7.37	2527641	18668386.000
09/06/2012	7.39	7.69	7.38	7.64	4152735	31494594.000
09/07/2012	7.74	7.97	7.59	7.86	7492951	58990612.000
09/10/2012	7.84	8.00	7.73	7.88	5287519	41840976.000
09/11/2012	7.84	7.86	7.73	7.78	2870251	22483764.000
09/12/2012	7.83	8.01	7.77	7.93	4664481	37134704.000
09/13/2012	7.94	7.94	7.72	7.72	3050221	24033146.000
09/14/2012	7.78	7.81	7.59	7.63	3610091	28029964.000
09/17/2012	7.60	7.66	7.35	7.35	3249293	24402202.000
09/18/2012	7.34	7.42	7.29	7.34	1848146	13688553.000
09/19/2012	7.35	7.48	7.35	7.43	1893051	14140544.000
09/20/2012	7.39	7.76	7.27	7.41	5783686	44091772.000
09/21/2012	7.19	7.36	7.05	7.16	3569926	25930590.000
09/24/2012	7.13	7.13	6.87	7.04	2752050	19397298.000
09/25/2012	7.06	7.13	6.89	6.90	1999238	14083123.000
09/26/2012	6.82	6.90	6.52	6.53	3463421	23243442.000
09/27/2012	6.55	6.82	6.55	6.75	3277859	22139662.000
09/28/2012	6.74	6.84	6.69	6.82	2384638	16296589.000
10/08/2012	6.83	6.87	6.78	6.85	1921200	13240620.000
10/09/2012	6.85	7.28	6.77	7.23	5208350	37382640.000
10/10/2012	7.14	7.23	7.07	7.23	3736991	26987202.000
10/11/2012	7.15	7.21	6.93	6.99	2804620	20070316.000
10/12/2012	7.04	7.19	6.94	7.02	2247926	15961354.000
10/15/2012	7.09	7.09	6.96	7.03	1698907	12008883.000
10/16/2012	7.05	7.19	6.98	7.08	3028695	21692808.000
10/17/2012	7.07	7.13	6.97	7.10	2399822	17094972.000
10/18/2012	7.08	7.22	7.06	7.21	3844371	27773044.000
10/19/2012	7.16	7.27	7.14	7.17	2014185	14602229.000
10/22/2012	7.15	7.15	7.03	7.10	2101566	15000206.000
10/23/2012	7.11	7.21	7.02	7.08	2914248	20849632.000
10/24/2012	7.01	7.19	6.98	7.12	2759943	19762062.000
10/25/2012	7.12	7.14	6.94	6.94	2421678	17218374.000
10/26/2012	6.95	6.95	6.71	6.71	2606818	17908114.000
10/29/2012	6.65	6.76	6.65	6.71	1003682	6800762.000
10/30/2012	6.71	6.78	6.68	6.72	1405621	9553472.000
10/31/2012	6.75	7.01	6.74	6.86	2706086	18793644.000
11/01/2012	7.05	7.55	7.05	7.55	10523687	79277776.000
11/05/2012	8.09	8.11	7.70	8.02	22331853	178665568.000
11/06/2012	7.87	8.60	7.79	7.98	21548988	177833616.000
11/07/2012	7.74	7.92	7.64	7.66	11671740	90913800.000
11/08/2012	7.53	7.79	7.41	7.64	9099986	69591344.000
11/09/2012	7.64	8.34	7.54	8.00	16024641	129442648.000
11/12/2012	8.19	8.81	8.19	8.81	32728858	285876832.000
11/13/2012	8.94	9.12	8.31	8.54	29202035	254520864.000
11/14/2012	8.49	8.72	8.13	8.43	17677686	150036240.000
11/15/2012	8.34	8.52	8.10	8.21	13120599	109242112.000
11/16/2012	8.09	8.29	7.69	7.85	11773176	95098216.000
11/19/2012	7.84	8.64	7.80	8.64	23685973	199318176.000
11/20/2012	8.80	9.02	8.45	8.75	27958608	246379040.000
11/21/2012	8.55	8.93	8.37	8.79	18600464	162550688.000
11/22/2012	8.77	8.77	8.24	8.27	14725485	125650136.000
11/23/2012	8.24	8.94	8.10	8.71	20087014	172532640.000
11/26/2012	8.55	8.94	8.47	8.84	16164311	142289792.000
11/27/2012	8.67	8.72	8.26	8.37	10001593	85224616.000
11/28/2012	8.27	8.69	8.21	8.32	9802137	83358592.000
11/29/2012	8.37	8.49	7.83	7.87	10603295	86372968.000
11/30/2012	7.70	8.02	7.69	7.97	7357250	58393172.000
12/03/2012	7.86	8.18	7.79	7.84	8473731	68033560.000
12/04/2012	7.62	7.78	7.14	7.59	10905792	82089248.000
12/05/2012	7.47	8.14	7.47	8.07	12357790	98277936.000
12/06/2012	7.94	8.34	7.91	8.13	10643658	87484952.000
12/07/2012	8.06	8.75	8.06	8.59	17062769	145656304.000
12/10/2012	8.52	9.46	8.40	9.46	20529878	185517792.000
12/11/2012	9.64	9.64	9.00	9.02	21695320	204062016.000
12/12/2012	8.99	9.42	8.98	9.16	13609887	125675272.000
12/13/2012	9.05	9.39	8.83	9.11	11545380	106172240.000
12/14/2012	9.49	9.81	9.25	9.47	22665041	215967616.000
12/17/2012	9.34	9.47	9.14	9.19	16082852	149903600.000
12/18/2012	9.14	9.44	9.06	9.16	11317907	105646424.000
12/19/2012	9.13	9.23	8.89	9.03	8303783	75598560.000
12/20/2012	9.03	9.34	8.88	9.34	11664136	107504048.000
12/21/2012	9.39	9.39	9.03	9.04	11552664	106740968.000
12/24/2012	8.97	9.13	8.90	9.06	6849369	62247304.000
12/25/2012	9.03	9.49	8.93	9.33	16612069	155435696.000
12/26/2012	9.39	9.61	9.15	9.45	15044663	142301696.000
12/27/2012	9.38	9.93	9.37	9.46	20783949	201973488.000
12/28/2012	9.29	9.61	9.10	9.25	14329391	133242944.000
12/31/2012	9.12	9.29	9.04	9.17	9313019	85605320.000
01/04/2013	9.19	9.21	8.96	9.04	7161314	65375956.000
01/07/2013	9.06	9.48	8.93	9.36	13023576	120592744.000
01/08/2013	9.31	9.55	9.15	9.29	12957146	121949072.000
01/09/2013	9.21	9.49	9.14	9.32	10833678	101557192.000
01/10/2013	9.31	9.42	9.06	9.18	9636647	89347272.000
01/11/2013	9.19	9.62	9.08	9.21	13710927	128915264.000
01/14/2013	9.28	9.59	9.21	9.52	17933075	170568576.000
01/15/2013	9.55	10.04	9.46	9.86	19978048	197080832.000
01/16/2013	9.83	9.99	9.49	9.68	14265213	138887456.000
01/17/2013	9.67	9.67	9.34	9.40	8639179	82154672.000
01/18/2013	9.52	10.02	9.45	9.96	18443318	181144528.000
01/21/2013	9.95	10.22	9.77	10.13	16439612	164791840.000
01/22/2013	10.00	10.00	9.44	9.69	12667449	124194304.000
01/23/2013	9.63	9.70	9.32	9.57	8663133	82769616.000
01/24/2013	9.78	10.13	9.27	9.34	15136040	147917984.000
01/25/2013	9.27	9.31	9.04	9.16	6991436	64450988.000
01/28/2013	9.16	9.39	9.15	9.38	6083204	56848464.000
01/29/2013	9.43	9.56	9.29	9.42	7704854	73000432.000
01/30/2013	9.38	9.42	9.19	9.26	7689429	71750600.000
01/31/2013	9.29	9.44	9.16	9.43	8598394	80656632.000
02/01/2013	9.47	9.52	9.33	9.34	8442019	79949432.000
02/04/2013	9.28	9.38	9.04	9.10	7144910	65663776.000
02/05/2013	9.06	9.18	8.90	9.13	4507479	41131456.000
02/06/2013	9.12	9.22	9.11	9.15	3350227	30916316.000
02/07/2013	9.24	9.24	9.09	9.14	3280082	30242692.000
02/08/2013	9.14	9.36	9.12	9.27	4951726	46028884.000
