300024 机器人 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.57	3.64	3.47	3.48	1596315	28331590.000
01/05/2012	3.45	3.62	3.32	3.33	3611101	62728468.000
01/06/2012	3.34	3.48	3.27	3.46	1613499	27272008.000
01/09/2012	3.50	3.76	3.42	3.76	2762926	49758272.000
01/10/2012	3.76	3.86	3.70	3.84	3524444	66463716.000
01/11/2012	3.82	3.85	3.75	3.79	2022354	38311136.000
01/12/2012	3.74	3.84	3.72	3.77	1832316	34541124.000
01/13/2012	3.74	3.77	3.48	3.51	2865225	51574628.000
01/16/2012	3.45	3.54	3.35	3.37	1865208	32044122.000
01/17/2012	3.39	3.62	3.39	3.60	2477792	43449156.000
01/18/2012	3.60	3.71	3.45	3.48	2296510	41240812.000
01/19/2012	3.53	3.65	3.48	3.60	1895157	34039168.000
01/20/2012	3.65	3.81	3.60	3.76	2667337	49521592.000
01/30/2012	3.79	3.84	3.70	3.73	1843188	34752156.000
01/31/2012	3.71	3.80	3.66	3.79	1484980	27794846.000
02/01/2012	3.80	3.92	3.73	3.80	2815266	54262432.000
02/02/2012	3.85	3.89	3.81	3.88	1971271	37959780.000
02/03/2012	3.86	3.93	3.83	3.89	2403855	46405940.000
02/06/2012	3.89	3.93	3.83	3.86	1950493	37700624.000
02/07/2012	3.82	3.85	3.74	3.80	1974137	37337740.000
02/08/2012	3.80	3.94	3.75	3.92	2086768	40217096.000
02/09/2012	3.92	3.96	3.86	3.91	2182158	42639284.000
02/10/2012	3.90	3.94	3.86	3.89	1741363	33862836.000
02/13/2012	3.83	3.97	3.81	3.92	2071249	40216492.000
02/14/2012	3.89	4.04	3.89	3.94	2407952	47736216.000
02/15/2012	3.95	4.00	3.89	3.97	2191965	43125160.000
02/16/2012	3.95	4.07	3.93	4.01	2449438	48967864.000
02/17/2012	4.04	4.09	3.96	3.98	1489294	29675042.000
02/20/2012	4.02	4.07	3.98	3.98	2048434	41042904.000
02/21/2012	3.96	4.03	3.91	4.00	2226241	44125300.000
02/22/2012	4.01	4.23	4.00	4.20	5510200	113712232.000
02/23/2012	4.21	4.24	4.15	4.19	3085981	64382204.000
02/24/2012	4.19	4.27	4.16	4.22	2502132	52480952.000
02/27/2012	4.23	4.30	4.17	4.17	2973952	62738224.000
02/28/2012	4.17	4.20	4.02	4.09	3054274	62336084.000
02/29/2012	4.01	4.01	3.81	3.83	8138055	158326096.000
03/01/2012	3.81	3.96	3.79	3.92	3528881	68715856.000
03/02/2012	3.93	4.03	3.92	4.01	3209269	63639820.000
03/05/2012	4.02	4.15	4.01	4.01	4016301	81570080.000
03/06/2012	3.99	4.02	3.86	3.99	2924079	57512992.000
03/07/2012	3.94	4.01	3.90	3.92	2778763	54810916.000
03/08/2012	3.95	4.04	3.93	3.98	2261586	44867452.000
03/09/2012	4.01	4.12	3.98	4.08	3329416	67509432.000
03/12/2012	4.11	4.15	4.06	4.10	2261110	46198928.000
03/13/2012	4.11	4.13	4.04	4.10	2889618	58886224.000
03/14/2012	4.13	4.23	3.83	3.90	5414576	110241496.000
03/15/2012	3.89	3.96	3.81	3.84	3415373	65842584.000
03/16/2012	3.87	4.01	3.81	3.97	2621392	50992904.000
03/19/2012	3.95	4.05	3.89	4.02	2802780	55302196.000
03/20/2012	4.01	4.02	3.86	3.87	3054535	59629992.000
03/21/2012	3.93	3.94	3.81	3.89	2326950	44879860.000
03/22/2012	3.87	3.89	3.80	3.85	2395423	45812404.000
03/26/2012	3.76	3.80	3.66	3.70	3047793	56683304.000
03/27/2012	3.74	3.74	3.63	3.63	2751747	50693844.000
03/28/2012	3.65	3.65	3.48	3.51	3203485	56877340.000
03/29/2012	3.48	3.49	3.29	3.39	4564150	77536272.000
03/30/2012	3.39	3.42	3.35	3.41	1862084	31590660.000
04/05/2012	3.39	3.55	3.38	3.54	2596275	45257912.000
04/06/2012	3.54	3.57	3.46	3.51	2134517	37601876.000
04/09/2012	3.51	3.51	3.42	3.42	1546225	26771850.000
04/10/2012	3.39	3.49	3.32	3.48	1788231	30441586.000
04/11/2012	3.45	3.58	3.42	3.53	2114037	37226156.000
04/12/2012	3.54	3.62	3.51	3.61	2341656	41932988.000
04/13/2012	3.61	3.64	3.57	3.60	2001061	36050636.000
04/16/2012	3.56	3.62	3.55	3.58	1702872	30564844.000
04/17/2012	3.57	3.60	3.50	3.51	1699355	30014228.000
04/18/2012	3.53	3.62	3.52	3.61	1882281	33749768.000
04/19/2012	3.63	3.67	3.58	3.61	1736164	31497946.000
04/20/2012	3.62	3.67	3.56	3.66	2390745	43222828.000
04/23/2012	3.64	3.64	3.47	3.49	3603134	63653648.000
04/24/2012	3.44	3.60	3.41	3.60	3526008	62390932.000
04/25/2012	3.65	3.78	3.65	3.70	4523026	84175376.000
04/26/2012	3.66	3.76	3.61	3.63	2627738	48159044.000
04/27/2012	3.62	3.78	3.62	3.73	3606082	66993152.000
05/02/2012	3.80	3.80	3.71	3.74	2857344	53360356.000
05/03/2012	3.75	3.93	3.70	3.88	3952020	75262704.000
05/04/2012	3.84	4.05	3.84	4.00	5862600	115965272.000
05/07/2012	3.97	4.24	3.96	4.18	6622377	136691104.000
05/08/2012	4.19	4.29	4.13	4.16	4688261	97824712.000
05/09/2012	4.13	4.15	4.07	4.09	3438523	70268008.000
05/10/2012	4.08	4.28	4.06	4.08	5398176	111521296.000
05/11/2012	4.08	4.11	3.99	4.05	3010245	60692240.000
05/14/2012	4.07	4.15	4.01	4.07	2678446	54523460.000
05/15/2012	4.02	4.13	3.97	4.11	2786789	55871764.000
05/16/2012	4.07	4.19	4.07	4.13	2758356	56725404.000
05/17/2012	4.13	4.26	4.09	4.10	4113534	85293056.000
05/18/2012	4.03	4.07	3.94	3.94	3668573	73151296.000
05/21/2012	3.95	4.03	3.92	3.99	1691484	33570312.000
05/22/2012	4.01	4.04	3.97	4.03	1337124	26698840.000
05/23/2012	4.02	4.07	3.87	4.06	2905178	57525516.000
05/24/2012	4.02	4.10	3.99	4.00	1597447	32182466.000
05/25/2012	4.00	4.11	3.98	4.00	1796657	36211652.000
05/28/2012	3.98	4.04	3.87	4.02	2098633	41592120.000
05/29/2012	4.02	4.17	4.01	4.14	3205767	65963152.000
05/30/2012	4.11	4.19	4.11	4.16	2490444	51538540.000
05/31/2012	4.18	4.26	4.14	4.25	4250580	88994664.000
06/01/2012	4.24	4.27	4.15	4.21	2620578	54980604.000
06/04/2012	4.11	4.16	4.01	4.05	2928747	59688760.000
06/05/2012	4.04	4.12	4.03	4.07	1718624	34833672.000
06/06/2012	4.06	4.09	4.02	4.05	1167651	23587900.000
06/07/2012	4.10	4.12	4.02	4.07	1259932	25625892.000
06/08/2012	4.10	4.13	4.04	4.05	1596758	32521120.000
06/11/2012	4.08	4.18	4.06	4.18	1844988	38021204.000
06/12/2012	4.15	4.28	4.14	4.20	3829133	80696568.000
06/13/2012	4.21	4.28	4.19	4.25	2114893	44678336.000
06/14/2012	4.26	4.27	4.13	4.15	2112097	44044340.000
06/15/2012	4.15	4.43	4.15	4.43	6356410	137270752.000
06/18/2012	4.43	4.48	4.38	4.47	3961701	87395584.000
06/19/2012	4.47	4.47	4.40	4.43	2086744	45891488.000
06/20/2012	4.44	4.45	4.32	4.40	2470319	53732048.000
06/21/2012	4.40	4.58	4.34	4.57	3692886	81553392.000
06/25/2012	4.53	4.59	4.34	4.40	3973061	88096696.000
06/26/2012	4.35	4.36	4.19	4.32	3694656	78504888.000
06/27/2012	4.31	4.37	4.27	4.32	1700539	36601496.000
06/28/2012	4.32	4.46	4.30	4.38	2774026	60541412.000
06/29/2012	4.36	4.45	4.27	4.44	3147398	68070560.000
07/02/2012	4.44	4.52	4.41	4.50	2721740	60471832.000
07/03/2012	4.50	4.59	4.40	4.40	3439954	76880960.000
07/04/2012	4.40	4.44	4.34	4.42	1531764	33425806.000
07/05/2012	4.42	4.43	4.28	4.35	2430616	52501968.000
07/06/2012	4.38	4.38	4.15	4.31	4036406	85493520.000
07/09/2012	4.26	4.27	4.09	4.12	2622149	54599724.000
07/10/2012	4.11	4.18	4.05	4.16	1895879	38916616.000
07/11/2012	4.12	4.19	4.12	4.15	1225530	25368928.000
07/12/2012	4.16	4.30	4.14	4.30	2849215	59854408.000
07/13/2012	4.27	4.35	4.25	4.32	2151184	46030592.000
07/16/2012	4.29	4.33	4.07	4.07	1905037	39635112.000
07/17/2012	4.07	4.18	4.06	4.13	1207710	24766458.000
07/18/2012	4.08	4.19	4.01	4.18	1714231	35116868.000
07/19/2012	4.18	4.35	4.15	4.30	2726320	58109700.000
07/20/2012	4.28	4.40	4.27	4.30	2607844	56496148.000
07/23/2012	4.28	4.46	4.24	4.40	3071973	66932372.000
07/24/2012	4.36	4.45	4.34	4.38	2112731	46125564.000
07/25/2012	4.40	4.44	4.36	4.44	2069939	45321820.000
07/26/2012	4.48	4.74	4.48	4.64	8296136	190993184.000
07/27/2012	4.65	4.67	4.49	4.61	3735773	84906400.000
07/30/2012	4.57	4.63	4.45	4.45	2186000	49253288.000
07/31/2012	4.46	4.57	4.45	4.51	2528831	56517952.000
08/01/2012	4.51	4.66	4.47	4.65	3217705	73604192.000
08/02/2012	4.65	4.68	4.55	4.62	2496763	57102436.000
08/03/2012	4.62	4.73	4.55	4.71	3028787	70209776.000
08/06/2012	4.73	4.81	4.68	4.76	3363114	79484632.000
08/07/2012	4.76	4.81	4.68	4.70	3097548	72851344.000
08/08/2012	4.70	4.73	4.60	4.66	2209052	50978824.000
08/09/2012	4.63	4.83	4.61	4.80	3392954	80261424.000
08/10/2012	4.81	4.91	4.72	4.87	4190971	100378480.000
08/13/2012	4.83	4.89	4.75	4.83	2872911	68598104.000
08/14/2012	4.80	4.87	4.74	4.83	2600006	62067036.000
08/15/2012	4.84	4.92	4.77	4.88	3338292	80418312.000
08/16/2012	4.85	4.87	4.68	4.74	3095482	73513288.000
08/17/2012	4.73	4.73	4.55	4.62	2373546	54539484.000
08/20/2012	4.60	4.80	4.56	4.77	2650984	61978704.000
08/21/2012	4.78	4.91	4.77	4.79	2625225	63086836.000
08/22/2012	4.78	4.90	4.77	4.84	2030126	48779004.000
08/23/2012	4.81	4.92	4.81	4.87	1872506	45235708.000
08/24/2012	4.85	4.88	4.67	4.68	2087310	49186616.000
08/27/2012	4.66	4.78	4.62	4.69	2082913	48614860.000
08/28/2012	4.66	4.80	4.66	4.75	1625783	38195552.000
08/29/2012	4.75	4.92	4.71	4.83	3416753	82220904.000
08/30/2012	5.21	5.33	4.67	4.82	7288614	179394816.000
08/31/2012	4.76	4.81	4.57	4.70	3362199	78422304.000
09/03/2012	4.66	4.84	4.66	4.82	2214954	52494908.000
09/04/2012	4.83	5.07	4.81	4.93	5082263	125051464.000
09/05/2012	4.92	5.21	4.92	5.15	7474728	189291312.000
09/06/2012	5.15	5.23	5.07	5.12	3580653	90820856.000
09/07/2012	5.19	5.30	5.11	5.21	5550582	143004208.000
09/10/2012	5.19	5.32	5.14	5.19	3805971	98752600.000
09/11/2012	5.17	5.21	5.07	5.14	2514684	63827352.000
09/12/2012	5.15	5.29	5.09	5.23	4215164	108410080.000
09/13/2012	5.21	5.25	5.07	5.08	2634981	67124088.000
09/14/2012	5.12	5.15	4.96	5.07	2620083	65607512.000
09/17/2012	5.06	5.07	4.98	5.02	1447187	35982792.000
09/18/2012	5.02	5.09	4.94	5.04	1175722	29337128.000
09/19/2012	5.03	5.08	4.96	5.00	1514953	37576908.000
09/20/2012	4.96	4.96	4.74	4.80	3543068	84804584.000
09/21/2012	4.78	4.83	4.63	4.67	2088931	49005292.000
09/24/2012	4.67	4.71	4.53	4.66	2814139	64605408.000
09/25/2012	4.67	4.80	4.63	4.71	2771243	64778420.000
09/26/2012	4.65	4.70	4.48	4.55	2413624	54761952.000
09/27/2012	4.55	4.68	4.55	4.64	2983541	68735776.000
09/28/2012	4.62	4.76	4.58	4.74	2450962	56986380.000
10/08/2012	4.76	4.82	4.69	4.78	1654344	39145436.000
10/09/2012	4.79	5.00	4.79	4.94	3516760	85936704.000
10/10/2012	4.98	5.12	4.94	5.05	3524589	88287160.000
10/11/2012	5.05	5.07	4.96	5.05	3351070	83406936.000
10/12/2012	5.02	5.08	4.84	4.90	2840433	69253008.000
10/15/2012	4.88	5.01	4.85	4.97	2585889	63202508.000
10/16/2012	4.98	5.07	4.96	5.02	3289913	81895592.000
10/17/2012	5.03	5.11	4.99	5.07	1874244	46877240.000
10/18/2012	5.05	5.15	5.03	5.12	2414849	61068196.000
10/19/2012	5.13	5.15	5.05	5.15	1707362	43115408.000
10/22/2012	5.10	5.27	5.10	5.27	3237105	83533488.000
10/23/2012	5.22	5.31	5.19	5.27	3222403	83725672.000
10/24/2012	5.23	5.26	5.10	5.13	2627077	67304560.000
10/25/2012	5.12	5.19	5.02	5.03	1670232	42209660.000
10/26/2012	4.95	5.14	4.94	5.07	3639837	91033400.000
10/29/2012	5.04	5.13	4.99	5.10	1718865	43118324.000
10/30/2012	5.09	5.24	5.08	5.20	2153214	55230344.000
10/31/2012	5.17	5.23	5.13	5.20	1288036	33053420.000
11/01/2012	5.19	5.23	5.14	5.19	1600230	41172936.000
11/02/2012	5.21	5.24	5.09	5.13	1921677	48979404.000
11/05/2012	5.13	5.14	4.99	5.06	2055952	51285832.000
