300064 豫金刚石 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.70	7.72	7.44	7.44	606336	9407357.000
01/05/2012	7.44	7.56	6.92	6.92	902145	13357652.000
01/06/2012	6.92	6.99	6.65	6.83	513845	7092702.000
01/09/2012	6.95	7.05	6.55	7.04	1496223	20905654.000
01/10/2012	7.01	7.30	6.94	7.28	1891570	27691074.000
01/11/2012	7.28	7.37	7.20	7.24	1169526	17349542.000
01/12/2012	7.24	7.64	7.12	7.37	2338913	35287772.000
01/13/2012	7.32	7.40	6.62	6.62	2613465	36746384.000
01/16/2012	6.55	6.55	6.11	6.21	1852363	23702888.000
01/17/2012	6.19	6.54	5.88	6.43	2653873	34059076.000
01/18/2012	6.51	6.51	6.02	6.05	2267393	29037094.000
01/19/2012	6.08	6.29	5.98	6.23	1335653	16913214.000
01/20/2012	6.26	6.52	6.26	6.41	1583067	20767594.000
01/30/2012	6.49	6.53	6.37	6.42	1291598	17046820.000
01/31/2012	6.36	6.45	6.32	6.44	592500	7738942.500
02/01/2012	6.41	6.62	6.41	6.47	1001177	13317157.000
02/02/2012	6.55	6.55	6.40	6.54	767622	10161717.000
02/03/2012	6.60	6.75	6.54	6.70	1565425	21190918.000
02/06/2012	6.73	6.81	6.66	6.74	1494030	20500474.000
02/07/2012	6.74	6.74	6.57	6.62	1022770	13842029.000
02/08/2012	6.56	6.82	6.56	6.77	1435193	19744506.000
02/09/2012	6.77	6.85	6.70	6.81	1643890	22809290.000
02/10/2012	6.83	6.90	6.74	6.78	1639843	22710096.000
02/13/2012	6.63	7.05	6.61	6.93	1936834	27160284.000
02/14/2012	6.89	6.96	6.82	6.88	659442	9272192.000
02/15/2012	6.89	6.98	6.81	6.98	1243542	17573832.000
02/16/2012	6.98	7.08	6.91	6.99	1128574	16132184.000
02/17/2012	6.99	7.08	6.90	7.00	1136002	16179527.000
02/20/2012	7.14	7.16	6.99	7.00	1804233	26048790.000
02/21/2012	6.96	7.12	6.94	7.12	1218018	17476934.000
02/22/2012	7.14	7.24	7.07	7.24	3197641	46797476.000
02/23/2012	7.35	7.36	7.18	7.32	2025587	30076806.000
02/24/2012	7.28	7.35	7.17	7.31	3449225	50946680.000
02/27/2012	7.31	7.49	7.25	7.32	2808273	42041516.000
02/28/2012	7.28	7.30	7.02	7.16	1783202	26141068.000
02/29/2012	7.11	7.14	6.89	6.89	2157148	30792098.000
03/01/2012	6.82	7.02	6.79	6.98	1512497	21360266.000
03/02/2012	7.04	7.13	6.99	7.11	1403121	20190546.000
03/05/2012	7.16	7.20	6.91	7.01	2280098	32907834.000
03/06/2012	7.01	7.03	6.87	6.87	1435490	20258398.000
03/07/2012	6.84	7.56	6.77	7.35	6109470	90430248.000
03/08/2012	7.41	7.68	7.31	7.63	5302882	81094720.000
03/09/2012	7.61	7.80	7.54	7.68	4515832	70855872.000
03/12/2012	7.68	8.01	7.61	7.81	4737215	75472192.000
03/13/2012	7.78	7.93	7.76	7.87	2762740	44172060.000
03/14/2012	7.87	8.35	7.79	8.03	10072484	166065728.000
