300068 南都电源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.44	6.45	6.11	6.15	839858	11209480.000
01/05/2012	6.01	6.11	5.68	5.80	2690995	33421218.000
01/06/2012	5.78	5.96	5.55	5.90	902429	11084586.000
01/09/2012	5.90	6.21	5.75	6.20	1103264	14224130.000
01/10/2012	6.15	6.54	6.12	6.44	1416426	19148372.000
01/11/2012	6.44	6.66	6.34	6.55	2148519	29768906.000
01/12/2012	6.43	6.58	6.43	6.54	1562486	21563962.000
01/13/2012	6.46	6.52	5.96	5.99	1700520	22486388.000
01/16/2012	5.88	5.93	5.61	5.65	1130564	13931422.000
01/17/2012	5.67	6.05	5.65	6.02	1572288	19589814.000
01/18/2012	5.97	6.29	5.83	5.85	2418782	31032446.000
01/19/2012	5.80	5.98	5.61	5.94	1376814	17234386.000
01/20/2012	6.01	6.18	6.00	6.07	1281893	16657827.000
01/30/2012	6.10	6.20	6.03	6.08	946947	12367826.000
01/31/2012	6.06	6.30	5.96	6.19	914153	11929063.000
02/01/2012	6.19	6.32	6.09	6.09	823821	10874433.000
02/02/2012	6.18	6.26	6.09	6.23	671339	8831376.000
02/03/2012	6.20	6.54	6.20	6.48	1827568	24889934.000
02/06/2012	6.50	6.54	6.40	6.45	1522806	20922596.000
02/07/2012	6.40	6.40	6.25	6.30	1355221	18169990.000
02/08/2012	6.30	6.54	6.30	6.50	928275	12666572.000
02/09/2012	6.40	6.69	6.40	6.59	1581944	22121620.000
02/10/2012	6.53	6.66	6.49	6.56	1091319	15248694.000
02/13/2012	6.56	6.74	6.49	6.69	861410	12157061.000
02/14/2012	6.68	6.74	6.57	6.63	875375	12327629.000
02/15/2012	6.60	6.78	6.55	6.74	1598903	22610472.000
02/16/2012	6.70	6.75	6.54	6.61	1498710	21059844.000
02/17/2012	6.61	6.83	6.58	6.64	1289723	18287326.000
02/20/2012	6.74	6.75	6.57	6.57	1806705	25501158.000
02/21/2012	6.57	6.64	6.35	6.63	1942687	26787576.000
02/22/2012	6.61	6.88	6.60	6.84	2212783	31658568.000
02/23/2012	6.84	6.88	6.70	6.73	2049743	29421098.000
02/24/2012	6.75	6.90	6.75	6.90	2234769	32365434.000
02/27/2012	6.93	7.15	6.85	7.00	3674329	54213796.000
02/28/2012	6.95	7.00	6.70	6.85	2758182	39938788.000
02/29/2012	6.77	6.88	6.65	6.67	1568492	22434732.000
03/01/2012	6.61	7.15	6.61	7.06	3157503	46344996.000
03/02/2012	7.00	7.05	6.90	7.02	3218415	47435104.000
03/05/2012	7.00	7.02	6.80	6.85	3883647	56542056.000
03/06/2012	6.86	6.92	6.60	6.68	3771376	54060816.000
03/07/2012	6.63	6.76	6.61	6.64	2149745	30457866.000
03/08/2012	6.67	6.80	6.60	6.65	4454827	62947752.000
03/09/2012	6.68	6.80	6.68	6.78	3953218	56409788.000
03/12/2012	6.82	6.89	6.73	6.79	3597810	51828412.000
03/13/2012	6.81	6.94	6.79	6.91	4536486	66021284.000
03/14/2012	6.95	6.99	6.51	6.60	6924995	100085648.000
03/15/2012	6.61	6.65	6.23	6.29	5644152	76392416.000
03/16/2012	6.29	6.52	6.21	6.49	6245957	84474768.000
03/19/2012	6.43	7.06	6.33	7.05	11444977	163439520.000
03/20/2012	6.78	6.78	6.43	6.50	10865340	152260928.000
03/21/2012	6.53	6.59	6.21	6.56	6821267	93338552.000
03/22/2012	6.53	6.56	6.34	6.40	4487698	61160632.000
03/23/2012	6.40	6.40	6.18	6.21	3526480	47153112.000
03/26/2012	6.23	6.25	6.09	6.15	2467319	32358456.000
03/27/2012	6.18	6.27	6.12	6.13	1964523	25856828.000
03/28/2012	6.08	6.12	5.69	5.74	3796680	47537700.000
03/29/2012	5.65	5.81	5.62	5.74	2295118	28110018.000
03/30/2012	5.74	5.78	5.56	5.67	2051380	24840806.000
04/05/2012	5.70	5.79	5.61	5.79	4195380	51320432.000
04/06/2012	5.78	5.84	5.71	5.83	2796620	34567716.000
04/09/2012	5.79	5.81	5.66	5.66	1928797	23672998.000
04/10/2012	5.66	5.72	5.38	5.60	3558856	42075824.000
04/11/2012	5.50	5.62	5.44	5.59	2119125	25220024.000
04/12/2012	5.63	5.77	5.59	5.76	2672613	32583866.000
04/13/2012	5.77	5.88	5.73	5.79	4267840	52952268.000
04/16/2012	5.73	5.81	5.70	5.77	2822113	34731116.000
04/17/2012	5.77	5.81	5.66	5.68	1855525	22705596.000
04/18/2012	5.72	5.88	5.70	5.83	2926526	36258676.000
04/19/2012	5.94	6.00	5.75	5.84	5059481	63539720.000
04/23/2012	5.77	5.77	5.40	5.45	6245656	73942224.000
04/24/2012	5.42	5.61	5.29	5.59	5919005	69746640.000
04/25/2012	5.54	5.60	5.47	5.55	2594774	30789234.000
04/26/2012	5.55	5.62	5.51	5.53	3606593	42956040.000
04/27/2012	5.54	5.70	5.46	5.66	4625133	55624948.000
05/02/2012	5.77	5.87	5.67	5.76	5147264	63668048.000
05/03/2012	5.73	5.88	5.71	5.84	2763098	34357432.000
05/04/2012	5.88	5.93	5.80	5.90	4101860	51530388.000
05/07/2012	5.82	6.11	5.81	6.07	4810136	61399936.000
05/08/2012	6.02	6.07	5.92	5.95	3366290	42947060.000
05/09/2012	5.93	5.93	5.83	5.84	2684973	33696692.000
05/10/2012	5.83	6.06	5.83	5.98	2920107	36981240.000
05/11/2012	5.95	5.99	5.84	5.86	2544675	32066172.000
