300091 金通灵 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.31	4.31	3.94	3.95	1636327	17028440.000
01/05/2012	3.87	3.91	3.55	3.55	2056847	19092854.000
01/06/2012	3.58	3.61	3.37	3.56	1167360	10238249.000
01/09/2012	3.57	3.69	3.42	3.69	2563440	23175562.000
01/10/2012	3.67	3.92	3.63	3.91	2249347	21581982.000
01/11/2012	3.88	4.06	3.85	3.90	2071590	20666136.000
01/12/2012	3.90	3.96	3.81	3.85	1737340	17043102.000
01/13/2012	3.84	3.87	3.47	3.51	2017291	18519660.000
01/16/2012	3.45	3.49	3.38	3.43	1183801	10289315.000
01/17/2012	3.39	3.67	3.39	3.65	1503408	13593618.000
01/18/2012	3.65	3.69	3.49	3.49	1325752	12092138.000
01/19/2012	3.45	3.63	3.43	3.61	1176924	10601609.000
01/20/2012	3.66	3.66	3.55	3.62	1620121	14768899.000
01/30/2012	3.61	3.66	3.56	3.57	1317169	12079977.000
02/01/2012	3.56	3.64	3.50	3.56	1087085	9849281.000
02/02/2012	3.57	3.67	3.55	3.65	1045940	9584726.000
02/03/2012	3.65	3.77	3.63	3.75	1495792	14045498.000
02/06/2012	3.75	3.93	3.71	3.90	2541150	24808246.000
02/07/2012	3.87	3.87	3.74	3.80	1623963	15613285.000
02/08/2012	3.75	3.89	3.75	3.88	1550887	15123210.000
02/09/2012	3.87	3.98	3.85	3.93	2374846	23652042.000
02/10/2012	3.93	3.96	3.86	3.91	1400355	13879988.000
02/13/2012	3.88	4.06	3.87	4.00	2715294	27446044.000
02/14/2012	4.00	4.03	3.95	4.02	2189830	22130598.000
02/15/2012	4.03	4.09	3.99	4.08	1875869	19204728.000
02/16/2012	4.08	4.09	3.95	4.01	1950986	19889822.000
02/17/2012	4.02	4.05	3.93	3.97	1190121	11981202.000
02/20/2012	4.02	4.03	3.97	3.97	1362262	13808680.000
02/21/2012	3.97	4.02	3.93	4.02	1362716	13738784.000
02/22/2012	4.03	4.21	4.02	4.20	3110414	32617034.000
02/23/2012	4.20	4.26	4.13	4.18	2565551	27298126.000
02/24/2012	4.19	4.29	4.15	4.25	1981340	21234578.000
02/27/2012	4.25	4.33	4.21	4.22	2326463	25093832.000
02/28/2012	4.19	4.22	4.08	4.13	1673841	17508532.000
02/29/2012	4.13	4.15	3.96	3.98	1847270	18923582.000
03/01/2012	3.97	4.05	3.95	3.97	1265591	12825541.000
03/02/2012	3.99	4.09	3.99	4.08	1470794	15048376.000
03/05/2012	4.10	4.19	4.08	4.11	1830860	19165306.000
03/06/2012	4.04	4.10	3.98	4.06	1432349	14636755.000
03/07/2012	4.02	4.10	3.95	4.03	1726154	17573768.000
03/08/2012	4.05	4.15	4.01	4.15	2683016	27775488.000
03/09/2012	4.17	4.29	4.17	4.27	3383130	36302752.000
03/12/2012	4.28	4.28	4.19	4.24	1860186	19899054.000
