300094 国联水产 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.01	3.02	2.89	2.90	1395279	9249204.000
01/05/2012	2.87	2.89	2.69	2.72	2035442	12548880.000
01/06/2012	2.72	2.77	2.67	2.74	1171322	7078602.500
01/09/2012	2.76	2.87	2.73	2.85	1982616	12434728.000
01/10/2012	2.85	2.99	2.83	2.98	3787911	24793400.000
01/11/2012	2.97	3.05	2.95	2.99	3435167	22928972.000
01/12/2012	2.98	3.02	2.94	2.95	2487682	16502858.000
01/13/2012	2.96	2.97	2.77	2.80	2582575	16466131.000
01/16/2012	2.78	2.80	2.70	2.71	1412703	8680118.000
01/17/2012	2.72	2.86	2.71	2.86	2050738	12814036.000
01/18/2012	2.86	2.89	2.75	2.77	2164807	13639773.000
01/19/2012	2.74	2.85	2.73	2.82	2265336	14178696.000
01/20/2012	2.84	2.88	2.82	2.87	1924879	12289668.000
01/30/2012	2.89	2.95	2.84	2.90	2123155	13691157.000
01/31/2012	2.86	2.87	2.75	2.79	2758052	17160084.000
02/01/2012	2.79	2.84	2.77	2.79	1672672	10488856.000
02/02/2012	2.82	2.92	2.82	2.88	4174747	26809628.000
02/03/2012	2.86	2.95	2.86	2.93	4345899	28123764.000
02/06/2012	2.95	2.97	2.90	2.95	3366139	22026008.000
02/07/2012	2.94	2.94	2.86	2.87	2334424	15045924.000
02/08/2012	2.87	3.17	2.87	3.09	10579113	72401000.000
02/09/2012	3.06	3.17	3.05	3.07	7539717	52296156.000
02/10/2012	3.06	3.17	3.04	3.07	3304673	22784590.000
02/13/2012	3.05	3.18	3.04	3.12	4125748	28729160.000
02/14/2012	3.14	3.22	3.11	3.16	7459799	52764648.000
02/15/2012	3.13	3.20	3.11	3.19	4224068	29767552.000
02/16/2012	3.17	3.20	3.11	3.17	3482117	24518754.000
02/17/2012	3.17	3.18	3.10	3.12	2361172	16475455.000
02/20/2012	3.16	3.22	3.13	3.16	8136726	57827320.000
02/21/2012	3.15	3.17	3.06	3.17	4324494	30220472.000
02/22/2012	3.16	3.27	3.14	3.24	8626250	61696408.000
02/23/2012	3.22	3.34	3.21	3.24	6936463	50315516.000
02/24/2012	3.23	3.25	3.20	3.25	5030650	36196628.000
02/27/2012	3.25	3.29	3.23	3.23	6779719	49212248.000
02/28/2012	3.20	3.22	3.12	3.18	5362749	37814796.000
02/29/2012	3.18	3.21	3.12	3.13	2860908	20163958.000
03/01/2012	3.12	3.16	3.11	3.12	4841410	33784864.000
03/02/2012	3.12	3.17	3.12	3.17	3712072	26059440.000
03/05/2012	3.17	3.22	3.16	3.20	6546160	46542044.000
03/06/2012	3.20	3.20	3.11	3.13	3700707	25923408.000
03/07/2012	3.11	3.17	3.10	3.12	3452504	24134936.000
03/08/2012	3.14	3.22	3.13	3.19	4241893	30061216.000
03/09/2012	3.21	3.24	3.18	3.22	4702928	33618040.000
03/12/2012	3.24	3.27	3.20	3.24	4778373	34390264.000
03/13/2012	3.24	3.36	3.21	3.31	12384510	90763248.000
03/14/2012	3.31	3.32	3.07	3.11	10259874	73770624.000
03/15/2012	3.12	3.14	3.01	3.04	4900161	33419890.000
03/16/2012	3.06	3.14	3.02	3.12	4090719	28221960.000
03/19/2012	3.12	3.17	3.10	3.16	4273144	29911968.000
03/20/2012	3.14	3.14	3.01	3.01	4500012	30777716.000
03/21/2012	3.03	3.04	2.95	3.01	3671687	24566564.000
