300096 易联众 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.16	5.23	5.03	5.07	1587627	20818090.000
01/05/2012	4.99	4.99	4.55	4.55	2765528	33713088.000
01/06/2012	4.51	4.54	4.30	4.48	1706989	19319502.000
01/09/2012	4.49	4.68	4.36	4.68	2860181	33549764.000
01/10/2012	4.68	4.86	4.63	4.85	2490897	30493260.000
01/11/2012	4.85	5.07	4.75	4.91	2415391	30610298.000
01/12/2012	4.87	4.98	4.78	4.79	1510928	18838894.000
01/13/2012	4.77	4.83	4.39	4.43	2125227	24951228.000
01/16/2012	4.41	4.41	4.01	4.04	2198851	24022498.000
01/17/2012	4.09	4.41	3.99	4.33	2016343	21800570.000
01/18/2012	4.35	4.35	3.95	4.07	3231836	34351320.000
01/19/2012	4.20	4.42	4.09	4.36	4092879	45002968.000
01/20/2012	4.37	4.50	4.32	4.47	4690030	53240112.000
01/30/2012	4.47	4.56	4.37	4.44	3553149	40827872.000
01/31/2012	4.43	4.43	4.23	4.40	2877387	32102624.000
02/01/2012	4.43	4.55	4.39	4.45	3013166	34765688.000
02/02/2012	4.51	4.59	4.45	4.59	3736224	43439704.000
02/03/2012	4.59	4.72	4.55	4.68	4094309	49012648.000
02/06/2012	4.71	4.92	4.71	4.83	5085223	62960812.000
02/07/2012	4.75	4.83	4.69	4.79	2958831	36046404.000
02/08/2012	4.78	4.91	4.72	4.90	3415436	42447164.000
02/09/2012	4.87	5.00	4.85	4.92	3218189	40590360.000
02/10/2012	4.87	4.92	4.81	4.87	3457435	43152656.000
02/13/2012	4.83	5.05	4.79	5.01	3599788	45809828.000
02/14/2012	4.99	5.10	4.95	5.03	2812353	36260068.000
02/15/2012	4.99	5.15	4.99	5.09	2386534	31015846.000
02/16/2012	5.05	5.16	4.97	5.07	3297753	42728184.000
02/17/2012	5.10	5.13	4.95	4.99	2549019	32669134.000
02/20/2012	5.04	5.13	4.98	5.00	3888414	50395576.000
02/21/2012	4.99	5.06	4.87	5.05	3329127	42409172.000
02/22/2012	5.09	5.55	5.09	5.48	9468065	129824256.000
02/23/2012	5.48	5.53	5.35	5.46	5168644	71964712.000
02/24/2012	5.46	5.47	5.30	5.44	5689888	78505232.000
02/27/2012	5.42	5.55	5.35	5.39	6542641	91413752.000
02/28/2012	5.35	5.37	5.21	5.27	5061279	68390544.000
02/29/2012	5.27	5.28	5.06	5.17	4243666	56425440.000
03/01/2012	5.17	5.29	5.16	5.23	3458010	46493120.000
03/02/2012	5.21	5.35	5.21	5.35	3255607	44008956.000
03/05/2012	5.36	5.42	5.27	5.37	3645386	49975524.000
03/06/2012	5.34	5.37	5.18	5.27	2965361	39913864.000
03/07/2012	5.19	5.54	5.15	5.32	4487388	61788348.000
03/08/2012	5.34	5.45	5.34	5.38	3030232	41968780.000
03/09/2012	5.44	5.55	5.37	5.52	4485561	62828076.000
03/12/2012	5.54	5.78	5.49	5.71	6121110	88580544.000
03/13/2012	5.70	5.77	5.65	5.71	3402344	49508696.000
03/14/2012	5.75	5.87	5.33	5.47	6876625	98473328.000
03/15/2012	5.46	5.56	5.35	5.48	4605923	64389352.000
03/16/2012	5.47	5.85	5.47	5.83	7966372	116285776.000
03/19/2012	5.83	6.06	5.83	6.01	5352176	81665928.000
03/20/2012	5.95	6.03	5.78	5.83	3086212	46370708.000
03/21/2012	5.90	6.03	5.76	5.89	5622224	84987264.000
03/22/2012	5.89	6.01	5.82	5.89	4391089	66365732.000
03/23/2012	5.83	5.97	5.75	5.87	4025008	60183420.000
03/26/2012	5.85	6.11	5.85	6.03	5084251	77826640.000
03/27/2012	6.06	6.09	5.78	5.79	5816915	87994032.000
03/28/2012	5.79	5.79	5.20	5.25	6369698	88511888.000
03/29/2012	5.16	5.16	4.87	5.07	7187163	91972080.000
03/30/2012	5.01	5.01	4.64	4.71	5938775	72429000.000
04/05/2012	4.71	4.84	4.65	4.80	5154419	63176504.000
04/06/2012	4.83	4.96	4.75	4.87	4431964	55481152.000
04/09/2012	4.85	4.85	4.70	4.71	2753311	33732800.000
04/10/2012	4.66	4.79	4.47	4.79	3653550	43292672.000
04/11/2012	4.68	4.89	4.64	4.83	3445294	42172328.000
04/12/2012	4.83	4.91	4.73	4.89	2985687	36921580.000
04/13/2012	4.89	5.01	4.89	4.94	3238599	41184564.000
04/16/2012	4.88	4.94	4.81	4.87	1233331	15389760.000
04/17/2012	4.89	4.92	4.82	4.87	1439512	17955972.000
04/18/2012	4.92	5.03	4.85	5.03	2033422	25870794.000
04/19/2012	5.02	5.11	4.98	5.03	1915972	24836896.000
04/20/2012	5.03	5.12	5.01	5.11	1747741	22687120.000
04/23/2012	5.07	5.09	4.66	4.75	3310622	40968540.000
04/24/2012	4.67	4.75	4.47	4.60	2477452	29143854.000
04/25/2012	4.63	4.78	4.60	4.74	1664985	20050346.000
04/26/2012	4.74	4.77	4.58	4.71	1505785	18067568.000
04/27/2012	4.68	4.73	4.62	4.69	1168129	14015197.000
05/02/2012	4.75	4.78	4.68	4.76	1950927	23714316.000
05/03/2012	4.76	4.77	4.69	4.77	1311165	15932806.000
05/04/2012	4.79	4.93	4.78	4.93	2751059	34272968.000
05/07/2012	4.90	4.98	4.86	4.97	1862734	23576078.000
05/08/2012	4.97	5.02	4.89	4.97	2960264	37596036.000
05/09/2012	4.95	5.05	4.85	4.94	3017735	38495112.000
05/10/2012	4.93	5.05	4.87	4.99	2007533	25673358.000
05/11/2012	5.03	5.05	4.88	4.91	1746341	22312766.000
05/14/2012	4.97	4.99	4.75	4.75	1889546	23655604.000
05/15/2012	4.74	4.74	4.61	4.71	1600287	19157680.000
05/16/2012	4.69	4.71	4.58	4.59	1054213	12570645.000
05/17/2012	4.56	4.69	4.56	4.64	862422	10256796.000
05/18/2012	4.59	4.63	4.53	4.55	1375226	16211103.000
05/21/2012	4.57	4.59	4.47	4.53	1255690	14582557.000
05/22/2012	4.55	4.64	4.55	4.63	1230655	14563766.000
05/23/2012	4.65	4.65	4.51	4.58	1219685	14356125.000
05/24/2012	4.55	4.62	4.55	4.59	896468	10565070.000
05/25/2012	4.57	4.61	4.48	4.50	950293	11105947.000
05/28/2012	4.47	4.54	4.36	4.53	861264	9839993.000
05/29/2012	4.54	4.62	4.49	4.59	994428	11713664.000
05/30/2012	4.59	4.65	4.57	4.64	995488	11811101.000
05/31/2012	4.60	4.80	4.60	4.75	1735533	21033166.000
06/01/2012	4.71	4.83	4.67	4.74	1153459	14060683.000
06/04/2012	4.67	4.67	4.48	4.50	1161684	13581918.000
06/05/2012	4.50	4.55	4.41	4.45	1418100	16190216.000
06/06/2012	4.43	4.50	4.31	4.42	1545889	17389042.000
06/07/2012	4.42	4.47	4.39	4.42	1132267	12811277.000
06/08/2012	4.44	4.47	4.35	4.37	1010410	11344423.000
06/11/2012	4.39	4.45	4.34	4.45	1171356	13133630.000
06/12/2012	4.42	4.44	4.35	4.37	837927	9363308.000
06/13/2012	4.39	4.51	4.32	4.48	2196649	24706670.000
06/14/2012	4.47	4.50	4.39	4.40	1672670	18982278.000
06/15/2012	4.41	4.47	4.37	4.41	1454779	16356860.000
06/18/2012	4.43	4.49	4.42	4.47	1429592	16258672.000
06/19/2012	4.46	4.49	4.41	4.41	1530230	17383480.000
06/20/2012	4.43	4.63	4.43	4.59	3457355	40196092.000
06/21/2012	4.55	4.58	4.38	4.41	1998563	22763498.000
06/25/2012	4.36	4.39	4.20	4.20	1555886	16942914.000
06/26/2012	4.19	4.24	4.09	4.20	974702	10351668.000
06/27/2012	4.20	4.28	4.15	4.17	1077338	11616974.000
06/28/2012	4.31	4.49	4.24	4.25	2992248	33033606.000
06/29/2012	4.13	4.37	4.11	4.31	1468422	15960944.000
07/02/2012	4.35	4.37	4.27	4.33	1520669	16787910.000
07/03/2012	4.31	4.43	4.31	4.35	1443155	16139140.000
07/04/2012	4.36	4.41	4.23	4.25	1076581	11852846.000
07/05/2012	4.25	4.39	4.14	4.33	1808408	19718724.000
07/06/2012	4.38	4.39	4.17	4.34	2466199	26929364.000
07/09/2012	4.31	4.31	4.17	4.19	1645066	17761446.000
07/10/2012	4.15	4.21	3.96	3.97	2320323	24148348.000
07/11/2012	4.01	4.02	3.79	3.93	3138096	31257184.000
07/12/2012	3.83	3.95	3.77	3.89	1705530	16845430.000
07/13/2012	3.87	3.93	3.85	3.90	1021270	10133772.000
07/16/2012	3.89	3.89	3.63	3.65	1367138	13093027.000
07/17/2012	3.65	3.75	3.59	3.72	1422482	13414163.000
07/18/2012	3.71	3.74	3.61	3.72	755798	7125917.500
07/19/2012	3.71	3.82	3.71	3.75	1200652	11609418.000
07/20/2012	3.75	3.87	3.74	3.79	1069089	10417011.000
07/23/2012	3.72	3.82	3.71	3.75	451664	4363618.000
07/24/2012	3.71	3.87	3.71	3.84	1380200	13441841.000
07/25/2012	3.85	3.99	3.81	3.90	1423924	14256061.000
07/26/2012	3.89	3.97	3.85	3.87	1168312	11705569.000
07/27/2012	3.89	3.92	3.79	3.84	845421	8329979.500
07/30/2012	3.83	3.93	3.73	3.75	611240	5924615.000
07/31/2012	3.75	3.75	3.62	3.74	585300	5551527.500
08/01/2012	3.75	3.87	3.73	3.79	594861	5798174.500
08/02/2012	3.81	3.83	3.71	3.79	498982	4798880.000
08/03/2012	3.78	3.83	3.71	3.83	909433	8770695.000
08/06/2012	3.79	3.95	3.79	3.94	2167266	21624462.000
08/07/2012	3.94	3.97	3.91	3.94	935759	9415158.000
08/08/2012	3.93	3.95	3.85	3.93	780545	7790051.000
08/09/2012	3.94	4.02	3.87	3.99	1206520	12213721.000
08/10/2012	3.98	4.03	3.94	3.97	794516	8093893.500
08/13/2012	3.97	3.97	3.84	3.84	606725	6058133.000
08/14/2012	3.83	3.87	3.73	3.85	717421	6963779.000
08/15/2012	3.87	3.87	3.79	3.81	441527	4326797.500
08/16/2012	3.76	3.82	3.76	3.76	355487	3438214.250
08/17/2012	3.75	3.81	3.74	3.81	387552	3757877.000
08/20/2012	3.78	3.82	3.75	3.80	354200	3419177.000
08/21/2012	3.77	4.07	3.77	4.00	2308112	23385288.000
08/22/2012	3.98	4.23	3.96	4.16	2905446	30495292.000
08/23/2012	4.12	4.18	4.03	4.11	1584410	16642123.000
08/24/2012	4.06	4.14	4.05	4.10	986540	10325102.000
08/27/2012	4.04	4.16	3.99	4.10	1376177	14397672.000
08/28/2012	4.07	4.22	4.05	4.16	2247671	23642236.000
08/29/2012	4.15	4.26	4.13	4.17	2512689	26876142.000
08/30/2012	4.18	4.18	3.94	4.02	1519480	15756299.000
08/31/2012	3.99	4.08	3.97	4.01	712057	7291736.000
09/03/2012	4.01	4.19	3.99	4.16	1040213	10923733.000
09/04/2012	4.16	4.29	4.16	4.17	1913821	20662536.000
09/05/2012	4.19	4.32	4.15	4.26	2001756	21789622.000
09/06/2012	4.25	4.41	4.25	4.37	2124318	23520168.000
09/07/2012	4.43	4.46	4.31	4.37	4689844	52223084.000
09/10/2012	4.31	4.52	4.31	4.45	3793544	42627824.000
09/11/2012	4.41	4.59	4.39	4.47	3512633	40432708.000
09/12/2012	4.48	4.50	4.33	4.40	2516166	28257528.000
09/13/2012	4.42	4.42	4.22	4.22	2762091	30211432.000
09/14/2012	4.25	4.32	4.17	4.29	1656797	18020648.000
09/17/2012	4.29	4.31	4.15	4.19	1200755	12908438.000
09/18/2012	4.20	4.23	4.06	4.11	1121211	11834362.000
09/19/2012	4.14	4.21	4.09	4.18	955875	10165309.000
09/20/2012	4.17	4.29	4.07	4.10	1608491	17228162.000
09/21/2012	4.13	4.18	3.99	4.03	997709	10392333.000
09/24/2012	4.02	4.13	3.91	4.02	822813	8484518.000
09/25/2012	3.98	4.05	3.89	3.89	792062	8013492.500
09/26/2012	3.91	3.95	3.77	3.80	777872	7602712.500
09/27/2012	3.81	3.89	3.80	3.89	1276450	12641212.000
09/28/2012	3.85	3.97	3.83	3.95	982426	9757778.000
10/08/2012	3.92	3.95	3.82	3.84	740529	7320774.000
10/09/2012	3.91	4.01	3.91	3.99	1185926	11993229.000
10/10/2012	3.95	4.06	3.95	4.03	1336391	13701669.000
10/11/2012	4.02	4.02	3.88	3.89	1155081	11657014.000
10/12/2012	3.87	3.92	3.49	3.57	6152360	56791896.000
10/15/2012	3.55	3.55	3.33	3.42	3297455	28743144.000
10/16/2012	3.41	3.47	3.38	3.42	1330792	11702731.000
10/17/2012	3.42	3.45	3.36	3.41	1426185	12465517.000
10/18/2012	3.42	3.48	3.42	3.47	2059240	18236140.000
10/19/2012	3.47	3.55	3.47	3.50	1732008	15572901.000
10/22/2012	3.51	3.56	3.45	3.55	1720834	15511647.000
10/23/2012	3.57	3.57	3.45	3.45	1158925	10410517.000
10/24/2012	3.45	3.49	3.44	3.45	763243	6776492.000
10/25/2012	3.43	3.54	3.41	3.43	1038220	9205111.000
10/26/2012	3.47	3.49	3.29	3.29	2043851	17565032.000
10/29/2012	3.30	3.31	3.23	3.25	716030	6012678.000
10/30/2012	3.26	3.28	3.21	3.23	797080	6628732.000
10/31/2012	3.23	3.25	3.20	3.23	774425	6419750.500
11/01/2012	3.24	3.30	3.23	3.29	1360522	11440348.000
11/02/2012	3.29	3.30	3.25	3.29	1297069	10917568.000
11/05/2012	3.29	3.31	3.24	3.28	1086337	9126988.000
11/06/2012	3.29	3.29	3.20	3.25	796572	6624672.500
11/07/2012	3.25	3.41	3.22	3.36	1960633	16727744.000
11/08/2012	3.32	3.33	3.23	3.23	1004020	8461958.000
11/09/2012	3.24	3.30	3.17	3.21	735913	6050209.000
11/12/2012	3.23	3.23	3.16	3.19	727747	5974914.000
11/13/2012	3.21	3.26	3.11	3.20	2365971	19462104.000
11/14/2012	3.17	3.23	3.12	3.21	1900140	15615122.000
11/15/2012	3.18	3.22	3.09	3.11	755051	6131782.500
11/16/2012	3.11	3.14	2.99	3.02	1238452	9661510.000
11/19/2012	3.02	3.02	2.92	3.00	906768	6932258.000
11/20/2012	3.01	3.05	2.98	3.02	816903	6358784.500
11/21/2012	3.02	3.11	2.97	3.10	1220300	9577902.000
11/22/2012	3.19	3.42	3.19	3.42	10843917	94561128.000
11/23/2012	3.34	3.47	3.32	3.41	10059757	87865936.000
11/26/2012	3.38	3.42	3.30	3.30	5092227	43752820.000
11/27/2012	3.28	3.34	3.04	3.11	5189587	41985928.000
