300118 东方日升 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/05/2012	7.62	7.67	7.29	7.29	8067573	96305704.000
01/06/2012	7.19	7.21	6.75	7.11	6150830	69633680.000
01/09/2012	7.02	7.46	6.89	7.42	4992917	59002916.000
01/10/2012	7.39	7.90	7.36	7.79	6725172	83460928.000
01/11/2012	7.77	8.04	7.64	7.83	6789508	86521032.000
01/12/2012	7.90	8.49	7.88	8.01	8923305	118134160.000
01/13/2012	7.97	7.99	7.36	7.41	6653329	82694400.000
01/16/2012	7.26	7.51	7.12	7.15	4410258	52263256.000
01/17/2012	7.14	7.79	6.98	7.69	6535485	78401304.000
01/18/2012	7.57	7.74	7.39	7.52	4769518	58637392.000
01/19/2012	7.63	7.89	7.39	7.84	6490342	81409536.000
01/20/2012	7.87	7.88	7.65	7.82	6156417	77836096.000
01/30/2012	7.86	8.03	7.70	7.87	5569045	71309312.000
01/31/2012	7.71	7.89	7.52	7.71	4715571	58635768.000
02/01/2012	7.79	7.82	7.54	7.63	3077877	38441756.000
02/02/2012	7.60	7.75	7.55	7.75	2606352	32386856.000
02/03/2012	7.75	8.12	7.66	8.04	6486373	84047952.000
02/06/2012	8.06	8.33	7.92	8.17	8690469	114715856.000
02/07/2012	8.07	8.07	7.89	8.02	4501585	58245972.000
02/08/2012	8.02	8.31	7.92	8.31	6219922	82199600.000
02/09/2012	8.26	8.68	8.19	8.44	9570741	131600064.000
02/10/2012	8.41	8.72	8.36	8.47	6196292	85366696.000
02/13/2012	8.37	8.76	8.34	8.61	6252832	86717304.000
02/14/2012	8.62	8.62	8.39	8.56	3840758	52817724.000
02/15/2012	8.51	8.63	8.38	8.63	6856403	95033256.000
02/16/2012	8.65	8.67	8.39	8.61	6648474	92110760.000
02/17/2012	8.69	8.69	8.42	8.57	6362077	88342384.000
02/20/2012	8.64	8.81	8.46	8.71	7753982	108250136.000
02/21/2012	8.64	9.04	8.59	8.96	12393102	177991392.000
02/22/2012	9.01	9.11	8.86	9.09	7839109	114103488.000
02/23/2012	9.04	9.17	8.91	9.04	8490118	124538584.000
02/24/2012	9.00	9.14	8.89	9.10	7305955	107028008.000
02/27/2012	9.15	9.44	8.93	9.20	13117796	194029472.000
02/28/2012	9.12	9.20	8.72	9.10	11668129	169793072.000
02/29/2012	9.10	9.22	8.82	9.11	14466248	213107728.000
03/01/2012	9.06	9.37	8.97	9.36	15363105	229048624.000
03/02/2012	9.46	9.84	9.31	9.63	13424597	207794768.000
03/05/2012	9.60	9.76	9.42	9.56	9901325	152896224.000
03/06/2012	9.55	9.59	9.20	9.38	8133851	123015432.000
03/07/2012	9.30	9.56	9.16	9.39	7411657	112919208.000
03/08/2012	9.48	9.60	9.34	9.56	8393660	129165712.000
03/09/2012	9.59	9.74	9.44	9.68	20630381	321173344.000
03/12/2012	9.88	9.97	9.34	9.51	23168106	358853504.000
03/13/2012	9.46	9.57	9.13	9.22	22426432	338173056.000
03/14/2012	9.22	9.28	8.46	8.54	22317841	324197824.000
03/15/2012	8.51	8.57	8.10	8.14	10822267	145346224.000
03/16/2012	8.14	8.26	8.06	8.26	7320991	97421576.000
03/19/2012	8.24	8.28	8.12	8.27	6095550	81095040.000
03/20/2012	8.26	8.26	7.85	7.85	7582775	98665408.000
03/21/2012	7.92	8.04	7.86	7.96	5311217	68556664.000
03/22/2012	7.94	8.14	7.87	8.04	4837751	63197036.000
03/23/2012	7.97	7.98	7.75	7.79	4670084	59677648.000
03/26/2012	7.79	7.82	7.60	7.66	3098986	38702396.000
03/27/2012	7.70	7.78	7.62	7.64	2824674	35376584.000
03/28/2012	7.59	7.60	7.14	7.18	4490097	53792372.000
03/29/2012	7.15	7.15	6.91	6.94	3620223	41307808.000
03/30/2012	6.96	7.00	6.75	6.81	3652580	40732860.000
04/05/2012	6.62	6.92	6.62	6.91	4567433	50664372.000
04/06/2012	6.91	6.94	6.76	6.87	3815502	42591504.000
04/09/2012	6.82	6.84	6.69	6.70	2421483	26673732.000
04/10/2012	6.65	6.73	6.44	6.73	3956729	42521472.000
04/11/2012	6.66	6.79	6.59	6.74	3057999	33353370.000
04/12/2012	6.77	6.94	6.75	6.93	4917573	55055944.000
04/13/2012	6.93	7.11	6.89	7.06	5328284	60751080.000
04/16/2012	7.00	7.04	6.92	6.97	2718108	30872086.000
04/17/2012	6.97	7.02	6.87	6.91	2550782	28768230.000
04/18/2012	6.92	7.07	6.91	7.05	3142013	35871740.000
04/19/2012	7.06	7.08	6.97	7.01	2628211	29997538.000
04/20/2012	7.04	7.19	7.02	7.12	4632396	53475004.000
04/23/2012	6.98	7.04	6.39	6.39	10188062	108725088.000
04/24/2012	6.15	6.15	5.74	5.95	10565073	102158232.000
04/25/2012	5.92	5.99	5.87	5.95	4286920	41531664.000
04/26/2012	5.96	6.04	5.89	5.95	3656607	35577632.000
04/27/2012	5.95	6.12	5.85	6.05	4028949	39488940.000
05/02/2012	6.11	6.13	6.01	6.02	4241509	41912992.000
05/03/2012	5.99	6.04	5.91	5.99	3216470	31314600.000
05/04/2012	6.01	6.11	5.94	6.08	4273384	42275228.000
05/07/2012	6.02	6.24	6.02	6.23	4503020	45039112.000
05/08/2012	6.24	6.36	6.17	6.26	5194783	53266084.000
05/09/2012	6.22	6.22	6.05	6.05	3680558	36673536.000
05/10/2012	6.04	6.17	6.04	6.11	2519551	25123522.000
05/11/2012	6.10	6.22	6.07	6.14	2322184	23304862.000
05/14/2012	6.21	6.21	6.02	6.02	2373093	23660268.000
05/15/2012	6.02	6.02	5.93	6.01	2206798	21516874.000
05/16/2012	6.00	6.07	5.93	5.98	2005065	19630528.000
05/17/2012	5.97	6.11	5.94	6.09	2706814	26657902.000
05/18/2012	6.01	6.27	6.01	6.14	5306004	53378020.000
