300125 易世达 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	17.14	17.42	16.31	16.34	263410	4473935.500
01/05/2012	16.29	16.48	14.99	15.15	503867	8049567.500
01/06/2012	14.99	15.29	14.53	15.23	342509	5158903.000
01/09/2012	15.28	15.88	14.60	15.81	386438	6054254.000
01/10/2012	15.75	16.54	15.75	16.33	910610	14950765.000
01/11/2012	16.33	16.67	16.09	16.39	747572	12419223.000
01/12/2012	16.14	16.59	16.07	16.14	784093	12908227.000
01/13/2012	15.95	16.14	14.75	14.75	797429	12336031.000
01/16/2012	14.67	14.69	13.59	13.59	580513	8309309.500
01/17/2012	13.57	14.39	13.57	14.22	1066214	15271213.000
01/18/2012	14.25	14.48	12.81	13.03	1351674	18898240.000
01/19/2012	12.99	13.56	12.78	13.37	1273976	17146748.000
01/20/2012	13.44	13.93	13.44	13.75	973249	13551252.000
01/30/2012	13.79	13.99	13.62	13.77	932428	13080928.000
01/31/2012	13.69	13.69	13.04	13.43	1049389	14167518.000
02/01/2012	13.43	14.09	13.30	13.64	1029284	14398765.000
02/02/2012	13.59	13.98	13.50	13.98	1012306	14193805.000
02/06/2012	14.42	14.84	14.24	14.76	2538048	37534708.000
02/07/2012	14.54	14.54	14.04	14.18	1555976	22540246.000
02/08/2012	14.14	14.64	14.02	14.64	1431904	21042624.000
02/09/2012	14.65	15.09	14.62	14.95	1618266	24510862.000
02/10/2012	14.95	15.04	14.67	14.81	912174	13736106.000
02/13/2012	14.64	15.19	14.56	15.10	1143097	17388960.000
02/14/2012	15.09	15.24	14.96	15.15	898238	13725909.000
02/15/2012	15.12	15.39	14.94	15.38	877060	13554646.000
02/16/2012	15.38	15.63	14.99	15.23	1221171	18932476.000
02/17/2012	15.28	15.37	14.92	15.03	855531	13082118.000
02/20/2012	15.29	15.59	15.17	15.27	1365353	21252882.000
02/21/2012	15.37	15.66	15.20	15.65	1043015	16317006.000
02/22/2012	15.60	16.26	15.50	16.26	1997880	32337996.000
02/23/2012	16.20	16.36	15.82	16.19	2386438	38945796.000
02/24/2012	16.19	16.56	16.06	16.26	1789792	29482424.000
02/27/2012	16.31	16.57	16.21	16.21	1847261	30663026.000
02/28/2012	16.29	16.56	15.75	15.97	1548394	25148582.000
02/29/2012	15.90	15.97	15.47	15.49	1259019	20024162.000
03/01/2012	15.44	15.70	15.39	15.51	1088430	17186880.000
03/02/2012	15.60	15.86	15.54	15.85	842616	13436976.000
03/05/2012	15.88	16.01	15.70	15.86	1050765	16882068.000
03/06/2012	15.79	15.84	15.35	15.56	1015995	15981217.000
03/07/2012	15.40	15.86	15.29	15.55	775196	12267171.000
03/08/2012	15.61	16.15	15.59	16.15	1796123	29046230.000
03/09/2012	16.35	16.43	16.04	16.28	1640556	26932162.000
03/12/2012	16.35	16.54	16.18	16.41	1307711	21663618.000
03/13/2012	16.34	16.98	16.30	16.89	1751204	29404764.000
03/14/2012	16.87	17.08	15.85	15.97	2251985	37826740.000
03/15/2012	15.93	16.09	15.28	15.28	1493687	23628310.000
