300139 晓程科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	11.89	11.89	11.20	11.23	512520	30152840.000
01/05/2012	11.22	11.33	10.68	10.69	628429	35259268.000
01/06/2012	10.63	10.91	10.31	10.72	379483	20520078.000
01/09/2012	10.77	11.12	10.49	11.11	315883	17631938.000
01/10/2012	11.14	11.37	10.96	11.32	344804	19820678.000
01/11/2012	11.25	11.64	11.25	11.39	319567	18747924.000
01/12/2012	11.34	11.42	11.03	11.28	384057	22047676.000
01/13/2012	11.29	11.86	10.92	11.05	631783	37087844.000
01/16/2012	10.75	10.75	10.15	10.15	384092	20607970.000
01/17/2012	10.32	10.71	10.09	10.69	311396	16575196.000
01/18/2012	10.72	10.81	9.59	9.59	776131	39738520.000
01/19/2012	9.50	9.52	8.75	9.11	729760	34476248.000
01/20/2012	9.14	9.34	8.96	9.18	334418	15830548.000
01/30/2012	9.24	9.68	9.24	9.46	451486	22061446.000
01/31/2012	9.46	9.49	9.17	9.37	169618	8106338.000
02/01/2012	9.42	9.55	9.29	9.35	204762	9907095.000
02/02/2012	9.41	9.57	9.37	9.56	189250	9212829.000
02/03/2012	9.51	9.94	9.45	9.91	405661	20239808.000
02/06/2012	9.89	10.04	9.80	9.87	260162	13200421.000
02/07/2012	9.82	9.82	9.64	9.69	228973	11412847.000
02/08/2012	9.69	9.91	9.55	9.90	200026	10041226.000
02/09/2012	10.00	10.17	9.88	9.99	319731	16409503.000
02/10/2012	10.00	10.04	9.85	9.91	341831	17382630.000
02/13/2012	9.88	10.26	9.77	10.22	441893	22972534.000
02/14/2012	10.21	10.32	10.08	10.28	208343	10923820.000
02/15/2012	10.38	10.38	10.19	10.31	304662	16074224.000
02/16/2012	10.24	11.30	10.24	10.92	792137	43955296.000
02/17/2012	10.92	10.92	10.67	10.73	341634	18850488.000
02/20/2012	10.79	11.01	10.75	10.94	380573	21190896.000
02/21/2012	10.94	11.20	10.86	11.14	878511	49436532.000
02/22/2012	11.19	11.34	11.07	11.26	495852	28449758.000
02/23/2012	11.31	11.43	11.16	11.26	523778	30236048.000
02/24/2012	11.28	11.39	11.16	11.35	421885	24331404.000
02/27/2012	11.33	11.57	11.31	11.36	415033	24313530.000
02/28/2012	11.40	11.49	11.17	11.20	376049	21740324.000
02/29/2012	11.07	11.08	10.61	10.64	640833	35337428.000
03/01/2012	10.55	10.90	10.55	10.75	247539	13615843.000
03/02/2012	10.69	10.92	10.69	10.83	333746	18425816.000
03/05/2012	10.89	11.35	10.89	11.16	544796	31083704.000
03/06/2012	11.16	11.16	10.90	11.10	297359	16773263.000
03/07/2012	10.96	11.26	10.83	10.94	329825	18686456.000
03/08/2012	10.97	11.10	10.91	11.05	229130	12902828.000
03/09/2012	11.03	11.23	11.00	11.22	334915	19064516.000
03/12/2012	11.25	11.34	11.07	11.15	370839	21226426.000
03/13/2012	11.18	11.30	11.05	11.28	357031	20436452.000
03/14/2012	11.31	11.42	10.63	10.79	732865	41825460.000
03/15/2012	10.79	10.86	10.43	10.63	358997	19577438.000
03/16/2012	10.71	10.89	10.65	10.88	236668	13032521.000
03/19/2012	11.25	11.25	10.91	11.18	528732	30116614.000
03/20/2012	11.28	11.28	10.95	11.02	380418	21659140.000
03/21/2012	11.05	11.15	10.63	10.73	380773	21114738.000
03/22/2012	10.65	10.77	10.54	10.68	233841	12748260.000
03/23/2012	10.67	10.84	10.61	10.70	129640	7114106.000
03/26/2012	10.62	10.75	10.62	10.72	95125	5203862.000
03/27/2012	10.82	11.32	10.64	11.17	760053	42996760.000
03/28/2012	11.17	11.20	10.55	10.61	480563	26744876.000
03/29/2012	10.58	10.65	10.05	10.35	412654	21719080.000
03/30/2012	10.53	10.55	10.16	10.30	223062	11795079.000
04/05/2012	10.32	10.58	10.27	10.55	352872	18792840.000
04/06/2012	10.56	10.60	10.39	10.46	187793	10086095.000
04/09/2012	10.46	10.55	10.36	10.39	244160	13087874.000
04/10/2012	10.35	10.45	9.99	10.31	223376	11671308.000
04/11/2012	10.21	10.33	10.05	10.25	154600	8092333.500
04/12/2012	10.28	10.73	10.15	10.65	568104	30844946.000
04/13/2012	10.64	10.93	10.57	10.90	317762	17471272.000
04/16/2012	10.85	11.14	10.75	11.05	434774	24484494.000
04/17/2012	11.05	11.13	10.85	11.02	274430	15372817.000
04/18/2012	11.09	11.31	11.03	11.30	570529	32739412.000
04/19/2012	10.75	11.29	10.75	11.03	775130	43520624.000
04/20/2012	11.03	11.09	10.86	10.99	277893	15582923.000
04/23/2012	10.95	11.06	10.61	10.69	504743	27734106.000
04/24/2012	10.58	10.73	10.05	10.46	469858	24978952.000
04/25/2012	10.35	10.49	10.28	10.45	151026	8031454.500
04/26/2012	10.52	10.67	10.39	10.53	290040	15649156.000
04/27/2012	10.53	10.53	10.33	10.33	274197	14650230.000
05/02/2012	10.45	10.72	10.23	10.67	396840	21317906.000
05/03/2012	10.64	10.69	10.56	10.68	317708	17293360.000
05/04/2012	10.74	11.28	10.69	11.14	657959	37059272.000
05/07/2012	11.12	11.94	11.09	11.73	1072798	63322852.000
05/08/2012	11.73	11.92	11.55	11.64	562729	33648624.000
05/09/2012	11.61	11.77	11.52	11.64	628603	37376484.000
05/10/2012	11.70	12.13	11.70	11.84	686874	41841728.000
05/11/2012	11.85	11.86	11.35	11.39	631955	37272544.000
05/14/2012	11.39	11.78	11.39	11.61	537159	31946812.000
05/15/2012	11.45	11.91	11.45	11.90	421815	25368994.000
05/16/2012	11.85	12.02	11.65	11.66	304969	18465222.000
05/17/2012	11.66	12.20	11.65	12.09	560495	34535604.000
05/18/2012	11.98	12.13	11.72	11.75	538245	32575136.000
05/21/2012	11.72	11.94	11.71	11.73	228737	13804754.000
05/22/2012	11.83	11.93	11.71	11.80	277666	16746681.000
05/23/2012	11.69	11.81	11.41	11.57	386402	22879376.000
05/24/2012	11.48	11.68	11.45	11.60	218430	12905916.000
05/25/2012	11.53	11.73	11.37	11.52	177029	10466069.000
05/28/2012	11.51	11.74	11.35	11.74	152202	8980043.000
05/29/2012	11.73	12.03	11.71	11.98	332168	20167236.000
05/30/2012	12.08	12.08	11.95	12.08	217749	13364618.000
05/31/2012	12.05	12.30	11.99	12.30	389059	24161880.000
06/01/2012	12.45	12.90	12.35	12.63	691802	44863680.000
06/04/2012	12.56	12.85	12.35	12.46	647879	41557872.000
06/05/2012	12.46	12.59	11.93	11.99	580815	35970032.000
06/06/2012	11.99	12.10	11.62	11.72	537695	32355858.000
06/07/2012	11.93	11.93	11.41	11.50	522971	31005292.000
06/08/2012	11.52	11.73	11.19	11.52	653016	19080734.000
06/11/2012	11.38	11.94	11.38	11.89	604973	17967538.000
06/12/2012	11.80	11.87	11.40	11.59	617216	18193888.000
06/13/2012	11.73	11.91	11.53	11.71	591162	17556904.000
06/14/2012	11.71	11.82	11.29	11.29	717182	21012660.000
06/15/2012	11.31	11.43	11.13	11.34	709153	20285782.000
06/18/2012	11.44	11.50	11.25	11.43	443996	12807697.000
06/19/2012	11.37	12.45	11.28	12.12	1542743	46615712.000
06/20/2012	12.12	12.25	11.85	12.00	893481	27222824.000
06/21/2012	12.00	12.00	11.68	11.76	702961	20940014.000
06/25/2012	11.72	11.72	11.29	11.29	548303	15864545.000
06/26/2012	11.21	11.21	10.84	10.86	837417	23319750.000
06/27/2012	10.86	10.95	10.66	10.88	599204	16491357.000
06/28/2012	10.89	11.14	10.83	10.93	388065	10805028.000
06/29/2012	10.84	10.97	10.58	10.94	403508	11010760.000
07/02/2012	11.04	11.21	10.93	11.12	364397	10231079.000
07/03/2012	11.05	11.15	10.98	11.07	541136	15193962.000
07/04/2012	11.03	11.40	10.99	11.16	515647	14677068.000
07/05/2012	11.19	11.19	10.21	10.27	1239143	33144750.000
07/06/2012	10.30	10.60	10.02	10.50	1027508	26754616.000
07/09/2012	10.35	10.69	10.24	10.39	783202	20824734.000
07/10/2012	10.35	10.39	10.09	10.13	496370	12860267.000
07/11/2012	10.19	10.19	9.77	9.79	964110	24274692.000
07/12/2012	9.79	10.24	9.66	10.14	634596	15998884.000
07/13/2012	10.31	10.85	10.21	10.55	1384362	37171532.000
07/16/2012	10.41	10.53	9.87	9.98	714151	18409308.000
07/17/2012	9.93	10.01	9.81	9.97	405499	10199321.000
07/18/2012	10.09	10.09	9.73	10.01	581633	14603664.000
07/19/2012	10.05	10.53	9.95	10.43	1041408	27327504.000
07/20/2012	10.43	10.77	10.29	10.53	1048729	28216576.000
07/23/2012	10.50	10.80	10.36	10.69	636829	17157262.000
07/24/2012	10.65	10.79	10.49	10.70	639767	17341194.000
07/25/2012	10.70	10.74	9.85	10.39	690642	18338142.000
07/26/2012	10.41	10.56	10.32	10.37	440179	11652353.000
07/27/2012	10.52	10.52	10.00	10.11	611241	15718423.000
07/30/2012	10.12	10.56	10.11	10.12	613916	16036336.000
07/31/2012	10.12	10.15	9.84	9.85	423579	10663329.000
08/01/2012	10.00	10.21	9.80	10.01	349908	8890518.000
08/02/2012	9.95	10.09	9.81	9.88	360858	9079831.000
08/03/2012	9.96	10.20	9.83	10.20	562613	14307517.000
08/06/2012	10.13	10.65	10.08	10.64	1144055	30444490.000
08/07/2012	10.65	10.84	10.59	10.77	1016542	27602110.000
08/08/2012	10.73	10.73	10.33	10.39	1329246	35293124.000
08/09/2012	10.46	10.51	10.20	10.41	849660	22365462.000
08/10/2012	10.41	10.70	10.41	10.56	983377	26397512.000
08/13/2012	10.56	10.64	10.19	10.19	535699	14086362.000
08/14/2012	10.28	10.28	9.89	10.16	633269	16125082.000
08/15/2012	10.13	10.13	9.93	9.94	391686	9957076.000
08/16/2012	9.97	10.14	9.93	10.02	301878	7688989.000
08/17/2012	10.05	10.12	9.88	10.09	294481	7472975.500
08/20/2012	9.93	10.16	9.85	10.01	366167	9226145.000
08/21/2012	9.93	10.35	9.93	10.23	618622	15957493.000
08/22/2012	10.28	10.56	10.20	10.38	799815	21089978.000
08/23/2012	10.29	10.59	10.29	10.53	790067	20975000.000
08/24/2012	10.53	10.60	10.25	10.25	533602	14048982.000
08/27/2012	10.09	10.20	10.06	10.09	339677	8709445.000
08/28/2012	10.15	10.53	10.05	10.40	301569	7892955.500
08/29/2012	10.36	10.62	10.35	10.45	431771	11506051.000
08/30/2012	10.43	10.59	9.97	10.56	722688	18908376.000
08/31/2012	10.55	10.58	10.35	10.54	311631	8291154.000
09/03/2012	10.54	10.68	10.35	10.64	494779	13299400.000
09/04/2012	10.69	10.69	10.38	10.40	516260	13814216.000
09/05/2012	10.49	10.66	10.41	10.60	374029	10003491.000
09/06/2012	10.62	10.90	10.60	10.82	1007206	27477430.000
09/07/2012	10.89	11.17	10.78	11.00	1101822	30679170.000
09/10/2012	10.94	11.17	10.94	11.07	643816	18045648.000
09/11/2012	11.06	11.12	10.92	11.05	506644	14149784.000
09/12/2012	11.04	11.11	10.80	11.01	664022	18392140.000
09/13/2012	11.00	11.03	10.85	10.85	461436	12760642.000
09/14/2012	10.91	10.95	10.75	10.84	381221	10467148.000
09/17/2012	10.69	10.82	10.37	10.37	485376	12996392.000
09/18/2012	10.37	10.51	10.25	10.31	326005	8560932.000
09/19/2012	10.29	10.37	10.22	10.28	182940	4786872.500
09/20/2012	10.36	10.36	9.89	9.99	679418	17335484.000
09/21/2012	9.97	9.97	9.70	9.80	655020	16319286.000
09/24/2012	9.74	9.74	9.41	9.57	592460	14339912.000
09/25/2012	9.57	9.68	9.16	9.33	966841	22880002.000
09/26/2012	9.24	9.36	9.06	9.27	476667	11152323.000
09/27/2012	9.27	9.55	9.15	9.42	513437	12232989.000
09/28/2012	9.34	9.54	9.29	9.50	455686	10930129.000
10/08/2012	9.59	9.62	9.41	9.49	444612	10747420.000
10/09/2012	9.48	10.05	9.48	9.90	804804	19886560.000
10/10/2012	9.87	10.08	9.86	10.05	854840	21745052.000
10/11/2012	10.11	10.11	9.87	9.92	544249	13803889.000
10/12/2012	9.98	10.04	9.69	9.92	368285	9207203.000
10/15/2012	9.87	10.25	9.65	10.11	1155384	29360438.000
10/16/2012	10.13	10.16	9.96	10.07	290729	7416443.500
10/17/2012	10.06	10.12	9.81	9.88	478576	12020890.000
10/18/2012	9.92	10.04	9.80	9.90	391883	9898293.000
10/19/2012	9.92	10.00	9.47	9.60	906744	22389484.000
10/22/2012	9.57	9.64	9.36	9.64	341414	8228566.500
10/23/2012	9.64	9.72	9.50	9.62	397505	9728695.000
10/24/2012	9.50	9.55	9.40	9.44	296140	7108428.000
10/25/2012	9.41	9.52	9.23	9.41	357300	8476464.000
10/26/2012	9.40	9.40	9.07	9.32	452338	10582586.000
10/29/2012	9.27	9.27	9.16	9.23	151142	3532221.750
10/30/2012	9.25	9.33	9.17	9.20	163381	3845940.750
10/31/2012	9.19	9.32	9.14	9.31	142781	3351047.500
11/01/2012	9.34	9.44	9.31	9.41	331072	7911257.500
11/02/2012	9.35	9.41	9.29	9.36	216305	5132550.500
11/05/2012	9.33	9.39	9.19	9.27	321751	7571542.000
11/06/2012	9.19	9.26	9.08	9.19	155680	3618799.000
11/07/2012	9.24	9.24	8.99	9.21	231860	5406193.000
11/08/2012	9.13	9.24	9.10	9.19	301759	7035401.500
11/09/2012	9.05	9.19	8.96	9.19	233105	5422827.000
11/12/2012	9.19	9.24	9.01	9.03	208700	4817655.500
11/13/2012	8.96	9.01	8.24	8.44	985089	21265062.000
11/14/2012	8.41	8.44	8.28	8.43	216945	4611434.000
11/15/2012	8.29	8.37	8.22	8.29	208309	4398949.500
11/16/2012	8.20	8.50	8.05	8.44	294878	6241499.500
11/19/2012	8.41	8.50	8.37	8.45	183959	3953784.250
11/20/2012	8.45	8.50	8.39	8.46	98978	2127775.250
11/21/2012	8.46	8.50	8.25	8.49	265888	5687605.500
11/22/2012	8.45	8.59	8.37	8.53	169625	3655268.500
11/23/2012	8.52	8.60	8.45	8.45	93426	2026277.500
11/26/2012	8.49	8.55	8.30	8.35	156200	3340058.000
