300141 和顺电气 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	8.20	8.72	7.47	8.23	910650	24028334.000
01/05/2012	8.06	8.63	8.05	8.17	817182	21761702.000
01/06/2012	7.87	8.20	7.44	7.94	560665	13756276.000
01/09/2012	7.88	8.77	7.76	8.77	877052	23897368.000
01/10/2012	9.07	9.41	9.07	9.20	1617505	46707940.000
01/11/2012	9.13	9.69	9.11	9.30	1324002	39066668.000
01/12/2012	9.30	9.56	9.15	9.46	1028179	30208228.000
01/13/2012	9.45	9.46	8.75	8.78	1313641	37146136.000
01/16/2012	8.57	8.61	7.93	7.97	967456	25208432.000
01/17/2012	7.83	8.36	7.59	8.27	921006	23361166.000
01/18/2012	8.24	8.36	7.40	7.40	835024	20807378.000
01/19/2012	7.24	7.65	7.14	7.56	589449	13957631.000
01/20/2012	7.57	7.81	7.57	7.71	326311	7978369.500
01/30/2012	7.77	8.07	7.62	7.81	374293	9323440.000
01/31/2012	7.85	7.95	7.69	7.92	231355	5763790.000
02/01/2012	7.93	8.20	7.87	8.17	368461	9418173.000
02/02/2012	8.23	8.23	8.05	8.21	309496	7962392.000
02/03/2012	9.07	9.07	8.74	9.07	2155110	60764240.000
02/06/2012	9.06	9.56	9.02	9.40	2150773	62852900.000
02/07/2012	9.25	9.39	9.04	9.16	1058308	30707790.000
02/08/2012	9.13	9.45	9.08	9.41	967667	28311126.000
02/09/2012	9.37	9.49	9.26	9.40	799807	23525480.000
02/10/2012	9.30	9.40	9.17	9.28	645842	18798314.000
02/13/2012	9.17	9.55	9.08	9.40	913625	26903114.000
02/14/2012	9.39	9.65	9.27	9.55	870547	25858406.000
02/15/2012	9.54	9.60	9.37	9.56	785996	23363522.000
02/16/2012	9.47	9.55	9.25	9.36	643636	18987396.000
02/17/2012	9.38	9.63	9.30	9.50	995755	29672918.000
02/21/2012	9.23	9.27	8.86	9.18	2278521	64583108.000
02/22/2012	9.03	10.14	9.02	10.14	2878942	87391208.000
02/23/2012	10.20	10.20	9.83	10.05	1800111	56508604.000
02/24/2012	9.99	10.07	9.83	9.98	1478252	45933076.000
02/27/2012	10.03	10.48	9.98	10.05	2223705	71211640.000
02/28/2012	9.91	9.96	9.57	9.85	1020029	31349364.000
02/29/2012	9.80	9.83	9.51	9.60	533718	16206253.000
03/01/2012	9.53	9.83	9.48	9.65	595880	18082062.000
03/02/2012	9.65	9.89	9.65	9.86	495390	15195162.000
03/05/2012	9.83	10.11	9.78	9.86	812560	25298564.000
03/06/2012	9.87	9.87	9.45	9.46	671227	20153076.000
