300146 汤臣倍健 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.57	5.80	5.48	5.48	677416	53956448.000
01/05/2012	5.34	5.55	5.10	5.31	497003	37795392.000
01/06/2012	5.27	5.60	5.16	5.58	819792	62842568.000
01/09/2012	5.58	5.76	5.51	5.75	701377	55681368.000
01/10/2012	5.71	5.91	5.67	5.84	806607	65558128.000
01/11/2012	5.83	5.99	5.75	5.94	971703	79821504.000
01/12/2012	5.89	5.98	5.80	5.92	456903	37734496.000
01/13/2012	5.92	5.92	5.57	5.66	704037	56218476.000
01/16/2012	5.60	5.63	5.41	5.52	1212336	93987152.000
01/17/2012	5.60	5.75	5.35	5.71	434439	34279436.000
01/18/2012	5.72	5.76	5.27	5.35	868974	66909680.000
01/19/2012	5.33	5.35	4.72	4.81	1329329	93700816.000
01/20/2012	4.73	4.97	4.73	4.93	640537	45226188.000
01/30/2012	5.02	5.23	4.93	5.12	625291	45765676.000
01/31/2012	5.14	5.18	4.90	5.17	739010	53743088.000
02/01/2012	5.35	5.59	5.23	5.27	1645469	124662680.000
02/02/2012	5.27	5.30	5.01	5.17	1259883	91979928.000
02/03/2012	5.15	5.24	5.07	5.16	673689	49573308.000
02/06/2012	5.16	5.32	5.11	5.29	804162	59909440.000
02/07/2012	5.21	5.27	5.08	5.08	683417	50142860.000
02/08/2012	5.08	5.23	5.08	5.19	495254	36467416.000
02/09/2012	5.17	5.35	5.17	5.24	587875	44074120.000
02/10/2012	5.24	5.27	5.14	5.24	524480	38973676.000
02/13/2012	5.19	5.58	5.18	5.55	1037068	80355304.000
02/14/2012	5.55	5.57	5.48	5.52	353248	27555340.000
02/15/2012	5.48	5.58	5.43	5.57	413336	32241698.000
02/16/2012	5.57	5.60	5.46	5.52	337297	26303102.000
02/17/2012	5.46	5.54	5.38	5.48	327429	25310796.000
02/20/2012	5.52	5.68	5.49	5.61	528905	41574136.000
02/21/2012	5.60	5.67	5.48	5.67	405593	31929846.000
02/23/2012	5.92	6.07	5.74	5.77	1826728	149690336.000
02/24/2012	5.77	6.02	5.77	5.87	1404492	115752800.000
02/27/2012	5.87	6.16	5.82	6.04	1434067	120290864.000
02/28/2012	6.04	6.23	5.92	6.12	1293834	109873088.000
02/29/2012	6.13	6.14	5.97	6.03	726812	61451612.000
03/01/2012	6.03	6.19	5.89	6.12	993762	84255256.000
03/02/2012	6.18	6.51	6.15	6.50	1910125	168459072.000
03/05/2012	6.44	7.23	6.41	6.75	4957053	228194704.000
03/06/2012	6.68	6.68	6.29	6.47	4106402	180779232.000
03/07/2012	6.30	6.58	6.23	6.42	2496637	109817536.000
03/08/2012	6.47	6.53	6.39	6.43	1736195	76556680.000
03/09/2012	6.45	6.57	6.42	6.54	1621183	71770832.000
03/12/2012	6.54	7.28	6.54	7.28	6376542	304204896.000
03/13/2012	7.16	7.27	6.91	7.07	5264997	251287312.000
03/14/2012	7.07	7.27	6.58	6.78	4937989	233731440.000
03/15/2012	6.77	7.01	6.55	6.80	3427662	157702800.000
03/16/2012	6.82	7.02	6.72	6.97	3103499	144241808.000
03/19/2012	7.02	7.09	6.91	6.95	2284750	107897160.000
03/20/2012	6.90	6.90	6.57	6.60	2694832	122882664.000
03/21/2012	7.35	7.35	6.97	7.04	7223707	351371200.000
03/22/2012	7.13	7.84	7.11	7.84	6078747	310322624.000
03/26/2012	7.73	8.60	7.47	8.40	6858570	373413280.000
03/27/2012	8.40	8.93	8.12	8.47	5166728	292138848.000
03/28/2012	8.45	8.71	8.23	8.50	4419015	248957472.000
04/05/2012	7.56	7.93	7.56	7.70	9437851	484749024.000
04/06/2012	7.60	8.15	7.60	7.94	4620813	245182416.000
04/09/2012	7.73	7.77	7.18	7.44	4288051	215462928.000
04/10/2012	7.31	7.58	7.04	7.43	2638192	130179752.000
04/11/2012	7.52	8.27	7.38	8.27	4577437	242968688.000
04/12/2012	8.22	8.42	8.06	8.29	3718415	204387408.000
04/13/2012	8.37	8.88	8.27	8.27	3172085	179077744.000
04/16/2012	8.10	8.63	7.87	8.36	3670032	199256288.000
04/17/2012	8.35	8.60	8.22	8.26	2384743	132625584.000
04/18/2012	8.23	8.42	8.02	8.29	2351009	128685720.000
04/19/2012	8.24	8.59	8.20	8.30	2297232	128286744.000
04/20/2012	8.38	8.43	8.01	8.06	2611980	142281216.000
04/23/2012	7.83	7.83	7.17	7.52	4092267	206747552.000
04/24/2012	7.28	7.67	7.28	7.64	2005317	101083448.000
04/25/2012	7.56	7.71	7.29	7.43	1708268	85590904.000
04/26/2012	7.44	7.60	7.27	7.27	1283999	63791520.000
04/27/2012	7.27	7.72	7.24	7.69	1875491	94959224.000
05/02/2012	7.77	8.35	7.75	8.09	3057700	164731760.000
05/03/2012	8.02	8.58	8.00	8.32	2663322	147818832.000
05/04/2012	8.32	8.52	8.23	8.35	1909739	106259632.000
05/07/2012	8.33	9.28	8.27	9.28	4051946	235541984.000
05/08/2012	9.33	9.42	8.93	9.07	2731997	165825664.000
05/09/2012	8.94	9.68	8.94	9.52	3316347	205915104.000
05/10/2012	9.44	9.93	9.40	9.52	2614535	164808448.000
05/11/2012	9.51	9.72	9.27	9.39	1807693	112300312.000
05/14/2012	9.43	9.69	9.40	9.47	1862392	116603680.000
05/15/2012	9.37	9.67	9.07	9.66	1993602	123887208.000
05/16/2012	9.60	9.68	9.18	9.27	2450729	151551312.000
05/17/2012	9.21	9.38	8.87	9.01	2967604	176149280.000
05/18/2012	8.88	9.01	8.71	8.74	2346470	136574384.000
05/21/2012	8.70	9.47	8.70	9.22	3311201	200208032.000
05/22/2012	9.23	9.63	9.05	9.25	3317808	202613008.000
05/23/2012	9.25	9.25	8.94	9.10	2650370	158248624.000
05/24/2012	9.02	9.25	8.90	8.98	2118340	125910464.000
05/25/2012	8.98	9.17	8.89	9.00	2199748	130817736.000
05/28/2012	8.93	9.00	8.56	8.90	2075907	120343768.000
05/29/2012	8.88	9.26	8.85	9.19	2204724	132603632.000
05/30/2012	9.10	9.18	8.92	8.97	2109971	125576824.000
05/31/2012	8.95	8.95	8.77	8.86	2048801	119629760.000
06/01/2012	8.89	9.20	8.76	9.13	2446737	145315104.000
06/04/2012	8.93	9.32	8.89	9.08	2039100	122940112.000
06/05/2012	9.18	9.19	8.89	8.93	1576962	93435976.000
06/06/2012	8.97	9.08	8.91	9.01	1074336	63672632.000
06/07/2012	9.13	9.30	9.02	9.12	1904375	115131320.000
06/08/2012	9.15	9.40	9.15	9.28	2359735	144342960.000
06/11/2012	9.33	10.02	9.33	9.88	3692545	236987920.000
06/12/2012	9.88	10.47	9.80	10.26	3426141	228719008.000
06/13/2012	10.27	10.31	9.95	10.27	2106807	139707008.000
06/14/2012	10.29	10.70	10.15	10.23	2443766	165626496.000
06/15/2012	10.19	10.36	9.97	10.27	1996816	132144624.000
06/18/2012	10.12	10.51	9.87	10.00	3551311	233634960.000
06/19/2012	9.98	10.20	9.85	10.00	2214704	144945456.000
06/20/2012	10.03	10.18	9.87	9.92	1419079	92557160.000
06/21/2012	9.88	9.93	9.60	9.88	1281040	82225888.000
06/25/2012	9.89	10.13	9.69	9.82	1426178	92777288.000
06/26/2012	9.76	9.92	9.52	9.82	1990046	126573728.000
06/27/2012	9.83	10.01	9.74	9.83	1447011	93624000.000
06/28/2012	9.80	10.26	9.75	10.17	2624284	171654336.000
